split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,listener_profile_source,probe_calibration_shrink,evaluated_rows
subject_heldout,future_only_relative_balanced_listener_responsibility,all,0.703748304981376,0.481775307869958,False,True,True,target_description_not_labels,,450
subject_heldout,future_only_relative_balanced_listener_responsibility_calibrated10,all,0.6776431421104157,0.3933542321628915,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,Q1,0.7186763152450475,0.4781809920783865,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,Q1,0.704293331107527,0.384306908200154,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,Q2,0.7231047506566507,0.4735458758853154,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,Q2,0.6961286015841679,0.41209044762344255,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,Q3,0.7062084342356219,0.44740740740740736,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,Q3,0.6819262133838652,0.40802469135802466,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,S1,0.6942671232007215,0.38154028382041405,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,S1,0.6448608750274007,0.36129017562242316,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,S2,0.6596256221176343,0.5580748244603377,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,S2,0.6579343980698366,0.41290406730288476,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,S3,0.7388682679671453,0.4212954786294596,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,S3,0.6625692205501847,0.34958936771458843,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,S4,0.7138725646506174,0.5268157768157768,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,S4,0.698505744837324,0.3805315055315055,False,True,True,target_description_not_labels,0.1,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility,all,0.707803296867634,0.46955151987101396,False,True,True,target_description_not_labels,,450
subject_heldout,cohort_only_relative_balanced_listener_responsibility_calibrated10,all,0.6780311977943295,0.3869624519075748,False,True,True,target_description_not_labels,0.1,450
chronological_holdout,prior_only,Q1,0.6982052575551428,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,Q1,0.6982052575551428,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,Q2,0.6802989069682592,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,Q2,0.6802989069682592,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,Q3,0.6597778995914756,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,Q3,0.6597778995914756,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,S1,0.6215678419963218,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,S1,0.6215678419963218,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,S2,0.6755821939568336,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,S2,0.6755821939568336,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,S3,0.6669120962706943,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,S3,0.6669120962706943,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,S4,0.6934406862131552,0.5,False,True,True,target_description_not_labels,,131
chronological_holdout,prior_only_calibrated10,S4,0.6934406862131552,0.5,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,prior_only,all,0.6708264117931261,0.5,False,True,True,target_description_not_labels,,450
chronological_holdout,prior_only_calibrated10,all,0.6708264117931261,0.5,False,True,True,target_description_not_labels,0.1,450
chronological_holdout,raw_lifelog_pca,Q1,0.7208969416859231,0.5990610328638497,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,Q1,0.6937031453487753,0.5990610328638497,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,Q2,0.7175908364014175,0.5404040404040404,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,Q2,0.676953015914473,0.5404040404040404,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,Q3,0.6600691132167124,0.5645896656534954,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,Q3,0.6559671758718787,0.5645896656534954,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,S1,0.6640611606120191,0.6449864498644987,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,S1,0.6133338322063469,0.6449864498644987,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,S2,0.7104022655011769,0.6404411764705883,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,S2,0.6680655242305386,0.6404411764705883,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,S3,0.7222306992356304,0.5998008959681433,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,S3,0.6603754379595194,0.5998008959681433,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,S4,0.8146757669289663,0.6320843091334895,False,True,True,target_description_not_labels,,131
chronological_holdout,raw_lifelog_pca_calibrated10,S4,0.6850124344371818,0.6320843091334895,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,raw_lifelog_pca,all,0.7157038262259778,0.6030525100511579,False,True,True,target_description_not_labels,,450
chronological_holdout,raw_lifelog_pca_calibrated10,all,0.6647729379955305,0.6030525100511579,False,True,True,target_description_not_labels,0.1,450
chronological_holdout,global_transported_prototype,Q1,0.7707292979460748,0.48122065727699526,False,True,True,target_description_not_labels,,131
chronological_holdout,global_transported_prototype_calibrated10,Q1,0.6994219339543237,0.48122065727699526,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,global_transported_prototype,Q2,0.7674502485098753,0.4997594997594997,False,True,True,target_description_not_labels,,131
chronological_holdout,global_transported_prototype_calibrated10,Q2,0.6807933285852955,0.4997594997594997,False,True,True,target_description_not_labels,0.1,131
chronological_holdout,global_transported_prototype,Q3,0.7176048946788881,0.5005065856129686,False,True,True,target_description_not_labels,,131
