split,feature_set,target,fold,pretext_cross_entropy,prior_cross_entropy,uniform_cross_entropy,ce_lift_vs_prior,ce_lift_vs_uniform,top1_match_rate,train_rows,validation_rows,uses_public_score,uses_train_labels_for_pretext,teacher_source,responsibility_blend
row_block_holdout,invariant_mix_relative_balanced,Q1,0.0,1.0333367990514302,1.0545732307364635,1.6094379124341003,0.021236431685033308,0.5761011133826701,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q1,1.0,1.024644330032314,1.048240085174601,1.6094379124341003,0.023595755142286956,0.5847935824017862,0.7222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q1,2.0,1.0702382168602762,1.0863313115915123,1.6094379124341003,0.0160930947312361,0.5391996955738241,0.6,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q1,3.0,1.038437658102317,1.048631215472,1.6094379124341003,0.01019355736968297,0.5710002543317834,0.6777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q1,4.0,1.0335358769334595,1.0531101757318124,1.6094379124341003,0.01957429879835293,0.5759020355006408,0.6555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q2,0.0,1.0170598787442038,1.0494761850141083,1.6094379124341003,0.03241630626990455,0.5923780336898965,0.5666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q2,1.0,0.9926459816997233,1.0329183175774936,1.6094379124341003,0.04027233587777035,0.616791930734377,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q2,2.0,1.0468507450854247,1.0772946030172628,1.6094379124341003,0.030443857931838014,0.5625871673486755,0.5444444444444444,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q2,3.0,1.021366122310903,1.0454863686461546,1.6094379124341003,0.02412024633525167,0.5880717901231973,0.6555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q2,4.0,1.0033482494342598,1.0375208179633384,1.6094379124341003,0.03417256852907857,0.6060896629998405,0.6,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q3,0.0,1.0448494701849331,1.0557221060928919,1.6094379124341003,0.010872635907958728,0.5645884422491672,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q3,1.0,1.0817788102866677,1.096788193336374,1.6094379124341003,0.015009383049706226,0.5276591021474326,0.5222222222222223,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q3,2.0,1.078954627876293,1.091033677479983,1.6094379124341003,0.012079049603689995,0.5304832845578074,0.4666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q3,3.0,1.047288470006542,1.0640949443361856,1.6094379124341003,0.01680647432964366,0.5621494424275584,0.6555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,Q3,4.0,1.0291095793036058,1.0476001634971313,1.6094379124341003,0.01849058419352545,0.5803283331304945,0.6777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S1,0.0,0.6428045585474845,0.656571576460469,1.6094379124341003,0.013767017912984514,0.9666333538866158,0.8222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S1,1.0,0.6434411977539101,0.6557442940782973,1.6094379124341003,0.012303096324387197,0.9659967146801902,0.7888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S1,2.0,0.677562792376534,0.6902092486144252,1.6094379124341003,0.01264645623789118,0.9318751200575662,0.7111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S1,3.0,0.6339655636721733,0.6361689995317494,1.6094379124341003,0.002203435859576164,0.975472348761927,0.9444444444444444,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S1,4.0,0.6370615464792608,0.651983091373131,1.6094379124341003,0.014921544893870209,0.9723763659548395,0.7777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S2,0.0,0.9884635858598303,1.009379061523627,1.6094379124341003,0.020915475663796812,0.62097432657427,0.8333333333333334,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S2,1.0,0.9723919198601828,0.9943288650484752,1.6094379124341003,0.021936945188292367,0.6370459925739175,0.8222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S2,2.0,1.0295341752066252,1.0451359088085437,1.6094379124341003,0.015601733601918522,0.5799037372274751,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S2,3.0,0.9977558466516551,1.0064410434522462,1.6094379124341003,0.0086851968005911,0.6116820657824452,0.8888888888888888,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S2,4.0,0.9938471981608045,1.0135137917090338,1.6094379124341003,0.019666593548229305,0.6155907142732958,0.7333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S3,0.0,0.9958997353925678,1.0282780178601536,1.6094379124341003,0.032378282467585784,0.6135381770415325,0.5777777777777777,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S3,1.0,0.9668165644737728,1.0064997908231623,1.6094379124341003,0.03968322634938948,0.6426213479603274,0.7444444444444445,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S3,2.0,1.0303425107939583,1.060616932535586,1.6094379124341003,0.030274421741627755,0.579095401640142,0.5666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S3,3.0,0.9978141109077362,1.0210076850206948,1.6094379124341003,0.023193574112958637,0.6116238015263641,0.7222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S3,4.0,0.9820010519874752,1.0158045560081723,1.6094379124341003,0.033803504020697095,0.627436860446625,0.6111111111111112,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S4,0.0,1.0235950438809738,1.034852306043238,1.6094379124341003,0.011257262162264192,0.5858428685531265,0.8111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S4,1.0,1.0680695514510647,1.0829631262248138,1.6094379124341003,0.014893574773749085,0.5413683609830355,0.5666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S4,2.0,1.0701117885479337,1.0819973582197053,1.6094379124341003,0.011885569671771679,0.5393261238861666,0.5555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S4,3.0,1.034557049217361,1.050701030569788,1.6094379124341003,0.016143981352426895,0.5748808632167393,0.7666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_balanced,S4,4.0,1.0050253174520671,1.0229470909412828,1.6094379124341003,0.017921773489215642,0.6044125949820331,0.7777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.35
row_block_holdout,invariant_mix_relative_conservative,Q1,0.0,1.0440262929410655,1.0545732307364635,1.6094379124341003,0.010546937795397948,0.5654116194930348,0.7444444444444445,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q1,1.0,1.0370675330146684,1.048240085174601,1.6094379124341003,0.011172552159932625,0.5723703794194319,0.7333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q1,2.0,1.0782524211055726,1.0863313115915123,1.6094379124341003,0.008078890485939683,0.5311854913285277,0.5888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q1,3.0,1.0430625742879298,1.048631215472,1.6094379124341003,0.005568641184070078,0.5663753381461705,0.6888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q1,4.0,1.0437222222787255,1.0531101757318124,1.6094379124341003,0.009387953453086961,0.5657156901553748,0.6333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q2,0.0,1.0333906711982892,1.0494761850141083,1.6094379124341003,0.01608551381581913,0.5760472412358111,0.5333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q2,1.0,1.0135972067002172,1.0329183175774936,1.6094379124341003,0.019321110877276393,0.595840705733883,0.7,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q2,2.0,1.0625635247037892,1.0772946030172628,1.6094379124341003,0.014731078313473533,0.546874387730311,0.4888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q2,3.0,1.0328743637054767,1.0454863686461546,1.6094379124341003,0.012612004940677934,0.5765635487286236,0.6444444444444445,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q2,4.0,1.0211701595753797,1.0375208179633384,1.6094379124341003,0.016350658387958683,0.5882677528587206,0.5555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q3,0.0,1.0500504506614707,1.0557221060928919,1.6094379124341003,0.005671655431421119,0.5593874617726295,0.7333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
