rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowweighted_delta_vs_h012,h019_rowweighted_delta_vs_h012,h020_decision,decision_rank,file
-0.0008878384664979938,-0.000856355932200533,1.0,-0.00031951926592718613,move_all_k1600_a0.55,move,all,1600,0.55,250,1600,0.008400254131428817,0.0683812235945499,0.007644399814560138,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1600_a0.55_da3cbfd7.csv
-0.0008866446822465311,-0.0008549950229441534,1.0,-0.00031628808098026803,combined_all_k1600_a0.55,combined,all,1600,0.55,250,1600,0.008341602899381942,0.0683812235945499,0.007709960499730705,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1600_a0.55_cc174cd3.csv
-0.0008823729915188963,-0.0008509009267300072,0.996,-0.0003120588989624121,gain_all_k1300_a0.55,gain,all,1300,0.55,249,1300,0.008083179204347231,0.0683812235945499,0.007684791095150205,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1300_a0.55_609488aa.csv
-0.000880860773236789,-0.0008491595787649344,1.0,-0.000315189667551495,move_all_k1300_a0.55,move,all,1300,0.55,250,1300,0.007980525455610218,0.0683812235945499,0.007712221862589404,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1300_a0.55_7ef9593b.csv
-0.0008762689971098965,-0.000843898358317258,1.0,-0.0002765801708173167,combined_all_k1300_a0.55,combined,all,1300,0.55,250,1300,0.007890709028558462,0.0683812235945499,0.007975073364846227,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1300_a0.55_cf39c051.csv
-0.0008460430765846465,-0.0008201321661949445,1.0,-0.0002886495340894988,shift_all_k1600_a0.55,shift,all,1600,0.55,250,1600,0.008108945234518291,0.0683812235945499,0.007990424346903401,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1600_a0.55_7ffb5945.csv
-0.0008396258138387157,-0.0008248827930024053,1.0,-0.0002573287238604981,shift_all_k1300_a1.25,shift,all,1300,1.25,250,1300,0.015762662780077243,0.1528531517928886,0.015178013234383265,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1300_a1.25_0f192796.csv
-0.0008389762685197942,-0.0008242762538260185,1.0,-0.000257292348714759,shift_all_k1300_a0.75,shift,all,1300,0.75,250,1300,0.009523065623642805,0.09299138979406657,0.01029463228555137,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1300_a0.75_a1ca0ec5.csv
-0.0007154661566527414,-0.0007028348065800181,1.0,-0.00021894769635718179,shift_all_k1300_a0.55,shift,all,1300,0.55,250,1300,0.007003192714539275,0.0683812235945499,0.009067676001514285,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_big_bet,0,hitl/h020_joint_vector_world_jepa/submission_h020_shift_all_k1300_a0.55_28a046c3.csv
-0.0010658514348201623,-0.0010267305029169603,0.996,-0.00035101743359715863,gain_all_k1000_a1,gain,all,1000,1.0,249,1000,0.013099532101929474,0.12328370558887525,0.010902266122366982,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1000_a1_ccb8c87e.csv
-0.0010558796780235503,-0.0010162471311878406,1.0,-0.0003426488794063322,move_all_k1000_a1,move,all,1000,1.0,250,1000,0.012685250463796848,0.12328370558887525,0.010914520481642292,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1000_a1_c013139b.csv
