candidate_id,mode,file,basename,weight,cap,top_k,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,max_abs_prob_delta,move_mean,selected_raw_delta_mean,selected_mobility_rank_mean,selected_low_energy_mean
lowenergy_signed_top90_w0p06_cap0p018,lowenergy_signed,hitl/h008_s4_latent_column_translator/submission_h008_lowenergy_signed_top90_w0p06_cap0p018_c9d070a4.csv,submission_h008_lowenergy_signed_top90_w0p06_cap0p018_c9d070a4.csv,0.06,0.018,90,90,90,0.0058669637010500845,1.4667409252625212,0.018,0.004499564242601006,-0.0012107576725879758,-0.3237016667065349,0.6806763285024156,0.707
lowenergy_signed_top120_w0p05_cap0p016,lowenergy_signed,hitl/h008_s4_latent_column_translator/submission_h008_lowenergy_signed_top120_w0p05_cap0p016_cc51269e.csv,submission_h008_lowenergy_signed_top120_w0p05_cap0p016_cc51269e.csv,0.05,0.016,120,120,120,0.00695892331027357,1.7397308275683927,0.016,0.00399997613416786,-0.002075235312791275,-0.3629894721351365,0.6036159420289855,0.6471333333333332
two_tail_top40_w0p08_cap0p022,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_top40_w0p08_cap0p022_4adeaffd.csv,submission_h008_two_tail_top40_w0p08_cap0p022_4adeaffd.csv,0.08,0.022,40,40,40,0.0032742082796128618,0.8185520699032154,0.022,0.0054999155567557745,-1.0422647763544929e-05,-0.37391756714444147,0.45476086956521744,0.4422999999999999
two_tail_top60_w0p07_cap0p02,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_top60_w0p07_cap0p02_2a35fb28.csv,submission_h008_two_tail_top60_w0p07_cap0p02_2a35fb28.csv,0.07,0.02,60,56,56,0.004074013267289088,1.018503316822272,0.02,0.004999942211244779,-0.00017958969258524194,-0.3323110644894265,0.4410093167701863,0.42914285714285716
two_tail_refine_top30_w0p075_cap0p02,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_refine_top30_w0p075_cap0p02_a47ca1a1.csv,submission_h008_two_tail_refine_top30_w0p075_cap0p02_a47ca1a1.csv,0.075,0.02,30,30,30,0.0022123480354750468,0.5530870088687617,0.02,0.004999942211244779,-2.278906844906092e-05,-0.4511314063155031,0.4555072463768116,0.4704666666666667
two_tail_refine_top40_w0p07_cap0p02,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_refine_top40_w0p07_cap0p02_cf14d4ad.csv,submission_h008_two_tail_refine_top40_w0p07_cap0p02_cf14d4ad.csv,0.07,0.02,40,40,40,0.0029579322446612534,0.7394830611653134,0.02,0.004999942211244779,-1.811981679310179e-05,-0.37391756714444147,0.45476086956521744,0.4422999999999999
two_tail_refine_top40_w0p078_cap0p02,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_refine_top40_w0p078_cap0p02_de3c9844.csv,submission_h008_two_tail_refine_top40_w0p078_cap0p02_de3c9844.csv,0.078,0.02,40,40,40,0.0030092282399495113,0.7523070599873778,0.02,0.004999942211244779,3.913085757514728e-06,-0.37391756714444147,0.45476086956521744,0.4422999999999999
two_tail_refine_top50_w0p07_cap0p02,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_refine_top50_w0p07_cap0p02_244cc9c6.csv,submission_h008_two_tail_refine_top50_w0p07_cap0p02_244cc9c6.csv,0.07,0.02,50,49,49,0.0035285331649091978,0.8821332912272994,0.02,0.004999942211244779,-8.506979496513079e-05,-0.32808224823478915,0.44669032830523514,0.4322244897959183
two_tail_refine_top60_w0p06_cap0p018,two_tail,hitl/h008_s4_latent_column_translator/submission_h008_two_tail_refine_top60_w0p06_cap0p018_e7267013.csv,submission_h008_two_tail_refine_top60_w0p06_cap0p018_e7267013.csv,0.06,0.018,60,56,56,0.0036394399433906455,0.9098599858476614,0.018,0.004499962070435293,-0.0001710768793587788,-0.3323110644894265,0.4410093167701863,0.42914285714285716
delta_two_tail_top40_w0p06_cap0p018,delta_two_tail,hitl/h008_s4_latent_column_translator/submission_h008_delta_two_tail_top40_w0p06_cap0p018_8b8f36d8.csv,submission_h008_delta_two_tail_top40_w0p06_cap0p018_8b8f36d8.csv,0.06,0.018,40,40,40,0.002840413222864477,0.7101033057161192,0.018,0.0044998040477683965,-3.958677713552306e-05,-0.38421098288592587,0.6434347826086957,0.6665
delta_two_tail_top60_w0p055_cap0p018,delta_two_tail,hitl/h008_s4_latent_column_translator/submission_h008_delta_two_tail_top60_w0p055_cap0p018_8c3be15b.csv,submission_h008_delta_two_tail_top60_w0p055_cap0p018_8c3be15b.csv,0.055,0.018,60,60,60,0.004223658377154228,1.055914594288557,0.018,0.0044998040477683965,-9.634162284577202e-05,-0.3440421081928465,0.6214057971014494,0.637
delta_two_tail_top80_w0p045_cap0p015,delta_two_tail,hitl/h008_s4_latent_column_translator/submission_h008_delta_two_tail_top80_w0p045_cap0p015_547cbcc2.csv,submission_h008_delta_two_tail_top80_w0p045_cap0p015_547cbcc2.csv,0.045,0.015,80,80,80,0.004705529219638675,1.1763823049096689,0.015,0.0037499813052004893,-9.447078036132387e-05,-0.32508527173134,0.5898478260869565,0.59045
down_control_highmob_top60_w0p06_cap0p02,down_control,hitl/h008_s4_latent_column_translator/submission_h008_down_control_highmob_top60_w0p06_cap0p02_c0efea43.csv,submission_h008_down_control_highmob_top60_w0p06_cap0p02_c0efea43.csv,0.06,0.02,60,47,47,0.003106438162087566,0.7766095405218915,0.02,0.004998639448383857,-0.003106438162087566,0.5162904656471883,0.8024051803885291,0.6885319148936171
