variant,family,file,basename,q2_scale,s1_scale,gate,q2_gate_rows,s1_gate_rows
h001_e247locked_all_q21p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s11p06_95c28f8d.csv,submission_h001_e247locked_all_q21p25_s11p06_95c28f8d.csv,1.25,1.06,all,250.0,250.0
h001_e247locked_all_q21p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s11p25_8db7b0d8.csv,submission_h001_e247locked_all_q21p25_s11p25_8db7b0d8.csv,1.25,1.25,all,250.0,250.0
h001_e247locked_transfer_top20_q20p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p0_s10p5_01ebff46.csv,submission_h001_e247locked_transfer_top20_q20p0_s10p5_01ebff46.csv,0.0,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p0_s10p75_93695a48.csv,submission_h001_e247locked_transfer_top20_q20p0_s10p75_93695a48.csv,0.0,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p0_s11p0_53c3153c.csv,submission_h001_e247locked_transfer_top20_q20p0_s11p0_53c3153c.csv,0.0,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p0_s11p06_06abea93.csv,submission_h001_e247locked_transfer_top20_q20p0_s11p06_06abea93.csv,0.0,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p0_s11p25_f9e9bf62.csv,submission_h001_e247locked_transfer_top20_q20p0_s11p25_f9e9bf62.csv,0.0,1.25,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s10p0_7eb01b0a.csv,submission_h001_e247locked_transfer_top20_q20p25_s10p0_7eb01b0a.csv,0.25,0.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s10p5_bee8b3a2.csv,submission_h001_e247locked_transfer_top20_q20p25_s10p5_bee8b3a2.csv,0.25,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s10p75_cb1fa914.csv,submission_h001_e247locked_transfer_top20_q20p25_s10p75_cb1fa914.csv,0.25,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s11p0_12bcbc98.csv,submission_h001_e247locked_transfer_top20_q20p25_s11p0_12bcbc98.csv,0.25,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s11p06_cc2aa08a.csv,submission_h001_e247locked_transfer_top20_q20p25_s11p06_cc2aa08a.csv,0.25,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p25_s11p25_d5056cb5.csv,submission_h001_e247locked_transfer_top20_q20p25_s11p25_d5056cb5.csv,0.25,1.25,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s10p0_a535f5f9.csv,submission_h001_e247locked_transfer_top20_q20p5_s10p0_a535f5f9.csv,0.5,0.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s10p5_8a5e4449.csv,submission_h001_e247locked_transfer_top20_q20p5_s10p5_8a5e4449.csv,0.5,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s10p75_c064e64d.csv,submission_h001_e247locked_transfer_top20_q20p5_s10p75_c064e64d.csv,0.5,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s11p0_3a66cd21.csv,submission_h001_e247locked_transfer_top20_q20p5_s11p0_3a66cd21.csv,0.5,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s11p06_cfa15f42.csv,submission_h001_e247locked_transfer_top20_q20p5_s11p06_cfa15f42.csv,0.5,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p5_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p5_s11p25_1f44313b.csv,submission_h001_e247locked_transfer_top20_q20p5_s11p25_1f44313b.csv,0.5,1.25,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s10p0_e7bf1fee.csv,submission_h001_e247locked_transfer_top20_q20p75_s10p0_e7bf1fee.csv,0.75,0.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s10p5_e0f9be1a.csv,submission_h001_e247locked_transfer_top20_q20p75_s10p5_e0f9be1a.csv,0.75,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s10p75_d06c4991.csv,submission_h001_e247locked_transfer_top20_q20p75_s10p75_d06c4991.csv,0.75,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s11p0_08fa4180.csv,submission_h001_e247locked_transfer_top20_q20p75_s11p0_08fa4180.csv,0.75,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s11p06_fb7651db.csv,submission_h001_e247locked_transfer_top20_q20p75_s11p06_fb7651db.csv,0.75,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q20p75_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q20p75_s11p25_012e59c5.csv,submission_h001_e247locked_transfer_top20_q20p75_s11p25_012e59c5.csv,0.75,1.25,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s10p0_f7e8f060.csv,submission_h001_e247locked_transfer_top20_q21p0_s10p0_f7e8f060.csv,1.0,0.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s10p5_10199506.csv,submission_h001_e247locked_transfer_top20_q21p0_s10p5_10199506.csv,1.0,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s10p75_43dec0a4.csv,submission_h001_e247locked_transfer_top20_q21p0_s10p75_43dec0a4.csv,1.0,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s11p0_7a0788e1.csv,submission_h001_e247locked_transfer_top20_q21p0_s11p0_7a0788e1.csv,1.0,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s11p06_664f1ef2.csv,submission_h001_e247locked_transfer_top20_q21p0_s11p06_664f1ef2.csv,1.0,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p0_s11p25_e05f1db3.csv,submission_h001_e247locked_transfer_top20_q21p0_s11p25_e05f1db3.csv,1.0,1.25,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s10p0_813c8d8e.csv,submission_h001_e247locked_transfer_top20_q21p25_s10p0_813c8d8e.csv,1.25,0.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s10p5_61c14062.csv,submission_h001_e247locked_transfer_top20_q21p25_s10p5_61c14062.csv,1.25,0.5,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s10p75_3086f4b6.csv,submission_h001_e247locked_transfer_top20_q21p25_s10p75_3086f4b6.csv,1.25,0.75,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s11p0_aad37ac4.csv,submission_h001_e247locked_transfer_top20_q21p25_s11p0_aad37ac4.csv,1.25,1.0,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s11p06_5642a277.csv,submission_h001_e247locked_transfer_top20_q21p25_s11p06_5642a277.csv,1.25,1.06,transfer_top20,50.0,92.0
h001_e247locked_transfer_top20_q21p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_transfer_top20_q21p25_s11p25_392b6776.csv,submission_h001_e247locked_transfer_top20_q21p25_s11p25_392b6776.csv,1.25,1.25,transfer_top20,50.0,92.0
h001_e247locked_rowmask_valid_q20p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p0_s10p5_7ff0a6a6.csv,submission_h001_e247locked_rowmask_valid_q20p0_s10p5_7ff0a6a6.csv,0.0,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p0_s10p75_aa0c2a16.csv,submission_h001_e247locked_rowmask_valid_q20p0_s10p75_aa0c2a16.csv,0.0,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p0_s11p0_4c9396d9.csv,submission_h001_e247locked_rowmask_valid_q20p0_s11p0_4c9396d9.csv,0.0,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p0_s11p06_ce4a1dac.csv,submission_h001_e247locked_rowmask_valid_q20p0_s11p06_ce4a1dac.csv,0.0,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p0_s11p25_11ecfd22.csv,submission_h001_e247locked_rowmask_valid_q20p0_s11p25_11ecfd22.csv,0.0,1.25,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s10p0_e89ccb49.csv,submission_h001_e247locked_rowmask_valid_q20p25_s10p0_e89ccb49.csv,0.25,0.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s10p5_c3904493.csv,submission_h001_e247locked_rowmask_valid_q20p25_s10p5_c3904493.csv,0.25,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s10p75_f20c0942.csv,submission_h001_e247locked_rowmask_valid_q20p25_s10p75_f20c0942.csv,0.25,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s11p0_7ddcdd30.csv,submission_h001_e247locked_rowmask_valid_q20p25_s11p0_7ddcdd30.csv,0.25,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s11p06_bcf48ab0.csv,submission_h001_e247locked_rowmask_valid_q20p25_s11p06_bcf48ab0.csv,0.25,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p25_s11p25_e6787280.csv,submission_h001_e247locked_rowmask_valid_q20p25_s11p25_e6787280.csv,0.25,1.25,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s10p0_b49cc03a.csv,submission_h001_e247locked_rowmask_valid_q20p5_s10p0_b49cc03a.csv,0.5,0.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s10p5_37f4f549.csv,submission_h001_e247locked_rowmask_valid_q20p5_s10p5_37f4f549.csv,0.5,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s10p75_687ac233.csv,submission_h001_e247locked_rowmask_valid_q20p5_s10p75_687ac233.csv,0.5,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s11p0_2763439e.csv,submission_h001_e247locked_rowmask_valid_q20p5_s11p0_2763439e.csv,0.5,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s11p06_27d779ee.csv,submission_h001_e247locked_rowmask_valid_q20p5_s11p06_27d779ee.csv,0.5,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p5_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p5_s11p25_317fc79a.csv,submission_h001_e247locked_rowmask_valid_q20p5_s11p25_317fc79a.csv,0.5,1.25,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p75_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s10p0_f3a7be07.csv,submission_h001_e247locked_rowmask_valid_q20p75_s10p0_f3a7be07.csv,0.75,0.0,rowmask_valid,42.0,80.0
