variant,family,file,basename,q2_scale,s1_scale,gate,q2_gate_rows,s1_gate_rows,move_l1,move_l2,changed_cells_1e12,changed_rows_1e12,non_q2s1_l1,all_cos_e323_bad_vs_e247,all_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,s1_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,l1_Q1,signed_sum_Q1,changed_Q1,l1_Q2,signed_sum_Q2,changed_Q2,l1_Q3,signed_sum_Q3,changed_Q3,l1_S1,signed_sum_S1,changed_S1,l1_S2,signed_sum_S2,changed_S2,l1_S3,signed_sum_S3,changed_S3,l1_S4,signed_sum_S4,changed_S4,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_transfer_signed_spearman,s1_transfer_signed_spearman
h001_e247locked_all_q20p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s10p75_888f287b.csv,submission_h001_e247locked_all_q20p25_s10p75_888f287b.csv,0.25,0.75,all,250.0,250.0,0.10131070723305655,0.021047959200386795,194.0,168.0,4.440892098500626e-16,-0.03389815443355496,-0.01800837718917375,-0.01391775997137168,0.5917345462007702,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p0_3c59bc3c.csv,submission_h001_e247locked_all_q20p25_s11p0_3c59bc3c.csv,0.25,1.0,all,250.0,250.0,0.12862971731144673,0.02734989250896927,194.0,168.0,4.440892098500626e-16,-0.03478317004892368,-0.02105842061144315,-0.01391775997137168,0.5917345462007702,-0.07588088559857444,-0.0632004621986908,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.109276040313732,-0.012448242179950622,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p06_bfa973f5.csv,submission_h001_e247locked_all_q20p25_s11p06_bfa973f5.csv,0.25,1.06,all,250.0,250.0,0.13518627973033048,0.02888223479806064,194.0,168.0,4.440892098500626e-16,-0.03491401987150126,-0.021577380452666044,-0.01391775997137168,0.5917345462007702,-0.07588088559868636,-0.06320046219878364,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.11583260273261574,-0.013195136710719209,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p25_s11p25_a079a0ca.csv,submission_h001_e247locked_all_q20p25_s11p25_a079a0ca.csv,0.25,1.25,all,250.0,250.0,0.15594872738994991,0.033766248248648885,194.0,168.0,4.440892098500626e-16,-0.03521697002509009,-0.022888284366962233,-0.01391775997137168,0.5917345462007702,-0.07588088559897349,-0.06320046219901866,0.0,0.0,0.0,0.019353676997714273,0.01603283959267497,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.13659505039223518,-0.015560302724911088,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p5_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p0_b8dd535b.csv,submission_h001_e247locked_all_q20p5_s10p0_b8dd535b.csv,0.5,0.0,all,250.0,250.0,0.03870735399543039,0.01426515838874356,34.0,34.0,4.440892098500626e-16,-1.0662565639256198e-11,0.029677660948084484,-0.014404753613954897,0.5917345465029472,0.0,0.0,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,,-0.059234847659693404,
h001_e247locked_all_q20p5_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p5_6a93f35e.csv,submission_h001_e247locked_all_q20p5_s10p5_6a93f35e.csv,0.5,0.5,all,250.0,250.0,0.0933453741523006,0.019436575763955816,194.0,168.0,4.440892098500626e-16,-0.024472313789638277,0.0015200532655600988,-0.014404753613954897,0.5917345465029472,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p5_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s10p75_2a416bfa.csv,submission_h001_e247locked_all_q20p5_s10p75_2a416bfa.csv,0.5,0.75,all,250.0,250.0,0.12066438423077222,0.024405688771126758,194.0,168.0,4.440892098500626e-16,-0.02923445342004621,-0.0068574717515709075,-0.014404753613954897,0.5917345465029472,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p5_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p0_be8457f4.csv,submission_h001_e247locked_all_q20p5_s11p0_be8457f4.csv,0.5,1.0,all,250.0,250.0,0.1479833943091624,0.03001062608717334,194.0,168.0,4.440892098500626e-16,-0.031699304082264686,-0.012137943142386996,-0.014404753613954897,0.5917345465029472,-0.07588088559857444,-0.0632004621986908,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.109276040313732,-0.012448242179950622,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p5_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p06_45d858f1.csv,submission_h001_e247locked_all_q20p5_s11p06_45d858f1.csv,0.5,1.06,all,250.0,250.0,0.15453995672804616,0.03141344528736478,194.0,168.0,4.440892098500626e-16,-0.03210074254910031,-0.013100272758310291,-0.014404753613954897,0.5917345465029472,-0.07588088559868636,-0.06320046219878364,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.11583260273261574,-0.013195136710719209,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p5_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p5_s11p25_391b67ee.csv,submission_h001_e247locked_all_q20p5_s11p25_391b67ee.csv,0.5,1.25,all,250.0,250.0,0.1753024043876656,0.03595525801160854,194.0,168.0,4.440892098500626e-16,-0.03307290833861724,-0.015607542705454907,-0.014404753613954897,0.5917345465029472,-0.07588088559897349,-0.06320046219901866,0.0,0.0,0.0,0.038707353995429954,0.03206567918535007,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.13659505039223518,-0.015560302724911088,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p75_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p0_0559caa7.csv,submission_h001_e247locked_all_q20p75_s10p0_0559caa7.csv,0.75,0.0,all,250.0,250.0,0.058061030993144504,0.021397737583115542,34.0,34.0,4.440892098500626e-16,-1.0662565639344338e-11,0.02967766094833755,-0.014574747671244481,0.5917345466036693,0.0,0.0,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,,-0.059234847659693404,
h001_e247locked_all_q20p75_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p5_2612b0b7.csv,submission_h001_e247locked_all_q20p75_s10p5_2612b0b7.csv,0.75,0.5,all,250.0,250.0,0.11269905115001469,0.025142571611669502,194.0,168.0,4.440892098500626e-16,-0.018918430004548143,0.009594201468546122,-0.014574747671244481,0.5917345466036693,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p75_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s10p75_eb43abe4.csv,submission_h001_e247locked_all_q20p75_s10p75_eb43abe4.csv,0.75,0.75,all,250.0,250.0,0.14001806122848634,0.029154863645934573,194.0,168.0,4.440892098500626e-16,-0.0244723137897766,0.0015200532655838418,-0.014574747671244481,0.5917345466036693,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p75_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p0_673fb390.csv,submission_h001_e247locked_all_q20p75_s11p0_673fb390.csv,0.75,1.0,all,250.0,250.0,0.16733707130687653,0.03398538079769099,194.0,168.0,4.440892098500626e-16,-0.027991917106266702,-0.004489842470894401,-0.014574747671244481,0.5917345466036693,-0.07588088559857444,-0.0632004621986908,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.109276040313732,-0.012448242179950622,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p75_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p06_7e948764.csv,submission_h001_e247locked_all_q20p75_s11p06_7e948764.csv,0.75,1.06,all,250.0,250.0,0.17389363372576028,0.0352302849071959,194.0,168.0,4.440892098500626e-16,-0.02862295671135245,-0.005672575031696148,-0.014574747671244481,0.5917345466036693,-0.07588088559868636,-0.06320046219878364,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.11583260273261574,-0.013195136710719209,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q20p75_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q20p75_s11p25_74a6f9af.csv,submission_h001_e247locked_all_q20p75_s11p25_74a6f9af.csv,0.75,1.25,all,250.0,250.0,0.1946560813853797,0.039333815076868325,194.0,168.0,4.440892098500626e-16,-0.030232128520014414,-0.008885356205593971,-0.014574747671244481,0.5917345466036693,-0.07588088559897349,-0.06320046219901866,0.0,0.0,0.0,0.05806103099314406,0.04809851877802702,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.13659505039223518,-0.015560302724911088,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p0_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p0_92f32ec0.csv,submission_h001_e247locked_all_q21p0_s10p0_92f32ec0.csv,1.0,0.0,all,250.0,250.0,0.07741470799085998,0.028530316777487498,34.0,34.0,4.440892098500626e-16,-1.0662565639394586e-11,0.029677660948464468,-0.014661258237122164,0.5917345466540384,0.0,0.0,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,,-0.059234847659693404,
h001_e247locked_all_q21p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p5_9e363772.csv,submission_h001_e247locked_all_q21p0_s10p5_9e363772.csv,1.0,0.5,all,250.0,250.0,0.13205272814773017,0.03143667776651722,194.0,168.0,4.440892098500626e-16,-0.01513066949312871,0.014406775673404168,-0.014661258237122164,0.5917345466540384,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s10p75_b1d95e44.csv,submission_h001_e247locked_all_q21p0_s10p75_b1d95e44.csv,1.0,0.75,all,250.0,250.0,0.15937173822620182,0.03472926541061511,194.0,168.0,4.440892098500626e-16,-0.020544257509716415,0.007371166930401867,-0.014661258237122164,0.5917345466540384,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p0_47269973.csv,submission_h001_e247locked_all_q21p0_s11p0_47269973.csv,1.0,1.0,all,250.0,250.0,0.18669074830459198,0.03887315152791156,194.0,168.0,4.440892098500626e-16,-0.024472313789844533,0.0015200532656001388,-0.014661258237122164,0.5917345466540384,-0.07588088559857444,-0.0632004621986908,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.109276040313732,-0.012448242179950622,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p06_d7afb53c.csv,submission_h001_e247locked_all_q21p0_s11p06_d7afb53c.csv,1.0,1.06,all,250.0,250.0,0.19324731072347573,0.039966095335798126,194.0,168.0,4.440892098500626e-16,-0.02523125943207554,0.0002960467465151367,-0.014661258237122164,0.5917345466540384,-0.07588088559868636,-0.06320046219878364,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.11583260273261574,-0.013195136710719209,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p0_s11p25_8802d18f.csv,submission_h001_e247locked_all_q21p0_s11p25_8802d18f.csv,1.0,1.25,all,250.0,250.0,0.21400975838309516,0.04362642330341995,194.0,168.0,4.440892098500626e-16,-0.027257447725958665,-0.003159018787883702,-0.014661258237122164,0.5917345466540384,-0.07588088559897349,-0.06320046219901866,0.0,0.0,0.0,0.07741470799085952,0.06413135837070363,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.13659505039223518,-0.015560302724911088,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p0_fb21b8dd.csv,submission_h001_e247locked_all_q21p25_s10p0_fb21b8dd.csv,1.25,0.0,all,250.0,250.0,0.09676838498857496,0.03566289597185905,34.0,34.0,4.440892098500626e-16,-1.0662565639424185e-11,0.029677660948540605,-0.01471365929491448,0.5917345466842593,0.0,0.0,0.0,0.0,0.0,0.09676838498857451,0.08016419796337827,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,,-0.059234847659693404,
h001_e247locked_all_q21p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p5_fe124cd5.csv,submission_h001_e247locked_all_q21p25_s10p5_fe124cd5.csv,1.25,0.5,all,250.0,250.0,0.15140640514544515,0.03802798814914739,194.0,168.0,4.440892098500626e-16,-0.012508102702110599,0.01747606076116943,-0.01471365929491448,0.5917345466842593,-0.0758808855964185,-0.06320046219691625,0.0,0.0,0.0,0.09676838498857451,0.08016419796337827,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0546380201568702,-0.006224121089971814,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
h001_e247locked_all_q21p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_all_q21p25_s10p75_cdf1bb94.csv,submission_h001_e247locked_all_q21p25_s10p75_cdf1bb94.csv,1.25,0.75,all,250.0,250.0,0.17872541522391677,0.040791972857865094,194.0,168.0,4.440892098500626e-16,-0.017490866996852705,0.011464840922533462,-0.01471365929491448,0.5917345466842593,-0.07588088559785569,-0.06320046219810371,0.0,0.0,0.0,0.09676838498857451,0.08016419796337827,34.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.08195703023534183,-0.009336181634948024,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691
