candidate_id,action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1,h100_route_basis_pred_delta,h100_action_score,h102_bad_max_pos,h102_bad_mean_pos,h102_bad_weighted_pos,h102_h088_axis_cos,h102_good_max_cos,h102_good_mean_cos,h102_good_bad_margin,h102_shadow_ratio,h102_axis_score
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r000_recovery_route_hybrid_route,r000_recovery_route,0,id01,2024-07-31,recovery_route,"Q1,S2,S3,S4",hybrid_route,tail,4,1,0,1,-3.0574630059597386e-06,8.491764248869196e-08,3.239990152060627e-07,1.0,1.0,1.0,0.7346857142857143,-0.0351718857142857,0.1785714285714285,0.57472224,0.57472224,0.1776539855072464,0.4345906022939716,0.0679347826086956,0.7373188405797102,0.1123188405797101,0,0,0,0,0,0,1,0.5958610243280881,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r000_recovery_route_hybrid_route,0.44,0.58,0.03168802977602651,0.03168802977602651,2.312581265521583e-06,0.7456350143011756,0.0003068955040308436,2.3175453048225994e-05,2.578335623477612e-05,-0.002015789369487927,0.01184858376184251,0.01179859731567364,0.011822800405607735,459.5260651053982,0.8120627923959249
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r098_full_state_counter_h088,r098_full_state,98,id04,2024-10-19,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",counter_h088,q2_route,7,2,0,2,-4.069129556688285e-06,3.3268281645048434e-07,6.696694049958469e-07,1.0,1.0,1.0,0.6215714285714286,-0.049386171428571456,0.6877142857142857,0.5023742971428572,0.5486207771428572,0.4241440217391304,0.8326246859747435,0.2694746376811594,0.9685235507246376,0.1381340579710145,0,0,0,1,0,0,1,0.6476585685829995,basis_q2_counter_a050,basis_q2_counter_a050__r098_full_state_counter_h088,0.5,0.62,0.058270574295594485,0.0817355361663934,4.046249028010081e-06,0.7121461913222724,0.0,0.0,0.0,-0.0014439318219446255,0.011427874801847922,0.011379663229892223,0.011427874801847922,11427874.801847922,0.8033329283067953
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r061_s14_edge_hybrid_route,r061_s14_edge,61,id03,2024-08-19,s14_edge,"S1,S4",hybrid_route,tail,2,1,0,1,-4.949799561294855e-06,2.7557217809354886e-06,2.888477554090148e-06,1.0,1.0,1.0,0.4683428571428571,0.071728,0.8622857142857143,0.4628745142857143,0.4628745142857143,0.2133786231884057,0.6924885208694096,0.1870471014492753,0.3154438405797101,0.333786231884058,0,0,0,1,0,0,0,0.5281402912910582,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r061_s14_edge_hybrid_route,0.44,0.58,0.19054791801845902,0.19054791801845902,7.064872987343099e-06,0.5931611938842458,0.0,0.0,0.0,-0.008300687800235306,0.024969597039383902,0.024864256059959244,0.024969597039383902,24969597.0393839,0.7899371901466824
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r110_s_stage_frontier_descent,r110_s_stage,110,id05,2024-10-02,s_stage,"S1,S2,S3,S4",frontier_descent,objective,4,2,0,2,-6.881665882017525e-06,2.1130672347876984e-06,4.381954499884339e-06,1.0,1.0,1.0,0.6274714285714286,-0.12683399999999995,0.9265714285714286,0.4392712571428572,0.47316624,0.1632971014492753,0.4372600522901713,0.0688405797101449,0.5849184782608695,0.0973731884057971,0,0,0,1,0,0,1,0.5487686979687453,basis_objective_a042,basis_objective_a042__r110_s_stage_frontier_descent,0.42,0.56,0.1612784473693865,0.22418730135537807,6.8213764342614286e-06,0.5851419104367773,0.0,0.0,0.0,-0.011797854766256232,0.030854246909070893,0.02976378923983251,0.030854246909070893,30854246.90907089,0.7839877918218529
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r144_full_state_hybrid_route,r144_full_state,144,id06,2024-08-14,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",hybrid_route,tail,7,5,1,5,-2.305975021420529e-05,4.3111117788553155e-06,2.9531546053219643e-06,0.8,0.8,0.6,0.7305314285714286,0.33859078857142855,0.29777142857142846,0.5053509302857143,0.7918176,0.7390353260869565,1.6436715135152145,0.7531702898550725,0.9685235507246376,0.3727355072463768,0,1,1,1,1,0,1,0.7029094243953713,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r144_full_state_hybrid_route,0.44,0.58,0.33322232789717315,0.6231349521588272,-4.5712919080122824e-06,0.7467805773210875,0.0003068955040308436,2.3175453048225994e-05,2.578335623477612e-05,-0.002015789369487927,0.01184858376184251,0.01179859731567364,0.011822800405607735,459.5260651053982,0.7709296225408713
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r135_s14_edge_conflict_invert,r135_s14_edge,135,id06,2024-07-14,s14_edge,"S1,S4",conflict_invert,conflict,2,1,0,1,-5.753592435333698e-06,3.4130603851588498e-06,3.012927113374373e-06,1.0,1.0,1.0,0.4581428571428572,-0.0597717714285714,0.9582857142857144,0.4147663657142857,0.4147663657142857,0.2406340579710145,0.7633637239331584,0.223731884057971,0.46875,0.2038043478260869,0,0,0,0,0,0,1,0.49675994164040593,basis_conflict_a052,basis_conflict_a052__r135_s14_edge_conflict_invert,0.52,0.68,0.2768576546782779,0.2768576546782779,5.992409481070165e-06,0.587544425646555,8.449210776034473e-05,4.224605388017237e-06,4.844585178863889e-06,-0.007628606547967779,0.019681039627614583,0.01959800985395831,0.01967619504243572,4061.6435169609504,0.7678277948630345
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r139_s14_edge_frontier_descent,r139_s14_edge,139,id06,2024-07-19,s14_edge,"S1,S4",frontier_descent,objective,2,1,0,1,-5.7206545627686445e-06,1.3198464862067797e-06,1.7105259544170406e-06,1.0,1.0,1.0,0.7513428571428572,-0.1207928,0.9548571428571428,0.4912916914285715,0.4912916914285715,0.1482699275362319,0.4946340711753823,0.0928442028985507,0.46875,0.0878623188405797,0,0,0,0,0,0,1,0.5488843700966111,basis_objective_a042,basis_objective_a042__r139_s14_edge_frontier_descent,0.42,0.56,0.16886012071637757,0.16886012071637757,6.8955942630703196e-06,0.5800263120020922,0.0,0.0,0.0,-0.014452590615752884,0.021810775864374667,0.02171876122401259,0.021810775864374667,21810775.864374664,0.7652484656508856
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r101_q3_quality_hybrid_route,r101_q3_quality,101,id04,2024-10-24,q3_quality,Q3,hybrid_route,tail,1,1,0,1,-1.019362426430239e-05,2.5452576784388207e-06,3.78801120876271e-06,1.0,1.0,1.0,0.8043142857142858,-0.0305217142857143,0.832,0.5417878857142857,0.5417878857142857,0.0520471014492753,0.2735173411081368,0.0172101449275362,0.1526268115942029,0.0588768115942028,0,0,1,0,0,0,0,0.6193958249028837,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r101_q3_quality_hybrid_route,0.44,0.58,0.22244766175883154,0.22244766175883154,8.02012692423899e-06,0.590704752540807,0.0,0.0,0.0,-0.01234051912700259,0.03215247617038978,0.0311337860173988,0.03215247617038978,32152476.170389775,0.7586773405787766
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r235_recovery_route_hybrid_route,r235_recovery_route,235,id10,2024-08-18,recovery_route,"Q1,S2,S3,S4",hybrid_route,tail,4,1,0,1,4.168392224342121e-07,1.0907762204554004e-06,2.323949581751941e-06,1.0,1.0,1.0,0.7378571428571429,0.0760081142857142,0.5062857142857143,0.2888579542857143,0.2888579542857143,0.3439990942028985,0.8718254094368288,0.2894021739130434,0.8054800724637681,0.072463768115942,0,0,0,0,0,0,1,0.3838778050143597,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r235_recovery_route_hybrid_route,0.44,0.58,0.12627667807887263,0.12627667807887263,5.1412270519973855e-06,0.6013494708830972,0.00105726822601223,0.00016618263852721926,0.00018007562067989203,-0.00565814823795955,0.010550062094643476,0.01050555381233969,0.010369986473963585,58.58651753243131,0.7402423467857562
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r149_q_subjective_counter_h088,r149_q_subjective,149,id06,2024-08-23,q_subjective,"Q1,Q2,Q3",counter_h088,q2_route,3,1,0,1,-1.9507960553236765e-06,9.604247754813942e-08,2.514600745932499e-07,1.0,1.0,1.0,0.7458,0.1976028571428571,0.1785714285714285,0.4611345714285715,0.4611345714285715,0.5739809782608696,1.3408751410450157,0.5946557971014492,0.5849184782608695,0.3473731884057971,0,0,1,0,0,0,0,0.7012170490039579,basis_q2_counter_a050,basis_q2_counter_a050__r149_q_subjective_counter_h088,0.5,0.62,0.04058649053170768,0.04058649053170768,0.00012123342009725613,0.579483224153265,0.0,0.0,0.0,-0.014452590615752884,0.021810775864374667,0.02171876122401259,0.021810775864374667,21810775.864374664,0.724385189753233
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r136_recovery_route_hybrid_route,r136_recovery_route,136,id06,2024-07-16,recovery_route,"Q1,S2,S3,S4",hybrid_route,tail,4,1,0,1,-5.1011263010149795e-06,8.753090039166919e-07,1.1960235498289831e-06,1.0,1.0,1.0,0.7216285714285715,-0.0966108571428571,0.8822857142857143,0.47814422857142863,0.47814422857142863,0.2375317028985507,0.6170179022939716,0.1476449275362318,0.8054800724637681,0.0634057971014492,0,0,0,0,0,0,1,0.5241024994791947,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r136_recovery_route_hybrid_route,0.44,0.58,0.16047608876560418,0.16047608876560418,6.1646550003333946e-06,0.5987321454173156,0.0017135423687429892,0.0003926445504511448,0.00041915482968548886,-0.0075628743963516805,0.013911512315966306,0.0138528228493189,0.013492357486280818,33.18935663236446,0.6977233374437827
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r003_nonq2_full_positive_bridge,r003_nonq2_full,3,id01,2024-08-03,nonq2_full,"Q1,Q3,S1,S2,S3,S4",positive_bridge,nonq2_full,6,2,0,2,-2.678149285492053e-06,4.238537419567345e-06,6.960569545380872e-06,1.0,1.0,1.0,0.6446428571428572,0.0712270285714285,0.887142857142857,0.5085532742857144,0.5840420685714287,0.3843161231884058,0.9960289200248214,0.365036231884058,0.8591485507246377,0.1064311594202898,0,0,1,1,0,0,0,0.49193903210039064,basis_nonq2_positive_a038,basis_nonq2_positive_a038__r003_nonq2_full_positive_bridge,0.38,0.52,0.2794485999249236,0.3952,9.089834414031462e-06,0.5333757465418772,0.0,0.0,0.0,-0.0005126750922865939,0.0615759519065833,0.05834929434955948,0.0615759519065833,61575951.906583294,0.6879433677519895
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r131_s23_core_frontier_descent,r131_s23_core,131,id06,2024-07-10,s23_core,"S2,S3",frontier_descent,objective,2,1,0,1,-2.1991813558125666e-06,1.7661944781367283e-06,9.245270860210086e-07,1.0,0.0,0.0,0.6817714285714287,0.5802987428571427,0.1785714285714285,0.4148430171428571,0.4148430171428571,0.6974547101449274,1.6369799594466568,0.7495471014492754,0.3154438405797101,0.873641304347826,0,0,0,0,1,0,0,0.4078432386387303,basis_objective_a042,basis_objective_a042__r131_s23_core_frontier_descent,0.42,0.56,0.09258549280262206,0.09258549280262206,4.133373817312848e-06,0.4982637814197228,0.0,0.0,0.0,-0.008412702534554334,0.024795997564962813,0.024691388961740873,0.024795997564962813,24795997.56496281,0.6560773060532401
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r226_q3_s_stage_conflict_invert,r226_q3_s_stage,226,id09,2024-09-21,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,1,0,1,-3.169715983272043e-06,1.2360478262749488e-07,4.736805842829403e-07,1.0,1.0,1.0,0.7840857142857143,0.1520126857142857,0.1785714285714285,0.7385512114285714,0.7385512114285714,0.3398731884057971,0.831910403823436,0.2685688405797101,0.8591485507246377,0.09375,0,0,0,0,0,0,1,0.664860243675112,basis_conflict_a052,basis_conflict_a052__r226_q3_s_stage_conflict_invert,0.52,0.68,0.04281545941099907,0.04281545941099907,0.0005148305873546506,0.5406056540039902,0.0,0.0,0.0,-0.0028602985801090375,0.023080693248360123,0.022983321119016287,0.023080693248360123,23080693.248360123,0.6554544044435981
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r234_full_state_counter_h088,r234_full_state,234,id10,2024-08-17,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",counter_h088,q2_route,7,1,0,1,-5.003979565322905e-06,1.194153960428856e-06,6.257588926241421e-07,1.0,0.0,0.0,0.5418857142857143,0.3966802285714285,0.5017142857142857,0.40091030857142856,0.40091030857142856,0.6529619565217392,1.4169900651742722,0.6367753623188406,0.9685235507246376,0.4461050724637681,0,0,1,0,0,0,0,0.4569109909271902,basis_q2_counter_a050,basis_q2_counter_a050__r234_full_state_counter_h088,0.5,0.62,0.07472393070520801,0.07472393070520801,3.599202339778251e-06,0.48775897316252054,0.0,0.0,0.0,-0.01153214303034729,0.02717783638168187,0.025901038166425593,0.02717783638168187,27177836.381681867,0.6544976730785387
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r238_s_stage_frontier_descent,r238_s_stage,238,id10,2024-08-23,s_stage,"S1,S2,S3,S4",frontier_descent,objective,4,1,0,1,-2.1499338907662695e-06,2.2889316443958175e-06,9.505276969763133e-07,1.0,0.0,0.0,0.6647142857142857,0.5368274285714285,0.1785714285714285,0.39398560000000005,0.39398560000000005,0.7075317028985508,1.6200832451473146,0.7436594202898551,0.7373188405797102,0.6086956521739131,0,0,0,0,1,0,0,0.38882522094286565,basis_objective_a042,basis_objective_a042__r238_s_stage_frontier_descent,0.42,0.56,0.0805194907972321,0.0805194907972321,3.77251434159349e-06,0.48704151873565904,0.0,0.0,0.0,-0.007624456959883975,0.021975195998276784,0.021882487707235637,0.021975195998276784,21975195.99827678,0.6446560552075341
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r071_q2_hardtail_counter_h088,r071_q2_hardtail,71,id03,2024-09-17,q2_hardtail,Q2,counter_h088,q2_route,1,1,1,1,-5.190680925337785e-06,1.2458110240650144e-06,9.974101401126763e-07,1.0,0.0,0.0,0.5547428571428572,0.3725613714285714,0.1785714285714285,0.4608041371428572,0.4608041371428572,0.358401268115942,0.9815337712788386,0.3568840579710144,0.0337409420289855,0.7309782608695652,0,1,0,0,0,0,0,0.49156694060568606,basis_q2_counter_a050,basis_q2_counter_a050__r071_q2_hardtail_counter_h088,0.5,0.62,0.12283563412385702,0.12283563412385702,5.0382734669902245e-06,0.4865619727484856,0.0,0.0,0.0,-0.007834427249658224,0.0295861427450357,0.026169095981172785,0.0295861427450357,29586142.745035697,0.6326592346596732
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r099_s14_edge_hybrid_route,r099_s14_edge,99,id04,2024-10-20,s14_edge,"S1,S4",hybrid_route,tail,2,1,0,1,-1.5010308323809172e-06,2.484556839454533e-06,1.7314954655016972e-06,1.0,0.0,0.0,0.6895714285714285,0.6262330285714286,0.1785714285714285,0.43332044571428574,0.43332044571428574,0.7642164855072464,1.900578250653906,0.8559782608695652,0.1526268115942029,0.9605978260869564,0,0,0,1,0,0,0,0.3772630499397903,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r099_s14_edge_hybrid_route,0.44,0.58,0.10900328765192768,0.10900328765192768,4.624457732438597e-06,0.4774981441948922,0.0,0.0,0.0,-0.0016259519519653454,0.014003995503377865,0.0139449158714616,0.014003995503377865,14003995.503377864,0.5961857934586584
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r087_q3_quality_frontier_descent,r087_q3_quality,87,id04,2024-09-20,q3_quality,Q3,frontier_descent,objective,1,1,0,1,-3.214082441020216e-05,2.04834111678418e-05,1.823946427238155e-05,1.0,0.0,0.0,0.6928285714285715,0.6056266285714283,0.1785714285714285,0.5456060914285715,0.5456060914285715,0.6659375000000001,1.5276844553938511,0.6992753623188406,0.0337409420289855,0.9664855072463768,0,0,1,0,0,0,0,0.5937304655724889,basis_objective_a042,basis_objective_a042__r087_q3_quality_frontier_descent,0.42,0.56,0.23520000000000002,0.23520000000000002,8.402093225459489e-06,0.4913881601011885,0.00014042185830612084,7.021092915306042e-06,7.978688097617502e-06,-0.012172842228379563,0.02313985708083797,0.022448102458455188,0.023131878392740356,2899.844805681922,0.5803260482738632
h102_anchor_shadow_bridge_c128_r42_amp090_e14d75a2,r237_q2_s3_tail_counter_h088,r237_q2_s3_tail,237,id10,2024-08-20,q2_s3_tail,"Q2,S3",counter_h088,q2_route,2,1,1,1,-4.534152639776193e-06,8.474372766853724e-07,8.741576814710018e-07,1.0,0.0,0.0,0.5253428571428571,0.2509358857142857,0.4937142857142857,0.40071816000000005,0.40071816000000005,0.4814266304347825,1.1724367019204158,0.4882246376811594,0.46875,0.603713768115942,0,1,0,0,0,0,0,0.4254251274858418,basis_q2_counter_a050,basis_q2_counter_a050__r237_q2_s3_tail_counter_h088,0.5,0.62,0.08291108582357982,0.08291108582357982,3.844036380651664e-06,0.44056177223162946,0.0,0.0,0.0,-0.004007794808448122,0.01839331842178125,0.0183157212473309,0.01839331842178125,18393318.42178125,0.5796789550333521
