candidate_id,family,raw_signal,select_signal,mode,top_k,scale,cap,project_bad_axis,file,basename,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,positive_move_rows,negative_move_rows,max_abs_prob_delta,selected_mobility_rank_mean,selected_low_energy_mean
orth_continuous_model_delta_s0.005_c0.005,continuous_orthogonalized,model_delta,consensus_score,continuous,250,0.005,0.005,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_model_delta_s0_005_c0_005_e9608f10.csv,submission_h008_orth_continuous_model_delta_s0_005_c0_005_e9608f10.csv,250,250,0.0014313804035301562,0.35784510088253907,0.005,171,79,0.0012498908696140232,0.5170747826086957,0.24238220617915437
orth_continuous_model_delta_s0.01_c0.006,continuous_orthogonalized,model_delta,consensus_score,continuous,250,0.01,0.006,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_model_delta_s0_01_c0_006_c05134a2.csv,submission_h008_orth_continuous_model_delta_s0_01_c0_006_c05134a2.csv,250,250,0.0025975057445019835,0.6493764361254959,0.006,171,79,0.0014999945181743968,0.5170747826086957,0.24238220617915437
orth_continuous_balanced_state_s0.005_c0.005,continuous_orthogonalized,balanced_state,consensus_score,continuous,250,0.005,0.005,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_balanced_state_s0_005_c0_005_6255eb0a.csv,submission_h008_orth_continuous_balanced_state_s0_005_c0_005_6255eb0a.csv,250,250,0.0029977893889659786,0.7494473472414946,0.005,134,116,0.0012499945749749886,0.5170747826086957,0.24238220617915437
orth_continuous_teacher_rank_centered_s0.005_c0.005,continuous_orthogonalized,teacher_rank_centered,consensus_score,continuous,250,0.005,0.005,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_teacher_rank_centered_s0_005_c0_005_44af9730.csv,submission_h008_orth_continuous_teacher_rank_centered_s0_005_c0_005_44af9730.csv,250,250,0.0031236731218812013,0.7809182804703003,0.005,127,123,0.0012499945749749886,0.5170747826086957,0.24238220617915437
orth_continuous_model_delta_s0.016_c0.008,continuous_orthogonalized,model_delta,consensus_score,continuous,250,0.016,0.008,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_model_delta_s0_016_c0_008_f38bf0f6.csv,submission_h008_orth_continuous_model_delta_s0_016_c0_008_f38bf0f6.csv,250,250,0.003943339993701974,0.9858349984254935,0.008,171,79,0.0019999944327821484,0.5170747826086957,0.24238220617915437
orth_continuous_balanced_state_s0.01_c0.006,continuous_orthogonalized,balanced_state,consensus_score,continuous,250,0.01,0.006,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_balanced_state_s0_01_c0_006_5d49dc0a.csv,submission_h008_orth_continuous_balanced_state_s0_01_c0_006_5d49dc0a.csv,250,250,0.004496559203808939,1.1241398009522348,0.006,134,116,0.0014999945181743968,0.5170747826086957,0.24238220617915437
orth_continuous_teacher_rank_centered_s0.01_c0.006,continuous_orthogonalized,teacher_rank_centered,consensus_score,continuous,250,0.01,0.006,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_teacher_rank_centered_s0_01_c0_006_9f4fee99.csv,submission_h008_orth_continuous_teacher_rank_centered_s0_01_c0_006_9f4fee99.csv,250,250,0.004601234362204772,1.1503085905511932,0.006,127,123,0.0014999945181743968,0.5170747826086957,0.24238220617915437
orth_continuous_balanced_state_s0.016_c0.008,continuous_orthogonalized,balanced_state,consensus_score,continuous,250,0.016,0.008,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_balanced_state_s0_016_c0_008_2120977e.csv,submission_h008_orth_continuous_balanced_state_s0_016_c0_008_2120977e.csv,250,250,0.006329795935562948,1.5824489838907372,0.008,134,116,0.0019999944327821484,0.5170747826086957,0.24238220617915437
orth_continuous_teacher_rank_centered_s0.016_c0.008,continuous_orthogonalized,teacher_rank_centered,consensus_score,continuous,250,0.016,0.008,True,hitl/h008_s4_mobility_translation_sweep/submission_h008_orth_continuous_teacher_rank_centered_s0_016_c0_008_e9fdc6c6.csv,submission_h008_orth_continuous_teacher_rank_centered_s0_016_c0_008_e9fdc6c6.csv,250,250,0.006467230400460734,1.6168076001151834,0.008,127,123,0.0019999944327821484,0.5170747826086957,0.24238220617915437
delta_pos_k20_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,20,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k20_s0_008_c0_004_a6c5c1e4.csv,submission_h008_delta_pos_k20_s0_008_c0_004_a6c5c1e4.csv,20,20,0.0001818919699560916,0.0454729924890229,0.004,20,0,0.0009530994028170703,0.8771304347826089,1.6313274869205063
delta_pos_k28_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,28,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k28_s0_008_c0_004_49b66d96.csv,submission_h008_delta_pos_k28_s0_008_c0_004_49b66d96.csv,28,28,0.0002582705427223605,0.06456763568059012,0.004,28,0,0.0009830972248697778,0.8528260869565217,1.5596731365903194
delta_pos_k20_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,20,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k20_s0_012_c0_005_d0104be6.csv,submission_h008_delta_pos_k20_s0_012_c0_005_d0104be6.csv,20,20,0.0002626868642530513,0.06567171606326283,0.005,20,0,0.0011912449929283309,0.8771304347826089,1.6313274869205063
delta_pos_k40_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,40,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k40_s0_008_c0_004_4dce1b36.csv,submission_h008_delta_pos_k40_s0_008_c0_004_4dce1b36.csv,40,40,0.00033963857272171675,0.08490964318042919,0.004,40,0,0.0009830972248697778,0.8490217391304349,1.465510916572914
delta_pos_k28_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,28,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k28_s0_012_c0_005_ac9b6901.csv,submission_h008_delta_pos_k28_s0_012_c0_005_ac9b6901.csv,28,28,0.0003696333907575582,0.09240834768938956,0.005,28,0,0.001248548477504774,0.8528260869565217,1.5596731365903194
delta_pos_k20_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,20,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k20_s0_018_c0_008_e246fd57.csv,submission_h008_delta_pos_k20_s0_018_c0_008_e246fd57.csv,20,20,0.00040003029637957697,0.10000757409489425,0.008,20,0,0.0019053699033061422,0.8771304347826089,1.6313274869205063
delta_pos_k40_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,40,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k40_s0_012_c0_005_c86b5951.csv,submission_h008_delta_pos_k40_s0_012_c0_005_c86b5951.csv,40,40,0.0004838873944580155,0.12097184861450389,0.005,40,0,0.001248548477504774,0.8490217391304349,1.465510916572914
delta_pos_k60_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,60,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k60_s0_008_c0_004_169ac783.csv,submission_h008_delta_pos_k60_s0_008_c0_004_169ac783.csv,59,59,0.0005325772556064827,0.13314431390162068,0.004,59,0,0.0009901637768765514,0.8338835666912306,1.171928432131707
delta_pos_k20_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,20,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k20_s0_026_c0_01_161be920.csv,submission_h008_delta_pos_k20_s0_026_c0_01_161be920.csv,20,20,0.0005591548725482778,0.13978871813706947,0.01,20,0,0.0023811922744235714,0.8771304347826089,1.6313274869205063
delta_pos_k28_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,28,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k28_s0_018_c0_008_1fd07627.csv,submission_h008_delta_pos_k28_s0_018_c0_008_1fd07627.csv,28,28,0.0005644500861363373,0.14111252153408432,0.008,28,0,0.001997572738901887,0.8528260869565217,1.5596731365903194
delta_pos_k80_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,80,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k80_s0_008_c0_004_d737fdb1.csv,submission_h008_delta_pos_k80_s0_008_c0_004_d737fdb1.csv,78,78,0.0006581366586819015,0.16453416467047538,0.004,78,0,0.0009901637768765514,0.8076477146042365,1.1483893339726654
delta_pos_k40_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,40,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k40_s0_018_c0_008_fd435586.csv,submission_h008_delta_pos_k40_s0_018_c0_008_fd435586.csv,40,40,0.0007418310916870233,0.18545777292175583,0.008,40,0,0.001997572738901887,0.8490217391304349,1.465510916572914
delta_pos_k60_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,60,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k60_s0_012_c0_005_b7982525.csv,submission_h008_delta_pos_k60_s0_012_c0_005_b7982525.csv,59,59,0.0007543456297610769,0.18858640744026922,0.005,59,0,0.0012498636854970102,0.8338835666912306,1.171928432131707
delta_pos_k28_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,28,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k28_s0_026_c0_01_98fcefc3.csv,submission_h008_delta_pos_k28_s0_026_c0_01_98fcefc3.csv,28,28,0.0007842056799747095,0.19605141999367737,0.01,28,0,0.0024968764966508683,0.8528260869565217,1.5596731365903194
delta_pos_k100_s0.008_c0.004,delta_pos,model_delta_pos,consensus_score,positive,100,0.008,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k100_s0_008_c0_004_e5edf6eb.csv,submission_h008_delta_pos_k100_s0_008_c0_004_e5edf6eb.csv,94,94,0.0008082587088723612,0.2020646772180903,0.004,94,0,0.0009901637768765514,0.7832932469935243,1.0012067536865727
delta_pos_k80_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,80,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k80_s0_012_c0_005_11f591ac.csv,submission_h008_delta_pos_k80_s0_012_c0_005_11f591ac.csv,78,78,0.0009422425733085717,0.2355606433271429,0.005,78,0,0.0012498636854970102,0.8076477146042365,1.1483893339726654
delta_pos_k40_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,40,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k40_s0_026_c0_01_1f6dc995.csv,submission_h008_delta_pos_k40_s0_026_c0_01_1f6dc995.csv,40,40,0.0010217560213257003,0.25543900533142505,0.01,40,0,0.0024968764966508683,0.8490217391304349,1.465510916572914
delta_pos_k60_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,60,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k60_s0_018_c0_008_6a6840a0.csv,submission_h008_delta_pos_k60_s0_018_c0_008_6a6840a0.csv,59,59,0.001159063329812963,0.2897658324532408,0.008,59,0,0.001999810397880164,0.8338835666912306,1.171928432131707
delta_pos_k100_s0.012_c0.005,delta_pos,model_delta_pos,consensus_score,positive,100,0.012,0.005,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k100_s0_012_c0_005_5f8d97e0.csv,submission_h008_delta_pos_k100_s0_012_c0_005_5f8d97e0.csv,94,94,0.0011622157616912028,0.2905539404228007,0.005,94,0,0.0012498636854970102,0.7832932469935243,1.0012067536865727
delta_pos_k80_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,80,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k80_s0_018_c0_008_61df895e.csv,submission_h008_delta_pos_k80_s0_018_c0_008_61df895e.csv,78,78,0.0014415719867326554,0.3603929966831639,0.008,78,0,0.001999810397880164,0.8076477146042365,1.1483893339726654
delta_pos_k60_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,60,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k60_s0_026_c0_01_7a891951.csv,submission_h008_delta_pos_k60_s0_026_c0_01_7a891951.csv,59,59,0.0015848433217049791,0.3962108304262448,0.01,59,0,0.002499784665571214,0.8338835666912306,1.171928432131707
delta_pos_k100_s0.018_c0.008,delta_pos,model_delta_pos,consensus_score,positive,100,0.018,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k100_s0_018_c0_008_66b9884c.csv,submission_h008_delta_pos_k100_s0_018_c0_008_66b9884c.csv,94,94,0.0017753465996611898,0.4438366499152974,0.008,94,0,0.001999810397880164,0.7832932469935243,1.0012067536865727
delta_pos_k80_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,80,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k80_s0_026_c0_01_4e901735.csv,submission_h008_delta_pos_k80_s0_026_c0_01_4e901735.csv,78,78,0.0019853257503788476,0.4963314375947119,0.01,78,0,0.002499784665571214,0.8076477146042365,1.1483893339726654
delta_pos_k100_s0.026_c0.01,delta_pos,model_delta_pos,consensus_score,positive,100,0.026,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_pos_k100_s0_026_c0_01_973d0d81.csv,submission_h008_delta_pos_k100_s0_026_c0_01_973d0d81.csv,94,94,0.0024519343252078817,0.6129835813019704,0.01,94,0,0.002499784665571214,0.7832932469935243,1.0012067536865727
delta_signed_k40_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,40,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k40_s0_006_c0_004_cc47b4bb.csv,submission_h008_delta_signed_k40_s0_006_c0_004_cc47b4bb.csv,40,40,0.0006052041541301851,0.15130103853254628,0.004,17,23,0.0009999948078449616,0.3203043478260869,-0.6627592245806146
delta_signed_k60_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,60,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_006_c0_004_99de218a.csv,submission_h008_delta_signed_k60_s0_006_c0_004_99de218a.csv,60,60,0.0008093620330405786,0.20234050826014466,0.004,33,27,0.0009999948078449616,0.40156521739130435,-0.4922767362961853
delta_signed_k40_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,40,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k40_s0_01_c0_006_3b2df9a1.csv,submission_h008_delta_signed_k40_s0_01_c0_006_3b2df9a1.csv,40,40,0.0009324453800112796,0.23311134500281988,0.006,17,23,0.0014999945181743968,0.3203043478260869,-0.6627592245806146
delta_signed_k80_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,80,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_006_c0_004_40af3892.csv,submission_h008_delta_signed_k80_s0_006_c0_004_40af3892.csv,80,80,0.000978567189830805,0.24464179745770123,0.004,47,33,0.0009999948078449616,0.43902173913043485,-0.3096916467578357
delta_signed_k100_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,100,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k100_s0_006_c0_004_0128af99.csv,submission_h008_delta_signed_k100_s0_006_c0_004_0128af99.csv,100,100,0.0011141141726500208,0.2785285431625052,0.004,61,39,0.0009999948078449616,0.46701739130434783,-0.1922128434544198
delta_signed_k60_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,60,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k60_s0_01_c0_006_903ad64d.csv,submission_h008_delta_signed_k60_s0_01_c0_006_903ad64d.csv,60,60,0.0012727085115286018,0.31817712788215047,0.006,33,27,0.0014999945181743968,0.40156521739130435,-0.4922767362961853
delta_signed_k40_s0.016_c0.008,delta_signed,model_delta,abs_delta_score,signed,40,0.016,0.008,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k40_s0_016_c0_008_83230adb.csv,submission_h008_delta_signed_k40_s0_016_c0_008_83230adb.csv,40,40,0.0012795143229941334,0.31987858074853337,0.008,17,23,0.0019999944327821484,0.3203043478260869,-0.6627592245806146
delta_signed_k130_s0.006_c0.004,delta_signed,model_delta,abs_delta_score,signed,130,0.006,0.004,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k130_s0_006_c0_004_8bdf3d0c.csv,submission_h008_delta_signed_k130_s0_006_c0_004_8bdf3d0c.csv,130,130,0.0012822427322509262,0.32056068306273156,0.004,84,46,0.0009999948078449616,0.4949498327759198,0.044560451857450174
delta_signed_k80_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,80,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k80_s0_01_c0_006_f0be6a61.csv,submission_h008_delta_signed_k80_s0_01_c0_006_f0be6a61.csv,80,80,0.001554717106178979,0.38867927654474477,0.006,47,33,0.0014999945181743968,0.43902173913043485,-0.3096916467578357
delta_signed_k40_s0.024_c0.01,delta_signed,model_delta,abs_delta_score,signed,40,0.024,0.01,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k40_s0_024_c0_01_0f5db0c4.csv,submission_h008_delta_signed_k40_s0_024_c0_01_0f5db0c4.csv,40,40,0.0016,0.4,0.01,17,23,0.0024999935516696326,0.3203043478260869,-0.6627592245806146
delta_signed_k100_s0.01_c0.006,delta_signed,model_delta,abs_delta_score,signed,100,0.01,0.006,False,hitl/h008_s4_mobility_translation_sweep/submission_h008_delta_signed_k100_s0_01_c0_006_8b0892ab.csv,submission_h008_delta_signed_k100_s0_01_c0_006_8b0892ab.csv,100,100,0.0017806287442110058,0.44515718605275145,0.006,61,39,0.0014999945181743968,0.46701739130434783,-0.1922128434544198
