variant,metric,actual,null_mean,null_std,z,p,actual_cells,actual_rows,actual_mean_action_health,actual_mean_bad_tangent_abs_rank,actual_anti_bad_rate,actual_source_family_mean,actual_bad_tangent_dot,actual_bad_tangent_cosine,actual_q_rate,actual_s_rate
anti_bad_tangent_sparse,bad_tangent_dot,-0.0770882676708157,-0.0810865067003627,0.03233200716259735,0.12366194927026644,0.496,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
anti_bad_tangent_sparse,bad_tangent_cosine,-0.040742984763338895,-0.042888491375743146,0.01710205786899873,0.12545312551499763,0.496,32.0,30.0,0.6413929745324111,0.8299235611510791,1.0,1.59375,-0.0770882676708157,-0.040742984763338895,0.28125,0.71875
bad_tangent_sign_flip,mean_action_health,0.6691241138811472,0.59501460615736,0.06772673828150351,1.0942429770610536,0.146,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
bad_tangent_sign_flip,mean_bad_tangent_abs_rank,0.7655875299760192,0.5446618705035972,0.16189114706978383,1.3646555940281968,0.076,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
bad_tangent_sign_flip,anti_bad_rate,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
bad_tangent_sign_flip,source_family_mean,3.3333333333333335,2.218666666666667,0.6526297794583461,1.7079616985786192,0.092,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
bad_tangent_sign_flip,bad_tangent_dot,-0.034707876827365855,-0.007546020862147589,0.012866209396295432,-2.1111001017159707,0.136,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
bad_tangent_sign_flip,bad_tangent_cosine,-0.08027589365167567,-0.01750440678662431,0.02988701585850833,-2.10029288846452,0.136,3.0,3.0,0.6691241138811472,0.7655875299760192,1.0,3.3333333333333335,-0.034707876827365855,-0.08027589365167567,0.0,1.0
orthogonal_private_residual,mean_action_health,0.6806223957944008,0.5942416174660695,0.023097195956644168,3.7398816068615828,0.0,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
orthogonal_private_residual,mean_bad_tangent_abs_rank,0.1479136690647482,0.5329525179856116,0.05202582120750647,-7.400918236064452,1.0,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
orthogonal_private_residual,anti_bad_rate,0.68,1.0,0.0,0.0,1.0,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
orthogonal_private_residual,source_family_mean,2.56,2.13528,0.18829932254190263,2.255557769760358,0.012,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
orthogonal_private_residual,bad_tangent_dot,-0.001438570199858507,-0.08722020475591173,0.04034205651860789,2.1263575027833848,1.0,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
orthogonal_private_residual,bad_tangent_cosine,-0.0009222486870641783,-0.055929857399634776,0.02586500450841311,2.126719471271628,1.0,25.0,21.0,0.6806223957944008,0.1479136690647482,0.68,2.56,-0.001438570199858507,-0.0009222486870641783,0.16,0.84
