split,target,mode,rep,null_delta
subject5,S1,subject,5,0.07949333940675163
subject5,S1,dateblock,0,0.10114916920020123
subject5,S1,dateblock,1,0.1488064804624094
subject5,S1,dateblock,2,0.20658485763635648
subject5,S1,dateblock,3,0.027350354080356687
subject5,S1,dateblock,4,0.075427879485928
subject5,S1,dateblock,5,0.01950899913803439
subject5,S2,row,0,0.041352861754645476
subject5,S2,row,1,0.025595970351414032
subject5,S2,row,2,0.02874042466639093
subject5,S2,row,3,0.048902246918034464
subject5,S2,row,4,0.009779646143582621
subject5,S2,row,5,0.029533868253118323
subject5,S2,subject,0,0.07795081642203594
subject5,S2,subject,1,0.10621912891559482
subject5,S2,subject,2,0.03306523564423891
subject5,S2,subject,3,0.04373743098997618
subject5,S2,subject,4,0.026881674517897025
subject5,S2,subject,5,0.058157240152879375
subject5,S2,dateblock,0,0.08251062203118031
subject5,S2,dateblock,1,0.07629605800663153
subject5,S2,dateblock,2,0.06492611084848277
subject5,S2,dateblock,3,0.0813184131909197
subject5,S2,dateblock,4,0.08138176613744141
subject5,S2,dateblock,5,0.04974328944999906
subject5,S3,row,0,0.027575215505265982
subject5,S3,row,1,0.029171267218246477
subject5,S3,row,2,0.045495302888195366
subject5,S3,row,3,0.050508391494567206
subject5,S3,row,4,0.05082558802881176
subject5,S3,row,5,0.039984602782011325
subject5,S3,subject,0,0.11945548085262281
subject5,S3,subject,1,0.022843350138401775
subject5,S3,subject,2,0.08545230914076618
subject5,S3,subject,3,0.017643683525608855
subject5,S3,subject,4,-0.008680028878253254
subject5,S3,subject,5,0.05817243375401504
subject5,S3,dateblock,0,0.02455102644589069
subject5,S3,dateblock,1,0.05397609258156477
subject5,S3,dateblock,2,0.04157884063786177
subject5,S3,dateblock,3,0.06335930528981304
subject5,S3,dateblock,4,0.03283702269790567
subject5,S3,dateblock,5,0.019985289315369803
subject5,S4,row,0,0.024445779433995507
subject5,S4,row,1,0.01653933799585705
subject5,S4,row,2,0.03342128767683339
subject5,S4,row,3,0.015155571023585224
subject5,S4,row,4,0.03199202875566953
subject5,S4,row,5,0.026651169581953682
subject5,S4,subject,0,0.03421506197016766
subject5,S4,subject,1,0.16195736015686635
subject5,S4,subject,2,0.06598075356711885
subject5,S4,subject,3,0.07044273845948834
subject5,S4,subject,4,0.05489747626445607
subject5,S4,subject,5,0.02198909084503864
subject5,S4,dateblock,0,0.0725159481725226
subject5,S4,dateblock,1,0.15006787261361643
subject5,S4,dateblock,2,0.0388681555853565
subject5,S4,dateblock,3,0.04653389390700058
subject5,S4,dateblock,4,0.034989490302963944
subject5,S4,dateblock,5,0.067580234736901
dateblock5,Q1,row,0,0.01740091566421642
dateblock5,Q1,row,1,0.03584432511573721
dateblock5,Q1,row,2,0.022024433416599654
dateblock5,Q1,row,3,0.04630355646409001
dateblock5,Q1,row,4,0.034536540771632596
dateblock5,Q1,row,5,0.021622686632358445
dateblock5,Q1,subject,0,0.01923302115747949
dateblock5,Q1,subject,1,0.026912738142126025
dateblock5,Q1,subject,2,0.023668624153776796
dateblock5,Q1,subject,3,0.023284890671739
dateblock5,Q1,subject,4,0.022004966371862
dateblock5,Q1,subject,5,0.028703036959907502
dateblock5,Q1,dateblock,0,0.0003307642311382031
dateblock5,Q1,dateblock,1,0.02103775305865052
dateblock5,Q1,dateblock,2,0.04191795640057994
dateblock5,Q1,dateblock,3,0.011935403377591247
dateblock5,Q1,dateblock,4,0.01076862138113277
dateblock5,Q1,dateblock,5,0.015125882812302094
dateblock5,Q2,row,0,0.030652378527516677
dateblock5,Q2,row,1,0.016812300769870503
dateblock5,Q2,row,2,0.02809917662007899
dateblock5,Q2,row,3,0.0351838416192044
dateblock5,Q2,row,4,0.02598426341733584
dateblock5,Q2,row,5,0.039673067105522763
dateblock5,Q2,subject,0,0.013674525467303966
dateblock5,Q2,subject,1,0.02769920700353279
dateblock5,Q2,subject,2,0.018194541188206514
dateblock5,Q2,subject,3,0.025281695851204766
dateblock5,Q2,subject,4,0.03415739013903529
dateblock5,Q2,subject,5,0.03132495296741167
dateblock5,Q2,dateblock,0,0.035482280683879264
dateblock5,Q2,dateblock,1,0.012577540457775926
dateblock5,Q2,dateblock,2,0.03751486651828129
dateblock5,Q2,dateblock,3,0.02345941692671938
dateblock5,Q2,dateblock,4,0.021256035263568673
dateblock5,Q2,dateblock,5,0.02424105720440972
dateblock5,Q3,row,0,0.023680525156258514
dateblock5,Q3,row,1,0.014698985926593355
dateblock5,Q3,row,2,0.028397523314146023
dateblock5,Q3,row,3,0.0286997693625628
dateblock5,Q3,row,4,0.024016218497316055
dateblock5,Q3,row,5,0.020217671605215704
dateblock5,Q3,subject,0,0.026283120921750558
dateblock5,Q3,subject,1,0.02560632590506906
dateblock5,Q3,subject,2,0.015999298588300404
dateblock5,Q3,subject,3,0.017952862150044546
dateblock5,Q3,subject,4,0.02946589088109164
dateblock5,Q3,subject,5,0.021029894637415558
dateblock5,Q3,dateblock,0,0.028961202889300264
dateblock5,Q3,dateblock,1,0.0030587412220548504
dateblock5,Q3,dateblock,2,0.04109435215308466
dateblock5,Q3,dateblock,3,0.04816826629761062
dateblock5,Q3,dateblock,4,-0.0019882976397698204
dateblock5,Q3,dateblock,5,-0.0028039317601175062
dateblock5,S1,row,0,0.030724565153853134
dateblock5,S1,row,1,0.030116604402355196
dateblock5,S1,row,2,0.030390929278401257
dateblock5,S1,row,3,0.04455670243187271
dateblock5,S1,row,4,0.02283556732583303
dateblock5,S1,row,5,0.007872877163980996
dateblock5,S1,subject,0,0.03799990057804481
dateblock5,S1,subject,1,0.027044238221387573
dateblock5,S1,subject,2,0.0347225936155825
dateblock5,S1,subject,3,0.02378393586463068
dateblock5,S1,subject,4,0.0021405441123479862
dateblock5,S1,subject,5,0.033852187080824714
