row,driver_target,driver_flat,driver_step,bridge_target,bridge_flat,bridge_step,actions,action_count,public_delta_estimate,driver_public_delta,bridge_public_delta,public_utility,old_route_energy,new_route_energy,route_energy_delta,same_direction,driver_h088_alignment,driver_stability,source_support,solver_score,bundle_source,selected_seed,s2hub_score,route_gain,_key,row_support_score,row_support_rank,row_support_min_rank,driver_matched_toxicity,bridge_matched_toxicity,driver_joint_safety,bridge_joint_safety,bundle_joint_safety,driver_hardworld_safe,bridge_hardworld_safe,bundle_hardworld_safe,driver_broad_safe,bridge_broad_safe,bundle_broad_safe,driver_hardworld_top_toxic,bridge_hardworld_top_toxic,driver_broad_top_toxic,bridge_broad_top_toxic,driver_conflict,bridge_conflict,mean_responsibility,mean_selection,mean_listener_benefit,mean_human_state_responsibility,route_quality_raw,route_quality_rank,support_route_safety_score,route_toxicity_fusion_score,action_kind,flat_idx,target,raw_step,amp,decoded_logit_move,variant
109,S2,767,-1.0944966519250197,S1,766,-0.155,,2,-0.0010592675802938,-0.0009753061365721,-8.39614437217489e-05,0.0010592675802938,0.7380815683072779,0.7194679064517594,-0.0186136618555184,True,0.5554285714285714,1.0,3,0.0021089651322733,s2hub_candidates,False,0.0022819219437496,0.0186136618555184,109|767|766|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7137891077636154,0.7137891077636154,0.7902665121668597,0.7137891077636154,0.7137891077636154,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.5047343941692604,0.6624797219003477,0.6188665132336018,0.6458485193621868,0.0186136618555184,0.6065573770491803,0.7385086489139969,0.7083066935564856,driver,767,S2,-1.0944966519250197,0.74,-0.8099275224245145,open_route_toxicity_fusion
109,S2,767,-1.0944966519250197,S1,766,-0.155,,2,-0.0010592675802938,-0.0009753061365721,-8.39614437217489e-05,0.0010592675802938,0.7380815683072779,0.7194679064517594,-0.0186136618555184,True,0.5554285714285714,1.0,3,0.0021089651322733,s2hub_candidates,False,0.0022819219437496,0.0186136618555184,109|767|766|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7137891077636154,0.7137891077636154,0.7902665121668597,0.7137891077636154,0.7137891077636154,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.5047343941692604,0.6624797219003477,0.6188665132336018,0.6458485193621868,0.0186136618555184,0.6065573770491803,0.7385086489139969,0.7083066935564856,bridge,766,S1,-0.155,0.74,-0.1147,open_route_toxicity_fusion
212,S2,1488,0.1778247033380565,S3,1489,0.62,,2,-3.941816926899559e-06,-3.941816926899559e-06,0.0,3.941816926899559e-06,0.6386124601753715,0.6273959889940921,-0.0112164711812794,True,0.5525714285714286,0.8846153846153846,8,0.0004802155504319,s2hub_candidates,False,0.0005192145174457,0.0112164711812794,212|1488|1489|1|1,0.6749570190872538,0.836,0.84,True,True,0.6987253765932793,0.7010428736964078,0.6987253765932793,0.7937427578215528,0.7010428736964078,0.7010428736964078,0.4356894553881807,0.4727694090382387,0.4356894553881807,False,False,False,False,False,False,0.518267328650118,0.6970451911935109,0.6411507479861911,0.43289293849658317,0.0112164711812794,0.45901639344262296,0.6784988371440742,0.610399038876599,driver,1488,S2,0.1778247033380565,0.7124347144549034,0.12668849174567617,open_route_toxicity_fusion
212,S2,1488,0.1778247033380565,S3,1489,0.62,,2,-3.941816926899559e-06,-3.941816926899559e-06,0.0,3.941816926899559e-06,0.6386124601753715,0.6273959889940921,-0.0112164711812794,True,0.5525714285714286,0.8846153846153846,8,0.0004802155504319,s2hub_candidates,False,0.0005192145174457,0.0112164711812794,212|1488|1489|1|1,0.6749570190872538,0.836,0.84,True,True,0.6987253765932793,0.7010428736964078,0.6987253765932793,0.7937427578215528,0.7010428736964078,0.7010428736964078,0.4356894553881807,0.4727694090382387,0.4356894553881807,False,False,False,False,False,False,0.518267328650118,0.6970451911935109,0.6411507479861911,0.43289293849658317,0.0112164711812794,0.45901639344262296,0.6784988371440742,0.610399038876599,bridge,1489,S3,0.62,0.7124347144549034,0.4417095229620401,open_route_toxicity_fusion
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.779277206434276,driver,139,S4,0.7392072684956029,0.8194112874434749,0.6057147795655564,s2_driver_safe_route_fusion
19,S4,139,0.7392072684956029,S2,137,0.62,,2,-0.0005274732028893,-0.0005274732028893,0.0,0.0005274732028893,0.6716795897053528,0.6391783889967105,-0.0325012007086422,True,0.6,1.0,9,0.0020346610023341,s2hub_selected,True,0.0023270522401805,0.0325012007086422,19|139|137|1|1,0.6927745460133418,0.856,0.876,True,True,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7311703360370799,0.6801853997682503,0.6801853997682503,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.6506590171434998,0.8837775202780996,0.7902560414269275,0.6835876993166287,0.0325012007086422,0.8633879781420765,0.8153959324458688,0.779277206434276,bridge,137,S2,0.62,0.8194112874434749,0.5080349982149545,s2_driver_safe_route_fusion
182,S3,1279,1.45,S2,1278,0.62,,2,-0.0058809670752207,-0.0059726593615131,9.169228629240468e-05,0.0058809670752207,0.7520618144445538,0.7400859875143342,-0.0119758269302195,True,0.0,1.0,6,0.0077822876138633,s2hub_selected,True,0.0088824326033768,0.0119758269302195,182|1279|1278|1|1,0.76433689929626,0.912,0.9,True,True,0.9264194669756662,0.9096176129779838,0.9096176129779838,0.9264194669756662,0.9264194669756662,0.9264194669756662,0.5469293163383546,0.522595596755504,0.522595596755504,False,False,False,False,False,False,0.7675501109837282,0.9652954808806489,0.8394505178365939,0.5825968109339409,0.0119758269302195,0.4808743169398907,0.7899572704934016,0.7509186971363357,driver,1279,S3,1.45,0.8184995659648109,1.1868243706489758,s2_driver_safe_route_fusion
182,S3,1279,1.45,S2,1278,0.62,,2,-0.0058809670752207,-0.0059726593615131,9.169228629240468e-05,0.0058809670752207,0.7520618144445538,0.7400859875143342,-0.0119758269302195,True,0.0,1.0,6,0.0077822876138633,s2hub_selected,True,0.0088824326033768,0.0119758269302195,182|1279|1278|1|1,0.76433689929626,0.912,0.9,True,True,0.9264194669756662,0.9096176129779838,0.9096176129779838,0.9264194669756662,0.9264194669756662,0.9264194669756662,0.5469293163383546,0.522595596755504,0.522595596755504,False,False,False,False,False,False,0.7675501109837282,0.9652954808806489,0.8394505178365939,0.5825968109339409,0.0119758269302195,0.4808743169398907,0.7899572704934016,0.7509186971363357,bridge,1278,S2,0.62,0.8184995659648109,0.5074697308981827,s2_driver_safe_route_fusion
109,S2,767,-1.0944966519250197,S4,769,-0.31,,2,-0.0009753061365721,-0.0009753061365721,-0.0,0.0009753061365721,0.7380815683072779,0.7120670213107225,-0.0260145469965553,True,0.5554285714285714,1.0,3,0.0023179366081776,s2hub_selected,True,0.0025098839444813,0.0260145469965553,109|767|769|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.3579521908355955,0.3402201622247972,0.3864815880322209,0.675626423690205,0.0260145469965553,0.7595628415300546,0.7368130082842635,0.7190796016855703,driver,767,S2,-1.0944966519250197,0.82,-0.8974872545785161,s2_driver_safe_route_fusion
109,S2,767,-1.0944966519250197,S4,769,-0.31,,2,-0.0009753061365721,-0.0009753061365721,-0.0,0.0009753061365721,0.7380815683072779,0.7120670213107225,-0.0260145469965553,True,0.5554285714285714,1.0,3,0.0023179366081776,s2hub_selected,True,0.0025098839444813,0.0260145469965553,109|767|769|-1|-1,0.8569819744299707,0.976,0.984,True,True,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7902665121668597,0.7821552723059096,0.7821552723059096,0.7995365005793743,0.7995365005793743,0.7995365005793743,False,False,False,False,False,False,0.3579521908355955,0.3402201622247972,0.3864815880322209,0.675626423690205,0.0260145469965553,0.7595628415300546,0.7368130082842635,0.7190796016855703,bridge,769,S4,-0.31,0.82,-0.2542,s2_driver_safe_route_fusion
