a_h154,b_h155,base_mean,base_max,base_pos,sem_mean,sem_max,sem_pos,h088_cos,changed,rows,decision
1.15,0.0,-0.003541782936069794,-0.0011170773138595028,10,-0.0028143587545135787,-0.00038340445904017886,10,0.001928507127192996,95,77,3.5780472796553204
0.25,1.3,-0.0034501411240256525,-0.001079184906284698,10,-0.003048543948974392,-0.000309378207560103,10,0.002441332267290803,159,117,3.511543924985091
0.75,0.5,-0.0033421280567019996,-0.001050944211709115,10,-0.002775087969972903,-0.00022670617834006046,10,0.002249499159732325,158,117,3.403303507458241
0.25,1.15,-0.003143176623529775,-0.000983878444647685,10,-0.002771283086031927,-0.00010660691652694078,10,0.0023978579067552444,158,117,3.204218551413695
0.5,0.75,-0.0030890006610746618,-0.0009696696403272867,10,-0.0026342663026333512,-7.83550704020659e-05,10,0.0023324412336407415,158,117,3.150101463964385
1.0,0.0,-0.0030837891421639477,-0.0009734483945564277,10,-0.0024540488606565386,-2.620166081850235e-05,10,0.0018496703692756568,95,77,3.120124438831599
0.25,1.0,-0.002833755405531237,-0.0008872893560378704,10,-0.0024898347115709105,-9.355606852837858e-05,10,0.0023956585026195416,158,117,2.8947993128788796
0.75,0.25,-0.0028285438866205233,-0.0008910681102670116,10,-0.002309617269594098,-4.140265894481602e-05,10,0.0020784791966031533,158,117,2.8898732553435806
0.0,1.3,-0.0026816505559873255,-0.0008371054346183924,10,-0.002439219245328809,-0.00011310734932087827,10,0.002381613640343208,150,114,2.7395071037110164
0.5,0.5,-0.0025732986310770993,-0.0008086878259775954,10,-0.0021651856785316575,-5.660365707112794e-05,10,0.002274733507755092,158,117,2.63445137092012
0.0,1.15,-0.002372229337988788,-0.0007405163460085778,10,-0.0021577708708677926,-0.00010005650132231536,10,0.002381613640343207,150,114,2.430085885712479
0.25,0.75,-0.002318053375533675,-0.0007263075416881795,10,-0.002020754087469217,-7.180465519744074e-05,10,0.002386998636985224,158,117,2.3791050767603883
0.75,0.0,-0.002312841856622961,-0.0007300862959173206,10,-0.0018405366454924041,-1.9651245613877414e-05,10,0.001849670369275657,95,77,2.3491771532906123
0.0,1.0,-0.0020628081199902506,-0.0006439272573987634,10,-0.001876322496406776,-8.700565332375229e-05,10,0.002381613640343207,150,114,2.1206646677139416
0.5,0.25,-0.002057596601079537,-0.0006477060116279046,10,-0.0016961050544299634,-3.4852243740189345e-05,10,0.00214998120307401,158,117,2.1188616179967705
0.25,0.5,-0.001802351345536112,-0.0005653257273384885,10,-0.001551673463367523,-5.005324186650257e-05,10,0.002361797446358838,158,117,1.8634257278343889
0.0,0.75,-0.0015471060899926877,-0.0004829454430490726,10,-0.001407241872305082,-6.525423999281467e-05,10,0.0023816136403432076,150,114,1.6049626377163788
0.5,0.0,-0.0015418945710819738,-0.00048672419727821385,10,-0.0012270244303282693,-1.3100830409251175e-05,10,0.0018496703692756568,95,77,1.5782298677496258
0.25,0.25,-0.0012866493155385497,-0.0004043439129887977,10,-0.0010825928392658288,-2.830182853556397e-05,10,0.002274733507755092,158,117,1.34780205538157
0.0,0.5,-0.0010314040599951253,-0.0003219636286993817,10,-0.000938161248203388,-4.3502826661876143e-05,10,0.002381613640343207,150,114,1.0892606077188165
0.25,0.0,-0.0007709472855409869,-0.00024336209863910692,10,-0.0006135122151641346,-6.550415204625588e-06,10,0.0018496703692756568,95,77,0.8072825822086388
0.0,0.25,-0.0005157020299975626,-0.00016098181434969085,10,-0.000469080624101694,-2.1751413330938072e-05,10,0.002381613640343207,150,114,0.5735585777212538
