split,subject_id,target,k,objective,peers,heldout_cells,kept_cells,score_col,mode,threshold,objective_score,peer_cells,peer_selected_cells,peer_gain_sum,peer_selected_gain_sum,peer_improvement_sum,peer_negative_improvement_subjects,peer_min_subject_improvement,rows,kept_rows
test,id01,S3,1,subject_balanced_listener,id06,,,wm_energy_rank_max,high_energy_listener,0.8805555555555555,1.099481471119524,6,2.0,-0.7368810449798461,0.3276004261396781,1.064481471119524,0.0,1.064481471119524,27.0,12.0
test,id01,S4,1,subject_balanced_listener,id06,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id02,Q1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,32.0,32.0
test,id02,Q2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20139850460205455,0.20139850460205455,0.0,0.0,0.0,32.0,32.0
test,id02,Q3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,32.0,32.0
test,id02,S1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,32.0,32.0
test,id02,S2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,4,4.0,1.1521478750380891,1.1521478750380891,0.0,0.0,0.0,32.0,32.0
test,id02,S3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,6,6.0,1.8043603745637378,1.8043603745637378,0.0,0.0,0.0,32.0,32.0
test,id02,S4,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,low_energy_listener,1.0360721766931447,1.0004730789332994,4,1.0,-0.7808199832527296,0.18465309568056987,0.9654730789332995,0.0,0.9654730789332995,32.0,20.0
test,id03,Q1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id03,Q2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20139850460205455,0.20139850460205455,0.0,0.0,0.0,21.0,21.0
test,id03,Q3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id03,S1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id03,S2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,4,4.0,1.1521478750380891,1.1521478750380891,0.0,0.0,0.0,21.0,21.0
test,id03,S3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,6,6.0,1.8043603745637378,1.8043603745637378,0.0,0.0,0.0,21.0,21.0
test,id03,S4,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,low_energy_listener,1.0360721766931447,1.0004730789332994,4,1.0,-0.7808199832527296,0.18465309568056987,0.9654730789332995,0.0,0.9654730789332995,21.0,13.0
test,id04,Q1,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id04,Q2,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,2,2.0,0.6979202343533005,0.6979202343533005,0.0,0.0,0.0,27.0,27.0
test,id04,Q3,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,3,3.0,1.2357867021353437,1.2357867021353437,0.0,0.0,0.0,27.0,27.0
test,id04,S1,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id04,S2,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id04,S3,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id04,S4,1,subject_balanced_listener,id09,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id05,Q1,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id05,Q2,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id05,Q3,1,subject_balanced_listener,id08,,,wm_energy_body_activity_sleep,low_energy_listener,0.7800722661332451,0.24210269034663953,3,2.0,0.0962708981810767,0.30337358852771623,0.20710269034663953,0.0,0.20710269034663953,21.0,4.0
test,id05,S1,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id05,S2,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id05,S3,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id05,S4,1,subject_balanced_listener,id08,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,21.0,21.0
test,id06,Q1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,24.0,24.0
test,id06,Q2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20139850460205455,0.20139850460205455,0.0,0.0,0.0,24.0,24.0
test,id06,Q3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,24.0,24.0
test,id06,S1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,24.0,24.0
test,id06,S2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,4,4.0,1.1521478750380891,1.1521478750380891,0.0,0.0,0.0,24.0,24.0
test,id06,S3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,6,6.0,1.8043603745637378,1.8043603745637378,0.0,0.0,0.0,24.0,24.0
test,id06,S4,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,low_energy_listener,1.0360721766931447,1.0004730789332994,4,1.0,-0.7808199832527296,0.18465309568056987,0.9654730789332995,0.0,0.9654730789332995,24.0,17.0
test,id07,Q1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,30.0,30.0
test,id07,Q2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20139850460205455,0.20139850460205455,0.0,0.0,0.0,30.0,30.0
test,id07,Q3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,30.0,30.0
test,id07,S1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,30.0,30.0
test,id07,S2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,4,4.0,1.1521478750380891,1.1521478750380891,0.0,0.0,0.0,30.0,30.0
test,id07,S3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,6,6.0,1.8043603745637378,1.8043603745637378,0.0,0.0,0.0,30.0,30.0
test,id07,S4,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,low_energy_listener,1.0360721766931447,1.0004730789332994,4,1.0,-0.7808199832527296,0.18465309568056987,0.9654730789332995,0.0,0.9654730789332995,30.0,19.0
test,id08,Q1,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id08,Q2,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id08,Q3,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id08,S1,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id08,S2,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id08,S3,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,-0.12200748448116266,-0.12200748448116266,0.0,0.0,0.0,19.0,19.0
test,id08,S4,1,subject_balanced_listener,id07,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,19.0,19.0
test,id09,Q1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id09,Q2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20139850460205455,0.20139850460205455,0.0,0.0,0.0,27.0,27.0
test,id09,Q3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id09,S1,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,27.0,27.0
test,id09,S2,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,4,4.0,1.1521478750380891,1.1521478750380891,0.0,0.0,0.0,27.0,27.0
test,id09,S3,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,all,0.0,0.0,6,6.0,1.8043603745637378,1.8043603745637378,0.0,0.0,0.0,27.0,27.0
test,id09,S4,1,subject_balanced_listener,id05,,,wm_energy_calendar_rhythm,low_energy_listener,1.0360721766931447,1.0004730789332994,4,1.0,-0.7808199832527296,0.18465309568056987,0.9654730789332995,0.0,0.9654730789332995,27.0,18.0
test,id10,Q1,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
test,id10,Q2,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
test,id10,Q3,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
test,id10,S1,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
test,id10,S2,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,1,1.0,0.20928907645291445,0.20928907645291445,0.0,0.0,0.0,22.0,22.0
test,id10,S3,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
test,id10,S4,1,subject_balanced_listener,id10,,,wm_energy_calendar_rhythm,all,0.0,0.0,0,,0.0,,0.0,,,22.0,22.0
