law_name,feature_view,model_name,policy,param,logloss,selected_rows,switched_cells,mean_realized_gain_all_rows,mean_realized_gain_selected_rows,positive_row_gain_rate,row_null_p_ge_observed,row_null_z,row_null_mean,row_null_std
episode_context__tree_depth3_leaf4,episode_context,tree_depth3_leaf4,topfrac,0.04,0.6437248131534212,4,28,-0.006727731002426384,-0.1766029388136926,0.0,0.998,-2.7878446815179445,-0.0007334971462679947,0.0021501319266088413
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,topfrac,0.04,0.6437248131534212,4,28,-0.006727731002426384,-0.1766029388136926,0.0,0.9965,-2.6498812402207315,-0.0008387832802870993,0.0022223440178204905
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,topfrac,0.04,0.6437248131534212,4,28,-0.006727731002426384,-0.1766029388136926,0.0,0.999,-2.9749229949768994,-0.0004250287714297241,0.0021186102099579225
episode_context__tree_depth3_leaf4,episode_context,tree_depth3_leaf4,topfrac,0.15,0.6438634033287799,16,112,-0.00686632117778501,-0.045060232729214125,0.3125,0.8548333333333333,-1.0324805338058107,-0.002698171059990584,0.004037025378512728
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,0.005,0.6438806259627803,37,259,-0.006883543811785395,-0.01953438108749909,0.43243243243243246,0.7216666666666667,-0.6012275628863464,-0.003703104052832335,0.005289910102731396
episode_context__tree_depth3_leaf4,episode_context,tree_depth3_leaf4,topfrac,0.1,0.6440673860176422,10,70,-0.00707030386664732,-0.07423819059979686,0.3,0.9536666666666667,-1.658067280043018,-0.0016534436570174223,0.0032669725015557626
episode_context__tree_depth3_leaf4,episode_context,tree_depth3_leaf4,topfrac,0.06,0.644082245518881,6,42,-0.007085163367886169,-0.12399035893800796,0.16666666666666666,0.9898333333333333,-2.309793950791546,-0.001037937074419376,0.0026180804098973687
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,topfrac,0.04,0.6443441822086419,4,28,-0.00734710005764705,-0.19286137651323507,0.0,0.9995,-3.1360813675620975,-0.0005683393159252722,0.0021615385403700154
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,topfrac,0.04,0.6443441822086419,4,28,-0.00734710005764705,-0.19286137651323507,0.0,0.9993333333333333,-3.023192684573486,-0.000726509171216925,0.0021899334833049722
full_row_context__tree_depth4_leaf3,full_row_context,tree_depth4_leaf3,topfrac,0.1,0.6445080587958453,10,70,-0.007510976644850466,-0.0788652547709299,0.3,0.9625,-1.704745708985671,-0.0017145455517016905,0.003400173446746888
