prior,prior_file,prior_oof_file,target_mask,targets,gamma,analogue_loss,prior_loss,analogue_delta,fold_max_residual,fold_converged_rate,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.5,0.5855751673564192,0.5617018718676353,0.02387329548878392,7.10682623861203e-11,1.0,0.027943995018980594,0.02112009239331447,0.016837228481325184,0.02855429659508746,0.01379135760904937,0.01950739748366126,0.039358700840067984
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.5,0.5857656584499923,0.5621435437929126,0.02362211465707964,7.14301950921481e-11,1.0,0.027870315824392367,0.021339263938613517,0.01579418909847774,0.028203563245277452,0.013648142418075992,0.019313154887592,0.03918617318712825
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.35,0.5861884522276557,0.5617018718676353,0.024486580360020382,1.0258460747536446e-13,1.0,0.02404795529245629,0.0,0.051464993264877634,0.0,0.0,0.025128450186306828,0.07076466377650203
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,s_only,"S1,S2,S3,S4",0.35,0.5865855601933694,0.5543323255811343,0.03225323461223506,9.886708118855836e-11,1.0,0.0,0.0,0.0,0.03582281688084393,0.028780449192955193,0.04954274108986545,0.11162663512198112
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.35,0.586602505186688,0.5621435437929126,0.024458961393775347,1.0599854327608682e-13,1.0,0.024283239444831795,0.0,0.05114900312214621,0.0,0.0,0.024929236841319757,0.07085125034812945
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.5,0.5887225248358046,0.5543323255811343,0.03439019925467024,3.717715024720292e-11,1.0,0.0338198220703021,0.0,0.049592311958707724,0.039592553696079336,0.022908324459249174,0.031029224365921038,0.06378915823243225
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.5,0.5894043487130659,0.5675309246898171,0.021873424023248766,4.8749559944383236e-11,1.0,0.027697872724540606,0.018534904113763906,0.008975316008580037,0.026817610239969647,0.013424377515507735,0.01871214163007917,0.03895174593030015
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,q_only,"Q1,Q2,Q3",0.5,0.5917208158783481,0.5543323255811343,0.037388490297213806,1.9364593262238827e-11,1.0,0.0639406082243067,0.07011005711051499,0.1276687667456743,0.0,1.1102230246251565e-16,0.0,0.0
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.5,0.5918910844413076,0.5617018718676353,0.03018921257367224,2.622713157762746e-11,1.0,0.030645376429859428,0.0,0.03670526287833875,0.03647742188742098,0.021356740781901418,0.02576603990402493,0.06037364613415974
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.5,0.5919830185055542,0.5621435437929126,0.02983947471264159,2.4295565559384613e-11,1.0,0.030551847619123773,0.0,0.035430663958475606,0.036056652021707325,0.021180271564925746,0.025524056603119294,0.06013283122113933
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.35,0.5940293590827875,0.5675309246898171,0.026498434392970394,1.4129808434404367e-12,1.0,0.028274108878747373,0.0,0.05253137084999682,0.0,-1.1102230246251565e-16,0.027143336499343973,0.07754022452270415
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.5,0.5960382955169082,0.5675309246898171,0.028507370827091094,4.065492387184122e-11,1.0,0.03086626089123723,0.0,0.026631820095218584,0.03520391227510611,0.021172180211228908,0.025395149135268746,0.06028227318157764
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.65,0.5998791776307337,0.5543323255811343,0.04554685204959941,2.7077340369885405e-11,1.0,0.05031852414746418,0.033369645571802664,0.049291476066476214,0.05598392553676729,0.02579505842221652,0.03801801450837128,0.06605132009409787
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.65,0.6007897304664042,0.5543323255811343,0.04645740488526984,7.961570291925568e-11,1.0,0.06208073089366828,0.0,0.09893757979262308,0.0,1.1102230246251565e-16,0.05011895399346422,0.11406456951713373
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.65,0.6008668437433251,0.5617018718676353,0.03916497187568979,7.10682623861203e-11,1.0,0.0458215907331454,0.032957494715071145,0.0327519704175373,0.05141295528542822,0.022176421856815343,0.030487495527552477,0.058546874594277765
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.65,0.6010114701262598,0.5621435437929126,0.038867926333347125,7.14301950921481e-11,1.0,0.04572086471916448,0.033248257921466684,0.031557622108499106,0.05099355701014813,0.021990437875683888,0.030238306049801933,0.05832643864866538
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.65,0.6045019596284316,0.5675309246898171,0.03697103493861442,4.8749559944383236e-11,1.0,0.04560225866637857,0.029981888601963935,0.023663532399355258,0.049935477743332846,0.021790451423909674,0.02956823907907069,0.05825539665628987
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.65,0.6074048074357653,0.5543323255811343,0.05307248185463098,3.717715024720292e-11,1.0,0.05477289464080337,0.0,0.07755056292533502,0.06610444888465833,0.034932219408653986,0.04607212261525273,0.09207512450771282
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.5,0.6083447139394327,0.5617018718676353,0.046642842071797364,1.0258460747536446e-13,1.0,0.05174214639907948,0.0,0.10529067862239505,0.0,0.0,0.04798133795876658,0.1214857315223401
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.5,0.6089114523777341,0.5621435437929126,0.046767908584821494,1.0599854327608682e-13,1.0,0.052193542083271094,0.0,0.1056100636431394,0.0,0.0,0.0478105072636561,0.12176124710368352
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,s_only,"S1,S2,S3,S4",0.5,0.6099830701372707,0.5543323255811343,0.05565074455613639,9.886708118855836e-11,1.0,0.0,0.0,0.0,0.07235221720232615,0.04976795466530659,0.08280010926061954,0.18463493076470228
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.65,0.6109941673847925,0.5617018718676353,0.04929229551715719,2.622713157762746e-11,1.0,0.05132331129293921,0.0,0.06584478540374228,0.06427606536068442,0.0335665700949237,0.04024064044424225,0.08979469602356871
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.65,0.6110232881990324,0.5621435437929126,0.04887974440611975,2.4295565559384613e-11,1.0,0.05119162201834615,0.0,0.06445806777083274,0.06376998682998386,0.03333310529008604,0.03992702675234172,0.08947840218124814
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,q_only,"Q1,Q2,Q3",0.65,0.6116669099284691,0.5543323255811343,0.05733458434733474,1.9364593262238827e-11,1.0,0.10621572107972865,0.10509870032804136,0.19002766902357315,0.0,1.1102230246251565e-16,0.0,0.0
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.65,0.6152173442132801,0.5675309246898171,0.047686419523462975,4.065492387184122e-11,1.0,0.051847059898209036,0.0,0.05476640940045463,0.06366941249903246,0.033497496068296106,0.039994290120368814,0.09003026867787911
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.8,0.6185866346630737,0.5543323255811343,0.06425430908193941,2.7077340369885405e-11,1.0,0.07341297479942865,0.04592660385019165,0.07015149552950883,0.08333295888266629,0.036337138771545874,0.05212855140088635,0.0884904403393475
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.8,0.6189096715153112,0.5543323255811343,0.06457734593417686,7.961570291925568e-11,1.0,0.09137052221685371,0.0,0.13864272353297113,0.0,1.1102230246251565e-16,0.06954235113015927,0.1524858246592533
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.5,0.6190394851390747,0.5675309246898171,0.05150856044925756,1.4129808434404367e-12,1.0,0.06000747085477387,0.0,0.11391400509781835,0.0,-1.1102230246251565e-16,0.05286007908911694,0.13377836810309396
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.8,0.6191670506987502,0.5617018718676353,0.057465178831114905,7.10682623861203e-11,1.0,0.06777527846966847,0.04692836136399703,0.052519357784164944,0.07914263475391625,0.032144354830824895,0.04339530727284213,0.08035095734239017
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.8,0.6192731310469981,0.5621435437929126,0.05712958725408546,7.14301950921481e-11,1.0,0.06764444934679159,0.04729129529412135,0.051217380405806034,0.07866275053678834,0.03191516774651515,0.043092104525743746,0.08008396292283249
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",0.8,0.6227487633416744,0.5675309246898171,0.055217838651857254,4.8749559944383236e-11,1.0,0.06758050381736191,0.043724894160866556,0.042679475448033743,0.07813065858721546,0.031764530414801095,0.042382234537206465,0.0802625735975151
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.8,0.6289696772460134,0.5543323255811343,0.07463735166487906,3.717715024720292e-11,1.0,0.08032593454717507,0.0,0.10943607833324043,0.09746715807932399,0.04876337776900086,0.06312612622666847,0.12334278669874488
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.8,0.6333379354539833,0.5621435437929126,0.07119439166107067,2.4295565559384613e-11,1.0,0.07652718712413342,0.0,0.09857095261303139,0.09680264424816126,0.047457755669018775,0.0565890488923706,0.12241315308077871
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.8,0.6333674876501231,0.5617018718676353,0.07166561578248776,2.622713157762746e-11,1.0,0.07670198191560029,0.0,0.10004283449975737,0.09738557569553907,0.04775000501648674,0.05697388599418851,0.12280502735584153
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,q_only,"Q1,Q2,Q3",0.8,0.6337373116051465,0.5543323255811343,0.07940498602401214,1.9364593262238827e-11,1.0,0.15486640396698925,0.1432894853081832,0.2576790128929123,0.0,1.1102230246251565e-16,0.0,0.0
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.65,0.6348210857300833,0.5617018718676353,0.07311921386244802,1.0258460747536446e-13,1.0,0.08723067307924681,0.0,0.16979756475156527,0.0,0.0,0.07537364107240851,0.17943261813391553
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.65,0.6355748709222269,0.5621435437929126,0.07343132712931422,1.0599854327608682e-13,1.0,0.0879151560825534,0.0,0.17089212638183038,0.0,0.0,0.075260584898595,0.17995142254222107
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,s_only,"S1,S2,S3,S4",0.65,0.6363613084624984,0.5543323255811343,0.08202898288136407,9.886708118855836e-11,1.0,0.0,0.0,0.0,0.11616376738215412,0.07417871718220947,0.12009242581026891,0.26376796979491535
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",0.8,0.6378322291151606,0.5675309246898171,0.07030130442534344,4.065492387184122e-11,1.0,0.07756139394966755,0.0,0.08859139608155964,0.09769737910009124,0.04784164487771714,0.05691594678711309,0.12350137018125529
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",1.0,0.6460174104590009,0.5543323255811343,0.09168508487786653,7.961570291925568e-11,1.0,0.13756055525776767,0.0,0.19753568168056657,0.0,1.1102230246251565e-16,0.09856840724064286,0.2081309499660885
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",1.0,0.6473175430972187,0.5543323255811343,0.09298521751608435,2.7077340369885405e-11,1.0,0.11033676877292542,0.06496446478481588,0.1020561543585492,0.1261095323726628,0.05249800898070622,0.07342361024164767,0.12150798310128297
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",1.0,0.6476938693824189,0.5617018718676353,0.08599199751478359,7.10682623861203e-11,1.0,0.10293968707912593,0.06852645069234786,0.08390909354373965,0.12276816092078591,0.04761332742179247,0.06324413216687075,0.11294313077882256
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",1.0,0.6477553475854003,0.5621435437929126,0.08561180379248767,7.14301950921481e-11,1.0,0.10276341498082087,0.0689850999972309,0.08250559995016049,0.12221703076669993,0.04732563892379549,0.06286973782963412,0.1126161040990723
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.65,0.6488954692882759,0.5675309246898171,0.08136454459845877,1.4129808434404367e-12,1.0,0.09998483871001851,0.0,0.1879796651570228,0.0,-1.1102230246251565e-16,0.0836333765334204,0.19795393178874954
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,all,"Q1,Q2,Q3,S1,S2,S3,S4",1.0,0.6513798608295249,0.5675309246898171,0.08384893613970779,4.8749559944383236e-11,1.0,0.10273781449257846,0.0652513162819659,0.07368842174914914,0.12261031428796354,0.047269801573313175,0.06213513292666806,0.11324975166631612
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,q_only,"Q1,Q2,Q3",0.35,0.6595012956046749,0.5617018718676353,0.09779942373703954,0.008108919985751084,0.8,0.1934702066467502,0.2008452230779484,0.29028053643457796,0.0,0.0,0.0,0.0
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,q_only,"Q1,Q2,Q3",0.35,0.6604141816946065,0.5621435437929126,0.09827063790169388,0.008152385784088195,0.8,0.1937385098363299,0.20166795827499473,0.29248799720053265,0.0,0.0,0.0,0.0
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",1.0,0.661597177612447,0.5543323255811343,0.10726485203131264,3.717715024720292e-11,1.0,0.12099287465252839,0.0,0.15694394895429364,0.14585327026323874,0.06962610927505941,0.08853771024312418,0.16890005083094328
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.8,0.6646118787912383,0.5617018718676353,0.10291000692360297,1.0258460747536446e-13,1.0,0.12910697794871073,0.0,0.2421980131915853,0.0,0.0,0.1062793788373747,0.24278567848754973
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,s_only,"S1,S2,S3,S4",0.8,0.66494817234293,0.5543323255811343,0.1106158467617957,9.886708118855836e-11,1.0,0.0,0.0,0.0,0.16565313435494627,0.10130320738541665,0.1605951681324992,0.3467594174597074
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.8,0.6655711094227437,0.5621435437929126,0.10342756562983102,1.0599854327608682e-13,1.0,0.13002931760037695,0.0,0.24413797685155236,0.0,0.0,0.10624192574774594,0.24358373920914222
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,q_only,"Q1,Q2,Q3",1.0,0.6656760242443102,0.5543323255811343,0.11134369866317584,1.9364593262238827e-11,1.0,0.22775850545616516,0.1978883247347778,0.3537590604512868,0.0,1.1102230246251565e-16,0.0,0.0
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",1.0,0.6673881157696161,0.5621435437929126,0.10524457197670345,2.4295565559384613e-11,1.0,0.1168894929238159,0.0,0.15038658850828557,0.14788643995085,0.06889671344283388,0.08172536461815127,0.1709274043929866
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",1.0,0.6674935556970831,0.5617018718676353,0.10579168382944781,2.622713157762746e-11,1.0,0.11712943152506383,0.0,0.1519551761811282,0.14856298733709372,0.06926976083675884,0.08220513668209117,0.17141929424399882
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,no_q2,"Q1,Q3,S1,S2,S3,S4",1.0,0.6724650463957557,0.5675309246898171,0.10493412170593852,4.065492387184122e-11,1.0,0.11843421730428882,0.0,0.14073134588987946,0.15035880427030313,0.06962805020737028,0.08246530448947786,0.17292112978025065
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,q_only,"Q1,Q2,Q3",0.35,0.6763875909252974,0.5675309246898171,0.10885666623548029,0.008711220428019417,0.8,0.24544704030910391,0.19741394470689522,0.31913567863236303,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",0.8,0.6823718405998969,0.5675309246898171,0.11484091591007972,1.4129808434404367e-12,1.0,0.14658702628621023,0.0,0.27105045113719317,0.0,-1.1102230246251565e-16,0.11826201986925755,0.26798691407789743
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,s_only,"S1,S2,S3,S4",0.35,0.6876581836409766,0.5617018718676353,0.12595631177334132,0.019920459471592267,0.8,0.0,0.0,0.0,0.19277706806530048,0.1846721261430716,0.2633018991031657,0.24094308910185247
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,s_only,"S1,S2,S3,S4",0.35,0.6882048974568427,0.5621435437929126,0.12606135366393,0.02082187889231696,0.8,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.1929511180368763,0.18460589459459253,0.2635443636143554,0.24132809940168565
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,final_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4_oof.npy,s_only,"S1,S2,S3,S4",0.35,0.6988569960247196,0.5675309246898171,0.13132607133490248,0.022527611908666645,0.8,0.0,0.0,-1.1102230246251565e-16,0.20827354447366664,0.18933885852835486,0.2704850816313672,0.2511850147109296
minimax,submission_public_minimaxens_r01_a6_h422045.csv,final_public_minimaxens_r01_a6_h422045_oof.npy,s_only,"S1,S2,S3,S4",1.0,0.7057479753827511,0.5543323255811343,0.15141564980161681,9.886708118855836e-11,1.0,0.0,0.0,0.0,0.23875823864136053,0.14084880641158126,0.21874727757059498,0.46155522598778165
public2d0,submission_public2dblend_budget0p0.csv,final_public2dblend_budget0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",1.0,0.7083451247506001,0.5617018718676353,0.14664325288296476,1.0258460747536446e-13,1.0,0.19311073198262863,0.0,0.34791490590016927,0.0,0.0,0.1518048255977399,0.33367230670021486
proj0,submission_projblend_cap0p0.csv,final_projblend_cap0p0_oof.npy,core_q1_q3_s3_s4,"Q1,Q3,S3,S4",1.0,0.7095933026877838,0.5621435437929126,0.1474497588948711,1.0599854327608682e-13,1.0,0.19435168647731238,0.0,0.35103121632129564,0.0,0.0,0.15188559405509672,0.33487981541039236
