calendar_context,train_span_zone,test_run_length,dominant_target,n_rows,mean_abs_move,max_abs_move,mean_mixmin_raw05_distance
gap_adjacent,inside_train_calendar,12,Q3,2,0.010251786316080553,0.02037710835187939,0.009524207034958515
gap_adjacent,after_train_end,1,Q1,3,0.010229722450520715,0.019004691888783065,0.010896922962635192
gap_adjacent,inside_train_calendar,1,S4,1,0.010166758697065483,0.018038782239910733,0.010203927765379693
after_train_run,after_train_end,5,Q1,1,0.010148805111503343,0.020078705882438874,0.011840541917586146
gap_adjacent,inside_train_calendar,3,Q3,3,0.010068821714150964,0.018370056358269715,0.009634706426969874
gap_adjacent,after_train_end,8,S3,2,0.010044720421960394,0.02047272810977907,0.010749512959158419
gap_adjacent,inside_train_calendar,5,S3,8,0.009933061116917432,0.02052369939482307,0.010514818193866512
gap_adjacent,inside_train_calendar,5,S2,2,0.009928033301291488,0.02050563377090059,0.010063740122619454
gap_adjacent,inside_train_calendar,1,S2,1,0.009805857002835082,0.01917484829794258,0.010821641001767099
between_train_runs,inside_train_calendar,2,Q3,2,0.009705541576893583,0.019449002649802094,0.00964702594601611
gap_adjacent,after_train_end,2,Q3,3,0.009658434409476118,0.020370875940454614,0.011221623857254616
gap_adjacent,after_train_end,4,S3,1,0.00963854486841106,0.019954762711504592,0.010390405115891637
between_train_runs,inside_train_calendar,6,S4,1,0.009614739048172252,0.02049971454763644,0.009657785535051613
between_train_runs,inside_train_calendar,1,S1,1,0.00957592671214085,0.01478206192872955,0.009949277238319756
gap_adjacent,inside_train_calendar,5,Q3,2,0.009571311007868157,0.020363657168829596,0.00971736259484902
after_train_run,after_train_end,3,S1,1,0.009490268074275745,0.01845861200015997,0.009079424347015317
gap_adjacent,after_train_end,8,S2,2,0.009407329781638572,0.018128500265595204,0.008443243536354783
gap_adjacent,after_train_end,3,S2,1,0.00931444339867187,0.01900993166351861,0.010969577514361586
gap_adjacent,inside_train_calendar,12,Q1,3,0.009234239718902507,0.0204785263053614,0.009985623806724533
gap_adjacent,after_train_end,5,S1,2,0.009228930272522128,0.0191049181279086,0.00964355913794774
between_train_runs,inside_train_calendar,15,Q3,4,0.009104851259500463,0.02042759227702673,0.00942242259601107
between_train_runs,inside_train_calendar,6,S3,5,0.009063687838215524,0.020517455062516732,0.009611337011652298
gap_adjacent,inside_train_calendar,12,S3,5,0.009051076172199909,0.01914450274468804,0.01019311390229179
gap_adjacent,inside_train_calendar,1,Q3,4,0.009023635304561444,0.01987317457275939,0.009600612456376393
gap_adjacent,after_train_end,6,S1,1,0.008998729436184785,0.01784654211957204,0.010030929302533067
gap_adjacent,after_train_end,6,Q2,1,0.008988179781007513,0.017672076515845847,0.009014596794807666
between_train_runs,inside_train_calendar,4,Q3,1,0.0089467084142992,0.016318194652855778,0.0086803332293055
gap_adjacent,inside_train_calendar,3,S3,6,0.008943236063706752,0.02051163514611709,0.009746287155157407
gap_adjacent,after_train_end,6,Q3,2,0.008849702849547579,0.020224209440697916,0.008647998689807772
after_train_run,after_train_end,5,S4,2,0.00878809533487351,0.0193493455962106,0.009325902451987016
gap_adjacent,inside_train_calendar,4,S2,3,0.008728048580353759,0.018760942671120606,0.008627854234310046
gap_adjacent,after_train_end,2,S1,1,0.008673123908885574,0.018595361907728147,0.00957126861787502
gap_adjacent,inside_train_calendar,1,Q1,3,0.008507908006117301,0.02049353365408363,0.010222948118726144
gap_adjacent,inside_train_calendar,3,Q2,3,0.008441176163038062,0.018725900191596034,0.009931997572104117
between_train_runs,inside_train_calendar,15,Q1,9,0.008421711924320875,0.0204438554455168,0.009146697387055588
between_train_runs,inside_train_calendar,8,S1,1,0.008420450673135271,0.01476858454241381,0.008245813975711698
gap_adjacent,inside_train_calendar,4,Q3,4,0.008328275939153314,0.019990128188569822,0.008611719533633511
gap_adjacent,after_train_end,8,Q3,7,0.008286511721127479,0.020496616463134887,0.009158591674228469
between_train_runs,inside_train_calendar,5,S3,3,0.008283891422169572,0.020459119791047864,0.009726249748278633
between_train_runs,inside_train_calendar,1,S3,2,0.00820554959677806,0.020000517749623636,0.009143107977415195
gap_adjacent,after_train_end,3,Q1,2,0.008131063950834445,0.020520141103277822,0.008763724714364481
after_train_run,after_train_end,3,Q3,1,0.007999500838019211,0.018162288337761234,0.008791281580431989
gap_adjacent,after_train_end,6,S2,1,0.007982184824220449,0.018332353050185435,0.007526087568276905
gap_adjacent,after_train_end,2,Q1,1,0.007931212396534073,0.019978868970149166,0.007054689436921042
gap_adjacent,inside_train_calendar,2,S2,5,0.007873958572408071,0.02024511471686974,0.009454427272730062
between_train_runs,inside_train_calendar,4,Q1,1,0.007847999519663985,0.01532257000538248,0.007653924039220601
gap_adjacent,after_train_end,8,Q2,2,0.007847014561497239,0.016312581332588394,0.009347194708066211
gap_adjacent,after_train_end,4,Q3,5,0.00783497940281168,0.02044406846646396,0.008474815250997157
gap_adjacent,after_train_end,9,S2,6,0.007818816825550622,0.02028337290289528,0.00917641939776949
between_train_runs,inside_train_calendar,4,Q2,1,0.007735156373338722,0.017630898484563007,0.008075759788056342
gap_adjacent,after_train_end,9,Q3,2,0.007676081888137822,0.018357233924711225,0.007579755844316083
gap_adjacent,inside_train_calendar,12,S2,2,0.007655728357439993,0.014538568672439856,0.008688330573743049
gap_adjacent,after_train_end,5,Q3,3,0.007598947270695349,0.02037597361938126,0.008499470551164673
gap_adjacent,after_train_end,6,Q1,1,0.007542600856446051,0.020145221183860196,0.008357886971807029
between_train_runs,inside_train_calendar,8,Q1,2,0.007482845501010308,0.020313317624279292,0.007975475852543018
gap_adjacent,inside_train_calendar,2,Q3,1,0.007388350925146574,0.019920565937509016,0.008512776716335404
gap_adjacent,after_train_end,5,Q1,3,0.007260313311879943,0.020519316320255776,0.007702758020591164
between_train_runs,inside_train_calendar,4,S1,1,0.007247317972857088,0.020220460371291438,0.006969567626519136
between_train_runs,inside_train_calendar,6,S1,1,0.007206927573941186,0.017092206594178927,0.008259067942890561
gap_adjacent,inside_train_calendar,4,S1,1,0.007184138671354875,0.019838898355604095,0.008525007512118932
gap_adjacent,after_train_end,2,S2,2,0.006960060601771819,0.02048991730165839,0.007186256149785747
gap_adjacent,after_train_end,3,Q3,1,0.006935250143579684,0.015570189892612718,0.009053507451870819
between_train_runs,inside_train_calendar,16,Q1,7,0.006898362596401287,0.01966894855679413,0.007623763549931084
between_train_runs,inside_train_calendar,3,Q2,1,0.006793433663667018,0.013922084664954149,0.007515519626526571
gap_adjacent,inside_train_calendar,3,S2,1,0.006732669790837246,0.012828945606753406,0.007507765570253773
after_train_run,after_train_end,6,Q3,6,0.00672646346847683,0.01721892630947719,0.006877192757724626
gap_adjacent,inside_train_calendar,4,Q2,2,0.006551483568381339,0.01843283646011401,0.007694145396060925
gap_adjacent,after_train_end,2,S3,1,0.0064245679856562155,0.01974148840445772,0.006941310216397299
gap_adjacent,after_train_end,1,S3,1,0.006422536631933227,0.020053386460655853,0.008136320658585331
between_train_runs,inside_train_calendar,16,S3,1,0.006417127132519946,0.014038396184783863,0.008542968503891872
gap_adjacent,inside_train_calendar,4,S3,5,0.006185617063533671,0.020192866328373693,0.00760689078922938
gap_adjacent,inside_train_calendar,4,Q1,5,0.006073893169419963,0.018235369156510695,0.006527899518634797
between_train_runs,inside_train_calendar,16,Q3,8,0.00593887409644334,0.020067895668059,0.00656246855845233
gap_adjacent,after_train_end,5,Q2,1,0.005649076696791869,0.013891663184655734,0.0058528952935531665
gap_adjacent,after_train_end,9,Q2,1,0.005583956384058524,0.012705342204351822,0.007195295050387621
gap_adjacent,after_train_end,4,Q2,1,0.005467939195598214,0.017889953325456842,0.006891920771162899
between_train_runs,inside_train_calendar,8,Q3,3,0.005078150629843916,0.017384348796138482,0.00530172411744554
between_train_runs,inside_train_calendar,8,Q2,2,0.004818828745959345,0.01574712265984468,0.005010575274115797
between_train_runs,inside_train_calendar,15,S1,1,0.004090805930927794,0.011805422496947049,0.004740545279014796
gap_adjacent,after_train_end,8,Q1,2,0.003962032747053764,0.018900188191951828,0.005015761046398242
between_train_runs,inside_train_calendar,5,Q1,1,0.003638499972801309,0.01326667502090878,0.0049145890315596685
gap_adjacent,inside_train_calendar,1,Q2,1,0.003193004868481492,0.008282055066089034,0.0045264934229224795
between_train_runs,inside_train_calendar,6,S2,1,0.003182053590475256,0.010629677796451742,0.0049891448514777425
between_train_runs,inside_train_calendar,5,Q3,1,0.0016690755523247455,0.011683528866273218,0.0024742842722174246
