source_scope,view,model,split,target_kind,tail_q,policy,tail_auc,tail_logloss,tail_brier,corr_benefit,active_full_delta,active_policy_delta,loss_vs_full,q3_policy_delta,q3_full_delta,s4_policy_delta,s4_full_delta,subject_delta,subject_win_rate,dropped_cells,dropped_q3,dropped_s4,dropped_mean_benefit,dropped_bad_prob_mean,mean_amp_active,stress_promote
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top40,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004247118394892779,-0.00040099403673632406,-0.005064101168246404,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004252481702583899,0.7,40,40,0,-0.00902236582656729,0.6743126844665251,0.9555555555555556,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.1,drop_q3_top13,0.9006438555264267,0.21653472012745398,0.0697970249301625,-0.11127583275087867,-0.0038461243581564553,-0.0042451009386262895,-0.0003989765804698342,-0.005060066255713647,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004162250745987683,0.7,13,13,0,-0.02762145557099642,0.5218317977024507,0.9855555555555555,True
all3,movement,hgb_shallow,row5,contrast,0.1,drop_global_p15,0.5885073418892358,0.6964610543744182,0.25152757013554516,0.02201365070974386,-0.0038461243581564553,-0.004240003173751505,-0.0003938788155950501,-0.004599021959835858,-0.004262113094773756,-0.0038809843876675965,-0.0034301356215395984,-0.004228772552800164,0.8,135,54,81,-0.0026258587706337027,0.8476095420686891,0.85,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_p05,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004237841680672094,-0.00039171732251563895,-0.005045547739804923,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004226001933267487,0.7,22,22,0,-0.016024799557458138,0.699135186065913,0.9755555555555555,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_each_top21,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004228948824591905,-0.00038282446643544965,-0.005008218194950453,-0.004262113094773756,-0.0034496794542335785,-0.0034301356215395984,-0.0041804742552131405,0.7,42,21,21,-0.008203381423614728,0.7056031263775906,0.9533333333333334,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top21,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004227372345699032,-0.0003812479875425767,-0.00502460906985891,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004217736668815064,0.7,21,21,0,-0.016339199466110055,0.6946844203923211,0.9766666666666667,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top21,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004219176908244804,-0.0003730525500883486,-0.005008218194950453,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004211266586614382,0.7,21,21,0,-0.01598796643235889,0.7005538402651987,0.9766666666666667,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_global_top50,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004215817637917119,-0.00036969327976066335,-0.00502460906985891,-0.004262113094773756,-0.0034070262059756606,-0.0034301356215395984,-0.004121932555444396,0.6,50,21,29,-0.006654479035689925,0.6984118541533252,0.9444444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_global_top75,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.00421150106082846,-0.0003653767026720045,-0.005044633574983526,-0.004262113094773756,-0.003378368546673838,-0.0034301356215395984,-0.004182378523814756,0.7,75,38,37,-0.004384520432064443,0.6831592923002,0.9166666666666666,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.1,drop_global_top10,0.9006438555264267,0.21653472012745398,0.0697970249301625,-0.11127583275087867,-0.0038461243581564553,-0.004204767911415996,-0.0003586435532595411,-0.005240007306093086,-0.004262113094773756,-0.0031695285167393505,-0.0034301356215395984,-0.004254324471957394,0.7,10,4,6,-0.03227791979335605,0.5697496324308222,0.9888888888888889,True
all3,movement,hgb_shallow,row5,contrast,0.1,drop_global_top100,0.5885073418892358,0.6964610543744182,0.25152757013554516,0.02201365070974386,-0.0038461243581564553,-0.004202481294804161,-0.00035635693664770596,-0.004554327632157129,-0.004262113094773756,-0.0038506349574515264,-0.0034301356215395984,-0.004199730170638483,0.7,100,41,59,-0.003207212429829966,0.8616819687186934,0.8888888888888888,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_p05,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.0042012652765168745,-0.0003551409183604193,-0.004335823375384074,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004223985099272865,0.7,45,22,23,-0.007102818367209016,0.8041608952496566,0.95,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_p05,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.0042012652765168745,-0.0003551409183604193,-0.004335823375384074,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004223985099272865,0.7,45,22,23,-0.007102818367209016,0.8037403965682144,0.95,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_each_top10,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004198302800982101,-0.0003521784428256458,-0.00487527897693163,-0.004262113094773756,-0.0035213266250331277,-0.0034301356215395984,-0.004184261207386653,0.7,20,10,10,-0.015848029927154256,0.7243000958179222,0.9777777777777777,True
all3,latent_no_targetid,hgb_shallow,subject5,risk,0.1,drop_each_top25,0.9018731577446041,0.2182044705024732,0.0703054423764258,-0.10020260281478248,-0.0038461243581564553,-0.004196610766403319,-0.00035048640824686395,-0.00480499579307514,-0.004262113094773756,-0.003588225739731832,-0.0034301356215395984,-0.0041979605780682275,0.7,50,25,25,-0.0063087553484433186,0.4561288056959445,0.9444444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top25,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004193624211241254,-0.00034749985308479836,-0.004957112800943242,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004186097792760834,0.7,25,25,0,-0.01250999471105005,0.6895488507451604,0.9722222222222222,True
all3,movement,lr_l2_c0p10,row5,contrast,0.1,drop_global_p10,0.5111573592322812,0.7112630231406719,0.2585435037963926,0.04062306988988428,-0.0038461243581564553,-0.0041842180778025595,-0.00033809371964610424,-0.004683575426444486,-0.004262113094773756,-0.003684860729161077,-0.0034301356215395984,-0.004237693339207193,0.7,90,33,57,-0.003380937196460821,0.7676554477446716,0.9,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_global_p05,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004183883357130713,-0.000337758998974258,-0.00498699242697398,-0.004262113094773756,-0.003380774287287669,-0.0034301356215395984,-0.004088325338458265,0.6,45,19,26,-0.006755179979483758,0.7017059354520596,0.95,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_top25,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004181554437552637,-0.00033543007939618175,-0.004262113094773756,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004263962918623176,0.7,25,0,25,-0.01207548285826272,0.8034011639847766,0.9722222222222222,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_top25,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004181554437552637,-0.00033543007939618175,-0.004262113094773756,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004263962918623176,0.7,25,0,25,-0.01207548285826272,0.8032796177945098,0.9722222222222222,True
q3s4,movement,hgb_shallow,row5,risk,0.2,drop_q3_top13,0.8664799253034547,0.33771821118371204,0.11518884620204049,-0.10338723015322139,-0.0038461243581564553,-0.004179978729441314,-0.0003338543712848585,-0.004929821837343362,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.00423395824637417,0.7,13,13,0,-0.02311299493510192,0.6007297625685235,0.9855555555555555,True
q3s4,latent_no_targetid,hgb_shallow,row5,contrast,0.1,drop_s4_top50,0.4520175742860446,0.7764572337446192,0.28684154383731875,-0.03700608550748918,-0.0038461243581564553,-0.004178466975763073,-0.000332342617606618,-0.004262113094773756,-0.004262113094773756,-0.004094820856752612,-0.0034301356215395984,-0.004190752461727875,0.6,50,0,50,-0.005982167116918056,0.7886928333408055,0.9444444444444444,True
q3s4,latent_with_targetid,hgb_shallow,row5,contrast,0.1,drop_s4_top50,0.4520175742860446,0.7764572337446192,0.28684154383731875,-0.03700608550748918,-0.0038461243581564553,-0.004178466975763073,-0.000332342617606618,-0.004262113094773756,-0.004262113094773756,-0.004094820856752612,-0.0034301356215395984,-0.004190752461727875,0.6,50,0,50,-0.005982167116918056,0.7886928333408055,0.9444444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.1,drop_q3_top10,0.9006438555264267,0.21653472012745398,0.0697970249301625,-0.11127583275087867,-0.0038461243581564553,-0.004171856704652699,-0.0003257323464962436,-0.004913577787766243,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.00408430092982035,0.8,10,10,0,-0.029315911184665044,0.5381280679886308,0.9888888888888889,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_each_top25,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004168943544115344,-0.00032281918595888914,-0.004957112800943242,-0.004262113094773756,-0.003380774287287669,-0.0034301356215395984,-0.004072394643921185,0.6,50,25,25,-0.005810745347258295,0.6977923852987048,0.9444444444444444,True
all3,latent_no_targetid,hgb_shallow,row5,risk,0.1,drop_q3_top13,0.885504523590625,0.2303553727440774,0.07408424507356766,-0.14897047819103118,-0.0038461243581564553,-0.00416685000361916,-0.000320725645462705,-0.004903564385699388,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004113394637417167,0.8,13,13,0,-0.02220408314742213,0.5404117174996972,0.9855555555555555,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_top21,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004164410136211716,-0.0003182857780552606,-0.004262113094773756,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004250186247902787,0.7,21,0,21,-0.013640819059510825,0.8127603949314716,0.9766666666666667,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_p05,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004164410136211716,-0.0003182857780552606,-0.004262113094773756,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004250186247902787,0.7,22,0,22,-0.013020781829533055,0.8103981817533192,0.9755555555555555,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_top21,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004164410136211716,-0.0003182857780552606,-0.004262113094773756,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004250186247902787,0.7,21,0,21,-0.013640819059510825,0.8127766980291747,0.9766666666666667,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_s4_p05,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004164410136211716,-0.0003182857780552606,-0.004262113094773756,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004250186247902787,0.7,22,0,22,-0.013020781829533055,0.8104134916965048,0.9755555555555555,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_p05,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004158603323650256,-0.00031247896549380094,-0.004887071025761247,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004153265710644316,0.7,22,22,0,-0.01278323040656365,0.6933728265291497,0.9755555555555555,True
q3s4,movement,hgb_shallow,row5,contrast,0.1,drop_s4_p15,0.5893744941611746,0.699410948606916,0.2522285331305652,-0.010932422536560875,-0.0038461243581564553,-0.0041560443839110395,-0.0003099200257545842,-0.004262113094773756,-0.004262113094773756,-0.004049975673048656,-0.0034301356215395984,-0.00421491057030704,0.7,68,0,68,-0.004101882693810101,0.8191510860184802,0.9244444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top13,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.004154062961202243,-0.0003079386030457876,-0.004877990300865442,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004131253262476531,0.7,13,13,0,-0.021318826364710795,0.7079412980507485,0.9855555555555555,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top10,0.5272167376143465,0.7117725055643551,0.25840507819339487,-0.0007600688979560676,-0.0038461243581564553,-0.0041527072992353364,-0.0003065829410788812,-0.00487527897693163,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004141514815367631,0.7,10,10,0,-0.027592464697102075,0.7153269198140579,0.9888888888888889,True
all3,movement,lr_l2_c0p10,row5,contrast,0.1,drop_global_top75,0.5111573592322812,0.7112630231406719,0.2585435037963926,0.04062306988988428,-0.0038461243581564553,-0.004149725032914775,-0.00030360067475831976,-0.0046798053973649,-0.004262113094773756,-0.003619644668465094,-0.0034301356215395984,-0.004197398580712286,0.7,75,27,48,-0.0036432080970990968,0.7758785149723104,0.9166666666666666,True
all3,movement,hgb_shallow,row5,risk,0.2,drop_q3_p05,0.8697893135748922,0.3374544822900137,0.11480262007364347,-0.09943207674988222,-0.0038461243581564553,-0.004149370616326142,-0.0003032462581696871,-0.004868605611112908,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004192990845304534,0.8,22,22,0,-0.012405528743302073,0.5313407012920396,0.9755555555555555,True
q3s4,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_q3_top13,0.499396208187417,0.7475821839274188,0.2750155720798244,-0.014005948234689035,-0.0038461243581564553,-0.004144914512120179,-0.0002987901539637239,-0.004859693402701093,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004080089478667326,0.6,13,13,0,-0.020685472197483453,0.8239141100759936,0.9855555555555555,True
q3s4,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_q3_top13,0.499396208187417,0.7475821839274188,0.2750155720798244,-0.014005948234689035,-0.0038461243581564553,-0.004144914512120179,-0.0002987901539637239,-0.004859693402701093,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004080089478667326,0.6,13,13,0,-0.020685472197483453,0.8239141100759936,0.9855555555555555,True
all3,movement,hgb_shallow,row5,contrast,0.1,drop_global_p10,0.5885073418892358,0.6964610543744182,0.25152757013554516,0.02201365070974386,-0.0038461243581564553,-0.004143955477834416,-0.0002978311196779604,-0.00465094297212143,-0.004262113094773756,-0.0036369679835479563,-0.0034301356215395984,-0.004132649805490563,0.7,90,38,52,-0.002978311196780048,0.8662191459865178,0.9,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.1,drop_each_top13,0.9006438555264267,0.21653472012745398,0.0697970249301625,-0.11127583275087867,-0.0038461243581564553,-0.004140228133871049,-0.0002941037757145937,-0.005060066255713647,-0.004262113094773756,-0.0032203900120286733,-0.0034301356215395984,-0.004160331697078223,0.7,26,13,13,-0.010180515313194829,0.5216241500622508,0.9711111111111111,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.2,drop_q3_top10,0.8567650578076534,0.3451216658389766,0.11822131546008743,-0.09811136362625653,-0.0038461243581564553,-0.0041386926239692645,-0.00029256826581280926,-0.004847249626399597,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004102000166506947,0.7,10,10,0,-0.026331143923158634,0.5822059122640725,0.9888888888888889,True
all3,latent_with_targetid,hgb_shallow,subject5,risk,0.2,drop_each_top5,0.8567650578076534,0.3451216658389766,0.11822131546008743,-0.09811136362625653,-0.0038461243581564553,-0.004136742697732454,-0.0002906183395759987,-0.004833381832399453,-0.004262113094773756,-0.0034401035630657884,-0.0034301356215395984,-0.004176955320753628,0.7,10,5,5,-0.02615565056182999,0.6260781329094851,0.9888888888888889,True
all3,latent_no_targetid,hgb_shallow,subject5,risk,0.1,drop_global_p05,0.9018731577446041,0.2182044705024732,0.0703054423764258,-0.10020260281478248,-0.0038461243581564553,-0.004135371819154909,-0.0002892474609984541,-0.004836509512500919,-0.004262113094773756,-0.0034342341258091214,-0.0034301356215395984,-0.004189691085502445,0.7,45,23,22,-0.005784949219967797,0.4655938938838707,0.95,True
q3s4,movement,hgb_shallow,subject5,contrast,0.1,drop_s4_p15,0.6549933582900614,0.6519505773917665,0.2306211805137192,0.017038359413675208,-0.0038461243581564553,-0.004133317780952939,-0.0002871934227964834,-0.004262113094773756,-0.004262113094773756,-0.004004522467132232,-0.0034301356215395984,-0.00420576662934089,0.7,68,0,68,-0.003801089419363234,0.8099609545231287,0.9244444444444444,True
q3s4,movement,hgb_shallow,subject5,contrast,0.1,drop_s4_p20,0.6549933582900614,0.6519505773917665,0.2306211805137192,0.017038359413675208,-0.0038461243581564553,-0.004132748639500083,-0.00028662428134362816,-0.004262113094773756,-0.004262113094773756,-0.004003384184226633,-0.0034301356215395984,-0.004195589404166422,0.7,90,0,90,-0.0028662428134354516,0.7932020345377475,0.9,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_global_top50,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004131480250772368,-0.00028535589261591277,-0.005045547739804923,-0.004262113094773756,-0.003217412761740035,-0.0034301356215395984,-0.004000915926099824,0.6,50,22,28,-0.0051364060670849535,0.700113583982632,0.9444444444444444,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top10,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004126728533176638,-0.00028060417502018264,-0.004552186378205536,-0.004262113094773756,-0.003701270688148073,-0.0034301356215395984,-0.004152852671429974,0.7,10,5,5,-0.025254375751815838,0.842116812766107,0.9888888888888889,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top5,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004126728533176638,-0.00028060417502018264,-0.004552186378205536,-0.004262113094773756,-0.003701270688148073,-0.0034301356215395984,-0.004152852671429974,0.7,10,5,5,-0.025254375751815838,0.842116812766107,0.9888888888888889,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top5,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004126728533176638,-0.00028060417502018264,-0.004552186378205536,-0.004262113094773756,-0.003701270688148073,-0.0034301356215395984,-0.004152852671429974,0.7,10,5,5,-0.025254375751815838,0.8418507087409639,0.9888888888888889,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top21,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004126594936380568,-0.00028047057822411237,-0.00418648269511146,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004153981655395067,0.7,42,21,21,-0.006010083819088422,0.8075051985850058,0.9533333333333334,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top21,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004126594936380568,-0.00028047057822411237,-0.00418648269511146,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004153981655395067,0.7,42,21,21,-0.006010083819088422,0.8071351647550903,0.9533333333333334,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top10,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004120713206842375,-0.0002745888486859194,-0.0045401557255370095,-0.004262113094773756,-0.003701270688148073,-0.0034301356215395984,-0.004147213302991592,0.7,10,4,6,-0.024712996381730933,0.8420044521236651,0.9888888888888889,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top13,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004119417613365095,-0.0002732932552086398,-0.004808699605191036,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004103901672078747,0.7,13,13,0,-0.018920302283674275,0.7161151537435952,0.9855555555555555,True
