basename,changed_rows,changed_cells,mean_abs_logit_delta,max_abs_prob_delta,cos_with_e323_bad_delta,l1_ratio_to_e323_delta
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q80_s1p0_ca12e8d6.csv,54,54,0.002622857142857144,0.021245587520896725,1.3368508485529006e-10,0.10326640360285182
submission_e331_localresid_S2_jepa_resid_dateblock_abs_q75_s0p4_3dee5dcc.csv,41,41,0.0007965714285714314,0.008493954852396679,1.6779877250607201e-10,0.03136238924234769
submission_e331_localresid_S2_jepa_resid_dateblock_abs_q75_s0p7_3117892c.csv,41,41,0.0013939999999999992,0.014858115051048393,1.6779877250619058e-10,0.054884181174108225
submission_e331_localresid_S2_jepa_resid_dateblock_abs_q75_s1p0_de46605b.csv,41,41,0.0019914285714285754,0.021214582367837354,1.6779877250624218e-10,0.0784059731058691
submission_e331_localresid_Q1_jepa_resid_dateblock_blockabs_q65_s0p4_eaaa6d0d.csv,46,46,0.0008082222333668466,0.008493056920885311,0.009555583310193136,0.03182110149573057
submission_e331_localresid_Q1_jepa_resid_dateblock_blockabs_q65_s0p7_4c85cdf0.csv,46,46,0.0014143889083919783,0.01485617666063932,0.00955558331020045,0.05568692761752837
submission_e331_localresid_Q1_jepa_resid_dateblock_blockabs_q65_s1p0_49d16b09.csv,46,46,0.002020555583417116,0.02121129039974301,0.009555583310203177,0.07955275373932641
submission_e331_localresid_combo_local_top_s0p55_ec217f45.csv,121,138,0.004610720457017187,0.03496433889715955,0.016373944426129213,0.18153200638887984
submission_e331_localresid_Q1_jepa_resid_dateblock_abs_q75_s0p4_b5d2a430.csv,37,37,0.0007188571428571424,0.008493056920885311,0.04381207534634507,0.028302643950411207
submission_e331_localresid_Q1_jepa_resid_dateblock_abs_q75_s0p7_b44eec88.csv,37,37,0.0012579999999999968,0.014859556023690823,0.04381207534637876,0.04952962691321952
submission_e331_localresid_Q1_jepa_resid_dateblock_abs_q75_s1p0_50e0879b.csv,37,37,0.0017971428571428574,0.02123385485453222,0.04381207534639243,0.07075660987602808
