score,top_frac,mode,folds,selected_n_mean,drop_delta_mean,drop_delta_std,win_rate,selected_mean_benefit_mean,harmful_rate_selected_mean,harmful_rate_valid_mean,tail20_rate_selected_mean
score_neg_trainpca_smooth_sum,0.05,valid_top_frac,20,3.1,0.0007132095645668985,0.0022838210270026164,0.4,0.01608201662685326,0.5916666666666667,0.4930445767504497,0.3875
score_allpca_incoming,0.05,valid_top_frac,20,3.1,0.0007398061958472668,0.0017589546194740086,0.35,0.01713463709864907,0.4416666666666667,0.4930445767504497,0.36666666666666664
score_trainpca_incoming,0.05,valid_top_frac,20,3.1,0.0010760916850199452,0.0013735109001304733,0.2,0.022939785895369335,0.35833333333333334,0.4930445767504497,0.32083333333333336
score_trainpca_source,0.05,valid_top_frac,20,3.1,0.0013837516247062127,0.0033648189820026536,0.3,0.030215587854232423,0.475,0.4930445767504497,0.4625
score_allpca_smooth_sum,0.05,valid_top_frac,20,3.1,0.001733074332805902,0.0030251963867698227,0.2,0.03926789323044377,0.36666666666666664,0.4930445767504497,0.3416666666666667
score_trainpca_smooth_sum,0.05,valid_top_frac,20,3.1,0.0018229707661099285,0.0029448845324613736,0.25,0.04006870244814882,0.32083333333333336,0.4930445767504497,0.32083333333333336
score_trainpca_smooth_mean,0.05,valid_top_frac,20,3.1,0.0019117011249073228,0.0034020290179253053,0.3,0.04073703219612108,0.3875,0.4930445767504497,0.3875
score_allpca_source,0.05,valid_top_frac,20,3.1,0.0021097574654394113,0.0034772117426369108,0.25,0.046822789388637424,0.37916666666666665,0.4930445767504497,0.36666666666666664
score_allpca_amp_smooth,0.05,valid_top_frac,20,3.1,0.0022247676459799274,0.003620345779490921,0.3,0.050402002518797215,0.35416666666666663,0.4930445767504497,0.32916666666666666
score_allpca_smooth_mean,0.05,valid_top_frac,20,3.1,0.002377730793900846,0.0034824588224216663,0.2,0.052970053953455984,0.32916666666666666,0.4930445767504497,0.32916666666666666
score_trainpca_amp_smooth,0.05,valid_top_frac,20,3.1,0.0024639520184905643,0.0026716262946340883,0.2,0.05256270172473963,0.26666666666666666,0.4930445767504497,0.26666666666666666
score_amp,0.05,valid_top_frac,20,3.1,0.0024698758711272544,0.0034654924505467272,0.35,0.052729342879962025,0.4,0.4930445767504497,0.4
score_neg_trainpca_smooth_sum,0.1,train_quantile_threshold,20,6.85,0.00045353091713918795,0.0023815862432251043,0.3,0.0045719143756971625,0.5884218121060227,0.4930445767504497,0.40754537859801016
score_trainpca_incoming,0.1,train_quantile_threshold,20,7.05,0.000624250459338714,0.0019790551658856238,0.3,0.007635965014682886,0.4693591496223075,0.4930445767504497,0.2899565346933768
score_allpca_incoming,0.1,train_quantile_threshold,20,6.85,0.0008757174642113359,0.001726667324743738,0.3,0.014393584582732679,0.46582341269841265,0.4930445767504497,0.27558531746031745
score_trainpca_smooth_mean,0.1,train_quantile_threshold,20,6.8,0.0024414477626889834,0.0035566423298207884,0.3,0.020649053027849276,0.4412451583504215,0.4930445767504497,0.42721007063112326
score_amp,0.1,train_quantile_threshold,20,6.85,0.0024471980124678495,0.004651752500626669,0.3,0.012581719680841241,0.5075507825507826,0.4930445767504497,0.5075507825507826
score_trainpca_smooth_sum,0.1,train_quantile_threshold,20,6.75,0.002550469404328137,0.0031562261701628142,0.2,0.027853388159876237,0.3538128538128538,0.4930445767504497,0.33593406593406594
score_trainpca_amp_smooth,0.1,train_quantile_threshold,20,7.15,0.002621589786563453,0.0034067673587824146,0.3,0.029849970882674225,0.38587322807911045,0.4930445767504497,0.37170656141244374
score_allpca_smooth_sum,0.1,train_quantile_threshold,20,7.1,0.0026616838528753578,0.0031832989988654285,0.15,0.03645095612026146,0.37555130584929347,0.4930445767504497,0.34780151693851385
score_trainpca_source,0.1,train_quantile_threshold,20,6.9,0.0029158311132552158,0.003611396974057751,0.15,0.022408162967373003,0.4537179487179487,0.4930445767504497,0.43764652014652017
score_allpca_amp_smooth,0.1,train_quantile_threshold,20,7.05,0.0032061360004075794,0.003530614098872972,0.05,0.040159450744366144,0.36576569264069264,0.4930445767504497,0.35809523809523813
score_allpca_smooth_mean,0.1,train_quantile_threshold,20,6.95,0.003252205925491318,0.003426118151181566,0.1,0.0342978349751066,0.35203918888129415,0.4930445767504497,0.33888129414445206
score_allpca_source,0.1,train_quantile_threshold,20,6.95,0.003834189802151492,0.003630079491664783,0.05,0.03553374621379677,0.3890013495276653,0.4930445767504497,0.36477732793522266
score_neg_trainpca_smooth_sum,0.1,valid_top_frac,20,6.75,0.0005357397443063501,0.0028966756699749597,0.45,0.00574052065316488,0.58,0.4930445767504497,0.3902777777777778
score_allpca_incoming,0.1,valid_top_frac,20,6.75,0.0009321754722875577,0.0019858346403003853,0.3,0.009284641200598834,0.4541666666666666,0.4930445767504497,0.2936111111111111
score_trainpca_incoming,0.1,valid_top_frac,20,6.75,0.001275892310161408,0.0017479841719740298,0.35,0.012985446828101193,0.3902777777777778,0.4930445767504497,0.23555555555555557
score_trainpca_smooth_mean,0.1,valid_top_frac,20,6.75,0.002292927977459111,0.0035733554788406436,0.35,0.02386288787410659,0.4175,0.4930445767504497,0.39527777777777773
score_trainpca_smooth_sum,0.1,valid_top_frac,20,6.75,0.0023182024849774845,0.0030907548911117575,0.15,0.02402860333395373,0.40055555555555555,0.4930445767504497,0.3488888888888889
score_trainpca_source,0.1,valid_top_frac,20,6.75,0.0023820038144722216,0.0031491007655741615,0.2,0.024472417072044225,0.4383333333333333,0.4930445767504497,0.4272222222222222
score_allpca_smooth_sum,0.1,valid_top_frac,20,6.75,0.002468720008784587,0.003984245491647228,0.2,0.025265844953749582,0.41916666666666663,0.4930445767504497,0.3030555555555555
score_trainpca_amp_smooth,0.1,valid_top_frac,20,6.75,0.002764775616359796,0.003511252903010644,0.2,0.02877113657862416,0.38,0.4930445767504497,0.3536111111111111
score_amp,0.1,valid_top_frac,20,6.75,0.002887828585061263,0.004867746907491997,0.25,0.030028935367458803,0.45472222222222225,0.4930445767504497,0.4491666666666666
score_allpca_source,0.1,valid_top_frac,20,6.75,0.003057871660805687,0.004133767584671878,0.2,0.031386198993963776,0.39611111111111114,0.4930445767504497,0.36138888888888887
score_allpca_smooth_mean,0.1,valid_top_frac,20,6.75,0.003081294795114096,0.0040626597946810455,0.3,0.031676029066307135,0.36916666666666664,0.4930445767504497,0.3497222222222222
score_allpca_amp_smooth,0.1,valid_top_frac,20,6.75,0.0032939205325630883,0.0037175769837001988,0.15,0.03379547154805357,0.3583333333333333,0.4930445767504497,0.31333333333333335
score_neg_trainpca_smooth_sum,0.136,train_quantile_threshold,20,9.55,0.0007975821650896636,0.0026772346200903438,0.4,0.0063500286369175185,0.541653814022235,0.4930445767504497,0.3721467129361866
score_allpca_incoming,0.136,train_quantile_threshold,20,9.45,0.0008409329066550971,0.0019870450134149053,0.4,0.00896093585873443,0.4479298479298479,0.4930445767504497,0.2403722666222666
score_trainpca_incoming,0.136,train_quantile_threshold,20,9.1,0.0008880952803586829,0.0021002355236455147,0.3,0.006692593912296862,0.41923240974711556,0.4930445767504497,0.22049093063798947
score_trainpca_smooth_mean,0.136,train_quantile_threshold,20,9.1,0.0021087635299796765,0.0036031653537730614,0.35,0.014807067011469473,0.45785744613143997,0.4930445767504497,0.4319681092900907
score_trainpca_source,0.136,train_quantile_threshold,20,9.3,0.0027567100001697183,0.0034619194234934174,0.15,0.01638731194927671,0.46817932067932067,0.4930445767504497,0.4270229076479076
score_trainpca_amp_smooth,0.136,train_quantile_threshold,20,9.05,0.0027718212532475825,0.003342926801946056,0.2,0.022938235427083366,0.405593948105558,0.4930445767504497,0.38256348592068407
score_trainpca_smooth_sum,0.136,train_quantile_threshold,20,9.35,0.0027869956488069426,0.0034766245199999808,0.25,0.021867751142224178,0.4284855422355422,0.4930445767504497,0.3460381979131979
score_amp,0.136,train_quantile_threshold,20,9.6,0.002807220789282261,0.0048694086182101415,0.3,0.012991896286231116,0.5155681818181818,0.4930445767504497,0.5117220279720279
score_allpca_smooth_mean,0.136,train_quantile_threshold,20,9.25,0.0028550077141913837,0.0038142253107418594,0.2,0.016168689890719318,0.4653062945826104,0.4930445767504497,0.4272903083758347
score_allpca_amp_smooth,0.136,train_quantile_threshold,20,9.4,0.003168319029201369,0.0037805474252599475,0.15,0.0249198733300813,0.4195978108149161,0.4930445767504497,0.35777621136173765
score_allpca_smooth_sum,0.136,train_quantile_threshold,20,9.35,0.0031974452270894147,0.0032713507031070605,0.1,0.027934910564970206,0.4017585313237487,0.4930445767504497,0.30907045852698023
score_allpca_source,0.136,train_quantile_threshold,20,9.25,0.0033466155555410076,0.0036199237813550177,0.05,0.01823080858866035,0.47052467140702436,0.4930445767504497,0.4192985445926622
score_neg_trainpca_smooth_sum,0.136,valid_top_frac,20,9.15,0.0010665182184806255,0.0031931430061267595,0.45,0.008338445256452876,0.5419642857142857,0.4930445767504497,0.35297619047619044
score_trainpca_incoming,0.136,valid_top_frac,20,9.15,0.0010961171223552839,0.0021442007256854438,0.25,0.008167878572182135,0.4270833333333333,0.4930445767504497,0.22351190476190474
score_allpca_incoming,0.136,valid_top_frac,20,9.15,0.0011970851107883692,0.0022861162557821523,0.3,0.008653847394202075,0.425,0.4930445767504497,0.25476190476190474
score_trainpca_source,0.136,valid_top_frac,20,9.15,0.0023950036501716922,0.003467874595904706,0.35,0.018140101575072887,0.4577380952380953,0.4930445767504497,0.42142857142857143
score_trainpca_amp_smooth,0.136,valid_top_frac,20,9.15,0.002562751332888317,0.0032669612104500325,0.35,0.01936662047326808,0.42767857142857146,0.4930445767504497,0.3684523809523809
score_trainpca_smooth_sum,0.136,valid_top_frac,20,9.15,0.0026386968407093527,0.0033912571390135493,0.3,0.019962365291405878,0.41934523809523805,0.4930445767504497,0.3476190476190476
score_trainpca_smooth_mean,0.136,valid_top_frac,20,9.15,0.0027005655117307605,0.003567654644531481,0.3,0.020583830929360843,0.4101190476190476,0.4930445767504497,0.3717261904761905
score_amp,0.136,valid_top_frac,20,9.15,0.0027336518359248685,0.004036351598155446,0.25,0.020590476380201894,0.4744047619047619,0.4930445767504497,0.47023809523809523
score_allpca_smooth_mean,0.136,valid_top_frac,20,9.15,0.0028899531111731746,0.003368125289508567,0.2,0.0215226738269691,0.4303571428571429,0.4930445767504497,0.3639880952380953
score_allpca_smooth_sum,0.136,valid_top_frac,20,9.15,0.0029501229598986522,0.00285659622253241,0.15,0.021754735646282306,0.4113095238095238,0.4930445767504497,0.2931547619047619
score_allpca_amp_smooth,0.136,valid_top_frac,20,9.15,0.003045238020390796,0.003955058552166053,0.1,0.02283830805129037,0.4309523809523809,0.4930445767504497,0.35119047619047616
score_allpca_source,0.136,valid_top_frac,20,9.15,0.0034429567098747337,0.0034753598356725215,0.1,0.025874212173245988,0.4080357142857142,0.4930445767504497,0.3520833333333333
score_neg_trainpca_smooth_sum,0.2,train_quantile_threshold,20,13.5,0.001652292150585309,0.0031470197081498426,0.35,0.0085303624586151,0.5261269183714836,0.4930445767504497,0.32812952868387646
score_trainpca_smooth_mean,0.2,train_quantile_threshold,20,13.45,0.0022359381549002127,0.0036689383831733885,0.3,0.013579246507341228,0.46080440410683376,0.4930445767504497,0.3748098587260992
score_trainpca_smooth_sum,0.2,train_quantile_threshold,20,13.7,0.0024799237391808114,0.0037766335748261933,0.35,0.012817304820427842,0.46911992459189256,0.4930445767504497,0.35239392742396175
score_trainpca_amp_smooth,0.2,train_quantile_threshold,20,13.55,0.0025841714770532013,0.003602791228694057,0.35,0.014258150458481694,0.4497309003346155,0.4930445767504497,0.3655825671576446
score_trainpca_source,0.2,train_quantile_threshold,20,13.8,0.002626262787297145,0.0034476601090857933,0.3,0.011617634462736698,0.48402522445771873,0.4930445767504497,0.4101975463196859
score_allpca_incoming,0.2,train_quantile_threshold,20,22.25,0.002738378268816998,0.004976873548837658,0.3,0.007669052231529347,0.42289556977250475,0.4930445767504497,0.19229998200973433
score_allpca_amp_smooth,0.2,train_quantile_threshold,20,13.45,0.0027960188951395458,0.0035757723811221417,0.2,0.014752613243450494,0.4597807243436847,0.4930445767504497,0.3552213340820952
score_allpca_smooth_sum,0.2,train_quantile_threshold,20,13.65,0.002956527878708545,0.0036266828067199443,0.2,0.014611372028800773,0.46341345076225504,0.4930445767504497,0.3147964889635115
score_allpca_source,0.2,train_quantile_threshold,20,13.65,0.003152443512034844,0.0037118632776321553,0.1,0.013805543400105414,0.47130952045890123,0.4930445767504497,0.38054957804493406
score_allpca_smooth_mean,0.2,train_quantile_threshold,20,13.3,0.0032569345905392863,0.003621480519169867,0.15,0.016965138011372706,0.4228681530887413,0.4930445767504497,0.3432197949109714
score_trainpca_incoming,0.2,train_quantile_threshold,20,43.55,0.003933674757614921,0.00549936366142846,0.25,0.005100799370119419,0.46902103114293736,0.4930445767504497,0.1814830614231807
score_amp,0.2,train_quantile_threshold,20,14.05,0.003970196883299153,0.005741704666821712,0.25,0.016371305177457992,0.4821203740804466,0.4930445767504497,0.4668877850320682
score_neg_trainpca_smooth_sum,0.2,valid_top_frac,20,13.55,0.0009857762676057501,0.003707481848472626,0.45,0.0047472331254262414,0.5438924963924964,0.4930445767504497,0.339796176046176
score_allpca_incoming,0.2,valid_top_frac,20,13.55,0.0013028549184555668,0.002562116428675273,0.3,0.006409382701966518,0.44513888888888886,0.4930445767504497,0.22465367965367963
score_trainpca_incoming,0.2,valid_top_frac,20,13.55,0.001321095310570648,0.0022535501195160568,0.3,0.006543347152310164,0.4284126984126984,0.4930445767504497,0.20508658008658007
score_trainpca_smooth_mean,0.2,valid_top_frac,20,13.55,0.0025290796189388243,0.00349462421368328,0.3,0.012380899304202539,0.4546825396825397,0.4930445767504497,0.3565800865800866
score_trainpca_smooth_sum,0.2,valid_top_frac,20,13.55,0.0025743641520657246,0.0035462341530308585,0.3,0.012581328921840162,0.47065836940836936,0.4930445767504497,0.3342983405483405
score_trainpca_source,0.2,valid_top_frac,20,13.55,0.00285331319140624,0.0037953541587222935,0.2,0.013974552641579176,0.46277958152958154,0.4930445767504497,0.41041847041847046
score_trainpca_amp_smooth,0.2,valid_top_frac,20,13.55,0.002891703998683252,0.003719776695922639,0.3,0.014124532593480196,0.4484145021645022,0.4930445767504497,0.35443722943722944
score_allpca_amp_smooth,0.2,valid_top_frac,20,13.55,0.003164556707306994,0.0038495262638812925,0.2,0.015468290768525609,0.45623556998556997,0.4930445767504497,0.34114718614718614
score_allpca_smooth_sum,0.2,valid_top_frac,20,13.55,0.003191691141842112,0.0037866292756589225,0.2,0.015602764225811356,0.4595689033189033,0.4930445767504497,0.3114628427128427
score_amp,0.2,valid_top_frac,20,13.55,0.0032605541566802453,0.005230789922921316,0.3,0.016034254847735564,0.4821248196248196,0.4930445767504497,0.4586904761904762
score_allpca_smooth_mean,0.2,valid_top_frac,20,13.55,0.0032951990681578335,0.003830743225732895,0.25,0.016106496397206543,0.4422077922077922,0.4930445767504497,0.32836940836940837
score_allpca_source,0.2,valid_top_frac,20,13.55,0.003640057680126203,0.0036774568543538493,0.1,0.017876536376396322,0.4385714285714285,0.4930445767504497,0.35999819624819623
