pair,group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,context_high_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
e174_vs_e169,target_safety,S1,15,15,3.532136056831209e-08,0.009032847902029007,1.115860593252798e-05,2.387886372822025e-06,0.6657732765502083,0.5213158816208654,1.0,1.0,S1:q4_high,,,,,q4_high
e174_vs_e169,target_safety,S4,4,4,1.1211374095881811e-07,0.028671216326729348,1.6352562179166507e-06,1.0555907812703134e-06,0.5252662689621577,0.4210136533641106,0.0,1.0,S4:q2,,,,,q2
e174_vs_e169,target_safety,S2,18,18,1.6434922763432848e-07,0.04202956942062592,1.9581712442711523e-05,2.293937136265705e-06,0.5369951648449277,0.4210136533641106,0.0,1.0,S2:q3,,,,,q3
e174_vs_e169,target_safety,S2,8,8,2.970468337160423e-07,0.07596476538742046,5.561779756695965e-06,1.200903936469544e-06,0.3488888888888889,0.4210136533641106,0.0,1.0,S2:q2,,,,,q2
e174_vs_e169,target_safety,S1,11,11,3.9915936257066446e-07,0.10207833879440963,7.325985597187065e-06,1.3249501247662996e-06,0.5470235983224208,0.4210136533641106,0.0,1.0,S1:q3,,,,,q3
e174_vs_e169,target_safety,S4,18,18,5.40114533902421e-07,0.1381252691266021,1.2067661203864631e-05,1.3434678025598628e-06,0.47513953939485815,0.48613567560474613,1.0,1.0,S4:q4_high,,,,,q4_high
e174_vs_e169,target_safety,Q2,55,55,8.868441783570987e-07,0.22679558338095945,4.170491764431396e-05,2.029304274584095e-06,0.4673410407140835,0.18264613861628182,0.01818181818181818,1.0,Q2:q1_low,,,,,q1_low
e174_vs_e169,target_safety,Q2,16,16,1.9959631081620506e-06,0.5104342212191981,1.701369241528572e-05,2.7034772483969875e-06,0.4847213783233086,0.1848158755156593,0.0,1.0,Q2:q2,,,,,q2
e174_vs_e172,target,S3,25,25,-3.233654964383819e-06,0.27704775421539396,2.6977831874288644e-05,1.9886344419411157e-06,0.3112288848789427,0.1836936345756796,0.04,1.0,S3,,,,,
e174_vs_e172,target,Q2,21,21,-2.953194944629531e-06,0.25301896342727825,1.8107520993420637e-05,2.496133173320663e-06,0.504005846517048,0.18481587551565934,0.0,1.0,Q2,,,,,
