variant,family,file,candidate_origin,scenario_gate,scenario_rank,scenario_public_like_score,scenario_pred_public_delta_mean,scenario_pred_public_delta_std,scenario_id
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_6b11cf21.csv,e364_existing,True,33.0,4.905321782178218,0.00028135590405686816,0.00013377626713104295,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he_6e52095d.csv,e364_existing,True,34.0,4.7885210396039595,0.0002858826554223887,0.00015751946333664402,all__none
e362_graft_donor_q3s1_e360_e349_compact_core__learned_story_nonmonotone_random,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_story_nonmonotone_random_4803cb08.csv,e364_existing,True,35.0,4.7877165841584155,0.00028713162624582656,0.0001585254189425516,all__none
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_30a5463a.csv,e364_existing,True,36.0,4.752289603960397,0.0002799192057654685,0.0001304499832999872,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_ab93d22b.csv,e364_existing,True,37.0,4.644183168316831,0.0002738198784065055,0.00014680642650054398,all__none
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_43d1b80d.csv,e364_existing,True,38.0,4.623762376237623,0.00027395087685768153,0.0001256661078749933,all__none
e362_scale_g1.06_q11.08_q20.90_q30.00_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_00_s11_00_5d023333.csv,e364_existing,True,39.0,4.602923886138614,0.0003111018542778354,0.00016581238195641012,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_4f972ba9.csv,e364_existing,True,40.0,4.598019801980198,0.000276947642947452,0.00012842329827618184,all__none
e362_scale_g1.00_q11.08_q20.90_q30.00_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_00_s10_90_34c7a5d1.csv,e364_existing,True,41.0,4.5446008663366335,0.00031209495253842884,0.00016687583233123508,all__none
e362_scale_g1.06_q11.08_q20.90_q30.00_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_00_s10_90_906fa0e1.csv,e364_existing,True,42.0,4.542218440594059,0.0003122722764717895,0.00016704225029875067,all__none
e362_scale_g1.03_q11.08_q20.90_q30.00_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q30_00_s10_90_6ec1a32e.csv,e364_existing,True,43.0,4.526500618811881,0.00031217448829002194,0.00016695009159672534,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he_0b37e167.csv,e364_existing,True,44.0,4.484034653465347,0.0003064494546679093,0.0001585896148787418,all__none
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_free_mixture_subjective_he_1afd359e.csv,e364_existing,True,45.0,4.4576113861386135,0.0003008116548597067,0.0001515417958381853,all__none
e362_graft_donor_s1_e361_e351_robust_center__learned_story_nonmonotone_s1_co,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e351_robust_center__learned_story_nonmonotone_s1_co_c06cec92.csv,e364_existing,True,46.0,4.433508663366337,0.00030018446425489483,0.00015125379601606219,all__none
e362_graft_donor_q2q3_e361_e351_robust_center__learned_story_nonmonotone_s1_co,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q2q3_e361_e351_robust_center__learned_story_nonmonotone_s1_co_102144c1.csv,e364_existing,True,47.0,4.4105198019801986,0.000310539281652788,0.0001693556950802285,all__none
e362_graft_donor_q3s1_e361_e351_robust_center__learned_story_nonmonotone_s1_co,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e351_robust_center__learned_story_nonmonotone_s1_co_af32eba7.csv,e364_existing,True,48.0,4.364851485148515,0.0003024507090960659,0.00015337961686032946,all__none
e362_scale_g1.03_q11.08_q20.90_q30.00_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q30_00_s10_70_f4284749.csv,e364_existing,True,49.0,4.172818688118812,0.000312510246920668,0.00016877097157480436,all__none
e362_scale_g1.06_q11.08_q20.90_q30.00_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_00_s10_70_e42abfdd.csv,e364_existing,True,50.0,4.159235767326733,0.00031258649443032584,0.0001688423073270211,all__none
e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,e367_generated,True,1.0,6.587438118811881,0.00021767895174230968,7.844856785338014e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_null_source_switch_random_validity,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_source_switch_random_validity_9c61acf7.csv,e367_generated,True,2.0,6.507766089108911,0.00023062840483291014,8.954054237668478e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_direct_validboost_baddamp_amp0.97,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp0_97_05227c33.csv,e367_generated,True,3.0,6.342450495049506,0.00018608092716522739,5.6411484121834756e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_direct_validboost_baddamp_amp1.00,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp1_00_08739715.csv,e367_generated,True,4.0,6.273112623762376,0.00018935900516628943,5.618501728439837e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_direct_validboost_baddamp_amp1.03,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp1_03_7e5abcb1.csv,e367_generated,True,5.0,6.173174504950495,0.00018958723900394165,5.637478586220509e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,e364_existing,True,6.0,6.130847772277228,0.00025296048956862456,0.00011785057086739549,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1198dfee.csv,e364_existing,True,7.0,6.000185643564357,0.00025920379204672666,0.00012518296168380106,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_3aeb0277.csv,e364_existing,True,10.0,5.939913366336634,0.00026427771757459517,0.00010884401303953361,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_null_target_validity_perm_validity_0,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_target_validity_perm_validity_0_9e2a3d59.csv,e367_generated,True,8.0,5.945637376237625,0.00024328361408320544,0.00011191907591959835,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_target_validity_amp1.00,learned_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_target_validity_amp1_00_f46fc0ab.csv,e367_generated,True,9.0,5.944616336633664,0.00021188506754345882,8.038551751901974e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_target_validity_amp1.03,learned_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_target_validity_amp1_03_970904ce.csv,e367_generated,True,11.0,5.909900990099011,0.0002151679976859793,7.93198424949565e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_direct_target_validity_amp1.03,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_target_validity_amp1_03_ce6ee54c.csv,e367_generated,True,12.0,5.860210396039604,0.0002170192640841088,8.106156481951663e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_0139f787.csv,e364_existing,False,,5.843688118811882,0.00023674132997857078,0.00010431733485239992,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1f057e41.csv,e364_existing,True,13.0,5.673793316831683,0.0002813807828352629,0.00012578844935310022,all__drop_submission_hybrid_0p578_logit_after_subjec
e367_null_target_validity_perm_validity_1,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_target_validity_perm_validity_1_86ef167c.csv,e367_generated,True,14.0,5.612376237623763,0.00023241769685898486,9.35609800292648e-05,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_90d7bd66.csv,e364_existing,False,,5.579950495049505,0.00024336641441221186,0.00010848527792146396,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_437d7acc.csv,e364_existing,True,15.0,5.332580445544554,0.00029022657021685625,0.00013189236075651615,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_scale_g1.06_q11.08_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q31_00_s11_30_bffaf250.csv,e364_existing,True,17.0,5.287948638613861,0.00029335111722170014,0.00013484822340990258,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_scale_g1.06_q11.08_q20.90_q30.75_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_75_s11_30_d02aaf2d.csv,e364_existing,True,19.0,5.2369894801980195,0.00029412962418750194,0.00013559241810907714,all__drop_submission_hybrid_0p578_logit_after_subjec
