context,scope,mask_kind,state_frac,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure
raw05_compatible,q1q3_sall,hard,0.3,raw,5,4,0,0,0,0,-2.9332312270535787e-05,-2.79725566097544e-05,2.4457487546338005e-05,0.0015900568649839172
raw05_compatible,all,hard,0.3,raw,5,4,0,0,0,0,-2.9278422858936004e-05,-2.7661811528160764e-05,2.522249788916573e-05,0.0016046692700484992
raw05_compatible,q1q3_sall,hard,0.3,sqrt,5,5,0,0,0,0,-2.8738779070169862e-05,-2.740411107899057e-05,1.5002691465935003e-05,0.0015105276278949804
all,non_q2s3,soft,0.2,raw,5,3,0,0,0,0,-3.08954735307454e-05,-2.7376026549224574e-05,2.0091488645771556e-05,0.0013145062702027025
all,non_q2s3,hard,0.3,sign,5,2,0,0,0,0,-2.497714329330325e-05,-2.7320934355366707e-05,1.1637000267230994e-05,0.0014262855245826874
all,non_q2s3,soft,0.3,sign,5,2,0,0,0,0,-2.497714329330325e-05,-2.7320934355366707e-05,1.1637000267230994e-05,0.0014262855245826874
loo_raw05_compatible,all,soft,0.3,raw,5,2,0,0,0,0,-2.8196716091999363e-05,-2.7234377595914443e-05,1.4314427269659739e-05,0.0011678310282766259
raw05_compatible,all,hard,0.3,sqrt,5,5,0,0,0,0,-2.8796378004902756e-05,-2.7168302055058135e-05,1.5364903879487236e-05,0.0015199770978135021
loo_raw05_compatible,all,hard,0.3,raw,5,2,0,0,0,0,-2.8358777731773976e-05,-2.7166185590905803e-05,1.4188388289245112e-05,0.0011627613435759715
all,non_q2s3,hard,0.2,raw,5,3,0,0,0,0,-3.0988778481400026e-05,-2.7133985130906127e-05,1.895093130017156e-05,0.0013086324058515738
loo_raw05_compatible,q1q3_sall,soft,0.3,raw,5,2,0,0,0,0,-2.7817943449304217e-05,-2.7061772700398722e-05,1.4024748508553926e-05,0.0011595356511326569
loo_raw05_compatible,q1q3_sall,hard,0.3,raw,5,2,0,0,0,0,-2.7994347647219975e-05,-2.7043892591654186e-05,1.391247093601953e-05,0.0011544393789790308
raw05_compatible,q1q3_sall,soft,0.3,sqrt,5,5,0,0,0,0,-2.8701362915772854e-05,-2.6947947633466056e-05,1.7766177190346694e-05,0.0015211747013299487
raw05_compatible,all,soft,0.3,sqrt,5,5,0,0,0,0,-2.8778692294673114e-05,-2.6744680288384558e-05,1.810446924559026e-05,0.0015312687063018021
all,all,soft,0.2,sqrt,5,3,0,0,0,0,-2.9645467015115834e-05,-2.566213176482129e-05,1.744334927541988e-05,0.0013308770675418459
all,all,hard,0.2,sqrt,5,3,0,0,0,0,-2.968123796864841e-05,-2.5635773441714e-05,1.7114686316981107e-05,0.0013256098165672222
raw05_compatible,q1q3_sall,soft,0.3,raw,5,4,0,0,0,0,-2.8100320552670865e-05,-2.5356760707460168e-05,2.865672156521444e-05,0.001617725963427416
all,non_q2s3,soft,0.3,raw,5,2,0,0,0,0,-2.5919899849680128e-05,-2.5110432677779298e-05,1.0732982324484584e-05,0.0011312729090186212
raw05_compatible,all,soft,0.3,raw,5,4,0,0,0,0,-2.799321759316964e-05,-2.4986473644688443e-05,3.0273290115855198e-05,0.0016331918654769251
loo_inverse_top,q1q3_sall,hard,0.3,raw,5,3,0,0,0,0,-2.1473352259882006e-05,-2.495279566905906e-05,1.7298030127584546e-05,0.0014427725835937527
loo_inverse_top,all,hard,0.3,raw,5,3,0,0,0,0,-2.1451984835496596e-05,-2.4741926202302702e-05,1.7715825569676094e-05,0.001454241093846243
raw05_compatible,non_q2s3,hard,0.3,raw,5,4,0,0,0,0,-2.5828058086152517e-05,-2.4191516091694448e-05,2.5144913947171408e-05,0.0015131354406629051
all,non_q2s3,soft,0.2,sqrt,5,2,0,0,0,0,-2.7736931287991595e-05,-2.365081354565251e-05,1.8121108068647504e-05,0.0013207661134436014
all,non_q2s3,hard,0.2,sqrt,5,2,0,0,0,0,-2.77596471837116e-05,-2.358916208339049e-05,1.7632233482559773e-05,0.0013170493779265074
loo_raw05_compatible,non_q2s3,hard,0.3,raw,5,2,0,0,0,0,-2.4685983488814678e-05,-2.3455057406557513e-05,1.4714743450693926e-05,0.00111731886360063
raw05_compatible,non_q2s3,soft,0.3,raw,5,4,0,0,0,0,-2.532967660118235e-05,-2.2505835096550158e-05,2.782182473200448e-05,0.001536033389615623
loo_inverse_top,q1q3_sall,soft,0.3,raw,5,3,0,0,0,0,-2.083929126295292e-05,-2.2504472525366264e-05,2.1392046911912273e-05,0.0014728587519138954
raw05_compatible,non_q2s3,hard,0.3,sqrt,5,5,0,0,0,0,-2.4185195153791916e-05,-2.2377105438877782e-05,1.8031786372721576e-05,0.001464656229999831
loo_inverse_top,all,soft,0.3,raw,5,3,0,0,0,0,-2.0794502481380484e-05,-2.226878662165155e-05,2.200682162750819e-05,0.0014852631579613139
raw05_compatible,non_q2s3,soft,0.3,sqrt,5,5,0,0,0,0,-2.4234039693760145e-05,-2.2054725050885307e-05,1.942394012803831e-05,0.001472392979320099
loo_inverse_top,q1q3_sall,hard,0.3,sqrt,5,2,0,0,0,0,-1.8559332594314526e-05,-2.1928168670583327e-05,1.7397360217847907e-05,0.0014270164678233342
loo_raw05_compatible,q1q3_sall,soft,0.3,sqrt,5,2,0,0,0,0,-2.2637072350617515e-05,-2.1654913936847656e-05,1.10978118666697e-05,0.0011442830711323848
loo_inverse_top,all,hard,0.3,sqrt,5,2,0,0,0,0,-1.8542476906246996e-05,-2.1646105975551853e-05,1.773295943778967e-05,0.001434619261537041
loo_raw05_compatible,q1q3_sall,hard,0.3,sqrt,5,2,0,0,0,0,-2.2624576093477344e-05,-2.1639813001696127e-05,1.0741121086517325e-05,0.00114039592773964
loo_raw05_compatible,all,soft,0.3,sqrt,5,2,0,0,0,0,-2.2875894056362256e-05,-2.1549075603093515e-05,1.123995425997217e-05,0.0011520310472929376
loo_raw05_compatible,all,hard,0.3,sqrt,5,2,0,0,0,0,-2.2849457393170347e-05,-2.1493545835062034e-05,1.0867952595131265e-05,0.0011480987976367517
loo_inverse_top,q1q3_sall,soft,0.3,sqrt,5,2,0,0,0,0,-1.8448095044254487e-05,-2.1127465827256823e-05,1.858905862226248e-05,0.001439753445594886
loo_inverse_top,non_q2s3,hard,0.3,raw,5,2,0,0,0,0,-1.7933545669923667e-05,-2.094810239351053e-05,1.7765429409363302e-05,0.001419031083215394
loo_inverse_top,all,soft,0.3,sqrt,5,2,0,0,0,0,-1.844427556474404e-05,-2.0874559898129335e-05,1.8851999869324065e-05,0.001447923609539745
all,s_all,hard,0.3,sign,5,5,0,0,0,0,-1.1747818871254978e-05,-2.0756283997795535e-05,1.1197138473242626e-05,0.001109692801784184
all,s_all,soft,0.3,sign,5,5,0,0,0,0,-1.1747818871254978e-05,-2.0756283997795535e-05,1.1197138473242626e-05,0.001109692801784184
raw05_compatible,all,hard,0.2,raw,5,4,0,0,0,0,-2.4136857434298165e-05,-2.0012520383090674e-05,2.4171131676915966e-05,0.0013801834512102889
loo_raw05_compatible,all,soft,0.2,raw,5,2,0,0,0,0,-2.0327747999315804e-05,-1.9480160589878746e-05,8.15635618652997e-06,0.0010482716413836213
raw05_compatible,all,soft,0.2,raw,5,4,0,0,0,0,-2.3831833212084597e-05,-1.9352050086221744e-05,3.193713896012337e-05,0.0013956622425610895
raw05_compatible,all,hard,0.2,sqrt,5,5,0,0,0,0,-2.2905022136421316e-05,-1.9333370785472776e-05,1.7194695910702364e-05,0.0018814196900370861
raw05_compatible,non_q2s3,hard,0.2,raw,5,4,0,0,0,0,-2.3322545548043472e-05,-1.9328741307958163e-05,2.3328657637490784e-05,0.0013608824549213151
loo_raw05_compatible,all,hard,0.2,raw,5,2,0,0,0,0,-2.0243491146709758e-05,-1.908548955103009e-05,8.441993856079793e-06,0.0010455230165856576
raw05_compatible,all,soft,0.2,sqrt,5,5,0,0,0,0,-2.2231740028355595e-05,-1.9083971379918624e-05,1.7401655680965006e-05,0.0013353496575888094
all,all,hard,0.2,sign,5,2,0,0,0,0,-2.122851893704425e-05,-1.907160894784989e-05,1.40855270527289e-05,0.0013023619926899534
all,all,soft,0.2,sign,5,2,0,0,0,0,-2.122851893704425e-05,-1.907160894784989e-05,1.40855270527289e-05,0.0013023619926899534
loo_inverse_top,non_q2s3,soft,0.3,raw,5,2,0,0,0,0,-1.7735036952015726e-05,-1.9038833380843264e-05,2.22406953014948e-05,0.0014411984862112285
raw05_compatible,non_q2s3,soft,0.2,raw,5,4,0,0,0,0,-2.3028300347949227e-05,-1.8723784582443163e-05,3.069074731668604e-05,0.0013733397211169798
all,all,soft,0.15,sqrt,5,2,0,0,0,0,-2.3207799222491055e-05,-1.8693378318910804e-05,2.078943353198411e-05,0.0012743028561081565
loo_raw05_compatible,non_q2s3,soft,0.3,sqrt,5,2,0,0,0,0,-1.9788796075892456e-05,-1.8559940889061405e-05,1.2081644273898622e-05,0.001118671810480338
all,all,hard,0.15,sqrt,5,2,0,0,0,0,-2.322336512794454e-05,-1.8546756230175392e-05,2.132613440201076e-05,0.0012737748163607987
loo_raw05_compatible,non_q2s3,hard,0.3,sqrt,5,2,0,0,0,0,-1.9773294014036047e-05,-1.852201306162716e-05,1.1451134601642282e-05,0.0011159847162040177
loo_inverse_top,non_q2s3,hard,0.3,sqrt,5,2,0,0,0,0,-1.5429661629817737e-05,-1.8370579061394394e-05,1.8410154030019864e-05,0.0014073995129760162
raw05_compatible,non_q2s3,hard,0.2,sqrt,5,5,0,0,0,0,-2.2802241909647414e-05,-1.829026074751542e-05,1.714657478007366e-05,0.0018630903791347878
loo_raw05_compatible,non_q2s3,soft,0.2,raw,5,2,0,0,0,0,-1.9132553278455866e-05,-1.8228146351739178e-05,8.055153780649591e-06,0.0010406501171529167
raw05_compatible,non_q2s3,soft,0.2,sqrt,5,5,0,0,0,0,-2.2139522173447723e-05,-1.8057499852412923e-05,1.7293891593958736e-05,0.0018721767333649735
all,non_q2s3,soft,0.15,sqrt,5,2,0,0,0,0,-2.255884916879669e-05,-1.8025465871170574e-05,2.087708483710673e-05,0.0012693876856264756
loo_raw05_compatible,non_q2s3,hard,0.2,raw,5,2,0,0,0,0,-1.913276999243596e-05,-1.791753494472752e-05,8.379369617151526e-06,0.0010391586036806186
all,non_q2s3,hard,0.15,sqrt,5,2,0,0,0,0,-2.257943608141577e-05,-1.787214175354773e-05,2.146801860910162e-05,0.001269678068807505
loo_inverse_top,non_q2s3,soft,0.3,sqrt,5,2,0,0,0,0,-1.5408942475314547e-05,-1.7681977978522867e-05,1.876965344285803e-05,0.0014166134079643825
all,non_q2s3,hard,0.2,sign,5,2,0,0,0,0,-1.995462370074641e-05,-1.7600332837011296e-05,1.4264405127612865e-05,0.0013046506988895058
all,non_q2s3,soft,0.2,sign,5,2,0,0,0,0,-1.995462370074641e-05,-1.7600332837011296e-05,1.4264405127612865e-05,0.0013046506988895058
loo_raw05_compatible,q1q3_sall,hard,0.3,sign,5,2,0,0,0,0,-1.6735001727719023e-05,-1.636030763360772e-05,6.66155394034061e-06,0.0011161729765989622
loo_raw05_compatible,q1q3_sall,soft,0.3,sign,5,2,0,0,0,0,-1.6735001727719023e-05,-1.636030763360772e-05,6.66155394034061e-06,0.0011161729765989622
raw05_compatible,q1q3_sall,hard,0.3,sign,5,5,0,0,0,0,-1.8641387394269238e-05,-1.618377115770267e-05,1.5054292415941643e-05,0.001438729455641736
raw05_compatible,q1q3_sall,soft,0.3,sign,5,5,0,0,0,0,-1.8641387394269238e-05,-1.618377115770267e-05,1.5054292415941643e-05,0.001438729455641736
raw05_compatible,all,hard,0.3,sign,5,5,0,0,0,0,-1.838426848965735e-05,-1.5977503398621283e-05,1.5165876153388442e-05,0.0014406930037306276
raw05_compatible,all,soft,0.3,sign,5,5,0,0,0,0,-1.838426848965735e-05,-1.5977503398621283e-05,1.5165876153388442e-05,0.0014406930037306276
loo_raw05_compatible,all,hard,0.3,sign,5,2,0,0,0,0,-1.671799894997772e-05,-1.5811121687094295e-05,6.917853211099379e-06,0.0011221485992589898
loo_raw05_compatible,all,soft,0.3,sign,5,2,0,0,0,0,-1.671799894997772e-05,-1.5811121687094295e-05,6.917853211099379e-06,0.0011221485992589898
all,all,soft,0.15,raw,5,2,0,0,0,0,-1.701797097841684e-05,-1.5715895260063438e-05,8.268320228823392e-06,0.0010246860756834729
loo_raw05_compatible,s_all,hard,0.3,sqrt,5,4,0,0,0,0,-1.2677839297592364e-05,-1.5532386368684103e-05,3.4781727052082947e-06,0.0009717352766153758
all,all,hard,0.15,raw,5,2,0,0,0,0,-1.701900766726272e-05,-1.5489649183062535e-05,8.23403046595913e-06,0.0010246225500426041
loo_raw05_compatible,s_all,soft,0.3,sqrt,5,4,0,0,0,0,-1.2700806961252198e-05,-1.5467867100304525e-05,3.353257326404696e-06,0.0009722869137212904
all,s_all,hard,0.3,sqrt,5,4,0,0,0,0,-1.3077077044898466e-05,-1.5406345394171574e-05,4.990793315905409e-06,0.0009705447654833661
all,s_all,soft,0.3,sqrt,5,4,0,0,0,0,-1.3102543086174201e-05,-1.530463286821905e-05,4.947048180671864e-06,0.0009714206309963345
loo_inverse_top,all,hard,0.2,raw,5,2,0,0,0,0,-1.7616363859551676e-05,-1.5239812484994615e-05,1.684607925902741e-05,0.0012992225675500099
all,non_q2s3,soft,0.15,raw,5,2,0,0,0,0,-1.6512845027016887e-05,-1.5196410781317932e-05,8.27897140484312e-06,0.0010207294945158533
all,non_q2s3,hard,0.15,raw,5,2,0,0,0,0,-1.6522606910762683e-05,-1.4972048497948826e-05,8.28962722650954e-06,0.0010213021596662112
loo_inverse_top,non_q2s3,hard,0.2,raw,5,3,0,0,0,0,-1.7004403885967356e-05,-1.4675070597966091e-05,1.6289278357108667e-05,0.0012839502545998259
loo_raw05_compatible,all,soft,0.2,sqrt,5,2,0,0,0,0,-1.6354560584797007e-05,-1.4607134391754098e-05,7.4657755867959305e-06,0.0010536861575075394
loo_raw05_compatible,all,hard,0.2,sqrt,5,2,0,0,0,0,-1.6392638978124374e-05,-1.4541483746144967e-05,7.5190129984889e-06,0.001051821187019
loo_raw05_compatible,s_all,hard,0.3,sign,5,4,0,0,0,0,-9.89942787144038e-06,-1.4468573393350556e-05,3.098457497904108e-06,0.0009305854182161688
loo_raw05_compatible,s_all,soft,0.3,sign,5,4,0,0,0,0,-9.89942787144038e-06,-1.4468573393350556e-05,3.098457497904108e-06,0.0009305854182161688
raw05_compatible,all,hard,0.15,raw,5,3,0,0,0,0,-2.0318274230435307e-05,-1.4431179438742812e-05,3.327558602128714e-05,0.0013154600478800045
loo_raw05_compatible,s_all,hard,0.3,raw,5,4,0,0,0,0,-1.3459689277350861e-05,-1.4385269499865877e-05,8.699048953849442e-06,0.0010175049043738464
raw05_compatible,all,soft,0.15,raw,5,3,0,0,0,0,-2.0108712636246473e-05,-1.4232777104703107e-05,3.4701106799321494e-05,0.0013208016495927703
raw05_compatible,all,hard,0.15,sqrt,5,5,0,0,0,0,-1.969673409329964e-05,-1.4136068157064895e-05,2.0519351475266654e-05,0.0017634162270074119
raw05_compatible,non_q2s3,hard,0.15,raw,5,3,0,0,0,0,-1.98732605775076e-05,-1.4087842539222005e-05,3.2693890085895377e-05,0.001305685865444328
loo_raw05_compatible,s_all,soft,0.3,raw,5,4,0,0,0,0,-1.3347949617714683e-05,-1.4072482892402046e-05,9.38952047707564e-06,0.0010194113788702872
all,s_all,hard,0.3,raw,5,4,0,0,0,0,-1.3885090844767412e-05,-1.4057121334206738e-05,1.0273519371431658e-05,0.0010197180414096788
loo_inverse_top,all,soft,0.2,raw,5,2,0,0,0,0,-1.709776470926183e-05,-1.405098102886418e-05,2.2613715407815604e-05,0.0013148614468676222
raw05_compatible,all,soft,0.15,sqrt,5,5,0,0,0,0,-1.9054282297870095e-05,-1.4009095425334085e-05,2.0991998302844785e-05,0.0017669181758983028
raw05_compatible,all,hard,0.2,sign,5,5,0,0,0,0,-1.576877136311161e-05,-1.3950808258550785e-05,1.4160493456226608e-05,0.001765962332546198
raw05_compatible,all,soft,0.2,sign,5,5,0,0,0,0,-1.576877136311161e-05,-1.3950808258550785e-05,1.4160493456226608e-05,0.001765962332546198
raw05_compatible,non_q2s3,soft,0.15,raw,5,3,0,0,0,0,-1.965051737073953e-05,-1.3894948906949716e-05,3.399466773764042e-05,0.0013096482747403278
raw05_compatible,non_q2s3,hard,0.15,sqrt,5,5,0,0,0,0,-1.9749657528378428e-05,-1.3886420716210238e-05,2.032888682948374e-05,0.0017527282539727027
loo_raw05_compatible,non_q2s3,hard,0.3,sign,5,1,0,0,0,0,-1.442126790418552e-05,-1.3818928275955193e-05,7.372025257059764e-06,0.001103871000101567
loo_raw05_compatible,non_q2s3,soft,0.3,sign,5,1,0,0,0,0,-1.442126790418552e-05,-1.3818928275955193e-05,7.372025257059764e-06,0.001103871000101567
raw05_compatible,non_q2s3,soft,0.15,sqrt,5,5,0,0,0,0,-1.9165086599715053e-05,-1.3725110451788754e-05,2.07664491864272e-05,0.0017546174959194307
all,s_all,soft,0.3,raw,5,4,0,0,0,0,-1.3805765655794389e-05,-1.36979853298875e-05,1.143128738572023e-05,0.001022391370376998
loo_inverse_top,all,hard,0.2,sqrt,5,3,0,0,0,0,-1.5055831398269603e-05,-1.3613193019716274e-05,1.6810422408203237e-05,0.0012782328787220442
loo_inverse_top,non_q2s3,soft,0.2,raw,5,2,0,0,0,0,-1.6526085783397093e-05,-1.3575620901756796e-05,2.1767827973125686e-05,0.0012968438899952466
loo_raw05_compatible,non_q2s3,soft,0.2,sqrt,5,1,0,0,0,0,-1.53342557871472e-05,-1.3524196804540739e-05,7.4860512761167415e-06,0.001049077021312287
raw05_compatible,non_q2s3,hard,0.2,sign,5,5,0,0,0,0,-1.580013357027621e-05,-1.3482161707196501e-05,1.423747393532581e-05,0.0017703944884142253
raw05_compatible,non_q2s3,soft,0.2,sign,5,5,0,0,0,0,-1.580013357027621e-05,-1.3482161707196501e-05,1.423747393532581e-05,0.0017703944884142253
loo_raw05_compatible,non_q2s3,hard,0.2,sqrt,5,1,0,0,0,0,-1.537904500781284e-05,-1.3456601536480706e-05,7.567208440421052e-06,0.0010479677926791353
loo_inverse_top,q1q3_sall,hard,0.3,sign,5,1,0,0,0,0,-1.1176762712339361e-05,-1.345231753213824e-05,1.555612115287443e-05,0.0014018201956107223
loo_inverse_top,q1q3_sall,soft,0.3,sign,5,1,0,0,0,0,-1.1176762712339361e-05,-1.345231753213824e-05,1.555612115287443e-05,0.0014018201956107223
loo_raw05_compatible,non_q2s3,soft,0.3,raw,5,1,0,0,0,0,-1.371631402669049e-05,-1.341346783089861e-05,6.619585824258471e-06,0.0009542861003625495
loo_inverse_top,all,hard,0.3,sign,5,1,0,0,0,0,-1.0946943512446516e-05,-1.3276603764387247e-05,1.563389707644763e-05,0.0014037837436996136
loo_inverse_top,all,soft,0.3,sign,5,1,0,0,0,0,-1.0946943512446516e-05,-1.3276603764387247e-05,1.563389707644763e-05,0.0014037837436996136
loo_inverse_top,all,soft,0.2,sqrt,5,3,0,0,0,0,-1.4871191921006499e-05,-1.3194202603146184e-05,1.6403386018802063e-05,0.0012854719899643894
loo_inverse_top,non_q2s3,hard,0.2,sqrt,5,3,0,0,0,0,-1.4583659095568358e-05,-1.3117645092697034e-05,1.646026217579469e-05,0.0012690899428455422
raw05_compatible,non_q2s3,hard,0.3,sign,5,5,0,0,0,0,-1.5803633250710547e-05,-1.3012676231144693e-05,1.695137813321835e-05,0.0014226765989366064
raw05_compatible,non_q2s3,soft,0.3,sign,5,5,0,0,0,0,-1.5803633250710547e-05,-1.3012676231144693e-05,1.695137813321835e-05,0.0014226765989366064
all,all,hard,0.15,sign,5,2,0,0,0,0,-1.6367712828646575e-05,-1.298265194990497e-05,1.5087033947942522e-05,0.0012633135102357027
all,all,soft,0.15,sign,5,2,0,0,0,0,-1.6367712828646575e-05,-1.298265194990497e-05,1.5087033947942522e-05,0.0012633135102357027
loo_inverse_top,non_q2s3,soft,0.2,sqrt,5,3,0,0,0,0,-1.4398784050517754e-05,-1.2714143330773073e-05,1.601693153043649e-05,0.00127486022237973
all,non_q2s3,hard,0.15,sign,5,2,0,0,0,0,-1.59820523645271e-05,-1.2551018472603557e-05,1.5342710668011218e-05,0.00126369873224402
all,non_q2s3,soft,0.15,sign,5,2,0,0,0,0,-1.59820523645271e-05,-1.2551018472603557e-05,1.5342710668011218e-05,0.00126369873224402
loo_inverse_top,non_q2s3,hard,0.3,sign,5,1,0,0,0,0,-9.188736914800266e-06,-1.1180362848202783e-05,1.6228913254504946e-05,0.0014008210130459168
loo_inverse_top,non_q2s3,soft,0.3,sign,5,1,0,0,0,0,-9.188736914800266e-06,-1.1180362848202783e-05,1.6228913254504946e-05,0.0014008210130459168
loo_inverse_top,s_all,hard,0.3,raw,5,4,0,0,0,0,-9.769413428561968e-06,-1.1159300741025924e-05,3.7417397804979148e-06,0.0009545691949123277
all,all,soft,0.1,raw,5,1,0,0,0,0,-1.1332351107173899e-05,-1.1102337276402085e-05,6.784644487523356e-06,0.0009457659322826426
all,all,hard,0.1,raw,5,1,0,0,0,0,-1.1332131575003679e-05,-1.0954272232585059e-05,6.999061619626875e-06,0.0009459714910739344
loo_inverse_top,s_all,soft,0.3,raw,5,4,0,0,0,0,-9.83353475791926e-06,-1.0837748094275893e-05,4.213565864348179e-06,0.0009571460491516028
raw05_compatible,all,hard,0.15,sign,5,5,0,0,0,0,-1.2761624043178266e-05,-1.0535837278867285e-05,1.3957972209533111e-05,0.0016704426532191741
raw05_compatible,all,soft,0.15,sign,5,5,0,0,0,0,-1.2761624043178266e-05,-1.0535837278867285e-05,1.3957972209533111e-05,0.0016704426532191741
raw05_compatible,non_q2s3,hard,0.15,sign,5,5,0,0,0,0,-1.2797000813358217e-05,-1.0440624710012742e-05,1.4000497395733445e-05,0.0016710993583141302
raw05_compatible,non_q2s3,soft,0.15,sign,5,5,0,0,0,0,-1.2797000813358217e-05,-1.0440624710012742e-05,1.4000497395733445e-05,0.0016710993583141302
loo_raw05_compatible,all,hard,0.2,sign,5,1,0,0,0,0,-1.1990447404963689e-05,-9.81597374502591e-06,8.160515145608523e-06,0.001048322959943277
loo_raw05_compatible,all,soft,0.2,sign,5,1,0,0,0,0,-1.1990447404963689e-05,-9.81597374502591e-06,8.160515145608523e-06,0.001048322959943277
loo_inverse_top,s_all,hard,0.3,sqrt,5,4,0,0,0,0,-8.904596675241017e-06,-9.64555913825904e-06,8.958185548626934e-06,0.000968559558916587
loo_inverse_top,s_all,soft,0.3,sqrt,5,4,0,0,0,0,-8.929908172694567e-06,-9.46932819253295e-06,8.954008801761877e-06,0.0009694532070185643
loo_inverse_top,non_q2s3,hard,0.15,raw,5,2,0,0,0,0,-1.3066073403122935e-05,-9.240569935879107e-06,2.2003269778919797e-05,0.0012272690046849263
raw05_compatible,s_all,hard,0.3,raw,5,4,0,0,0,0,-1.0967214047585827e-05,-9.203262134480185e-06,1.1629435376154618e-05,0.001032784098337099
loo_inverse_top,all,hard,0.15,raw,5,2,0,0,0,0,-1.3036439601266103e-05,-9.10908095316722e-06,2.2596474590274447e-05,0.0012351219789880083
loo_inverse_top,all,hard,0.2,sign,5,1,0,0,0,0,-9.979330542697618e-06,-9.001570557123488e-06,1.4715232172612823e-05,0.0012513316305570214
loo_inverse_top,all,soft,0.2,sign,5,1,0,0,0,0,-9.979330542697618e-06,-9.001570557123488e-06,1.4715232172612823e-05,0.0012513316305570214
loo_raw05_compatible,non_q2s3,hard,0.2,sign,5,1,0,0,0,0,-1.1212834346685518e-05,-8.96871294162763e-06,8.510837247862828e-06,0.0010475660907241617
loo_raw05_compatible,non_q2s3,soft,0.2,sign,5,1,0,0,0,0,-1.1212834346685518e-05,-8.96871294162763e-06,8.510837247862828e-06,0.0010475660907241617
raw05_compatible,s_all,soft,0.3,raw,5,4,0,0,0,0,-1.0975247458300252e-05,-8.80182373869051e-06,1.2262977251528366e-05,0.0010353699570095282
loo_inverse_top,non_q2s3,hard,0.2,sign,5,1,0,0,0,0,-9.734499933689023e-06,-8.682029676544673e-06,1.4889083576620758e-05,0.0012527362298576073
loo_inverse_top,non_q2s3,soft,0.2,sign,5,1,0,0,0,0,-9.734499933689023e-06,-8.682029676544673e-06,1.4889083576620758e-05,0.0012527362298576073
loo_inverse_top,all,hard,0.15,sqrt,5,1,0,0,0,0,-1.1060617296609898e-05,-8.654619414730062e-06,1.55317907371887e-05,0.0012175087825887733
loo_inverse_top,non_q2s3,soft,0.15,raw,5,2,0,0,0,0,-1.2720466168292255e-05,-8.53968082121211e-06,2.3375659851784648e-05,0.0012338979013276723
loo_raw05_compatible,all,soft,0.15,raw,5,1,0,0,0,0,-8.79165033240703e-06,-8.539673187856556e-06,3.107684037092057e-06,0.0009004915262569794
