prior,strategy,targets,weight,base_loss,candidate_loss,delta,changed_blocks,mean_abs_shift,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
uniform_total,posterior_mode,"Q2,Q3",0.25,0.5604271644171386,0.563794288533645,0.0033671241165064147,100,0.6922360641822045,0.0,0.01418691121390725,0.009382957601637654,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,"Q2,Q3",0.5,0.5604271644171386,0.5659725115597929,0.005545347142654311,100,0.5423176274897518,0.0,0.02450178393143254,0.014315646067147081,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,"Q2,Q3",0.5,0.5604271644171386,0.5667628020764662,0.006335637659327653,100,0.5803292699525815,0.0,0.026111342206906585,0.018238121408386765,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,"Q2,Q3",0.5,0.5604271644171386,0.5681359693841068,0.007708804966968241,100,0.6922360641822045,0.0,0.03266139072214891,0.021300244046628336,0.0,0.0,0.0,0.0
exact_value,posterior_mean,"Q2,Q3",0.5,0.5604271644171386,0.5685999037296889,0.008172739312550359,100,1.560627165819302,0.0,0.026689814021231384,0.03051936116662024,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,"Q2,Q3",0.5,0.5604271644171386,0.5690382185593317,0.008611054142193098,100,1.5616502830611498,0.0,0.02882359232842535,0.03145378666692611,0.0,0.0,0.0,0.0
exact_value,posterior_mode,"Q2,Q3",0.5,0.5604271644171386,0.5690560982559864,0.008628933838847774,100,1.587179425583507,0.0,0.029882699024192494,0.030519837847741482,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,"Q2,Q3",0.75,0.5604271644171386,0.569563910736856,0.009136746319717393,100,0.5423176274897518,0.0,0.04047948834793469,0.023477735890086615,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,"Q2,Q3",0.75,0.5604271644171386,0.5708492465701226,0.010422082152984014,100,0.5803292699525815,0.0,0.043335803077706014,0.02961877199318208,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,"Q2,Q3",0.75,0.5604271644171386,0.5737660563866125,0.01333889196947391,100,0.6922360641822045,0.0,0.05718377597376578,0.036188467812550806,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,"Q2,Q3",1.0,0.5604271644171386,0.5737826512471835,0.01335548683004495,100,0.5423176274897518,0.0,0.05943705490404072,0.03405135290627359,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,"Q2,Q3",1.0,0.5604271644171386,0.5756466869680761,0.015219522550937503,100,0.5803292699525815,0.0,0.06383815955211003,0.042698498304451826,0.0,0.0,0.0,0.0
exact_value,posterior_mean,"Q2,Q3",0.75,0.5604271644171386,0.5782434816541927,0.017816317237054125,100,1.560627165819302,0.0,0.058173557255516206,0.06654066340386289,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,"Q2,Q3",0.75,0.5604271644171386,0.5788754160993358,0.018448251682197214,100,1.5616502830611498,0.0,0.06085722792163473,0.06828053385374588,0.0,0.0,0.0,0.0
exact_value,posterior_mode,"Q2,Q3",0.75,0.5604271644171386,0.5791238768225689,0.01869671240543036,100,1.587179425583507,0.0,0.06348110958213238,0.06739587725587992,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,"Q2,Q3",1.0,0.5604271644171386,0.5882455160415623,0.0278183516244237,100,0.6922360641822045,0.0,0.13977999732625535,0.054948464044710765,0.0,0.0,0.0,0.0
exact_value,posterior_mean,"Q2,Q3",1.0,0.5604271644171386,0.5926396470834796,0.032212482666341025,100,1.560627165819302,0.0,0.10599468304263249,0.11949269562175469,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,"Q2,Q3",1.0,0.5604271644171386,0.5934173790941868,0.03299021467704821,100,1.5616502830611498,0.0,0.10876049872460847,0.12217100401472891,0.0,0.0,0.0,0.0
exact_value,posterior_mode,"Q2,Q3",1.0,0.5604271644171386,0.5942315023246081,0.033804337907469506,100,1.587179425583507,0.0,0.11437934595367916,0.12225101939860683,0.0,0.0,0.0,0.0
