set,view,pending_pair,neighbor_rank,neighbor_pair,neighbor_family,neighbor_direction,distance,vote_new_won,vote_new_lost
top16,sequence_axis,e176_vs_e95_pending,3,e101_vs_mixmin,mixmin_relative_success,new_won,24.605326016462516,0.49926864089801704,0.500731359101983
top16,sequence_axis,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,24.605326016462538,0.49926864089801704,0.500731359101983
top16,sequence_axis,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,24.605326016462598,0.49926864089801704,0.500731359101983
top16,sequence_axis,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,24.899162096944437,0.49926864089801704,0.500731359101983
top16,sequence_axis_flank,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,23.906811790300594,0.501920727609381,0.4980792723906189
top16,sequence_axis_flank,e176_vs_e95_pending,2,mixmin_vs_a2c8,broad_public_success,new_won,23.941877134821727,0.501920727609381,0.4980792723906189
top16,sequence_axis_flank,e176_vs_e95_pending,3,e101_vs_mixmin,mixmin_relative_success,new_won,24.832037999695135,0.501920727609381,0.4980792723906189
top16,sequence_axis_flank,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,24.832037999695157,0.501920727609381,0.4980792723906189
top16,sequence_axis_flank,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,24.832037999695224,0.501920727609381,0.4980792723906189
top16,sequence_axis_flank,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,25.462655617882305,0.501920727609381,0.4980792723906189
top33,sequence_only,e176_vs_e95_pending,1,mixmin_vs_a2c8,broad_public_success,new_won,11.550287579872395,0.537886919250867,0.4621130807491331
top33,sequence_only,e176_vs_e95_pending,2,e101_vs_mixmin,mixmin_relative_success,new_won,13.92866365933063,0.537886919250867,0.4621130807491331
top33,sequence_only,e176_vs_e95_pending,3,e95_vs_mixmin,frontier_hardtail_success,new_won,14.178699543055622,0.537886919250867,0.4621130807491331
top33,sequence_only,e176_vs_e95_pending,4,e72_vs_e95,q2s3_gate_fail,new_lost,14.533536704624748,0.537886919250867,0.4621130807491331
top33,sequence_only,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,14.742114846714276,0.537886919250867,0.4621130807491331
top33,sequence_only,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,16.66237737513709,0.537886919250867,0.4621130807491331
top33,sequence_axis,e176_vs_e95_pending,1,mixmin_vs_a2c8,broad_public_success,new_won,13.567449844580784,0.536023565092535,0.463976434907465
top33,sequence_axis,e176_vs_e95_pending,2,e72_vs_e95,q2s3_gate_fail,new_lost,17.06984436061781,0.536023565092535,0.463976434907465
top33,sequence_axis,e176_vs_e95_pending,3,e101_vs_mixmin,mixmin_relative_success,new_won,17.162569860099214,0.536023565092535,0.463976434907465
top33,sequence_axis,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,17.60475638963021,0.536023565092535,0.463976434907465
top33,sequence_axis,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,18.195109304281814,0.536023565092535,0.463976434907465
top33,sequence_axis,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,20.05655977535701,0.536023565092535,0.463976434907465
top33,sequence_axis_flank,e176_vs_e95_pending,1,mixmin_vs_a2c8,broad_public_success,new_won,13.875484458185985,0.5376643875484601,0.4623356124515398
top33,sequence_axis_flank,e176_vs_e95_pending,2,e101_vs_mixmin,mixmin_relative_success,new_won,17.840178124539648,0.5376643875484601,0.4623356124515398
top33,sequence_axis_flank,e176_vs_e95_pending,3,e72_vs_e95,q2s3_gate_fail,new_lost,17.84964087133053,0.5376643875484601,0.4623356124515398
top33,sequence_axis_flank,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,18.225287814640062,0.5376643875484601,0.4623356124515398
top33,sequence_axis_flank,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,18.714171071050778,0.5376643875484601,0.4623356124515398
top33,sequence_axis_flank,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,20.87907495939424,0.5376643875484601,0.4623356124515398
