prior,strategy,weight,base_loss,candidate_loss,delta,changed_blocks,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
uniform_total,posterior_mode,0.25,0.5623851178987495,0.5655508745638341,0.0031657566650846736,100,0.0,0.013345129088363272,0.008815167567229887,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,0.5,0.5623851178987495,0.5674410650746736,0.005055947175924169,100,0.0,0.02214182834004441,0.013249801891424884,0.0,0.0,0.0,0.0
global_center,posterior_mean_nearest,0.5,0.5623851178987495,0.5678966572966472,0.0055115393978977245,100,0.0,0.0250498890137989,0.013530886771485506,0.0,0.0,0.0,0.0
global_center,posterior_mean,0.5,0.5623851178987495,0.5679583484527012,0.005573230553951758,100,0.0,0.022576872692171235,0.016435741185491293,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,0.5,0.5623851178987495,0.568246595822754,0.005861477924004599,100,0.0,0.02383304760244631,0.017197297865586436,0.0,0.0,0.0,0.0
global_center,posterior_mode,0.5,0.5623851178987495,0.5690747100245273,0.006689592125777799,100,0.0,0.02697538956155976,0.019851755318885278,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,0.5,0.5623851178987495,0.5696819322154344,0.007296814316684941,100,0.0,0.03083381547632369,0.02024388474047112,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,0.75,0.5623851178987495,0.5707730052508408,0.008387887352091394,100,0.0,0.03677489641931908,0.0219403150453209,0.0,0.0,0.0,0.0
global_center,posterior_mean_nearest,0.75,0.5623851178987495,0.5714292387666771,0.009044120867927607,100,0.0,0.041015370887751645,0.022293475187742273,0.0,0.0,0.0,0.0
global_center,posterior_mean,0.75,0.5623851178987495,0.5715672309101164,0.009182113011366955,100,0.0,0.037475119510092414,0.026799671569475825,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,0.75,0.5623851178987495,0.5720736828890428,0.009688564990293358,100,0.0,0.03970285903880533,0.028117095893248067,0.0,0.0,0.0,0.0
global_center,posterior_mode,0.75,0.5623851178987495,0.5737333926218954,0.011348274723145924,100,0.0,0.04547484097015575,0.03396308209186538,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,1.0,0.5623851178987495,0.5747159913778397,0.012330873479090232,100,0.0,0.05422271205936502,0.03209340229426694,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,0.75,0.5623851178987495,0.5750827472929113,0.012697629394161858,100,0.0,0.054156441476912565,0.03472696428222066,0.0,0.0,0.0,0.0
global_center,posterior_mean_nearest,1.0,0.5623851178987495,0.5755439950853194,0.01315887718656994,100,0.0,0.05963939642077831,0.03247274388521082,0.0,0.0,0.0,0.0
global_center,posterior_mean,1.0,0.5623851178987495,0.575794701061947,0.013409583163197514,100,0.0,0.05511432560373597,0.03875275653864607,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,1.0,0.5623851178987495,0.5765878131234432,0.014202695224693751,100,0.0,0.05862932809313437,0.040789538479721776,0.0,0.0,0.0,0.0
global_center,posterior_mode,1.0,0.5623851178987495,0.5795747226755246,0.017189604776775114,100,0.0,0.06846649925238746,0.05186073418503867,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,1.0,0.5623851178987495,0.5891964059931591,0.02681128809440969,100,0.0,0.134522701829624,0.05315631483124328,0.0,0.0,0.0,0.0
