candidate_id,label,family,source,strategy,selector,target_scope,graft_alpha,selected_cells,selected_s3_cells,all_delta_vs_mixmin,mean_vs_e95_broad_plausible,p95_vs_e95_broad_plausible,beat_e95_rate_broad_plausible,e101_pass,dominates_e101,e106_replaces_e101,prior_healthier_than_e101,tag
c0010,e104_amp_active_s3_all_a0.010_e1d75a68,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.01,39.0,,-2.6185531858846645e-05,-6.702478760405487e-07,-5.990248433660856e-08,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_e1d75a68
c0011,e104_amp_active_topgap40_a0.010_fd3be974,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.01,40.0,,-2.6185499099495857e-05,-6.717902026842386e-07,-6.022496273752811e-08,0.9779837775202781,True,False,False,False,e104_e95_q2s3_tail_graft_fd3be974
c0012,e104_amp_active_all_a0.010_9e5fd87f,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.01,50.0,,-2.6185284405122466e-05,-6.90478811390054e-07,-7.428422205830263e-08,0.9869640787949016,True,False,False,False,e104_e95_q2s3_tail_graft_9e5fd87f
c0013,e104_amp_active_s3_all_a0.015_46677d8e,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.015,39.0,,-2.617425747486468e-05,-1.0040809171030843e-06,-8.928287014121888e-08,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_46677d8e
c0014,e104_amp_active_topgap40_a0.015_65817819,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.015,40.0,,-2.6174206849027826e-05,-1.006388986897387e-06,-9.012002634224553e-08,0.9779837775202781,True,False,False,False,e104_e95_q2s3_tail_graft_65817819
c0015,e104_amp_active_all_a0.015_ae597c99,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.015,50.0,,-2.6173877328949935e-05,-1.0343945972054711e-06,-1.1116009012229773e-07,0.9866743916570104,True,False,False,False,e104_e95_q2s3_tail_graft_ae597c99
c0016,e104_amp_active_s3_all_a0.020_774a0212,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.02,39.0,,-2.6162753322012122e-05,-1.3370534710295616e-06,-1.1841765682334008e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_774a0212
c0017,e104_amp_active_topgap40_a0.020_c7aa74e2,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.02,40.0,,-2.6162683839037193e-05,-1.3401236725189402e-06,-1.1987016580722493e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_c7aa74e2
c0018,e104_amp_active_all_a0.020_2671fde9,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.02,50.0,,-2.6162234507132176e-05,-1.3774280810143458e-06,-1.4761865712142524e-07,0.9866743916570104,True,False,False,False,e104_e95_q2s3_tail_graft_2671fde9
c0019,e104_amp_active_s3_all_a0.025_e64765ba,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.025,39.0,,-2.615101942315956e-05,-1.669165620253724e-06,-1.474073552786353e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_e64765ba
c0020,e104_amp_active_topgap40_a0.025_7660b5e8,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.025,40.0,,-2.6150930092061486e-05,-1.6729943407946752e-06,-1.494753963548488e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_7660b5e8
c0021,e104_amp_active_all_a0.025_b968e624,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.025,50.0,,-2.615035596287285e-05,-1.719579346452508e-06,-1.8382215797534404e-07,0.9866743916570104,True,False,False,False,e104_e95_q2s3_tail_graft_b968e624
c0022,e104_amp_active_s3_all_a0.030_21eacc68,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.03,39.0,,-2.6139055801399635e-05,-2.000417448003917e-06,-1.761512161567021e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_21eacc68
c0023,e104_amp_active_topgap40_a0.030_829a7718,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.03,40.0,,-2.6138945631304367e-05,-2.0050010753542873e-06,-1.7861784247144348e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_829a7718
c0024,e104_amp_active_all_a0.030_9e61da20,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.03,50.0,,-2.6138241719486643e-05,-2.0608484775530242e-06,-2.1941565121757565e-07,0.9866743916570104,True,False,False,False,e104_e95_q2s3_tail_graft_9e61da20
c0025,e104_amp_active_s3_all_a0.035_04782ef2,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.035,39.0,,-2.6126862479380897e-05,-2.330809035920458e-06,-2.0464926342558413e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_04782ef2
c0026,e104_amp_active_topgap40_a0.035_0ba6a17b,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.035,40.0,,-2.6126730479858473e-05,-2.336143959431367e-06,-2.07321724474764e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_0ba6a17b
c0027,e104_amp_active_all_a0.035_e0356753,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.035,50.0,,-2.6125891799733125e-05,-2.40123555636364e-06,-2.545303671664898e-07,0.9866743916570104,True,False,False,False,e104_e95_q2s3_tail_graft_e0356753
c0028,e104_amp_active_s3_all_a0.040_e67148a1,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.04,39.0,,-2.611443948008496e-05,-2.660340466836988e-06,-2.3290152140591464e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_e67148a1
c0029,e104_amp_active_topgap40_a0.040_dcc61fb4,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.04,40.0,,-2.61142846605944e-05,-2.666423075466254e-06,-2.3579921626406122e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_dcc61fb4
c0030,e104_amp_active_all_a0.040_b3ae5535,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.04,50.0,,-2.6113306227038002e-05,-2.7407406673174405e-06,-2.892296067418823e-07,0.9863847045191193,True,False,False,False,e104_e95_q2s3_tail_graft_b3ae5535
c0031,e104_amp_active_s3_all_a0.045_8c686979,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.045,39.0,,-2.6101786826493445e-05,-2.9890118235858528e-06,-2.609080144179347e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_8c686979
c0032,e104_amp_active_topgap40_a0.045_f9e66c9f,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.045,40.0,,-2.6101608196493764e-05,-2.9958385062952934e-06,-2.6399181956502837e-07,0.977404403244496,True,False,False,False,e104_e95_q2s3_tail_graft_f9e66c9f
c0033,e104_amp_active_all_a0.045_92e74792,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.045,50.0,,-2.6100485023938802e-05,-3.079363891667525e-06,-3.235134108232436e-07,0.9860950173812283,True,False,False,False,e104_e95_q2s3_tail_graft_92e74792
c0034,e104_amp_active_s3_all_a0.050_e732a02c,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.05,39.0,,-2.608890454136592e-05,-3.316823188208059e-06,-2.8866876654744663e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_e732a02c
c0035,e104_amp_active_topgap40_a0.050_a097b4f2,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.05,40.0,,-2.608870111042716e-05,-3.324390334360831e-06,-2.918995628536978e-07,0.9771147161066048,True,False,False,False,e104_e95_q2s3_tail_graft_a097b4f2
c0036,e104_amp_active_all_a0.050_05dca362,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.05,50.0,,-2.6087428213972252e-05,-3.4171053142462755e-06,-3.581569213652465e-07,0.9860950173812283,True,False,False,False,e104_e95_q2s3_tail_graft_05dca362
c0037,e104_amp_active_s3_all_a0.055_6e978bac,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.055,39.0,,-2.6075792647350937e-05,-3.6437746423458917e-06,-3.16183801762926e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_6e978bac
c0038,e104_amp_active_topgap40_a0.055_a2917899,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.055,40.0,,-2.607556342526518e-05,-3.652078642103803e-06,-3.193786760562255e-07,0.9771147161066048,True,False,False,False,e104_e95_q2s3_tail_graft_a2917899
c0039,e104_amp_active_all_a0.055_0169c0d6,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.055,50.0,,-2.6074135819786903e-05,-3.7539650167060546e-06,-3.9259121568654864e-07,0.9858053302433372,True,False,False,False,e104_e95_q2s3_tail_graft_0169c0d6
c0040,e104_amp_active_s3_all_a0.060_3fc2b52d,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.06,39.0,,-2.6062451167208067e-05,-3.9698662680413385e-06,-3.430344548306824e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_3fc2b52d
c0041,e104_amp_active_topgap40_a0.060_04b94d21,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.06,40.0,,-2.6062195163656376e-05,-3.978903511172863e-06,-3.46068402690408e-07,0.9771147161066048,True,False,False,False,e104_e95_q2s3_tail_graft_04b94d21
c0042,e104_amp_active_all_a0.060_1e3f56c9,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.06,50.0,,-2.6060607864142327e-05,-4.089943081099002e-06,-4.267744431778879e-07,0.9858053302433372,True,False,False,False,e104_e95_q2s3_tail_graft_1e3f56c9
c0043,e104_amp_active_s3_all_a0.065_592c0cf1,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.065,39.0,,-2.604888012358586e-05,-4.295098146938455e-06,-3.695213818280781e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_592c0cf1
c0044,e104_amp_active_topgap40_a0.065_81f0f396,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.065,40.0,,-2.6048596348693387e-05,-4.304865024805379e-06,-3.723370828496314e-07,0.9771147161066048,True,False,False,False,e104_e95_q2s3_tail_graft_81f0f396
c0045,e104_amp_active_all_a0.065_f33abf1c,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.065,50.0,,-2.6046844370353206e-05,-4.425039591463208e-06,-4.6070662832943816e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_f33abf1c
c0046,e104_amp_active_s3_all_a0.070_9000b05b,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.07,39.0,,-2.6035079539243888e-05,-4.619470361079858e-06,-3.9575144797598174e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_9000b05b
c0047,e104_amp_active_topgap40_a0.070_5e761d0d,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.07,40.0,,-2.603476700291374e-05,-4.629963264253329e-06,-3.9861109726629927e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_5e761d0d
c0048,e104_amp_active_all_a0.070_8e4b5d2c,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.07,50.0,,-2.603284536106809e-05,-4.759254629454019e-06,-4.943877949359517e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_8e4b5d2c
c0049,e104_amp_active_s3_all_a0.075_4c0f1eae,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.075,39.0,,-2.6021049436608656e-05,-4.942982991317495e-06,-4.217270251646751e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_4c0f1eae
c0050,e104_amp_active_topgap40_a0.075_2647f9b4,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.075,40.0,,-2.6020707148965982e-05,-4.954198311167307e-06,-4.2470332486257e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_2647f9b4
c0051,e104_amp_active_all_a0.075_7573f66c,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.075,50.0,,-2.601861085893553e-05,-5.092588276728183e-06,-5.278179667930958e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_7573f66c
c0052,e104_amp_active_s3_all_a0.080_f5aba183,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.08,39.0,,-2.600678983855076e-05,-5.265636120092094e-06,-4.4739711109484905e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_f5aba183
c0053,e104_amp_active_topgap40_a0.080_5d27fff9,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.08,40.0,,-2.6006416809831734e-05,-5.2775702483893655e-06,-4.5047838598900664e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_5d27fff9
c0054,e104_amp_active_all_a0.080_25559785,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.08,50.0,,-2.60041408867151e-05,-5.425040615339161e-06,-5.609971678118549e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_25559785
c0055,e104_amp_active_s3_all_a0.085_a821daf0,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.085,39.0,,-2.59923007674967e-05,-5.587429828257487e-06,-4.72761735341482e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_a821daf0
c0056,e104_amp_active_topgap40_a0.085_25352cea,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.085,40.0,,-2.5991896008159543e-05,-5.600079157571995e-06,-4.7593631152536146e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_25352cea
c0057,e104_amp_active_all_a0.085_a005aabe,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.085,50.0,,-2.598943546727739e-05,-5.756611727740214e-06,-5.939254220197101e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_a005aabe
c0058,e104_amp_active_s3_all_a0.090_6eac8ecb,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.09,39.0,,-2.5977582245650943e-05,-5.9083641958715426e-06,-4.978209271876422e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_6eac8ecb
c0059,e104_amp_active_topgap40_a0.090_d24a6610,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.09,40.0,,-2.5977144765931826e-05,-5.92172511798243e-06,-5.01077131446688e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_d24a6610
c0060,e104_amp_active_all_a0.090_7bf3c295,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.09,50.0,,-2.597449462327095e-05,-6.087301695588606e-06,-6.266027532123919e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_7bf3c295
c0061,e104_amp_active_s3_all_a0.095_2051a495,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.095,39.0,,-2.5962634295995102e-05,-6.2284393057755155e-06,-5.224464033125757e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_2051a495
c0062,e104_amp_active_topgap40_a0.095_429a5bd7,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.095,40.0,,-2.5962163106352243e-05,-6.2425082132605744e-06,-5.259563963853736e-07,0.9768250289687138,True,False,False,False,e104_e95_q2s3_tail_graft_429a5bd7
c0063,e104_amp_active_all_a0.095_e13a398e,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.095,50.0,,-2.5959318377455354e-05,-6.417110600941051e-06,-6.565814392201956e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_e13a398e
c0064,e104_amp_active_s3_all_a0.100_25c5d1d6,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.1,39.0,,-2.5947456940622615e-05,-6.547655237632615e-06,-5.462379805616053e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_25c5d1d6
c0065,e104_amp_active_topgap40_a0.100_f6e80f37,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.1,40.0,,-2.5946951051736278e-05,-6.562428523868277e-06,-5.506267584464093e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_f6e80f37
c0066,e104_amp_active_all_a0.100_56c4f781,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.1,50.0,,-2.5943906752257107e-05,-6.746038524662815e-06,-6.893524896369222e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_56c4f781
c0067,e104_amp_active_s3_all_a0.105_e79ad634,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.105,39.0,,-2.593205020195999e-05,-6.866012072298574e-06,-5.704799271671836e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_e79ad634
c0068,e104_amp_active_topgap40_a0.105_d9a16d3c,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.105,40.0,,-2.5931508624510435e-05,-6.881486130665291e-06,-5.749961702911563e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_d9a16d3c
c0069,e104_amp_active_all_a0.105_f25f1852,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.105,50.0,,-2.5928259770546802e-05,-7.074085549209073e-06,-7.225684017395573e-07,0.9855156431054461,True,False,False,False,e104_e95_q2s3_tail_graft_f25f1852
c0070,e104_amp_active_s3_all_a0.110_2997c700,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.11,39.0,,-2.591641410265577e-05,-7.183509891424287e-06,-5.944297132684563e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_2997c700
c0071,e104_amp_active_topgap40_a0.110_04f55502,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.11,40.0,,-2.5915835847434288e-05,-7.199681115703836e-06,-5.990646613708637e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_04f55502
c0072,e104_amp_active_all_a0.110_eb921b59,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.11,50.0,,-2.5912377454639923e-05,-7.40125175504877e-06,-7.548033238712526e-07,0.985225955967555,True,False,False,False,e104_e95_q2s3_tail_graft_eb921b59
c0073,e104_amp_active_s3_all_a0.115_2776c94e,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.115,39.0,,-2.590054866469238e-05,-7.50014877427789e-06,-6.181384440785059e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_2776c94e
c0074,e104_amp_active_topgap40_a0.115_29552cd9,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.115,40.0,,-2.5899932742712295e-05,-7.517013559050693e-06,-6.228322604204602e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_29552cd9
c0075,e104_amp_active_all_a0.115_b0795328,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.115,50.0,,-2.589625982718502e-05,-7.727537223844199e-06,-7.862263965848534e-07,0.984936268829664,True,False,False,False,e104_e95_q2s3_tail_graft_b0795328
c0076,e104_amp_active_s3_all_a0.120_5d99df87,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.12,39.0,,-2.588445391049632e-05,-7.815928801717072e-06,-6.416265526919309e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_5d99df87
c0077,e104_amp_active_topgap40_a0.120_16cb0f9a,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.12,40.0,,-2.588379933265994e-05,-7.833483541170237e-06,-6.465325885954179e-07,0.9765353418308227,True,False,False,False,e104_e95_q2s3_tail_graft_16cb0f9a
c0078,e104_amp_active_all_a0.120_e7d1e38b,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.12,50.0,,-2.5879906910386552e-05,-8.052942035668412e-06,-8.173986883673425e-07,0.984936268829664,True,False,False,False,e104_e95_q2s3_tail_graft_e7d1e38b
c0079,e104_amp_active_s3_all_a0.125_2b36d860,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.125,39.0,,-2.586812986238307e-05,-8.130850054203648e-06,-6.660452949941953e-07,0.9756662804171495,True,False,False,False,e104_e95_q2s3_tail_graft_2b36d860
c0080,e104_amp_active_topgap40_a0.125_83025f0e,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.125,40.0,,-2.586743563970373e-05,-8.149091142925612e-06,-6.710329688034431e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_83025f0e
c0081,e104_amp_active_all_a0.125_9ae4f392,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.125,50.0,,-2.5863318727226137e-05,-8.37746627337732e-06,-8.483202233632977e-07,0.984936268829664,True,False,False,False,e104_e95_q2s3_tail_graft_9ae4f392
c0082,e104_amp_active_s3_all_a0.130_28ad4ed7,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.13,39.0,,-2.5851576542446075e-05,-8.444912611404337e-06,-6.91010050540636e-07,0.9756662804171495,True,False,False,False,e104_e95_q2s3_tail_graft_28ad4ed7
c0083,e104_amp_active_topgap40_a0.130_382e2eb4,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.13,40.0,,-2.5850841686159143e-05,-8.463836444782195e-06,-6.957907692910396e-07,0.9762456546929317,True,False,False,False,e104_e95_q2s3_tail_graft_382e2eb4
c0084,e104_amp_active_all_a0.130_b854666b,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.13,50.0,,-2.5846495299575167e-05,-8.701110015853116e-06,-8.791129117100773e-07,0.9843568945538818,True,False,False,False,e104_e95_q2s3_tail_graft_b854666b
c0085,e104_amp_active_s3_all_a0.135_304d301e,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.135,39.0,,-2.5834814078029567e-05,-8.758188504565325e-06,-7.162703448999455e-07,0.9753765932792584,True,False,False,False,e104_e95_q2s3_tail_graft_304d301e
c0086,e104_amp_active_topgap40_a0.135_ffc55295,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.135,40.0,,-2.5834037599592463e-05,-8.777791478784814e-06,-7.206052664611985e-07,0.9759559675550405,True,False,False,False,e104_e95_q2s3_tail_graft_ffc55295
c0087,e104_amp_active_all_a0.135_5099c1e0,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.135,50.0,,-2.5829436650193216e-05,-9.023873345158224e-06,-9.098793122985028e-07,0.9843568945538818,True,False,False,False,e104_e95_q2s3_tail_graft_5099c1e0
c0088,e104_amp_active_s3_all_a0.140_76f3191d,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.14,39.0,,-2.5817828604779436e-05,-9.070628117292392e-06,-7.414356682992348e-07,0.9750869061413673,True,False,False,False,e104_e95_q2s3_tail_graft_76f3191d
c0089,e104_amp_active_topgap40_a0.140_d373af5f,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.14,40.0,,-2.581700951564958e-05,-9.090906628543256e-06,-7.452785993074506e-07,0.9756662804171495,True,False,False,False,e104_e95_q2s3_tail_graft_d373af5f
c0090,e104_amp_active_all_a0.140_ddc4997b,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.14,50.0,,-2.581214280117372e-05,-9.345756340971565e-06,-9.407647040852738e-07,0.9843568945538818,True,False,False,False,e104_e95_q2s3_tail_graft_ddc4997b
c0091,e104_amp_active_s3_all_a0.145_2f06a4ee,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.145,39.0,,-2.5800614444571046e-05,-9.382211129625008e-06,-7.664891409541504e-07,0.9750869061413673,True,False,False,False,e104_e95_q2s3_tail_graft_2f06a4ee
c0092,e104_amp_active_topgap40_a0.145_83933b1e,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.145,40.0,,-2.579975175587279e-05,-9.403161572909038e-06,-7.698072844160392e-07,0.9756662804171495,True,False,False,False,e104_e95_q2s3_tail_graft_83933b1e
c0093,e104_amp_active_all_a0.145_344a3e5c,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.145,50.0,,-2.5794613774943187e-05,-9.666759084165066e-06,-9.7144928696314e-07,0.9843568945538818,True,False,False,False,e104_e95_q2s3_tail_graft_344a3e5c
c0094,e104_amp_active_s3_all_a0.150_87c9a928,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.15,39.0,,-2.5783171619053746e-05,-9.692937619643686e-06,-7.897623075846007e-07,0.9750869061413673,True,False,False,False,e104_e95_q2s3_tail_graft_87c9a928
