scenario_id,family,mask_name,order_name,gamma,complete_budget,achieved_e72_delta,target_e72_delta,budget_coverage,positive_cells_available,selected_full_cells,selected_fractional_cells,alpha,lambda,solved,det,tail_mixmin,pred_mixmin,pred_vs_e95_mixmin,tail_failed_e72,pred_failed_e72,pred_vs_e95_failed_e72,tail_e85,pred_e85,pred_vs_e95_e85,tail_e86,pred_e86,pred_vs_e95_e86,tail_noq2,pred_noq2,pred_vs_e95_noq2,tail_e90,pred_e90,pred_vs_e95_e90,tail_e89,pred_e89,pred_vs_e95_e89,tail_e95,pred_e95,pred_vs_e95_e95,winner_live,best_live_delta,abs_e72_residual,abs_e95_residual,is_positive_transfer,is_broad_plausible,is_tight_plausible,is_near_unit_tail
d0011,deterministic,s2,bottom,,True,0.0001011367,0.0001011367,1.0,149,89,89.2532334995467,-2.130554380114294,0.7778412744156646,True,3.6151239808864433e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-6.493577095703243e-05,3.590141132515164e-07,1.5669714113300044e-05,-7.879433262228409e-05,-2.2606217857132243e-06,1.3050078214335303e-05,-7.882454869677735e-05,-3.902879463616466e-06,1.1407820536432062e-05,-7.857055984081282e-05,-3.7345133878876032e-06,1.1576186612160924e-05,-7.53772410139607e-05,-3.458795345361707e-06,1.185190465468682e-05,-9.146721125791498e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,False,False,False,False
d0012,deterministic,s2,median,,True,0.0001011367,0.0001011367,1.0,149,48,48.36295074671409,-2.015635419774637,0.7898241883524448,True,3.560276686801772e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-6.33198042414154e-05,-1.8865606731547765e-06,1.342413932689375e-05,-7.704800901626603e-05,-5.0094486235024885e-06,1.0301251376546039e-05,-7.707437567366113e-05,-6.561714792613344e-06,8.748985207435183e-06,-7.737260021823378e-05,-6.824881851303089e-06,8.485818148745438e-06,-7.155890674326959e-05,-4.3221574467948565e-06,1.098854255325367e-05,-8.626634512308689e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,False,False,False,False
d0013,deterministic,s3,top,,True,0.0001011367,0.0001011367,1.0,39,7,7.0398793752234035,16.20330133443176,2.689562495243117,True,1.0455204701273035e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001521941051675,2.2468420237183907e-05,3.7779120237232434e-05,0.000164608415475,-6.201936900381119e-06,9.108763099667408e-06,0.0001818597332642,5.2507518100282705e-05,6.781821810033123e-05,0.0001586220109658,-9.769739577133335e-06,5.540960422915193e-06,0.0001521941051675,-1.026435562783665e-05,5.0463443722118776e-06,0.0001521941051675,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0014,deterministic,s3,bottom,,True,0.0001011367,0.0001011367,1.0,39,28,28.310493346570993,16.630965854494566,2.734156243068371,True,1.0284681614638164e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001525597905786,2.004432491493533e-05,3.5355024914983857e-05,0.0001651006196078,-9.364485251333026e-06,5.946214748715501e-06,0.0001825523411382,5.0987137107167204e-05,6.629783710721573e-05,0.0001610587417611,-7.551812445561086e-06,7.758887554487441e-06,0.0001525597905786,-1.3552388896538787e-05,1.75831110350974e-06,0.0001538110814674,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0015,deterministic,s3,median,,True,0.0001011367,0.0001011367,1.0,39,23,23.985294431594316,16.42098836829836,2.7122613169542307,True,1.0367705452589303e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001524809234226,2.1503516301405953e-05,3.681421630145448e-05,0.0001649945489941,-7.449433441985946e-06,7.861266558062581e-06,0.0001824032438709,5.22438483668575e-05,6.755454836690603e-05,0.0001616610732166,-3.7893068722564746e-06,1.1521393127792053e-05,0.0001524809234226,-1.1669015681285168e-05,3.641684318763359e-06,0.0001530238122422,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0016,deterministic,q2s3,top,,True,0.0001011367,0.0001011367,1.0,79,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0017,deterministic,q2s3,bottom,,True,0.0001011367,0.0001011367,1.0,79,32,32.14205373575916,8.684111152582853,1.9055159936295365,True,1.4757119089340153e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,8.297081713500514e-05,-4.923807227229964e-05,-3.3927372272251114e-05,0.0001170006942448,-1.765415902025156e-05,-2.3434590202030335e-06,9.936213267837332e-05,-4.4666699040014956e-05,-2.935599903996643e-05,0.0001144557575992,-1.578654901596282e-05,-4.7584901591429265e-07,8.297081713500502e-05,-6.678110613172591e-05,-5.147040613167738e-05,0.0001114014257305,-1.5310700000048527e-05,0.0,e89,-6.678110613172591e-05,0.0,0.0,True,False,False,False
d0018,deterministic,q2s3,median,,True,0.0001011367,0.0001011367,1.0,79,18,18.40273969347435,2.452460364570914,1.2557247419848188,True,2.239338407889187e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,3.612315780682152e-05,-1.3193763889703575e-05,2.1169361103449524e-06,8.439638029678232e-05,3.803107525233106e-05,5.334177525237959e-05,4.315400106231449e-05,-1.189466840774581e-05,3.416031592302717e-06,6.127576216879761e-05,1.089488369447115e-05,2.6205583694519677e-05,3.612315780682152e-05,-1.8148052758031996e-05,-2.8373527579834685e-06,3.8990940138589595e-05,-1.5310700000048527e-05,0.0,e89,-1.8148052758031996e-05,0.0,0.0,True,True,True,True
d0019,deterministic,s1s2s3,top,,True,0.0001011367,0.0001011367,1.0,385,7,7.0398793752234035,16.20330133443176,2.689562495243117,True,1.0455204701273035e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001521941051675,2.2468420237183907e-05,3.7779120237232434e-05,0.000164608415475,-6.201936900381119e-06,9.108763099667408e-06,0.0001818597332642,5.2507518100282705e-05,6.781821810033123e-05,0.0001586220109658,-9.769739577133335e-06,5.540960422915193e-06,0.0001521941051675,-1.026435562783665e-05,5.0463443722118776e-06,0.0001521941051675,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0020,deterministic,s1s2s3,bottom,,True,0.0001011367,0.0001011367,1.0,385,158,158.87737081099414,0.8329913153253219,1.086858280062152,True,2.5872670761661255e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,1.2386790309172702e-05,-6.425666686543567e-06,8.88503331350496e-06,1.5350801208009772e-05,-6.3946035521408725e-06,8.916096447907655e-06,1.6797908992792758e-05,-4.188911644009504e-06,1.1121788356039023e-05,1.4316028644385967e-05,-6.874948607228486e-06,8.435751392820041e-06,1.2438345685623618e-05,-8.05238408265194e-06,7.258315917396586e-06,5.99878513119949e-06,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0021,deterministic,s1s2s3,median,,True,0.0001011367,0.0001011367,1.0,385,56,56.54412305817654,1.2311714474296627,1.1283776102078455,True,2.49206703414239e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,2.2102184395807494e-05,-4.45562021085551e-06,1.0855079789193018e-05,2.7437184276598973e-05,-3.151171434161596e-06,1.2159528565886931e-05,2.8689699366288225e-05,-8.024409905104762e-07,1.4508259009538051e-05,2.471010635937333e-05,-5.276052766333232e-06,1.0034647233715295e-05,2.255165410245776e-05,-6.435575089750393e-06,8.875124910298134e-06,1.5026079601389626e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0022,deterministic,live_q2s1s2s3,top,,True,0.0001011367,0.0001011367,1.0,425,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0023,deterministic,live_q2s1s2s3,bottom,,True,0.0001011367,0.0001011367,1.0,425,158,158.87737081099414,0.8329913153253219,1.086858280062152,True,2.5872670761661255e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,1.2386790309172702e-05,-6.425666686543567e-06,8.88503331350496e-06,1.5350801208009772e-05,-6.3946035521408725e-06,8.916096447907655e-06,1.6797908992792758e-05,-4.188911644009504e-06,1.1121788356039023e-05,1.4316028644385967e-05,-6.874948607228486e-06,8.435751392820041e-06,1.2438345685623618e-05,-8.05238408265194e-06,7.258315917396586e-06,5.99878513119949e-06,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0024,deterministic,live_q2s1s2s3,median,,True,0.0001011367,0.0001011367,1.0,425,42,42.88066540611226,1.6481483569570154,1.1718569316855443,True,2.3996040544119216e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,3.134297709620673e-05,-2.6214116824649066e-06,1.268928831758362e-05,3.892612280527484e-05,-4.75370028636053e-08,1.5263162997184922e-05,4.0526396877075594e-05,3.079986781759395e-06,1.8390686781807922e-05,3.625935815220084e-05,-1.8977860380153087e-06,1.3412913962033218e-05,3.464481934479535e-05,-2.0815989717641714e-06,1.3229101028284356e-05,2.3793833563201e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0025,deterministic,e72_top20_abs,top,,True,0.0001011367,0.0001011367,1.0,184,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0026,deterministic,e72_top20_abs,bottom,,True,0.0001011367,0.0001011367,1.0,184,81,81.85269614517713,1.7856056367384228,1.1861899777619809,True,2.3706090062983087e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,2.4657214988871298e-05,-1.3384660885317605e-05,1.9260391147309226e-06,2.736565680990348e-05,-1.7010889493686343e-05,-1.700189493637816e-06,3.0249952002631086e-05,-1.2232898516526455e-05,3.077801483522072e-06,2.6343869597808186e-05,-1.6841784526591826e-05,-1.5310845265432992e-06,2.465721498887117e-05,-1.6991816481842728e-05,-1.6811164817942008e-06,2.654327391989371e-05,-1.5310700000048527e-05,0.0,e86,-1.7010889493686343e-05,0.0,0.0,True,True,True,True
d0027,deterministic,e72_top20_abs,median,,True,0.0001011367,0.0001011367,1.0,184,33,33.12085971773255,2.9271409757632676,1.3052209860733872,True,2.154418810658956e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,3.643224930262964e-05,-2.233576028376142e-05,-7.025060283712892e-06,5.0944398914780486e-05,-1.460528825762953e-05,7.054117424189964e-07,4.39424596345815e-05,-2.1520380759255055e-05,-6.209680759206528e-06,4.9466765821932274e-05,-1.4269827094022105e-05,1.0408729060264226e-06,3.6432249302629565e-05,-2.8248965716865116e-05,-1.2938265716816589e-05,4.704339677822103e-05,-1.5310700000048527e-05,0.0,e89,-2.8248965716865116e-05,0.0,0.0,True,True,True,True
d0028,deterministic,e72_top50_hard,top,,True,0.0001011367,0.0001011367,1.0,447,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0029,deterministic,e72_top50_hard,bottom,,True,0.0001011367,0.0001011367,1.0,447,43,43.80701363588824,1.1933919620911282,1.1244382400634458,True,2.5007977710760496e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,1.5070416614461564e-05,-1.1547461220979475e-05,3.763238779069052e-06,1.8001022846108034e-05,-1.2822923907626766e-05,2.4877760924217617e-06,1.880500433039217e-05,-1.1012180050994963e-05,4.2985199490535645e-06,1.7705367742175105e-05,-1.2232299336958247e-05,3.0784006630902806e-06,1.570103474300699e-05,-1.3249177041268484e-05,2.061522958780043e-06,1.419819201261858e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0030,deterministic,e72_top50_hard,median,,True,0.0001011367,0.0001011367,1.0,447,26,26.50715965547092,0.8912634435172776,1.0929344740598477,True,2.5728831061736274e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,4.337837043805103e-06,-1.653867560447333e-05,-1.2279756044248022e-06,1.034725863196812e-05,-1.3384353278077672e-05,1.926346721970855e-06,5.905395308313726e-06,-1.756185395773937e-05,-2.2511539576908438e-06,1.1262753482004114e-05,-1.1694398719867553e-05,3.6163012801809745e-06,6.551552540278653e-06,-1.5919697683489396e-05,-6.089976834408686e-07,7.362737604458122e-06,-1.5310700000048527e-05,0.0,noq2,-1.756185395773937e-05,0.0,0.0,True,True,True,True
d0031,deterministic,e95_fallback_cells,top,,True,0.0001011367,0.0001011367,1.0,134,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0032,deterministic,e95_fallback_cells,bottom,,True,0.0001011367,0.0001011367,1.0,134,47,47.42005816027668,32.508481995307605,4.389748226174268,True,6.405817599507389e-10,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001905922077464,6.0485079186063835e-05,7.579577918611236e-05,0.0002311823967851,0.0001141567457267601,0.00012946744572680862,0.000235671678269,0.00015856288247898724,0.00017387358247903577,0.0002256330497341,0.00011494132420295769,0.00013025202420300622,0.0002182234856361,0.00011610807107087734,0.00013141877107092587,0.0001905922077464,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0033,deterministic,e95_fallback_cells,median,,True,0.0001011367,0.0001011367,1.0,134,21,21.013712154028553,8.485114038964564,1.8847660209609034,True,1.4919584782357842e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001098608532465,4.4729315506087265e-06,1.9783631550657254e-05,0.0001324488109206,1.4547553296495786e-05,2.9858253296544314e-05,0.0001364984365131,2.8626976969062094e-05,4.393767696911062e-05,0.0001306134684814,1.7651468484182123e-05,3.296216848423065e-05,0.0001166949713732,2.1261136784529624e-07,1.5523311367893823e-05,0.0001098608532465,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0034,deterministic,e95_nonfallback_cells,top,,True,0.0001011367,0.0001011367,1.0,759,17,17.820694053808005,-0.9233832496165576,0.9037163060115445,True,3.1115878132970426e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-3.5523820321923865e-05,-1.0056921654028104e-05,5.253778346020423e-06,-4.37196560615903e-05,-1.3927029960404103e-05,1.3836700396444246e-06,-4.3718438036246094e-05,-1.4627498099689577e-05,6.832019003589499e-07,-4.371965606159021e-05,-1.4641252816159664e-05,6.694471838888633e-07,-3.746040258206413e-05,-9.94168837421421e-06,5.369011625834317e-06,-4.371965606159021e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,False,False,False,False
d0035,deterministic,e95_nonfallback_cells,bottom,,True,0.0001011367,0.0001011367,1.0,759,198,198.7167127061919,-0.9664456267424246,0.8992260743083748,True,3.1271253412287165e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-3.755915030261648e-05,-1.0699483610973618e-05,4.611216389074909e-06,-4.519299406645254e-05,-1.3862501909792265e-05,1.4481980902562618e-06,-4.507490315181225e-05,-1.4490598337346444e-05,8.20101662702083e-07,-4.489890156753068e-05,-1.4345577213974015e-05,9.651227860745124e-07,-4.590007149877825e-05,-1.624751158620763e-05,-9.368115861591028e-07,-4.519299406645299e-05,-1.5310700000048527e-05,0.0,e89,-1.624751158620763e-05,0.0,0.0,False,False,False,False
d0036,deterministic,e95_nonfallback_cells,median,,True,0.0001011367,0.0001011367,1.0,759,52,52.09635375006379,-0.27922611272005926,0.9708843304209142,True,2.896320968785473e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-1.896459216447534e-05,-1.1745672425327134e-05,3.5650275747213934e-06,-2.3307089493708853e-05,-1.4892285645426514e-05,4.18414354622013e-07,-2.331166486071539e-05,-1.5108878444286177e-05,2.0182155576234984e-07,-2.2659623792797115e-05,-1.4479648480033679e-05,8.310515200148484e-07,-2.2705763254493835e-05,-1.4813843754203393e-05,4.968562458451346e-07,-2.3307089493708792e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,False,False,False,False
