candidate,scenario,source,direction,rank,feature,family,target_family,value_scaled,coef,contribution
e172,direct_vs_e95,candidate_direct,negative,2,abs__z__target_not_e72_S1_support_swing,target,S1,7.440197926318664,-0.09112176039851838,-0.6779639327595626
e172,direct_vs_e95,candidate_direct,negative,3,abs__z__target_between_not_e72_Q1_support_swing,target,Q1,4.280450510970771,-0.1491388997607282,-0.6383816796864276
e172,direct_vs_e95,candidate_direct,negative,4,abs__z__target_between_Q2_support_swing,target,Q2,3.9824577562806,-0.1359680415706297,-0.5414869817592373
e172,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_Q1_support_swing,target,Q1,3.057463583830613,-0.1649430552596996,-0.504307384862292
e172,direct_vs_e95,candidate_direct,negative,6,abs__z__target_all_Q2_support_swing,target,Q2,2.8300658450893414,-0.1636266581471837,-0.4630742165684542
e172,direct_vs_e95,candidate_direct,negative,7,abs__z__target_between_not_e72_Q2_support_swing,target,Q2,3.620763040954553,-0.12753872471636601,-0.461787500743495
e172,direct_vs_e95,candidate_direct,negative,8,abs__z__target_not_e72_S3_support_swing,target,S3,2.3759959747159116,-0.18076163103514722,-0.4294889077225926
e166,direct_vs_e95,candidate_direct,positive,1,abs__z__target_top1_S2_support_swing,target,S2,4.8007935851918315,0.2898367106961244,1.3914462214630545
e166,direct_vs_e95,candidate_direct,positive,2,abs__z__target_top33_Q2_support_swing,target,Q2,3.2300048565101465,0.22663335448602523,0.7320268356370471
e166,direct_vs_e95,candidate_direct,positive,3,abs__z__target_all_S2_support_swing,target,S2,2.2643584111182125,0.20887936356769235,0.4729777438035233
e166,direct_vs_e95,candidate_direct,positive,4,abs__z__target_all_S4_support_swing,target,S4,1.3043969884996802,0.25225010761895744,0.32903428072688834
e166,direct_vs_e95,candidate_direct,positive,5,abs__z__target_between_S4_support_swing,target,S4,1.830809117484012,0.14965445399042585,0.2739887388377632
e166,direct_vs_e95,candidate_direct,positive,6,abs__z__target_top4_S1_support_swing,target,S1,2.3862350360052176,0.09607824091844853,0.229265264677352
e166,direct_vs_e95,candidate_direct,positive,7,abs__z__target_top16_S1_support_swing,target,S1,1.2625453632576702,0.08130826073082091,0.10265536758024364
e166,direct_vs_e95,candidate_direct,positive,8,abs__z__target_between_S2_support_swing,target,S2,1.0670905235379822,0.09267948392709448,0.09889739902499325
e166,direct_vs_e95,candidate_direct,positive,9,abs__z__target_top16_S2_support_swing,target,S2,2.604668145377989,0.009163430071039527,0.02386769440843542
e166,direct_vs_e95,candidate_direct,positive,10,abs__z__target_top33_S1_support_swing,target,S1,1.1570172604494617,0.0029669423915054914,0.003432803557731058
e166,direct_vs_e95,candidate_direct,positive,11,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e166,direct_vs_e95,candidate_direct,positive,12,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e166,direct_vs_e95,candidate_direct,negative,1,abs__z__target_between_not_e72_Q1_support_swing,target,Q1,4.917617125680519,-0.1491388997607282,-0.7334080075685072
e166,direct_vs_e95,candidate_direct,negative,2,abs__z__target_between_not_e72_S1_support_swing,target,S1,6.383115822966977,-0.1074140241318417,-0.6856361570445155
e166,direct_vs_e95,candidate_direct,negative,3,abs__z__target_not_e72_S1_support_swing,target,S1,7.143930784468202,-0.09112176039851838,-0.6509675492459109
e166,direct_vs_e95,candidate_direct,negative,4,abs__z__target_not_e72_Q1_support_swing,target,Q1,3.2983354011877575,-0.1649430552596996,-0.5440375183431357
e166,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_S3_support_swing,target,S3,2.9832805494474783,-0.18076163103514722,-0.5392626579535563
e166,direct_vs_e95,candidate_direct,negative,6,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.694260984912164,-0.16985016284345572,-0.45762066703010046
e166,direct_vs_e95,candidate_direct,negative,7,abs__z__target_between_Q2_support_swing,target,Q2,3.278337216957564,-0.1359680415706297,-0.4457490909978285
e166,direct_vs_e95,candidate_direct,negative,8,abs__z__target_between_not_e72_Q2_support_swing,target,Q2,2.9778677896531414,-0.12753872471636601,-0.37979346026630534
e154,direct_vs_e95,candidate_direct,positive,1,abs__z__target_between_S4_support_swing,target,S4,5.066519422684325,0.14965445399042585,0.7582271978337103
e154,direct_vs_e95,candidate_direct,positive,2,abs__z__target_between_S2_support_swing,target,S2,5.6225385504393905,0.09267948392709448,0.5210939712149166
e154,direct_vs_e95,candidate_direct,positive,3,abs__z__target_all_S2_support_swing,target,S2,0.9768109112995024,0.20887936356769235,0.20403564147821765
e154,direct_vs_e95,candidate_direct,positive,4,abs__z__target_all_S4_support_swing,target,S4,0.8043814469195915,0.25225010761895744,0.20290530655215966
e154,direct_vs_e95,candidate_direct,positive,5,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e154,direct_vs_e95,candidate_direct,positive,6,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e154,direct_vs_e95,candidate_direct,positive,7,abs__z__target_not_e72_q_swing_share,target,no_target,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,positive,8,abs__z__target_not_e72_q_cell_share,target,no_target,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,positive,9,abs__z__target_not_e72_S4_swing_share,target,S4,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,positive,10,abs__z__target_not_e72_S3_swing_share,target,S3,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,positive,11,abs__z__target_not_e72_S3_cell_share,target,S3,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,positive,12,abs__z__target_not_e72_S2_swing_share,target,S2,0.0,0.0,0.0
e154,direct_vs_e95,candidate_direct,negative,1,abs__z__target_between_not_e72_S2_support_swing,target,S2,5.8311530270551675,-0.1123949564986742,-0.655392190812978
e154,direct_vs_e95,candidate_direct,negative,2,abs__z__target_between_not_e72_S4_support_swing,target,S4,4.777920706659704,-0.12688434205282148,-0.6062433252450684
e154,direct_vs_e95,candidate_direct,negative,3,abs__z__target_not_e72_S3_support_swing,target,S3,2.2213572867479927,-0.18076163103514722,-0.4015361662643764
e154,direct_vs_e95,candidate_direct,negative,4,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.3206135189383383,-0.16985016284345572,-0.3941565840884016
e154,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_Q1_support_swing,target,Q1,2.0474610684346315,-0.1649430552596996,-0.337714484152897
e154,direct_vs_e95,candidate_direct,negative,6,abs__z__target_top33_S2_support_swing,target,S2,2.497599026042707,-0.11940360389212107,-0.2982223247869507
e154,direct_vs_e95,candidate_direct,negative,7,abs__z__target_all_Q1_support_swing,target,Q1,2.403431317095591,-0.1219791444471967,-0.2931684957969193
e154,direct_vs_e95,candidate_direct,negative,8,abs__z__target_all_S3_support_swing,target,S3,2.4295390461151283,-0.10697916931145933,-0.2599100689631517
e144,direct_vs_e95,candidate_direct,positive,1,abs__z__target_top1_S2_support_swing,target,S2,4.8007935851918315,0.2898367106961244,1.3914462214630545
e144,direct_vs_e95,candidate_direct,positive,2,abs__z__target_between_S4_support_swing,target,S4,5.120350870833856,0.14965445399042585,0.7662833138140422
e144,direct_vs_e95,candidate_direct,positive,3,abs__z__target_between_S2_support_swing,target,S2,6.449347603055169,0.09267948392709448,0.5977222075175969
e144,direct_vs_e95,candidate_direct,positive,4,abs__z__target_all_S2_support_swing,target,S2,1.4094691771816579,0.20887936356769235,0.2944090246979837
e144,direct_vs_e95,candidate_direct,positive,5,abs__z__target_all_S4_support_swing,target,S4,0.7630456895508423,0.25225010761895744,0.19247835730738155
