candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,transition_gate,row_gate,weight,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
toward_teacher|low_slack_half|all|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777324082709763,-2.079435671098473e-06,0.577595769477845,0.5772122603547579,0.5780444225515632,0.00045897737882657174,0.002327353603259826,0.005600000000003824,268955.0,low_slack_half,all,all,trans_bal_raw_consensus,all,0.07,0.08,0.42857142857142855,a1f4c835,45.0,1.0,-0.00027120661325552575,-0.00014951616784311114,-8.99004474007592e-05,22.0,1.0,-0.0003870065296435743,-0.0002165136093338792,-0.0001979900112586419,11.0,1.0,-0.0006120912515685806,-0.00040210597075052146,-0.0003975070885365861,22.0,1.0,-0.0002824922917167849,-0.00022549585671644,-0.0001878475390953982,3.3662220422329135e-06,0.0005017161162474897,0.00026207568512555835,0.000502437888242369,0.00013376217443367844,0.00048223825082140636,0.0002459599289569424,0.0005704318738694184,0.0002885726403163703,0.00038819595501909487,0.0002593249506348219,0.0003259795484304386,-0.00010005974971864506,0.00044184201915578505,-0.0007397384055817635,True,True,False,True,True,False,False,-2.079435671098473e-06
toward_teacher|all|all|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777324175077231,-2.0701989242866148e-06,0.5775958526188388,0.5772126159694274,0.578044196381429,0.0004726659722293101,0.0023939135250335437,0.005600000000003824,314.0,all,all,all,trans_bal_raw_consensus,all,0.07,0.08,0.436,cf0f57b0,45.0,1.0,-0.00025366972581220004,-0.0001562428382720249,-0.0001242458451642392,22.0,1.0,-0.00037940853253526363,-0.0003069340437469981,-0.00022391363611806714,11.0,1.0,-0.0006642653844969315,-0.00039116906070879587,-0.00038796906070859283,22.0,1.0,-0.00023719168096508758,-0.00018440169912732341,-0.00014377860628778105,3.667234170643613e-05,0.0005167387874378968,0.0002563656335305118,0.0005286928544333009,0.0001648018471611371,0.0005060934764252251,0.00025760355239312584,0.0005616863411579144,0.00029155803321509574,0.00039659627293412434,0.00026493664305038964,0.00032042153709212684,-6.938259751604625e-05,0.00047843253612458227,-0.0007874246222553504,True,True,False,True,True,False,False,-2.0701989242866148e-06
toward_teacher|raw_energy_half|no_q2|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777324287482649,-2.0589583824559554e-06,0.5775967861440782,0.5772167575614974,0.5780417304758318,0.00037590163197117325,0.0018913408869883324,0.005600000000003824,99721.0,raw_energy_half,no_q2,all,trans_bal_raw_consensus,all,0.07,0.08,0.3422857142857143,f9a081a3,45.0,0.7111111111111111,-7.628483263044661e-05,4.064744798575326e-05,0.0001203168324285242,22.0,1.0,-0.00040102981864659215,-0.0002793875885571673,-9.36089542429297e-05,11.0,1.0,-0.0007153338004692866,-0.00040902981864665566,-0.00040262981864658265,22.0,0.8181818181818182,-3.9795427821898155e-05,3.9707771110331164e-05,0.00010890043063271904,5.5810209401189025e-05,0.0005463218648835579,7.993605777301126e-18,1.0658141036401503e-17,0.0002175337771247806,0.00043220694789259685,0.0002567950117302027,0.0005179454988065868,0.0003294269390408537,0.0003933353928913015,0.00026063038921441724,0.0003392170868528263,1.3659195069815055e-06,0.00040228463247133294,-0.0008252197383939952,True,True,False,True,True,False,False,-2.0589583824559554e-06
toward_teacher|low_slack_half|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.050,toward_teacher,0.5777325002363015,-1.9874703458544474e-06,0.57759751535569,0.5772205351965232,0.5780398811291416,0.0002609369863671575,0.0013302288688227348,0.0035000000000042775,282533.0,low_slack_half,no_s3,all,trans_bal_raw_consensus,all,0.07,0.05,0.388,9a537838,45.0,1.0,-0.00015513966746527608,-9.132049305207165e-05,-4.583060970853037e-05,22.0,1.0,-0.0002191751741290049,-0.00013338183155421342,-0.00012296429423086508,11.0,1.0,-0.00035183845929742663,-0.00022987461523593655,-0.00022447573302208923,22.0,1.0,-0.00016451336915906944,-0.00012219820025602954,-0.00011003044686463959,2.232433244762022e-06,0.0003164883328010128,0.00016516239437148884,0.00031868618386204694,8.44304373051904e-05,0.0003050240636146387,0.00015396046946715753,0.000357371804771935,0.00018362424127562005,0.00024794008098937334,1.5543122344752192e-18,9.547918011776345e-18,-6.341611687162863e-05,0.00028104843853108617,-0.00042482107985293837,True,True,False,True,True,False,False,-1.9874703458544474e-06
toward_teacher|all|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.050,toward_teacher,0.5777325518797162,-1.9358269311986476e-06,0.5775976527560359,0.5772209446217487,0.578039676727516,0.0002696897333344111,0.001369900424931268,0.0035000000000042775,13589.0,all,no_s3,all,trans_bal_raw_consensus,all,0.07,0.05,0.39485714285714285,a68f5aa7,45.0,1.0,-0.00013343864503123637,-8.852785403026253e-05,-6.424520793957278e-05,22.0,1.0,-0.00021873542959860437,-0.0001814021453854231,-0.00012765479266385604,11.0,1.0,-0.0003865429206495463,-0.0002252987322939326,-0.0002212987322939286,22.0,1.0,-0.00012954671884751745,-0.00010038683023777528,-8.838863131588326e-05,2.5879692309213444e-05,0.00032632117530783896,0.00016165695599196984,0.000331824759226353,0.00010511882963476238,0.0003188256970283697,0.00016060394835194552,0.00035361191805133866,0.0001837308244878396,0.0002511789469416713,1.5543122344752192e-18,9.547918011776345e-18,-4.631744286487233e-05,0.00030606563678529626,-0.0004562114682261531,True,True,False,True,True,False,False,-1.9358269311986476e-06
toward_teacher|raw_energy_half|no_s3|all|trans_bal_raw_consensus|teacher_row_top50|w0.070|c0.080,toward_teacher,0.5777325583933819,-1.9293132654807366e-06,0.5775979378126285,0.577222188366001,0.5780388399630556,0.0002425725836633148,0.0011882239960031846,0.005600000000003824,106279.0,raw_energy_half,no_s3,all,trans_bal_raw_consensus,teacher_row_top50,0.07,0.08,0.21314285714285713,ecf9198e,45.0,0.6888888888888889,-4.208457456056358e-05,2.070114132932678e-05,4.0158285255831316e-05,22.0,1.0,-0.00030274810894120874,-0.00022499096875762127,-5.9183259997652726e-05,11.0,1.0,-0.0005615832599974446,-0.00031234810894131826,-0.0003091481089411152,22.0,0.7727272727272727,-2.7684574560538078e-05,2.5438285255907673e-05,4.0158285255831316e-05,7.809717626695429e-05,0.00031666699494358624,0.00022591378970858455,0.0003298917430370745,0.00011710207853598742,0.00023775659059836572,0.00017969559060238116,0.0003345557156588879,0.00022603944744415327,0.00025853292647139305,1.5543122344752192e-18,9.547918011776345e-18,4.69297608647824e-05,0.00022060411493388677,-0.0006438787446888305,True,True,False,True,True,False,False,-1.9293132654807366e-06
toward_teacher|raw_energy_half|no_s3|all|trans_bal_raw_consensus|all|w0.050|c0.080,toward_teacher,0.577732567470948,-1.9202356993375247e-06,0.5775981543962715,0.5772224763204703,0.578038670332568,0.00029123073810464345,0.0014298391726505412,0.004000000000002668,106243.0,raw_energy_half,no_s3,all,trans_bal_raw_consensus,all,0.05,0.08,0.3628571428571429,803957fd,45.0,0.7333333333333333,-4.379677995891562e-05,2.240882019590718e-05,3.634535629370994e-05,22.0,1.0,-0.00030587084440902856,-0.0002318335137055927,-7.193448919540213e-05,11.0,1.0,-0.0005629137258327255,-0.00031387084440903656,-0.00031158513012330413,22.0,0.8181818181818182,-3.067503429693419e-05,2.4953556151574578e-05,3.634535629370994e-05,3.985653545355544e-05,0.00039014058609867445,0.0002449228226498681,0.0004015840117404168,0.000155417410789638,0.0003087150852138587,0.00018343895843824282,0.00036989141078090556,0.00023532901021423546,0.0002809792417371758,1.5543122344752192e-18,9.547918011776345e-18,9.902189937810447e-07,0.00028730483116146333,-0.0006457611149308761,True,True,False,True,True,False,False,-1.9202356993375247e-06
toward_teacher|all|no_q2|all|trans_bal_raw_consensus|all|w0.050|c0.080,toward_teacher,0.5777325704389096,-1.917267737794326e-06,0.577596922603185,0.5772180150920714,0.5780414673460191,0.0002836389621785575,0.0014770599311501747,0.004000000000003112,6959.0,all,no_q2,all,trans_bal_raw_consensus,all,0.05,0.08,0.37714285714285717,e78c55e2,45.0,1.0,-0.00014673189050362634,-9.65792186168768e-05,-4.7796335596927975e-05,22.0,1.0,-0.0002242790883360546,-0.0001850297450002869,-0.00014673189050362634,11.0,1.0,-0.00038084947182515094,-0.00023087895383677726,-0.0002285932395509338,22.0,1.0,-0.00014516219651633522,-0.00011410400333116132,-9.241476495991385e-05,2.619483811286477e-05,0.0003690090044693191,7.993605777301126e-18,1.0658141036401503e-17,0.00011775892886021011,0.00036146863456674685,0.00018403139454863178,0.0004011237357727126,0.0002082821409095067,0.00028329790244130306,0.00018927478343835818,0.00022890257858837788,-4.9516477536846185e-05,0.0003416708794114325,-0.0004532423993347079,True,True,False,True,True,False,False,-1.917267737794326e-06
toward_teacher|all|no_s3|all|trans_safe_not_opposed|all|w0.070|c0.080,toward_teacher,0.5777326238266418,-1.8638800055592597e-06,0.5775968702318975,0.5772171834234544,0.5780420607748338,0.0005583740737314433,0.00282557581924335,0.005600000000003824,14010.0,all,no_s3,all,trans_safe_not_opposed,all,0.07,0.08,0.5228571428571429,856a4bab,45.0,1.0,-0.00031718022589177775,-0.0002337799251835637,-0.00019619374399970635,22.0,1.0,-0.0004128585922573147,-0.0003178655054437706,-0.0002963450238175902,11.0,1.0,-0.0007888878286890222,-0.00043169840395840264,-0.0004252984039582186,22.0,1.0,-0.0003216458611882689,-0.00026868463180308445,-0.00023050222671150422,2.7023021846839857e-05,0.0006460412242186641,0.0003018757832406529,0.0007265354975404763,0.0002855500876945788,0.000712106816157643,0.00031334513207308834,0.0006421148425391713,0.00021664828973972438,0.0006200709712662864,1.5543122344752192e-18,9.547918011776345e-18,-5.929699470947214e-05,0.000561749164397852,-0.0009285304522678006,True,True,False,True,True,False,False,-1.8638800055592597e-06
toward_teacher|low_slack_half|no_s3|all|trans_safe_not_opposed|all|w0.070|c0.080,toward_teacher,0.5777326513559814,-1.8363506659735407e-06,0.5775968998294905,0.5772174094244259,0.5780419553658007,0.0005512106798340879,0.0027930657061592387,0.005600000000003824,282960.0,low_slack_half,no_s3,all,trans_safe_not_opposed,all,0.07,0.08,0.516,570c8eb1,45.0,1.0,-0.0003294503543173066,-0.00018202028038505347,-0.00014795497212860553,22.0,1.0,-0.0004211057164010268,-0.00020414872026052171,-0.00018005415129684899,11.0,1.0,-0.0007220018825961905,-0.00043940515750806597,-0.0004316062752940386,22.0,1.0,-0.00037742526240702734,-0.0003076476271442585,-0.00026932272169721827,5.2141998948836974e-06,0.0006494929339077765,0.0003130596314797445,0.0007138541977504161,0.00024323210676415087,0.0006878342487888186,0.0003057599756324193,0.0006516368120991986,0.00023516298916739453,0.0006230783605948358,1.5543122344752192e-18,9.547918011776345e-18,-8.255458864356569e-05,0.0005325782056975601,-0.0008647982074049376,True,True,False,True,True,False,False,-1.8363506659735407e-06
toward_teacher|raw_energy_quarter|no_q2|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777326667275599,-1.8209790875189924e-06,0.5775969112811911,0.5772172800811449,0.5780419052506856,0.00035341369894107224,0.0017337137739346841,0.005600000000003824,189361.0,raw_energy_quarter,no_q2,all,trans_bal_raw_consensus,all,0.07,0.08,0.3137142857142857,a99c5fb6,45.0,0.7111111111111111,-4.758545536409642e-05,5.1602901428471355e-05,0.00011168094242475224,22.0,1.0,-0.00039651032442805656,-0.00017801123619870518,-6.866396635707428e-05,11.0,1.0,-0.0007807757698008455,-0.0004061103244281661,-0.00039971032442798204,22.0,0.8181818181818182,-2.7173200916719153e-05,4.3310120537198946e-05,9.916585519198495e-05,5.0928079237226085e-05,0.0004925752926951544,7.993605777301126e-18,1.0658141036401503e-17,0.00023797801302047905,0.0004219660483484665,0.0002824377582384545,0.0004896988890009128,0.00032518783460707123,0.00038707217542733864,0.0002643908024772369,0.0003541576626137184,2.7516127659829802e-05,0.0003284258245019044,-0.0008870618964442967,True,True,False,True,True,False,False,-1.8209790875189924e-06
toward_teacher|raw_energy_half|all|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777326679815656,-1.819725081730894e-06,0.5775969543801237,0.577216027520318,0.5780425165942055,0.0004562202057904701,0.002238574841710757,0.005600000000003824,93199.0,raw_energy_half,all,all,trans_bal_raw_consensus,all,0.07,0.08,0.40514285714285714,aa75c802,45.0,0.6888888888888889,-4.9483427584151585e-05,3.6196825021384e-05,5.9515563169521e-05,22.0,1.0,-0.0004707871178144529,-0.00034505485482939636,-9.527622051519469e-05,11.0,1.0,-0.0008658471518075972,-0.0004819871178144419,-0.00047878711781446093,22.0,0.7727272727272727,-3.111298365743309e-05,1.2464769800224492e-05,5.9515563169521e-05,5.5810209401189025e-05,0.0005463218648835579,0.00034286855677544457,0.000562230016735088,0.0002175337771247806,0.00043220694789259685,0.0002567950117302027,0.0005179454988065868,0.0003294269390408537,0.0003933353928913015,0.00026063038921441724,0.0003392170868528263,1.3659195069815055e-06,0.00040228463247133294,-0.000991292274019623,True,True,False,True,True,False,False,-1.819725081730894e-06
toward_teacher|all|no_s3|all|trans_bal_agree|all|w0.070|c0.080,toward_teacher,0.5777326965187246,-1.7911879227616723e-06,0.5775969143609981,0.5772172243973036,0.5780421636626999,0.0005632726900303684,0.0028716403964671256,0.005600000000003824,13316.0,all,no_s3,all,trans_bal_agree,all,0.07,0.08,0.532,d3eb0e25,45.0,1.0,-0.00032310214558251005,-0.00023711135074158118,-0.00019891566369045766,22.0,1.0,-0.00041539317650512997,-0.00032058742513452193,-0.0002990669435083415,11.0,1.0,-0.0007948097483797545,-0.00043442032364915395,-0.0004280203236489699,22.0,1.0,-0.00032596778087889966,-0.00027460655149380564,-0.00023322414640225553,1.708657723391499e-05,0.0006620643274452076,0.0003018757832406529,0.0007265354975404763,0.00028844373868260786,0.0007150004671456721,0.0003217825331519325,0.0006505522436180154,0.00022120590630904767,0.0006246285878356097,1.5543122344752192e-18,9.547918011776345e-18,-5.6918452479735706e-05,0.0005641277066275885,-0.0009357250438502939,True,True,False,True,True,False,False,-1.7911879227616723e-06
toward_teacher|raw_energy_half|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.050,toward_teacher,0.5777327229596982,-1.7647469491288703e-06,0.5775984104137412,0.5772234213848002,0.5780384530012952,0.00025623610639463623,0.0012599173500842612,0.0035000000000042775,106237.0,raw_energy_half,no_s3,all,trans_bal_raw_consensus,all,0.07,0.05,0.3628571428571429,b6a0570e,45.0,0.7333333333333333,-3.830621255085376e-05,1.8759426912606795e-05,3.148822608267654e-05,22.0,1.0,-0.00026785451939281835,-0.00020278487142975088,-6.375578795259074e-05,11.0,1.0,-0.0004919094682558356,-0.0002748545193929086,-0.0002728545193927401,22.0,0.8181818181818182,-2.7376761303932184e-05,2.072370400260093e-05,3.148822608267654e-05,3.413184667551622e-05,0.0003425479494419834,0.00021726204453061527,0.0003544667082051174,0.0001365546288950349,0.0002706790676299983,0.000158756798744266,0.0003253920168164726,0.00020773381125159063,0.0002476781266997782,1.5543122344752192e-18,9.547918011776345e-18,1.9702806230104673e-06,0.0002528888759690944,-0.0005644537193591481,True,True,False,True,True,False,False,-1.7647469491288703e-06
