view_id,split,story,source,mapped_family,r2,corr
raw_human_context,subject5,low_hr_recovery,human_social,physiology_activity,-2.6505231841868273,0.2477836055163237
raw_human_context,subject5,ritual_anchor,human_social,routine_calendar,-1.0177969019449904,0.20152224486356488
raw_human_context,subject5,sedentary_screen_day,human_social,media_game,-5.48926226972588,0.47105957932095677
raw_human_context,subject5,afterwork_recovery,human_social,mobility_context,-0.9192617245006678,0.3037160893697326
raw_human_context,subject5,screen_fragmentation,human_social,bedtime_phone,-1.2249759303700953,0.18693102799521233
raw_human_context,subject5,charge_bed_anchor,human_social,routine_calendar,-1.6465192764315177,0.14898855544934342
raw_human_context,subject5,overtraining_arousal,human_social,physiology_activity,-0.8557241761752248,0.4593385491241247
raw_human_context,subject5,deepnight_phone_awake,human_social,bedtime_phone,0.20948716484392715,0.6714958301394753
raw_human_context,subject5,payeom_post3_late_shopping,cashflow,cognitive_money,-1.5739559589848153,-0.04424559579676148
raw_human_context,subject5,pay20_post3_relief_home,cashflow,routine_calendar,-1.604887063596427,-0.01840720375452734
raw_human_context,subject5,pay25_pre3_cash_stress,cashflow,cognitive_money,-0.8305758191196011,0.12473832088275666
raw_human_context,dateblock5,commute_workday,human_social,mobility_context,0.33000365589599645,0.6412249113479642
raw_human_context,dateblock5,bright_light_late,human_social,bedtime_phone,0.2885077946750775,0.6372032504376204
raw_human_context,dateblock5,vehicle_noise_day,human_social,mobility_context,-0.7170708617937025,0.09888298832463781
raw_human_context,dateblock5,single_app_monotony,human_social,routine_calendar,-0.32293683999146605,0.3416358048814783
raw_human_context,dateblock5,app_entropy_scattered_day,human_social,routine_calendar,-0.07115008518169885,0.44482534126307166
raw_human_context,dateblock5,heart_stress_late,human_social,physiology_activity,0.8528636136264576,0.9254946964096208
raw_human_context,dateblock5,outdoor_nature_day,human_social,mobility_context,-0.397437344959759,0.2682403485135956
raw_human_context,dateblock5,morning_after_badnight,human_social,diary_global,0.3849001274321161,0.6600177079091754
raw_human_context,dateblock5,quiet_dark_bedtime,human_social,routine_calendar,0.2558932275703748,0.590825564315194
raw_human_context,dateblock5,media_binge_late,human_social,media_game,0.6561673949875348,0.8148615190594221
raw_human_context,dateblock5,night_out_mobility,human_social,mobility_context,-0.6029470471034317,0.2215147115320904
raw_human_context,dateblock5,weekday_routine_pressure,human_social,routine_calendar,0.16407671744951813,0.5638017824333234
raw_human_context,dateblock5,phone_in_bed,human_social,bedtime_phone,-0.014084261153226807,0.45300904198740666
raw_human_context,dateblock5,paymonth_start_post7_spend_outing,cashflow,cognitive_money,-0.721614334921054,0.06861864557828659
raw_human_context,dateblock5,monthstart_spending_reset,cashflow,cognitive_money,-0.9104289765170264,0.028610191886706524
raw_human_context,dateblock5,paymonth_start_post3_late_shopping,cashflow,cognitive_money,-0.710677339644282,-0.026649827914342134
raw_human_context,dateblock5,weekend_ritual_rest,human_social,routine_calendar,0.292833293637605,0.6038877303829032
raw_human_context,dateblock5,low_hr_recovery,human_social,physiology_activity,-0.05280191125768474,0.5242148778742789
raw_human_context,dateblock5,ritual_anchor,human_social,routine_calendar,-0.03210364563311052,0.3725090377257829
raw_human_context,dateblock5,sedentary_screen_day,human_social,media_game,0.47507655250970027,0.7292687556318648
raw_human_context,dateblock5,afterwork_recovery,human_social,mobility_context,-0.12079460609497938,0.4191524889449459
raw_human_context,dateblock5,screen_fragmentation,human_social,bedtime_phone,-0.8489905319541842,0.18095664654103205
raw_human_context,dateblock5,charge_bed_anchor,human_social,routine_calendar,-0.36251719893146306,0.23681474625997062
raw_human_context,dateblock5,overtraining_arousal,human_social,physiology_activity,0.2688250198200718,0.6876848412160506
raw_human_context,dateblock5,deepnight_phone_awake,human_social,bedtime_phone,0.5701294215455253,0.777096733236669
raw_human_context,dateblock5,payeom_post3_late_shopping,cashflow,cognitive_money,-0.49375599119962765,0.0030294617633183246
raw_human_context,dateblock5,pay20_post3_relief_home,cashflow,routine_calendar,-0.9941711711123642,-0.19687994452272992
raw_human_context,dateblock5,pay25_pre3_cash_stress,cashflow,cognitive_money,-0.35516624908013084,0.27125356827963
hybrid_context,subject5,commute_workday,human_social,mobility_context,-0.04649942544119612,0.6146348980340776
hybrid_context,subject5,bright_light_late,human_social,bedtime_phone,-1.4806730905893426,0.41369610877263735
hybrid_context,subject5,vehicle_noise_day,human_social,mobility_context,0.13937313740470558,0.6599751312552733
hybrid_context,subject5,single_app_monotony,human_social,routine_calendar,0.12491173585582316,0.5834052631788695
hybrid_context,subject5,app_entropy_scattered_day,human_social,routine_calendar,0.5244384873819206,0.7612352118432772
hybrid_context,subject5,heart_stress_late,human_social,physiology_activity,0.43431710113307753,0.773500713872423
hybrid_context,subject5,outdoor_nature_day,human_social,mobility_context,0.3648385817493399,0.7082028342517831
hybrid_context,subject5,morning_after_badnight,human_social,diary_global,0.3345925868755357,0.6597872021588874
hybrid_context,subject5,quiet_dark_bedtime,human_social,routine_calendar,-0.8697140924869655,0.38296504186225216
hybrid_context,subject5,media_binge_late,human_social,media_game,0.12359497266500818,0.6371228830948844
hybrid_context,subject5,night_out_mobility,human_social,mobility_context,-1.2241782571553452,0.3732731943484359
hybrid_context,subject5,weekday_routine_pressure,human_social,routine_calendar,0.041306153441417526,0.6050108921009926
hybrid_context,subject5,phone_in_bed,human_social,bedtime_phone,-0.0617373377595678,0.5635686714908728
hybrid_context,subject5,paymonth_start_post7_spend_outing,cashflow,cognitive_money,-0.6463740319760054,0.27996035124404606
hybrid_context,subject5,monthstart_spending_reset,cashflow,cognitive_money,-0.3039380565823333,0.43609894146315115
hybrid_context,subject5,paymonth_start_post3_late_shopping,cashflow,cognitive_money,0.5281971573239455,0.7662383353200192
hybrid_context,subject5,weekend_ritual_rest,human_social,routine_calendar,-0.07628578671240271,0.5591218885689649
hybrid_context,subject5,low_hr_recovery,human_social,physiology_activity,-0.3876369824469208,0.49337869836336723
hybrid_context,subject5,ritual_anchor,human_social,routine_calendar,-0.28670906794628226,0.3764171526193254
hybrid_context,subject5,sedentary_screen_day,human_social,media_game,0.015280596226515564,0.6577212927090939
hybrid_context,subject5,afterwork_recovery,human_social,mobility_context,-0.9872143910813878,0.3207357270170796
hybrid_context,subject5,screen_fragmentation,human_social,bedtime_phone,-0.9345305868639515,0.2618776632899497
hybrid_context,subject5,charge_bed_anchor,human_social,routine_calendar,-1.258242024137394,0.28118974952313663
hybrid_context,subject5,overtraining_arousal,human_social,physiology_activity,0.1667783818228864,0.6334485831683812
hybrid_context,subject5,deepnight_phone_awake,human_social,bedtime_phone,-0.22515338007323393,0.5890774871956245
hybrid_context,subject5,payeom_post3_late_shopping,cashflow,cognitive_money,0.03295533607927248,0.5844908729412319
hybrid_context,subject5,pay20_post3_relief_home,cashflow,routine_calendar,0.23429747049396343,0.5846094003748148
hybrid_context,subject5,pay25_pre3_cash_stress,cashflow,cognitive_money,-0.7285191602331063,0.21070668875011042
hybrid_context,dateblock5,commute_workday,human_social,mobility_context,0.5254777919055611,0.7552570507112892
hybrid_context,dateblock5,bright_light_late,human_social,bedtime_phone,0.1780863732493453,0.6182393372364741
hybrid_context,dateblock5,vehicle_noise_day,human_social,mobility_context,0.6182018425873097,0.7999756251748451
hybrid_context,dateblock5,single_app_monotony,human_social,routine_calendar,0.4786228445758809,0.7137082342650828
hybrid_context,dateblock5,app_entropy_scattered_day,human_social,routine_calendar,0.6783397092993012,0.8260871976518162
hybrid_context,dateblock5,heart_stress_late,human_social,physiology_activity,0.7979345267933733,0.8946808159330256
hybrid_context,dateblock5,outdoor_nature_day,human_social,mobility_context,0.6626277399127263,0.821005954333785
hybrid_context,dateblock5,morning_after_badnight,human_social,diary_global,0.4267731434622508,0.7140576225058615
hybrid_context,dateblock5,quiet_dark_bedtime,human_social,routine_calendar,0.07344202081168005,0.4888930215488918
hybrid_context,dateblock5,media_binge_late,human_social,media_game,0.4890879800738296,0.7407312088188414
hybrid_context,dateblock5,night_out_mobility,human_social,mobility_context,0.020966969390990076,0.48011397729535
hybrid_context,dateblock5,weekday_routine_pressure,human_social,routine_calendar,0.5199845328782966,0.7424726752877057
hybrid_context,dateblock5,phone_in_bed,human_social,bedtime_phone,0.3665937917812967,0.664378902007011
hybrid_context,dateblock5,paymonth_start_post7_spend_outing,cashflow,cognitive_money,-0.25371321838709937,0.34746984703081485
hybrid_context,dateblock5,monthstart_spending_reset,cashflow,cognitive_money,0.07276432173883662,0.503207762377585
hybrid_context,dateblock5,paymonth_start_post3_late_shopping,cashflow,cognitive_money,0.7212626242035113,0.8543207633279439
hybrid_context,dateblock5,weekend_ritual_rest,human_social,routine_calendar,0.47729099359347804,0.7203306522107338
hybrid_context,dateblock5,low_hr_recovery,human_social,physiology_activity,0.06920557396038562,0.5742198903724631
hybrid_context,dateblock5,ritual_anchor,human_social,routine_calendar,0.25816443029601355,0.5647049727276382
hybrid_context,dateblock5,sedentary_screen_day,human_social,media_game,0.5560581280185057,0.7637295416120792
hybrid_context,dateblock5,afterwork_recovery,human_social,mobility_context,-0.5213435980289258,0.3736267871884604
hybrid_context,dateblock5,screen_fragmentation,human_social,bedtime_phone,-0.9843568522916892,0.25085647202152267
hybrid_context,dateblock5,charge_bed_anchor,human_social,routine_calendar,0.035460463604531145,0.46421393210802203
hybrid_context,dateblock5,overtraining_arousal,human_social,physiology_activity,0.5282023880434179,0.7498062563595164
hybrid_context,dateblock5,deepnight_phone_awake,human_social,bedtime_phone,0.6149645271076636,0.7998131343246487
hybrid_context,dateblock5,payeom_post3_late_shopping,cashflow,cognitive_money,0.5265413149139302,0.7404053908094884
hybrid_context,dateblock5,pay20_post3_relief_home,cashflow,routine_calendar,0.29036818818951526,0.608669922226847
hybrid_context,dateblock5,pay25_pre3_cash_stress,cashflow,cognitive_money,-0.05963390022649895,0.3655578112027599
