block_idx,block_id,subject_id,n_rows,len_bin,context_type,start,end,method,row_logloss,count_nll_per_row,rate_mae,count_mae,support_min,support_mean,dominant_stage
11,pseudo_id02_l16_s0,id02,16,11-16,before_train_run,2024-07-17,2024-08-07,edge_shrink025,0.5808567769431054,0.15218109909489794,0.12276785714285714,1.9642857142857142,,,
11,pseudo_id02_l16_s0,id02,16,11-16,before_train_run,2024-07-17,2024-08-07,edge_shrink050,0.6468024784671619,0.21812680061895434,0.16071428571428573,2.5714285714285716,,,
11,pseudo_id02_l16_s0,id02,16,11-16,before_train_run,2024-07-17,2024-08-07,calendar_count_strict,0.5317709681658116,0.10309529031760409,0.05622766395614203,0.8996426232982725,5.0,15.714285714285714,lenbin_both_edges
11,pseudo_id02_l16_s0,id02,16,11-16,before_train_run,2024-07-17,2024-08-07,calendar_count_local,0.5320292589583198,0.10335358111011221,0.058033497381778223,0.9285359581084516,5.0,16.571428571428573,lenbin_both_edges
12,pseudo_id02_l16_s8,id02,16,11-16,between_train_runs,2024-07-29,2024-08-16,subject_mean,0.4829386713438523,0.09089373782633062,0.03571428571428571,0.5714285714285714,,,
12,pseudo_id02_l16_s8,id02,16,11-16,between_train_runs,2024-07-29,2024-08-16,edge_shrink025,0.4906793844057333,0.09863445088821154,0.05580357142857143,0.8928571428571429,,,
12,pseudo_id02_l16_s8,id02,16,11-16,between_train_runs,2024-07-29,2024-08-16,edge_shrink050,0.5265819416620887,0.13453700814456687,0.10267857142857142,1.6428571428571428,,,
12,pseudo_id02_l16_s8,id02,16,11-16,between_train_runs,2024-07-29,2024-08-16,calendar_count_strict,0.4932784879098744,0.1012335543923527,0.06263968810059814,1.0022350096095702,6.0,9.571428571428571,lenbin_both_edges
12,pseudo_id02_l16_s8,id02,16,11-16,between_train_runs,2024-07-29,2024-08-16,calendar_count_local,0.49278000873053557,0.1007350752130139,0.06125409068721802,0.9800654509954884,7.0,10.142857142857142,lenbin_both_edges
13,pseudo_id02_l16_s16,id02,16,11-16,between_train_runs,2024-08-09,2024-08-24,subject_mean,0.4856518207270897,0.11194727768899233,0.07142857142857142,1.1428571428571428,,,
13,pseudo_id02_l16_s16,id02,16,11-16,between_train_runs,2024-08-09,2024-08-24,edge_shrink025,0.4826839119651019,0.10897936892700469,0.07589285714285714,1.2142857142857142,,,
13,pseudo_id02_l16_s16,id02,16,11-16,between_train_runs,2024-08-09,2024-08-24,edge_shrink050,0.49443853529526616,0.12073399225716892,0.08035714285714286,1.2857142857142858,,,
13,pseudo_id02_l16_s16,id02,16,11-16,between_train_runs,2024-08-09,2024-08-24,calendar_count_strict,0.4933688090563173,0.11966426601822008,0.094643462968094,1.514295407489504,5.0,9.857142857142858,lenbin_both_edges
13,pseudo_id02_l16_s16,id02,16,11-16,between_train_runs,2024-08-09,2024-08-24,calendar_count_local,0.4933688090563173,0.11966426601822008,0.094643462968094,1.514295407489504,5.0,9.857142857142858,lenbin_both_edges
14,pseudo_id02_l16_s24,id02,16,11-16,between_train_runs,2024-08-17,2024-09-19,subject_mean,0.4909413427060431,0.11583498048214537,0.08928571428571429,1.4285714285714286,,,
