strategy,mask_name,keep_factor,rollback_cells,rollback_q2s3_cells,rollback_s_cells,all_minus_base,original_strict_submit,e144_submit,beats_e143_local,p95_not_worse_than_e143,gate_active_q2s3_not_more_than_e101,e101_active_delta95_l1,q2s3_delta95_l1,e72_plausible_gap_vs_e95,post101_mean_vs_e95_e101_sensor,post101_p95_vs_e95_e101_sensor,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,tag
active_boundary_refine,q2s3,0.52,47,47,47,-9.43098356143146e-06,True,False,False,False,True,0.0008320000000002148,0.000977600000000039,2.8189256484623115e-18,-1.2996477747411634e-05,-3.3264569109393066e-06,0.0018564571428571998,185,0.971693316627712,0.2436718036084944,e143_q2s3_fc8e24e7
active_boundary_refine,top_tension_22,0.0,22,22,22,-9.427358926061835e-06,True,False,False,False,True,2.34257058195908e-16,0.0010000000000000174,2.8189256484623115e-18,-1.2992421034022273e-05,-3.325178444775479e-06,0.0018628571428571934,163,0.971693316627712,0.2436718036084944,e143_top_tension_22_e6fbddc3
active_boundary_refine,top_tension_23,0.05,23,23,23,-9.42323331043493e-06,True,False,False,False,True,8.000000000023877e-05,0.001006000000000017,2.8189256484623115e-18,-1.298780362055959e-05,-3.3237232749594562e-06,0.0018645714285714793,185,0.971693316627712,0.2436718036084944,e143_top_tension_23_00453eed
active_boundary_refine,q2s3,0.51,47,47,47,-9.39908546571111e-06,True,False,False,False,True,0.0008160000000002327,0.0009588000000000411,2.8189256484623115e-18,-1.2960777209617327e-05,-3.3152059485912553e-06,0.0018510857142857717,185,0.971693316627712,0.2436718036084944,e143_q2s3_fece8117
active_boundary_refine,top_tension_24,0.05,24,24,24,-9.386094394270295e-06,True,False,False,False,True,8.000000000023877e-05,0.0009680000000000184,2.8189256484623115e-18,-1.2946237525461022e-05,-3.3106237924361415e-06,0.0018537142857143368,185,0.971693316627712,0.2436718036084944,e143_top_tension_24_049a4e17
active_boundary_refine,q2s3,0.5,47,47,47,-9.367025505468973e-06,True,False,False,False,True,0.0008000000000002355,0.0009400000000000339,2.8189256484623115e-18,-1.2924895512090843e-05,-3.303897894068924e-06,0.0018457142857143411,185,0.971693316627712,0.2436718036084944,e143_q2s3_6c7d8202
active_boundary_refine,top_tension_23,0.0,23,23,23,-9.333869601113598e-06,True,False,False,False,True,2.34257058195908e-16,0.0009600000000000175,2.8189256484623115e-18,-1.288778722741702e-05,-3.2922032827420193e-06,0.0018514285714286223,162,0.971693316627712,0.2436718036084944,e143_top_tension_23_74475810
active_boundary_refine,top_tension_24,0.0,24,24,24,-9.294087697897524e-06,True,False,False,False,True,2.34257058195908e-16,0.0009200000000000174,2.8189256484623115e-18,-1.2843263085545162e-05,-3.2781715769266668e-06,0.0018400000000000506,161,0.971693316627712,0.2436718036084944,e143_top_tension_24_74d3dcca
control_e142,none,1.0,0,0,0,-1.0666781972479278e-05,False,False,True,True,False,0.0015999999999999938,0.0018799999999999997,-1.5178830414797062e-18,-1.4379590653791665e-05,-3.7623425360367202e-06,0.0021142857142857135,185,0.9716933166277121,0.24367180360849447,e144_control_e142
active_boundary_refine,top_q2s3_weighted_15,0.3,15,15,15,-1.018278956366192e-05,False,False,True,True,False,0.0013200000000002294,0.0014600000000000303,2.8189256484623115e-18,-1.383790348115829e-05,-3.5916307664035867e-06,0.0019942857142857687,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_15_ab032a07
active_boundary_refine,top_q2s3_weighted_14,0.3,14,14,14,-1.0180849595253783e-05,False,False,True,True,False,0.0013200000000002294,0.0014880000000000305,2.8189256484623115e-18,-1.3835732257017462e-05,-3.5909465088946827e-06,0.0020022857142857685,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_14_128f38cc
active_boundary_refine,top_q2s3_weighted_16,0.3,16,16,16,-1.0164537790902095e-05,False,False,True,True,False,0.0013200000000002294,0.0014320000000000303,2.8189256484623115e-18,-1.3817475988904906e-05,-3.5851930777745775e-06,0.0019862857142857685,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_16_c39ab896
active_boundary_refine,top_tension_14,0.3,14,14,14,-1.0151875428521251e-05,False,False,True,True,False,0.00048000000000024244,0.0014880000000000336,2.8189256484623115e-18,-1.380330419787682e-05,-3.580726862498491e-06,0.0020022857142857698,185,0.971693316627712,0.2436718036084944,e143_top_tension_14_e34185e8
active_boundary_refine,top_q2s3_weighted_15,0.25,15,15,15,-1.0141326712065357e-05,False,False,True,True,False,0.001300000000000218,0.0014300000000000191,2.8189256484623115e-18,-1.3791498011895793e-05,-3.5770061635355804e-06,0.001985714285714337,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_15_8ba32b99
active_boundary_refine,top_tension_15,0.3,15,15,15,-1.0139743047310468e-05,False,False,True,True,False,0.00048000000000024244,0.0014600000000000329,2.8189256484623115e-18,-1.3789725564915539e-05,-3.576447579954748e-06,0.001994285714285769,185,0.971693316627712,0.2436718036084944,e143_top_tension_15_56291f88
active_boundary_refine,top_q2s3_weighted_14,0.25,14,14,14,-1.013971523911028e-05,False,False,True,True,False,0.001300000000000218,0.0014600000000000192,2.8189256484623115e-18,-1.3789694441813068e-05,-3.576437771563176e-06,0.0019942857142857657,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_14_ac55b612
active_boundary_refine,s3_non_e101,0.75,43,43,43,-1.0132767322645897e-05,False,False,True,True,False,0.0016000000000002252,0.0014500000000000409,2.8189256484623115e-18,-1.378191829252494e-05,-3.573987131649635e-06,0.0019914285714286288,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_2b8b9e34
active_boundary_refine,top_tension_16,0.3,16,16,16,-1.0124331667915598e-05,False,False,True,True,False,0.00048000000000024244,0.0014320000000000322,2.8189256484623115e-18,-1.3772477057751583e-05,-3.5710117429435577e-06,0.001986285714285769,185,0.971693316627712,0.2436718036084944,e143_top_tension_16_f368a068
active_boundary_refine,top_q2s3_weighted_16,0.25,16,16,16,-1.0121407672980531e-05,False,False,True,True,False,0.001300000000000218,0.0014000000000000189,2.8189256484623115e-18,-1.3769204505289364e-05,-3.569980403731061e-06,0.001977142857142908,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_16_1b6a8cb7
active_boundary_refine,s3_non_e101,0.74,43,43,43,-1.0109525756862858e-05,False,False,True,True,False,0.0016000000000002252,0.0014328000000000457,2.8189256484623115e-18,-1.3755906194344828e-05,-3.5657894641829893e-06,0.0019865142857143445,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_c638c56e
active_boundary_refine,top_tension_14,0.25,14,14,14,-1.0107545542870078e-05,False,False,True,True,False,0.00040000000000021854,0.001460000000000019,2.8189256484623115e-18,-1.3753689927107126e-05,-3.5650910114205058e-06,0.0019942857142857657,185,0.971693316627712,0.2436718036084944,e143_top_tension_14_ddc47174
active_boundary_refine,top_q2s3_weighted_15,0.2,15,15,15,-1.0098825762860919e-05,False,False,True,True,False,0.0012800000000002159,0.0014000000000000204,2.8189256484623115e-18,-1.3743930697637626e-05,-3.5620154072394143e-06,0.001977142857142909,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_15_0d9991c6
active_boundary_refine,top_q2s3_weighted_14,0.2,14,14,14,-1.009760481596178e-05,False,False,True,True,False,0.0012800000000002159,0.0014320000000000205,2.8189256484623115e-18,-1.3742564206631402e-05,-3.5615847599772196e-06,0.001986285714285766,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_14_7f5b3507
active_boundary_refine,top_tension_15,0.25,15,15,15,-1.009413423991301e-05,False,False,True,True,False,0.00040000000000021854,0.0014300000000000176,2.8189256484623115e-18,-1.3738679917347072e-05,-3.560360632969983e-06,0.0019857142857143367,185,0.971693316627712,0.2436718036084944,e143_top_tension_15_5558c7c1
active_boundary_refine,s3_non_e101,0.73,43,43,43,-1.0086139486609191e-05,False,False,True,True,False,0.0016000000000002252,0.0014156000000000424,2.8189256484623115e-18,-1.372973214206351e-05,-3.5575407571632306e-06,0.0019816000000000577,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_6f249330
active_boundary_refine,top_q2s3_weighted_17,0.3,17,17,17,-1.0082249379039787e-05,False,False,True,True,False,0.0013200000000002294,0.0014040000000000298,2.8189256484623115e-18,-1.3725378310614665e-05,-3.5561686547600994e-06,0.0019782857142857688,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_17_d908f726
active_boundary_refine,top_q2s3_weighted_16,0.2,16,16,16,-1.0077190959245641e-05,False,False,True,True,False,0.0012800000000002159,0.0013680000000000198,2.8189256484623115e-18,-1.3719716897199157e-05,-3.5543844701760554e-06,0.0019680000000000513,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_16_1fd680f4
active_boundary_refine,top_tension_16,0.25,16,16,16,-1.0076972112305072e-05,False,False,True,True,False,0.00040000000000021854,0.0014000000000000189,2.8189256484623115e-18,-1.371947196240614e-05,-3.554307279402351e-06,0.001977142857142908,185,0.971693316627712,0.2436718036084944,e143_top_tension_16_bb4ed429
active_boundary_refine,q2s3,0.75,47,47,47,-1.0067106123945457e-05,False,False,True,True,False,0.0012000000000002243,0.0014100000000000408,2.8189256484623115e-18,-1.3708429889757084e-05,-3.5508273894260517e-06,0.0019800000000000572,185,0.971693316627712,0.2436718036084944,e143_q2s3_547ecbae
active_boundary_refine,top_q2s3_weighted_18,0.3,18,18,18,-1.006275454840111e-05,False,False,True,True,False,0.0013200000000002294,0.0013760000000000291,2.8189256484623115e-18,-1.3703559580615505e-05,-3.549292519976998e-06,0.001970285714285768,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_18_6569948e
active_boundary_refine,s3_non_e101,0.72,43,43,43,-1.0062608510219562e-05,False,False,True,True,False,0.0016000000000002252,0.0013984000000000284,2.8189256484623115e-18,-1.3703396133817129e-05,-3.549241010002973e-06,0.0019766857142857683,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_7eb18a60
active_boundary_refine,top_tension_14,0.2,14,14,14,-1.0062251184717041e-05,False,False,True,True,False,0.00032000000000021014,0.0014320000000000194,2.8189256484623115e-18,-1.3702996212996794e-05,-3.549114975652518e-06,0.0019862857142857655,185,0.971693316627712,0.2436718036084944,e143_top_tension_14_16149439
active_boundary_refine,top_q2s3_weighted_15,0.15,15,15,15,-1.0055286705834554e-05,False,False,True,True,False,0.0012600000000002227,0.0013700000000000222,2.8189256484623115e-18,-1.3695201526952156e-05,-3.5466584939124298e-06,0.001968571428571481,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_15_3661dc9b
active_boundary_refine,top_q2s3_weighted_14,0.15,14,14,14,-1.005451827074122e-05,False,False,True,True,False,0.0012600000000002227,0.0014040000000000237,2.8189256484623115e-18,-1.3694341489841084e-05,-3.546387454713795e-06,0.001978285714285767,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_14_86d3c89d
active_boundary_refine,top_tension_18,0.3,18,18,18,-1.005224377370606e-05,False,False,True,True,False,0.00048000000000024244,0.0013760000000000317,2.8189256484623115e-18,-1.3691795859278099e-05,-3.545585203672612e-06,0.001970285714285769,185,0.971693316627712,0.2436718036084944,e143_top_tension_18_5ff32175
active_boundary_refine,top_tension_17,0.3,17,17,17,-1.0047743513763585e-05,False,False,True,True,False,0.00048000000000024244,0.001404000000000032,2.8189256484623115e-18,-1.3686759141676864e-05,-3.543997890887137e-06,0.0019782857142857688,185,0.971693316627712,0.2436718036084944,e143_top_tension_17_8f7055a1
active_boundary_refine,top_tension_15,0.2,15,15,15,-1.0047506169619247e-05,False,False,True,True,False,0.00032000000000021014,0.0014000000000000202,2.8189256484623115e-18,-1.3686493504703753e-05,-3.54391417585741e-06,0.0019771428571429086,185,0.971693316627712,0.2436718036084944,e143_top_tension_15_6abfa8c5
active_boundary_refine,q2s3,0.74,47,47,47,-1.0041098420621175e-05,False,False,True,True,False,0.0011840000000002105,0.0013912000000000442,2.8189256484623115e-18,-1.3679321914045563e-05,-3.541654061543845e-06,0.0019746285714286296,185,0.971693316627712,0.2436718036084944,e143_q2s3_b848e8e4
active_boundary_refine,s3_non_e101,0.71,43,43,43,-1.0038932826028635e-05,False,False,True,True,False,0.0016000000000002252,0.0013812000000000381,2.8189256484623115e-18,-1.3676898167741837e-05,-3.540890222114824e-06,0.0019717714285714854,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_c01453eb
active_boundary_refine,top_tension_19,0.3,19,19,19,-1.0034007211223717e-05,False,False,True,True,False,0.00048000000000024244,0.0013480000000000317,2.8189256484623115e-18,-1.367138539045742e-05,-3.539152879948792e-06,0.0019622857142857692,185,0.971693316627712,0.2436718036084944,e143_top_tension_19_e324f874
active_boundary_refine,top_q2s3_weighted_19,0.3,19,19,19,-1.0032861527342618e-05,False,False,True,True,False,0.0013200000000002294,0.0013480000000000293,2.8189256484623115e-18,-1.3670103134267082e-05,-3.538748779142209e-06,0.001962285714285769,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_19_ef86e194
active_boundary_refine,top_q2s3_weighted_16,0.15,16,16,16,-1.0031887634709413e-05,False,False,True,True,False,0.0012600000000002227,0.001336000000000022,2.8189256484623115e-18,-1.3669013147859613e-05,-3.5384052718230492e-06,0.0019588571428571953,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_16_471cfbaf
active_boundary_refine,top_tension_16,0.2,16,16,16,-1.0028478313661715e-05,False,False,True,True,False,0.00032000000000021014,0.0013680000000000202,2.8189256484623115e-18,-1.3665197415535547e-05,-3.5372027504225134e-06,0.0019680000000000513,185,0.971693316627712,0.2436718036084944,e143_top_tension_16_db878fc1
active_boundary_refine,top_q2s3_weighted_17,0.25,17,17,17,-1.0020412479438967e-05,False,False,True,True,False,0.001300000000000218,0.0013700000000000188,2.8189256484623115e-18,-1.3656170086066216e-05,-3.5343578032525826e-06,0.0019685714285714796,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_17_77462df2
active_boundary_refine,top_tension_14,0.15,14,14,14,-1.0018075931150783e-05,False,False,True,True,False,0.0002400000000002306,0.0014040000000000242,2.8189256484623115e-18,-1.365355500737306e-05,-3.533533665754055e-06,0.001978285714285767,185,0.971693316627712,0.2436718036084944,e143_top_tension_14_68f52cfb
active_boundary_refine,s3_non_e101,0.7,43,43,43,-1.0015112432149031e-05,False,False,True,True,False,0.0016000000000002252,0.001364000000000037,2.8189256484623115e-18,-1.3650238241725262e-05,-3.532488392833079e-06,0.0019668571428571994,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_106dd3a0
active_boundary_refine,q2s3,0.73,47,47,47,-1.001493525831787e-05,False,False,True,True,False,0.0011680000000002327,0.0013724000000000431,2.8189256484623115e-18,-1.3650039947723296e-05,-3.5324259008234962e-06,0.0019692571428572008,185,0.971693316627712,0.2436718036084944,e143_q2s3_aaff593e
active_boundary_refine,top_q2s3_weighted_20,0.3,20,20,20,-1.0013479027182193e-05,False,False,True,True,False,0.0013200000000002294,0.00132000000000003,2.8189256484623115e-18,-1.3648410125204977e-05,-3.5319122650936026e-06,0.0019542857142857686,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_20_6e66c40f
active_boundary_refine,top_q2s3_weighted_15,0.1,15,15,15,-1.0010709528662787e-05,False,False,True,True,False,0.001240000000000216,0.0013400000000000183,2.8189256484623115e-18,-1.3645310486046887e-05,-3.5309354192079404e-06,0.001960000000000051,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_15_d076f40b
active_boundary_refine,top_q2s3_weighted_14,0.1,14,14,14,-1.0010455545717e-05,False,False,True,True,False,0.001240000000000216,0.0013760000000000191,2.8189256484623115e-18,-1.3645026226828571e-05,-3.53084583541005e-06,0.0019702857142857655,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_14_4bda5895
active_boundary_refine,top_tension_15,0.15,15,15,15,-1.0001942448600865e-05,False,False,True,True,False,0.0002400000000002306,0.0013700000000000253,2.8189256484623115e-18,-1.363549831807798e-05,-3.5278431315509045e-06,0.0019685714285714814,185,0.971693316627712,0.2436718036084944,e143_top_tension_15_461b5556
active_boundary_refine,top_tension_18,0.25,18,18,18,-9.999724634779383e-06,False,False,True,True,False,0.00040000000000021854,0.0013400000000000191,2.8189256484623115e-18,-1.3633016127703709e-05,-3.5270608735747783e-06,0.001960000000000051,185,0.971693316627712,0.2436718036084944,e143_top_tension_18_5a3effe4
active_boundary_refine,top_q2s3_weighted_18,0.25,18,18,18,-9.998912752773315e-06,False,False,True,True,False,0.001300000000000218,0.0013400000000000187,2.8189256484623115e-18,-1.3632107464550389e-05,-3.5267745099635623e-06,0.001960000000000051,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_18_e602f7e6
active_boundary_refine,top_q2s3_weighted_21,0.3,21,21,21,-9.994785325928568e-06,False,False,True,True,False,0.0010400000000002378,0.0012920000000000305,2.8189256484623115e-18,-1.3627488023961962e-05,-3.525318701302393e-06,0.0019462857142857688,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_21_b3a0676e
active_boundary_refine,top_tension_17,0.25,17,17,17,-9.994170857230422e-06,False,False,True,True,False,0.00040000000000021854,0.0013700000000000192,2.8189256484623115e-18,-1.3626800306952964e-05,-3.5251019684839975e-06,0.00196857142857148,185,0.971693316627712,0.2436718036084944,e143_top_tension_17_b47f48b5
