filter,candidate,n_scenarios,mean_pred_delta,median_pred_delta,p10_pred_delta,p90_pred_delta,p95_pred_delta,min_pred_delta,max_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate,win_rate_live
broad_plausible,e85,3452,-5.65155640826231e-06,-5.672245731034175e-06,-1.2613431921929723e-05,1.5784385020604389e-06,2.960619049787743e-06,-4.340349092463753e-05,9.618388807704838e-06,9.659143591786217e-06,9.638454269014352e-06,1.6889138502108966e-05,1.827131904983627e-05,0.03186558516801854,0.002607184241019699
broad_plausible,e86,3452,5.0339449043915635e-06,5.69397556289017e-07,-8.3878294020143e-06,2.6675888815987896e-05,3.129572555614446e-05,-1.7010889493686343e-05,4.834995707050235e-05,2.034464490444009e-05,1.5880097556337544e-05,4.198658881603642e-05,4.660642555619299e-05,0.00028968713789107763,0.00028968713789107763
broad_plausible,noq2,3452,-2.0916471270046576e-08,-1.178870997350993e-06,-1.1433799888348322e-05,1.365839875547582e-05,1.6181569074077063e-05,-4.8984882440745696e-05,2.4097511853988444e-05,1.5289783528778482e-05,1.4131829002697534e-05,2.8969098755524347e-05,3.1492269074125586e-05,0.023174971031286212,0.00608342989571263
broad_plausible,e90,3452,-1.938400165412902e-06,-4.113040668232785e-06,-1.0751207815485172e-05,9.904993197414655e-06,1.59335988097082e-05,-1.8693878530336795e-05,3.853225934137279e-05,1.3372299834635625e-05,1.1197659331815742e-05,2.521569319746318e-05,3.124429880975673e-05,0.002607184241019699,0.0017381228273464658
broad_plausible,e89,3452,-1.1477421307231346e-05,-1.1308735190853997e-05,-1.7917959197551666e-05,-4.841151763078363e-06,-2.7587785548648694e-06,-4.70758543906716e-05,8.42438916825067e-06,3.833278692817181e-06,4.00196480919453e-06,1.0469548236970164e-05,1.2551921445183658e-05,0.19582850521436848,0.18887601390498263
broad_plausible,e95,3452,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8004055619930475
tight_plausible,e85,2790,-6.781068118597307e-06,-6.703541015668102e-06,-1.2972224527647208e-05,-6.205430725178248e-07,1.0463866366329058e-06,-4.340349092463753e-05,6.832745325060396e-06,8.52963188145122e-06,8.607158984380425e-06,1.4690156927530703e-05,1.6357086636681434e-05,0.035842293906810034,0.0032258064516129032
tight_plausible,e86,2790,3.1703130199953936e-06,-9.558169352672926e-07,-8.710659880563174e-06,2.519468968452037e-05,3.0676695899719674e-05,-1.7010889493686343e-05,4.8109406110161826e-05,1.8481013020043924e-05,1.4354883064781235e-05,4.05053896845689e-05,4.59873958997682e-05,0.00035842293906810036,0.00035842293906810036
tight_plausible,noq2,2790,-2.4951968440170396e-06,-2.9971781625229514e-06,-1.197887045003767e-05,7.797262596010427e-06,1.0374070656599265e-05,-4.8984882440745696e-05,1.9152504471448375e-05,1.2815503156031486e-05,1.2313521837525576e-05,2.3107962596058954e-05,2.568477065664779e-05,0.028315412186379927,0.007168458781362007
tight_plausible,e90,2790,-3.00986035601585e-06,-4.677077674438885e-06,-1.0863355721786134e-05,7.225424972656555e-06,1.1880826138467272e-05,-1.6841784526591826e-05,3.853225934137279e-05,1.2300839644032678e-05,1.0633622325609642e-05,2.2536124972705083e-05,2.71915261385158e-05,0.0025089605734767025,0.0014336917562724014
tight_plausible,e89,2790,-1.164691046033542e-05,-1.1509066204132238e-05,-1.778244099229456e-05,-5.272042160415436e-06,-3.7061519793798165e-06,-4.70758543906716e-05,5.999299503495973e-06,3.6637895397131075e-06,3.801633795916289e-06,1.0038657839633091e-05,1.160454802066871e-05,0.1921146953405018,0.18387096774193548
tight_plausible,e95,2790,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8039426523297492
near_unit_tail,e85,2354,-7.232390942225466e-06,-7.169860916890883e-06,-1.3089087183346393e-05,-1.2969865817601519e-06,7.115958793007888e-08,-4.340349092463753e-05,5.656465619858914e-06,8.07830905782306e-06,8.140839083157644e-06,1.4013713418288376e-05,1.5381859587978607e-05,0.03610875106202209,0.0038232795242141037
near_unit_tail,e86,2354,1.977582109808884e-06,-1.5143027576748733e-06,-8.757213445077733e-06,1.7441640169073206e-05,2.987065510685947e-05,-1.7010889493686343e-05,4.8109406110161826e-05,1.728828210985741e-05,1.3796397242373654e-05,3.275234016912173e-05,4.5181355106908e-05,0.0004248088360237893,0.0004248088360237893
