pred_index,tag,strategy,base,fallback,selector,target_scope,graft_alpha,selected_cells,strict_gate,deployable_gate,e110_active_loss_safe,e110_strict_candidate,e110_sensor_candidate,all_delta_vs_mixmin,mean_vs_e95_broad_plausible,p95_vs_e95_broad_plausible,beat_e95_rate_broad_plausible,mean_vs_e95_broad_q2s3,beat_e95_rate_broad_q2s3,active_mean_vs_e101_tie,active_p95_vs_e101_tie,active_mean_vs_e101_small_loss,active_p95_vs_e101_small_loss,active_mean_vs_e101_large_loss,active_p95_vs_e101_large_loss
30,e110_nonactive_tail_graft_74642a2c,nonactive_tail_graft,e95,e90,nonactive_all_e90,all,0.5,133,True,True,True,False,False,-2.668156404606048e-05,4.475709956991308e-06,1.2471203021663018e-05,0.0880648899188876,6.829926975287206e-06,0.04619565217391304,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
34,e110_nonactive_tail_graft_df421021,nonactive_tail_graft,e95,e86,nonactive_q2s3_e86,q2s3,0.5,29,True,True,True,False,False,-2.671212657157085e-05,5.20790728839797e-06,1.7907209437478102e-05,0.31720741599073,1.6349737950120257e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
19,e110_nonactive_tail_graft_095f2e90,nonactive_tail_graft,e95,e85,nonactive_s1s2s3_e85,s1s2s3,0.5,426,True,True,True,False,False,-2.5223632006410313e-05,5.259952091927785e-06,8.27414443424045e-06,0.00028968713789107763,5.59580030921972e-06,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
9,e110_active_restored_tail_aa8e2df0,active_restored_tail,e89,e95,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.6100590397315493e-05,5.267356506384822e-06,1.2212525315971798e-05,0.009849362688296639,6.075024334828065e-07,0.0,-6.85364538707754e-08,2.675352837265094e-06,-1.1157529455647065e-05,-3.8295007058191984e-06,-3.110268800922491e-05,-2.071247290558955e-05
24,e110_nonactive_tail_graft_bdda5aaa,nonactive_tail_graft,e95,e90,nonactive_q2s3_e90,q2s3,1.0,15,True,True,True,False,False,-2.6615351720660207e-05,5.373365732114944e-06,2.097243454588891e-05,0.42265353418308227,1.6780241933605438e-05,0.019021739130434784,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
42,e110_nonactive_tail_graft_29a781b5,nonactive_tail_graft,e95,e86,nonactive_all_e86,all,0.5,103,True,True,True,False,False,-2.709395099798062e-05,6.672564313409115e-06,1.9204306235810616e-05,0.11819235225955968,1.4177851581374388e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
31,e110_nonactive_tail_graft_3bf97c61,nonactive_tail_graft,e95,e90,nonactive_all_e90,all,0.75,133,True,True,True,False,False,-2.6853642273505507e-05,6.953470901145239e-06,1.903918066027371e-05,0.0790845886442642,1.0632131046522135e-05,0.03260869565217391,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
20,e110_nonactive_tail_graft_4b1b91b5,nonactive_tail_graft,e95,e85,nonactive_s1s2s3_e85,s1s2s3,0.75,426,True,True,True,False,False,-2.4667395132071945e-05,8.121304193970881e-06,1.2806309158493147e-05,0.00028968713789107763,8.759776214398718e-06,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
35,e110_nonactive_tail_graft_d9264769,nonactive_tail_graft,e95,e86,nonactive_q2s3_e86,q2s3,0.75,29,True,True,True,False,False,-2.6838190801736772e-05,8.276915580579772e-06,2.7498273274898915e-05,0.30996523754345306,2.5278895487768005e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
10,e110_active_restored_tail_4f647a1a,active_restored_tail,e89,e90,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.6066385871770237e-05,8.991966228455326e-06,1.6947535041400042e-05,0.002607184241019699,6.978969540752236e-06,0.0,-5.862031321665808e-07,6.197432028872497e-06,-1.3526612450642786e-05,-2.847178062929349e-06,-3.645090596566547e-05,-2.1878044938107234e-05
32,e110_nonactive_tail_graft_fc3a6822,nonactive_tail_graft,e95,e90,nonactive_all_e90,all,1.0,133,True,True,True,False,False,-2.695517745310294e-05,9.68853132155019e-06,2.6015986909750897e-05,0.060834298957126304,1.4847251729229752e-05,0.019021739130434784,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
43,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e95,e86,nonactive_all_e86,all,0.75,103,True,True,True,False,False,-2.7394837141425654e-05,1.0532413990772948e-05,2.9455846667503927e-05,0.09936268829663963,2.2112590469646652e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
11,e110_active_restored_tail_cdd3201e,active_restored_tail,e89,e86,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.617806935800715e-05,1.0969444277143911e-05,1.940630960279166e-05,0.0020278099652375433,1.0339427437880492e-05,0.0,1.1374756871067363e-07,4.880496777616148e-06,-1.4128961403245149e-05,-4.3465461169692604e-06,-3.954354626713975e-05,-2.566548473454175e-05
12,e110_active_restored_tail_34cdae23,active_restored_tail,e85,e95,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.408333247783112e-05,1.1082942796352317e-05,1.7471420030459527e-05,0.00028968713789107763,1.2082030186379432e-05,0.0,-6.85364538707754e-08,2.675352837265094e-06,-1.1157529455647065e-05,-3.8295007058191984e-06,-3.110268800922491e-05,-2.071247290558955e-05
36,e110_nonactive_tail_graft_91d22b0e,nonactive_tail_graft,e95,e86,nonactive_q2s3_e86,q2s3,1.0,29,True,True,True,False,False,-2.686827916620338e-05,1.1698105057195227e-05,3.761121132105549e-05,0.30590961761297797,3.477791068011253e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
7,e110_control_28925de5,control,e90,,,,,162,True,True,True,False,False,-2.6932385085221e-05,1.3372299834651114e-05,3.124429880987986e-05,0.002607184241019699,2.1153804420467624e-05,0.002717391304347826,-5.862031321665808e-07,6.197432028872497e-06,-1.3526612450642786e-05,-2.847178062929349e-06,-3.645090596566547e-05,-2.1878044938107234e-05
44,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e95,e86,nonactive_all_e86,all,1.0,103,True,True,True,False,False,-2.7599838071434846e-05,1.4744740327869392e-05,4.017643761754737e-05,0.08603707995365006,3.061667136615173e-05,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
13,e110_active_restored_tail_1c9a7148,active_restored_tail,e85,e90,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.4056745740241858e-05,1.478029039333001e-05,2.5580185858615044e-05,0.0,1.8410165938509568e-05,0.0,-5.862031321665808e-07,6.197432028872497e-06,-1.3526612450642786e-05,-2.847178062929349e-06,-3.645090596566547e-05,-2.1878044938107234e-05
14,e110_active_restored_tail_01492072,active_restored_tail,e85,e86,restore_e101_active,active_q2s3,1.0,50,True,True,True,False,False,-2.4163996370285545e-05,1.6773632506594335e-05,2.968866984176252e-05,0.00028968713789107763,2.1795838723095933e-05,0.0,1.1374756871067363e-07,4.880496777616148e-06,-1.4128961403245149e-05,-4.3465461169692604e-06,-3.954354626713975e-05,-2.566548473454175e-05
8,e110_control_a3f7c96f,control,e86,,,,,134,True,True,True,False,False,-2.7705869828476004e-05,2.0344644904461583e-05,4.660642555632791e-05,0.00028968713789107763,4.018618290275698e-05,0.0,1.1374756871067363e-07,4.880496777616148e-06,-1.4128961403245149e-05,-4.3465461169692604e-06,-3.954354626713975e-05,-2.566548473454175e-05
3,e110_control_079aab57,control,e108_amp050,,,,,50,False,False,False,False,False,-2.3874695975645288e-05,-2.9942366768145062e-05,-2.4969429703519587e-06,0.9779837775202781,-5.396636693128414e-05,1.0,6.342983191501435e-07,3.2825023060612905e-06,1.1723291320926317e-05,1.9545542775634493e-05,3.16684498745039e-05,5.008329663543576e-05
4,e110_control_64514c53,control,e108_strict_amp038,,,,,50,True,True,False,False,False,-2.4687013610247277e-05,-2.3694925052941484e-05,-2.1809834259526307e-06,0.9808806488991889,-4.2515268239407285e-05,1.0,2.593848149940583e-07,1.6364508881876147e-06,6.02566117591768e-06,1.0093231932366572e-05,1.6397143623778007e-05,2.5972863939461954e-05
2,e110_control_177569bc,control,e101,,,,,50,True,True,False,False,False,-2.5372405273338394e-05,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-2.8956777296839207e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,e110_control_00d7807f,control,e89,,,,,158,True,True,False,False,False,-2.5895951955900998e-05,3.833278692823146e-06,1.2551921445197673e-05,0.19582850521436848,-5.030485736463722e-06,0.779891304347826,7.3373211723259715e-06,2.6369876243300796e-05,-2.3695137800608012e-06,1.7765970501589774e-05,-1.9644730773448753e-05,2.5844163459544305e-06
6,e110_control_58b23ed1,control,e85,,,,,445,True,True,False,False,False,-2.387582191021309e-05,9.659143591790456e-06,1.8271319049969094e-05,0.03186558516801854,6.4603791895400206e-06,0.16304347826086957,7.33732117232601e-06,2.6369876243300986e-05,-2.3695137800608194e-06,1.77659705015891e-05,-1.9644730773448905e-05,2.5844163459546215e-06
0,e110_control_0c916bb4,control,mixmin,,,,,550,False,False,False,False,False,0.0,1.5310700000048527e-05,1.5310700000048527e-05,0.0,1.5310700000048527e-05,0.0,3.590263313973861e-06,1.153487527470382e-05,3.685724231930268e-05,6.0323996683430705e-05,9.669271798003613e-05,0.00015193725826283407
