method,target,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
night_all_rawctx_local_k8_a24,S4,0.0001418326588425829,-6.095252796193798e-05,0.5,0.5600226470061005
night_watch_rawctx_local_k8_a24,Q1,0.0012589467867943872,0.0006009379284746063,0.4444444444444444,0.472321258922394
night_watch_rawctx_local_k8_a24,Q2,-0.0007099123985969315,-0.0008933825663534715,0.5833333333333334,0.5644825452672727
night_watch_rawctx_local_k8_a24,Q3,0.0005030402726657886,-0.00015446219711072925,0.5833333333333334,0.6046364177508097
night_watch_rawctx_local_k8_a24,S1,0.004322715481306677,0.0046019725294898246,0.16666666666666666,0.6635726719524087
night_watch_rawctx_local_k8_a24,S2,-0.0016980133273021031,-0.0020539481720414,0.8333333333333334,0.6320275609184275
night_watch_rawctx_local_k8_a24,S3,-0.001894126471944384,-0.0022309453898535178,0.8888888888888888,0.6186068608930793
night_watch_rawctx_local_k8_a24,S4,0.0005036786935359936,0.0005009861054362935,0.4444444444444444,0.5702528977861339
night_context_rawctx_local_k8_a24,Q1,0.001545813102887215,0.0009061264982499669,0.4444444444444444,0.4830080023258666
night_context_rawctx_local_k8_a24,Q2,-0.0007290608011808564,-0.0008987795489965157,0.6388888888888888,0.5764526956943778
night_context_rawctx_local_k8_a24,Q3,0.00031823230777127076,-1.7209420929932397e-05,0.5833333333333334,0.5972650422758452
night_context_rawctx_local_k8_a24,S1,0.004537370146486771,0.004800267775029104,0.1111111111111111,0.6622904351766954
night_context_rawctx_local_k8_a24,S2,-0.0017062843954806055,-0.0019807883260755427,0.8333333333333334,0.6206273717656502
night_context_rawctx_local_k8_a24,S3,-0.0014715480000280527,-0.0018997565906822803,0.8611111111111112,0.6154337989864254
night_context_rawctx_local_k8_a24,S4,0.0001476430862775997,3.619958912146214e-05,0.5,0.5555632400473947
night_mobility_rawctx_local_k8_a24,Q1,0.0012458371738206144,0.000724752704542822,0.4722222222222222,0.4750939374360704
night_mobility_rawctx_local_k8_a24,Q2,-0.0008025608066794583,-0.0009119498898496815,0.6111111111111112,0.5683708125446699
night_mobility_rawctx_local_k8_a24,Q3,0.0003369992280586991,-0.00019973486870397065,0.6111111111111112,0.6002360415053497
night_mobility_rawctx_local_k8_a24,S1,0.004583275697391017,0.004783151470848934,0.1388888888888889,0.656903571988202
night_mobility_rawctx_local_k8_a24,S2,-0.0016650803493715714,-0.001936614081398203,0.75,0.6185838265982614
night_mobility_rawctx_local_k8_a24,S3,-0.001709673257372813,-0.0019468709144094326,0.9166666666666666,0.6147448769976608
night_mobility_rawctx_local_k8_a24,S4,0.00022364664041944903,4.6383158795583314e-07,0.4722222222222222,0.5579913547688163
night_usage_ambience_rawctx_local_k8_a24,Q1,0.001503635917367049,0.0008660275412866597,0.4166666666666667,0.48145800928260457
night_usage_ambience_rawctx_local_k8_a24,Q2,-0.0008653029810106947,-0.0012085696385880733,0.6666666666666666,0.5835721835051434
night_usage_ambience_rawctx_local_k8_a24,Q3,0.00029897555010529106,-0.00025230260925439133,0.5555555555555556,0.6038720964419376
night_usage_ambience_rawctx_local_k8_a24,S1,0.004526257966123288,0.004807404433388702,0.1388888888888889,0.6615264794802854
night_usage_ambience_rawctx_local_k8_a24,S2,-0.001768269692588936,-0.0018807745035120972,0.8055555555555556,0.6272898139188663
night_usage_ambience_rawctx_local_k8_a24,S3,-0.001472819733328779,-0.0020241899377897313,0.8611111111111112,0.6159464575965778
night_usage_ambience_rawctx_local_k8_a24,S4,0.00023355559347920795,0.00018988305481256677,0.4444444444444444,0.5609117614913366
night_light_rawctx_local_k8_a24,Q1,0.001320503623151632,0.0006783939616224308,0.3888888888888889,0.4822585841622111
night_light_rawctx_local_k8_a24,Q2,-0.0010632891451858742,-0.0012756791546983917,0.7222222222222222,0.5793304144363051
night_light_rawctx_local_k8_a24,Q3,0.00031787797611447255,-0.0004099150373489988,0.5555555555555556,0.6111167936374381
night_light_rawctx_local_k8_a24,S1,0.0045064488789211266,0.0047740152745349256,0.16666666666666666,0.6685621333048926
night_light_rawctx_local_k8_a24,S2,-0.001691742752831917,-0.0019267701028683308,0.8055555555555556,0.6257048408736553
night_light_rawctx_local_k8_a24,S3,-0.001769150036289271,-0.0020523396371734037,0.8333333333333334,0.6126023955052343
night_light_rawctx_local_k8_a24,S4,0.00019122408473826026,0.0002129533915396513,0.4722222222222222,0.5612947931609115
night_phone_rawctx_strict_k8_a24,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
night_phone_rawctx_strict_k8_a24,Q2,-0.0006691051099241485,-0.0009696819471919175,0.6388888888888888,0.5719395761057887
night_phone_rawctx_strict_k8_a24,Q3,0.0003430406792340519,-0.00020428871278284819,0.4444444444444444,0.610523953118006
