model,feature_set,features,alpha,n_features,insample_mae,insample_sign_acc,loo_mae,loo_p90_abs_error,loo_sign_acc,l2o_mae,l2o_p90_abs_error,l2o_sign_acc,current_order_pass,model_score,top1_is_current,pred_top_file,non_current_pred_worse_rate,current_pair_sign_acc,min_non_current_delta,max_non_current_delta
axis_compact_a3,axis_compact,"proj_a2c8,proj_raw05,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,good_span_residual_ratio",3.0,8,0.00028475007330825395,0.8161764705882353,0.00086613943649324,0.001867513245962966,0.7904411764705882,0.001384199411824628,0.005336841134646222,0.7941176470588235,False,0.0039978551718323,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.0001701408932291016,0.004675627561098483
axis_compact_a1,axis_compact,"proj_a2c8,proj_raw05,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,good_span_residual_ratio",1.0,8,0.00026021157745748417,0.8161764705882353,0.0008829783060130092,0.0022785453586537416,0.7941176470588235,0.001472732877373412,0.00462215496303113,0.7867647058823529,False,0.004081645611101891,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.00021148518861913366,0.004698865017868779
axis_compact_a0.3,axis_compact,"proj_a2c8,proj_raw05,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,good_span_residual_ratio",0.3,8,0.00025194667155918735,0.8382352941176471,0.0008957456102559871,0.0027275002647812103,0.7904411764705882,0.0016139205404857113,0.003513390602464872,0.7647058823529411,False,0.004205634545032035,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.0003003836816004467,0.004688605129178654
target_moves_a0.3,target_moves,"move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4,bad_axis_abs_load,raw05_a2c8_compat_energy",0.3,9,0.0002914881806597545,0.875,0.0012232508879527477,0.0035145010430964485,0.6948529411764706,0.0017454016635227248,0.004211585867780576,0.6397058823529411,False,0.004680647723830086,False,submission_e176_abl_q2_to0p75_91e49725.csv,0.625,0.625,-0.0005684946892945834,0.004563457999548675
all_stable_a10,all_stable,"mean_abs_move_vs_stage2,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,proj_a2c8,proj_raw05,proj_final9,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,bad_axis_positive_load,good_span_residual_ratio,bad_to_good_load_ratio,raw05_a2c8_compat_energy",10.0,17,0.00024254870800182008,0.8529411764705882,0.001210936788947159,0.0031135369649872143,0.7316176470588235,0.0020710265347548833,0.007109867230678014,0.6397058823529411,False,0.004903361101778027,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.0001750766552125405,0.004683907992414487
all_stable_a3,all_stable,"mean_abs_move_vs_stage2,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,proj_a2c8,proj_raw05,proj_final9,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,bad_axis_positive_load,good_span_residual_ratio,bad_to_good_load_ratio,raw05_a2c8_compat_energy",3.0,17,0.00020359022044078257,0.875,0.0012595370103354062,0.004505039047242459,0.7242647058823529,0.00209321997332604,0.004994579711388996,0.625,False,0.004973385813859348,False,submission_mixmin_0c916bb4.csv,0.6875,0.6875,-0.00019099053346787736,0.004731843303077273
axis_compact_a0.1,axis_compact,"proj_a2c8,proj_raw05,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,good_span_residual_ratio",0.1,8,0.0002554832390794761,0.8455882352941176,0.0013915149185863267,0.00441285026478365,0.6580882352941176,0.002349220667467355,0.005179339663882535,0.5882352941176471,False,0.005321261301539784,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.0004011797181801433,0.004664447253591193
target_means_a10,target_means,"mean_prob_Q1,mean_prob_Q2,mean_prob_Q3,mean_prob_S1,mean_prob_S2,mean_prob_S3,mean_prob_S4,move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4",10.0,14,0.00029450992000998506,0.8970588235294118,0.0015979390327731248,0.006169919188066071,0.7352941176470589,0.00245203957262842,0.0061625426548713915,0.6029411764705882,False,0.005582556947538558,False,submission_e95_hardtail_541e3973.csv,0.6875,0.6875,-0.0002793084244434448,0.0046954628624355016
axis_signed_a10,axis_signed,"proj_a2c8,proj_raw05,proj_final9,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_positive_load,bad_to_good_load_ratio",10.0,9,0.0003906008265481052,0.8455882352941176,0.0015630481527336131,0.005105940446588697,0.7389705882352942,0.0025149241877261337,0.007049313403183551,0.6544117647058824,False,0.0055836162935282135,False,submission_mixmin_0c916bb4.csv,0.5625,0.5625,-0.00016253264787424414,0.004617069160556697
all_stable_a1,all_stable,"mean_abs_move_vs_stage2,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,proj_a2c8,proj_raw05,proj_final9,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,bad_axis_positive_load,good_span_residual_ratio,bad_to_good_load_ratio,raw05_a2c8_compat_energy",1.0,17,0.00016747950186944138,0.875,0.001599110501563002,0.007919964162443671,0.6911764705882353,0.0027314490838186737,0.007645134774909989,0.5441176470588235,False,0.005816079667368183,False,submission_mixmin_0c916bb4.csv,0.6875,0.6875,-0.00015671810536478685,0.004768163366783208
