scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_file,top_score,e364_rank,e363_rank,e364_score,e363_score,e364_minus_e363_score,e364_beats_e363,top_is_e364,top_is_e363,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees
bad_good__drop_submission_e256_featnn1_top50_amp_then_smo,bad_good,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.527679697351829,7.0,49.0,4.075441361916771,3.086160151324086,0.9892812105926847,True,False,False,0.8321678321678322,0.9160839160839163,1.0,0.9842396880153765
bad_good__drop_submission_e267_humansocial_tail_balanced_,bad_good,submission_e267_humansocial_tail_balanced_2936100f.csv,12,38,104,e362_scale_g1.00_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_45_s11_00_2ffbb23b.csv,4.294546027742749,26.0,44.0,3.5531525851197983,3.227364438839849,0.32578814627994923,True,False,False,0.9300699300699302,0.965034965034965,1.0,0.9772344233319931
bad_good__drop_submission_e323_5508f966_uploadsafe_csv,bad_good,submission_e323_5508f966_uploadsafe.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.848045397225726,3.0,85.0,4.302585119798234,2.981273644388399,1.3213114754098352,True,False,False,0.965034965034965,0.9720279720279721,1.0,0.99124495269876
compact__none,compact,none,13,20,89,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.201261034047918,1.0,6.0,5.201261034047918,4.470365699873897,0.7308953341740212,True,True,False,0.9835164835164836,0.9945054945054945,1.0,0.9711150865094875
compact__drop_submission_hybrid_0p578_logit_after_subjec,compact,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,20,72,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.152112232030264,1.0,5.0,5.152112232030264,4.493663303909206,0.6584489281210582,True,True,False,0.9790209790209792,0.9930069930069931,1.0,0.9580419580419581
compact__drop_submission_hybrid_0p567_foldsafe_stage2_q1,compact,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,20,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,4.965889029003782,1.0,5.0,4.965889029003782,4.4390920554854985,0.5267969735182838,True,True,False,0.9790209790209792,0.9790209790209792,1.0,0.9702291586486097
compact__drop_submission_ordinal_q_constraints_ambnext_Q,compact,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,20,63,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.182786885245901,1.0,4.0,5.182786885245901,4.490510718789408,0.6922761664564927,True,True,False,0.9790209790209792,0.9930069930069931,1.0,0.965034965034965
compact__drop_submission_mixmin_0c916bb4_csv,compact,submission_mixmin_0c916bb4.csv,12,20,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.183511979823455,1.0,5.0,5.183511979823455,4.476418663303909,0.7070933165195452,True,True,False,0.9860139860139862,1.0,1.0,0.9842396880153765
compact__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,compact,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,20,19,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.179255989911727,1.0,2.0,5.179255989911727,4.498549810844893,0.6807061790668341,True,True,False,0.965034965034965,0.9930069930069931,1.0,0.9702291586486097
compact__drop_submission_e95_hardtail_541e3973_csv,compact,submission_e95_hardtail_541e3973.csv,12,20,87,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.194293820933164,1.0,4.0,5.194293820933164,4.4765762925598995,0.7177175283732646,True,True,False,0.9790209790209792,0.9930069930069931,1.0,0.9702291586486097
compact__drop_submission_e101_q2s3tail_177569bc_csv,compact,submission_e101_q2s3tail_177569bc.csv,12,20,90,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.201986128625472,1.0,6.0,5.201986128625472,4.472257250945776,0.7297288776796957,True,True,False,0.9790209790209792,0.9930069930069931,1.0,0.9702291586486097
compact__drop_submission_e176_abl_q2_to0p75_91e49725_csv,compact,submission_e176_abl_q2_to0p75_91e49725.csv,12,20,90,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.201261034047918,1.0,6.0,5.201261034047918,4.470554854981085,0.730706179066833,True,True,False,0.9860139860139862,1.0,1.0,0.9754446010932804
compact__drop_submission_e216_maskfam_jepa_s2_rank_e154_,compact,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,20,74,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.173991172761664,1.0,4.0,5.173991172761664,4.490100882723834,0.6838902900378301,True,True,False,0.9930069930069931,0.9930069930069931,1.0,0.9842396880153765
compact__drop_submission_e247_featnn1_nn_smooth_sum_top3,compact,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,12,20,88,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.202459016393441,1.0,6.0,5.202459016393441,4.467591424968474,0.7348675914249672,True,True,False,0.9860139860139862,0.9930069930069931,1.0,0.9562186292818428
compact__drop_submission_e256_featnn1_top50_amp_then_smo,compact,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,12,20,92,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.184237074401008,1.0,6.0,5.184237074401008,4.476166456494326,0.7080706179066816,True,True,False,0.9720279720279721,0.9930069930069931,1.0,0.9772344233319931
compact__drop_submission_e267_humansocial_tail_balanced_,compact,submission_e267_humansocial_tail_balanced_2936100f.csv,12,20,85,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.164438839848675,1.0,4.0,5.164438839848675,4.519010088272384,0.6454287515762909,True,True,False,0.9860139860139862,0.9930069930069931,1.0,0.9772344233319931
compact__drop_submission_e323_5508f966_uploadsafe_csv,compact,submission_e323_5508f966_uploadsafe.csv,12,20,74,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.202616645649432,1.0,7.0,5.202616645649432,4.410907944514502,0.7917087011349295,True,True,False,0.9720279720279721,0.9790209790209792,1.0,0.9702291586486097
