basename,policy,recipe,group_key,base_variant,source_count,selected_mode_mix,old_strict_promote,actual_p90,actual_mean,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,pred_dateblock_p90_dominance,pred_row_p90_dominance,pred_subject_p90_dominance,pred_worst_placement_dominance,pred_dateblock_null_not_strict,pred_row_null_not_strict,pred_subject_null_not_strict,pred_null_strict_rate,pred_adversarial_health,actual_adversarial_health,ready_like_actual
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__call__w8_00_2f5f5a54.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,True,-0.001959936377842,-0.0050015578298374,0.2777777777777778,1.0,0.9444444444444444,1.0,False,0.9856757730477622,0.7111167555449283,0.9694574085174154,0.7111167555449283,0.10521732114272427,0.5156473305238264,0.7022294176836831,0.5589686435499222,0.1521481119950061,0.7222222222222222,False
submission_e319_modespec_human_action_p90_rank__top24__selected_tbal__c64__w5_00_fd5d9107.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_tbal,24,actual:5|dateblock:1|row:8|subject:10,True,-0.0015656223595908,-0.0019648461194544,0.6111111111111112,1.0,1.0,1.0,False,0.9734484494746216,0.907655390318238,0.944689420869531,0.907655390318238,0.0412641208596163,0.5552436814482226,0.11151549347384823,0.7639922347394377,0.14366315557880038,0.38888888888888884,False
submission_e319_modespec_human_action_p90_rank__top24__selected_row2__call__w8_00_3ee568b1.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_row2,24,actual:5|dateblock:1|row:8|subject:10,True,-0.0019979733321107,-0.0044266328162213,0.5,0.9444444444444444,1.0,0.75,False,0.812533999180378,0.6762046734255089,0.9400005714019785,0.6762046734255089,0.20510372983100503,0.36954844167304357,0.3598253222165061,0.6885075020931484,-0.012302828667639432,0.25,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__c128__w3_00_7a6bc150.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,True,-0.0015967236150752,-0.0037388294491475,0.5555555555555556,0.9444444444444444,0.8888888888888888,0.75,False,0.9493581782986906,0.6867396294980672,0.8725564230435003,0.6867396294980672,0.027294983845579622,0.30849657068027136,0.5653403069541487,0.6996227128400001,-0.012883083341932888,0.19444444444444442,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__c128__w8_00_d150a0e8.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0025470323648815,-0.0047235742604433,0.3333333333333333,0.5555555555555556,0.6111111111111112,0.0,False,0.8385652857438548,0.6195560624012542,0.45393658868328,0.45393658868328,0.7235473720706893,0.4841115742458018,0.3458007892164528,0.48218008815568536,-0.028243499472405342,-0.3333333333333333,False
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__c128__w5_00_4c1487aa.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,False,-0.0020832848240942,-0.0046609230740436,0.35,0.85,0.9,0.25,False,0.8218292279123243,0.37504148903461487,0.5615932387893218,0.37504148903461487,0.8676858221796575,0.16061801944012435,0.6458972837260643,0.44193295821805123,-0.06689146918343636,-0.09999999999999998,False
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__call__w3_00_1dcc4429.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,True,-0.0017988039363268,-0.0043118331704461,0.5555555555555556,0.8333333333333334,0.8888888888888888,0.5,False,0.9580220571368723,0.4467018786434056,0.7394131450499727,0.4467018786434056,0.6770658959446082,0.2895223341921252,0.4242512581198992,0.5363868372477891,-0.08968495860438352,-0.05555555555555558,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_tbal__call__w8_00_9d8aa4da.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_tbal,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0026564059454491,-0.0045669944612697,0.0,0.7777777777777778,0.5555555555555556,0.5,False,0.17065214257013986,0.8810531963445373,0.08019266168652062,0.08019266168652062,0.862913762496506,0.5987824550015167,0.980971519019715,0.18577742116075413,-0.10558475947423351,0.5,False
submission_e319_modespec_human_action_p90_rank__top24__selected_row2__c128__w8_00_c4221343.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_row2,24,actual:5|dateblock:1|row:8|subject:10,True,-0.0015405686578782,-0.0036010965631397,0.5,0.8888888888888888,0.7222222222222222,0.75,False,0.9260327993972882,0.6806467249411294,0.8356497146253701,0.6806467249411294,0.06958916779895775,0.37507091979956597,0.17496513348514345,0.7934582596387776,-0.11281153469764815,0.25,False
submission_e319_modespec_human_action_p90_rank__top24__selected_vote2__c128__w8_00_fc7b441d.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_vote2,24,actual:5|dateblock:1|row:8|subject:10,True,-0.0015480650900533,-0.0035938044851872,0.7222222222222222,0.8888888888888888,0.8333333333333334,0.5,False,0.9863739070848296,0.7055869713081808,0.8181288789145535,0.7055869713081808,0.026396285186584746,0.30916364356570303,0.1946402441582446,0.8232666090298225,-0.1176796377216417,-0.2222222222222222,False
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_maxmean__call__w8_00_fa27c6ce.csv,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_maxmean,18,dateblock:2|row:1|subject:15,True,-0.0011777515150587,-0.0046135017644056,0.3888888888888889,0.7222222222222222,0.6666666666666666,0.25,False,0.9901835854530178,0.26267140578361325,0.8273312148219271,0.26267140578361325,0.06850507115158301,0.7504770271209033,0.9868670446461404,0.3980502856937911,-0.13537887991017783,-0.1388888888888889,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_vote2__c128__w8_00_cdf28ac1.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_vote2,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0016628358737654,-0.0030479576164094,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.5,False,0.5841969596835189,0.7700874845784925,0.5645492329718371,0.5645492329718371,0.3603379519598988,0.24097686445259234,0.20151146007487167,0.7323912411708791,-0.16784200819904194,-0.16666666666666663,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__call__w8_00_d677a6c0.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0035911967770734,-0.0079187668998212,0.5,0.4444444444444444,0.6666666666666666,0.0,False,0.1634607982218425,0.02692422258059016,0.006904629279722645,0.006904629279722645,0.6193394514262738,0.8517465348997805,0.9475627213074842,0.1937837641221538,-0.18687913484243115,-0.5,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_tbal__call__w5_00_aa1046bd.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_tbal,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0023037643486958,-0.0033455487340008,0.0,0.7222222222222222,0.5555555555555556,0.25,False,0.21045639720947837,0.6273830970085859,0.06114159013759982,0.06114159013759982,0.6300317718390702,0.9125732018001096,0.7028739040856835,0.25150704075837893,-0.19036545062077911,0.25,False
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_maxmean__call__w5_00_1691fcba.csv,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_maxmean,18,dateblock:2|row:1|subject:15,True,-0.0013118700672181,-0.0037172093738802,0.2222222222222222,0.8333333333333334,0.9444444444444444,0.25,False,0.7376119623495877,0.24748934039722992,0.9457596023878188,0.24748934039722992,0.9265019968143261,0.21855819174043362,0.5379476826750293,0.43899737625673696,-0.19150803585950704,0.02777777777777779,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__c128__w3_00_433a4a1a.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.001292903979322,-0.0024164528336192,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.25,False,0.23098665447958938,0.6657131912745167,0.36442266838717524,0.23098665447958938,0.039508304905133816,0.731623559663581,0.8885807106363509,0.44676247493164467,-0.2157758204520553,-0.36111111111111116,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__c128__w8_00_5fad52f9.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.0012829251922541,-0.002598053567824,0.3888888888888889,0.8333333333333334,0.6111111111111112,0.5,False,0.3082174092969034,0.8426338853423387,0.6949941804510197,0.3082174092969034,0.21833887707502442,0.657519817798395,0.4848833946367666,0.5464193034966047,-0.23820189419970134,0.1111111111111111,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__call__w3_00_f9525f06.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.0013009852714242,-0.0024350945306802,0.3888888888888889,0.6111111111111112,0.5,0.25,False,0.3889679158738812,0.6805339429125594,0.1903553631942401,0.1903553631942401,0.03994612502503074,0.7243674328391451,0.8405026311683634,0.4650612703224869,-0.27470590712824683,-0.1388888888888889,False
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__c128__w3_00_202c266c.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,False,-0.0019157747551265,-0.0042393113619086,0.5555555555555556,0.7222222222222222,0.9444444444444444,0.25,False,0.780954143320655,0.19298196847438762,0.7377778892897546,0.19298196847438762,0.8607202060276518,0.438604238451753,0.27365804339795546,0.4756725040408799,-0.28269053556649226,-0.3055555555555556,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__call__w8_00_ace546fc.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.0013044657546799,-0.0026477211930366,0.3888888888888889,0.6666666666666666,0.5555555555555556,0.25,False,0.24365418440378606,0.705250432810011,0.6121426440920269,0.24365418440378606,0.12846338755738107,0.7432162764766803,0.5431553028840136,0.5283883443606416,-0.2847341599568556,-0.1388888888888889,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__call__w5_00_73a40dff.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.0013312549283755,-0.0025822565086849,0.2777777777777778,0.6666666666666666,0.6111111111111112,0.25,False,0.26519874532119425,0.7846006004886767,0.18735889918558196,0.18735889918558196,0.12436618240854505,0.6356326389509359,0.7058965812702952,0.511368199123408,-0.32400929993782607,-0.02777777777777779,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_l1sum__c128__w8_00_e4639ff1.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_l1sum,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0016903863525399,-0.0025267860837068,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.75,False,0.5289950265967138,0.4845718603196817,0.786195580356029,0.4845718603196817,0.10161032898609933,0.4387406699749584,0.019374876165632663,0.8134247082911032,-0.32885284797142156,0.08333333333333337,False
submission_e319_modespec_human_action_p90_rank__mode_actual__selected_maxmean__c128__w5_00_f049f8af.csv,human_action_p90_rank,policy_mode,human_action_p90_rank__mode_actual,selected_maxmean,9,actual:9,False,-0.0013177883090798,-0.0025511975765122,0.3888888888888889,0.6666666666666666,0.6111111111111112,0.0,False,0.3134636778068711,0.5696707133642446,0.14024831754776296,0.14024831754776296,0.23407442489781943,0.6966344865188878,0.6222593050225231,0.4823439278535898,-0.34209561030582686,-0.3888888888888889,False
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__c128__w8_00_4c1487aa.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,False,-0.0020832848240942,-0.0046609230740436,0.25,0.85,1.0,0.5,False,0.9567675769253351,0.2319265911618747,0.6714679259446272,0.2319265911618747,0.6502791617830528,0.314422837061748,0.23002263256791888,0.6017584561957601,-0.3698318650338854,0.25,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_row2__c128__w8_00_6143e1ae.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_row2,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0016725291310456,-0.0029663643147019,0.3888888888888889,0.8888888888888888,0.7222222222222222,0.75,False,0.5979855916990154,0.5550512061605714,0.3480692533706876,0.3480692533706876,0.12587333581595977,0.5568123705282397,0.08697014941397432,0.7434480480806087,-0.3953787947099211,0.3611111111111111,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_tbal__call__w3_00_cb7f8573.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_tbal,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0015883715726672,-0.0022358993040703,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.0,False,0.07001264318834448,0.9667466539275748,0.21921168310252453,0.07001264318834448,0.3115080215514497,0.6929377467325506,0.5926283571263348,0.4676419581965551,-0.3976293150082106,-0.5555555555555556,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__c128__w5_00_a992efd3.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,False,-0.001974388112878,-0.0047205575116196,0.5555555555555556,0.8888888888888888,0.8333333333333334,0.5,False,0.9754350482256535,0.23396107879054928,0.9661883205278013,0.23396107879054928,0.04686458472333881,0.4838162730468239,0.49142004533933276,0.6592996989635016,-0.4253386201729523,-0.05555555555555558,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__call__w3_00_1ca2778a.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,False,-0.0022762802849188,-0.005086597683989,0.6111111111111112,0.8333333333333334,0.8888888888888888,0.5,False,0.9086823880231171,0.35704385482199563,0.8548516979473715,0.35704385482199563,0.03478630591460266,0.37877416899725047,0.16967061940942485,0.8055896352262407,-0.4485457804042451,-0.11111111111111116,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_l1sum__call__w8_00_3f7aa99b.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_l1sum,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0018402205324982,-0.0032239735163645,0.5555555555555556,0.5,0.6111111111111112,0.0,False,0.34658477487107464,0.8452148719536882,0.5333736766366715,0.34658477487107464,0.1286132782879919,0.11347013435352575,0.19118581239176213,0.8555769249889067,-0.508992150117832,-0.5555555555555556,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__c128__w8_00_95c22dad.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,False,-0.0020720232652947,-0.005092965951156,0.5555555555555556,0.8888888888888888,0.9444444444444444,0.5,False,0.992371066282542,0.26988612421391134,0.9059460308745841,0.26988612421391134,0.09585485271869902,0.2726376491839474,0.26456041009038794,0.7889823626689886,-0.5190962384550772,-0.05555555555555558,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__call__w3_00_10bfa82d.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0019065029191322,-0.0039823535943733,0.5,0.5,0.6111111111111112,0.0,False,0.01635149066482036,0.6768423972666239,0.030482054857306075,0.01635149066482036,0.15912863368462027,0.5687213920715414,0.665237907624012,0.5356373555399421,-0.5192858648751217,-0.5,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__c128__w3_00_8a995cdb.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.001748576407511,-0.0031039483012873,0.4444444444444444,0.7222222222222222,0.6666666666666666,0.25,False,0.6324643514015399,0.7808126618079909,0.1804333395770309,0.1804333395770309,0.18204773662894486,0.18692687319623283,0.4547810945406273,0.7254147652113982,-0.5449814256343674,-0.19444444444444442,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_row2__call__w8_00_7e58b2a7.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_row2,67,actual:6|dateblock:14|row:10|subject:37,True,-0.001787983321713,-0.0037180846065029,0.4444444444444444,0.5555555555555556,0.6111111111111112,0.0,False,0.08463084435705495,0.5855128808526099,0.08615117448320134,0.08463084435705495,0.2120771766025322,0.1796997634985678,0.6880778025673135,0.6400484191105289,-0.555417574753474,-0.4444444444444444,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__call__w5_00_d817faa8.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,False,-0.003330909244942,-0.007214699945499,0.5,0.9444444444444444,0.9444444444444444,0.75,False,0.9537149717487259,0.25376432374515057,0.6871043796136942,0.25376432374515057,0.17261832098282537,0.17854906126707593,0.1559769237353095,0.8309518980049297,-0.5771875742597792,0.25,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__call__w5_00_267d18b2.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0027745061006456,-0.0059514035819703,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.0,False,0.061162659139730395,0.3934874149464621,0.015556339412545243,0.015556339412545243,0.21336556507760465,0.15956992195345643,0.5660370119908955,0.6870091669926812,-0.671452827580136,-0.2222222222222222,False
submission_e319_modespec_human_action_p90_rank__top24__selected_maxmean__call__w8_00_cfb40433.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_maxmean,24,actual:5|dateblock:1|row:8|subject:10,False,-0.0042831554098918,-0.0092651943557421,0.1111111111111111,0.9444444444444444,1.0,0.75,False,0.9835515631572975,0.18262312359945174,0.8245627736307584,0.18262312359945174,0.27334464512374634,0.09829648247865226,0.05824340388284964,0.8567051561715839,-0.6740820325721322,0.6388888888888888,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_vote2__call__w8_00_d351d124.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_vote2,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0018789011898292,-0.0039780037111803,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.25,False,0.10290843860111992,0.9467154796280756,0.18649548455854692,0.10290843860111992,0.08602651054112764,0.4483999104987541,0.11053279951817736,0.7850135931473137,-0.6821051545461938,-0.4722222222222222,False
