feature_view,score_spec,split,n_rows,n_pos,skipped_rows,skipped_positive_rows,auc,avg_precision,logloss,topk_precision,topk_recall,exact_e95_e101_mean_prob,exact_e95_e101_max_prob,e72_positive_min_prob,e72_positive_mean_prob,non_e72_p95_prob,boundary_clean_gate
support_abs,prototype_pos_vs_boundary,loo_pair_context,130,6,2,0,0.6666666666666666,0.6820512820512821,0.2058736788476372,0.6666666666666666,0.6666666666666666,,,7.257913160374769e-06,0.6126359513587963,0.04280890789815911,False
shape_target_context_support_abs,plain_logit_c025,loo_pair_id,132,6,0,0,0.9312169312169313,0.7291666666666666,0.11330246531039001,0.6666666666666666,0.6666666666666666,0.7661016050080747,0.7661016050080747,0.0032825934266342,0.630311349799564,0.01085080610038899,False
shape_target_context_support_abs,plain_logit_c025,loo_pair_context,132,6,0,0,0.9259259259259259,0.7254901960784313,0.11331401938253204,0.6666666666666666,0.6666666666666666,0.7661016050080747,0.7661016050080747,0.0032825934266342,0.630311349799564,0.01085080610038899,False
shape_target_context_support_abs,hardneg4_other1_c025,loo_pair_id,132,6,0,0,0.9312169312169313,0.7291666666666666,0.11408975362984412,0.6666666666666666,0.6666666666666666,0.7661016050080747,0.7661016050080747,0.0030909024853972536,0.631041050586391,0.010820132356564397,False
shape_target_context_support_abs,hardneg4_other1_c025,loo_pair_context,132,6,0,0,0.9259259259259259,0.7254901960784313,0.11411091486803678,0.6666666666666666,0.6666666666666666,0.7661016050080747,0.7661016050080747,0.0030909024853972536,0.631041050586391,0.010820132356564397,False
shape_target_context_support_abs,hardneg8_other025_c025,loo_pair_id,132,6,0,0,0.9153439153439153,0.7192982456140351,0.11109195569587317,0.6666666666666666,0.6666666666666666,0.8242226422430117,0.8242226422430117,0.0074061076968632835,0.6386481726523199,0.03079430693473742,False
shape_target_context_support_abs,hardneg8_other025_c025,loo_pair_context,132,6,0,0,0.9153439153439153,0.7192982456140351,0.11116775168658595,0.6666666666666666,0.6666666666666666,0.8242226422430117,0.8242226422430117,0.0074061076968632835,0.6386481726523199,0.03079430693473742,False
shape_target_context_support_abs,prototype_pos_vs_boundary,loo_pair_id,130,6,2,0,0.6666666666666666,0.6820512820512821,0.17994295110386596,0.6666666666666666,0.6666666666666666,,,2.720302761423367e-05,0.6660902004774477,0.034446724152635166,False
shape_target_context_support_abs,prototype_pos_vs_boundary,loo_pair_context,130,6,2,0,0.6666666666666666,0.6820512820512821,0.18015115753860567,0.6666666666666666,0.6666666666666666,,,2.720302761423367e-05,0.6660902004774477,0.03516521903790429,False
all_abs,plain_logit_c025,loo_pair_id,132,6,0,0,0.9312169312169313,0.7291666666666666,0.11330246531039737,0.6666666666666666,0.6666666666666666,0.7661016050080803,0.7661016050080803,0.0032825934266342,0.6303113497995642,0.01085080610084671,False
all_abs,plain_logit_c025,loo_pair_context,132,6,0,0,0.9259259259259259,0.7254901960784313,0.11331401938253849,0.6666666666666666,0.6666666666666666,0.7661016050080803,0.7661016050080803,0.0032825934266342,0.6303113497995642,0.01085080610084671,False
all_abs,hardneg4_other1_c025,loo_pair_id,132,6,0,0,0.9312169312169313,0.7291666666666666,0.11408975362984401,0.6666666666666666,0.6666666666666666,0.7661016050080803,0.7661016050080803,0.0030909024853972536,0.6310410505863912,0.010820132356566318,False
all_abs,hardneg4_other1_c025,loo_pair_context,132,6,0,0,0.9259259259259259,0.7254901960784313,0.11411091486803657,0.6666666666666666,0.6666666666666666,0.7661016050080803,0.7661016050080803,0.0030909024853972536,0.6310410505863912,0.010820132356566318,False
all_abs,hardneg8_other025_c025,loo_pair_id,132,6,0,0,0.9153439153439153,0.7192982456140351,0.11109195569586792,0.6666666666666666,0.6666666666666666,0.8242226422430117,0.8242226422430117,0.00740610769686329,0.6386481726524444,0.0307943069347375,False
all_abs,hardneg8_other025_c025,loo_pair_context,132,6,0,0,0.9153439153439153,0.7192982456140351,0.11116775168658057,0.6666666666666666,0.6666666666666666,0.8242226422430117,0.8242226422430117,0.00740610769686329,0.6386481726524444,0.0307943069347375,False
all_abs,prototype_pos_vs_boundary,loo_pair_id,130,6,2,0,0.6666666666666666,0.6820512820512821,0.17994295110386596,0.6666666666666666,0.6666666666666666,,,2.720302761423367e-05,0.6660902004774477,0.034446724152635166,False
all_abs,prototype_pos_vs_boundary,loo_pair_context,130,6,2,0,0.6666666666666666,0.6820512820512821,0.18015115753860567,0.6666666666666666,0.6666666666666666,,,2.720302761423367e-05,0.6660902004774477,0.03516521903790429,False
shape_target_context_abs,plain_logit_c025,loo_any_file,242,6,22,6,0.9745762711864406,0.75,0.03949901775848513,0.6666666666666666,0.6666666666666666,0.08868297940131797,0.09018746665213137,0.051936658104579286,0.6045226577524977,0.07236272785336495,True
shape_target_context_abs,hardneg4_other1_c025,loo_any_file,242,6,22,6,0.9689265536723164,0.7380952380952381,0.04114227253144229,0.6666666666666666,0.6666666666666666,0.08868297940131797,0.09018746665213137,0.038512611692060356,0.6000479756149915,0.07095428984569184,True
shape_target_context_abs,hardneg8_other025_c025,loo_any_file,242,6,22,6,0.9463276836158192,0.7121212121212122,0.058325705410445905,0.6666666666666666,0.6666666666666666,0.21809268628562073,0.2188413157162444,0.049165196955015145,0.6169006987326839,0.11023365358966072,False
