feature_view,candidate,scenario,n_diff_cells,top_targets,e72_contam_prob,known_non_e72_p95,known_min_positive,above_non_e72_p95,above_min_positive,shape_prob,support_prob,support_minus_shape_prob
all_axis_free_abs,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.001562158517946922,0.014775788288890706,0.9909997950126148,False,False,0.0173169073052313,0.0022415871336842,-0.015075320171547101
all_axis_free_abs,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.003033255655683507,0.014775788288890706,0.9909997950126148,False,False,0.0013693627205825,0.0009401148931608,-0.00042924782742169995
all_axis_free_abs,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.0012919252268072765,0.014775788288890706,0.9909997950126148,False,False,0.0018161849632728,0.0047095615124721,0.0028933765491992993
all_axis_free_abs,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0021371434086897624,0.014775788288890706,0.9909997950126148,False,False,0.0016447166511099,0.001267870166625,-0.0003768464844849
all_axis_free_abs,e176,global_t010,904,"S1,Q3,Q3,Q3",0.00022304979249562065,0.014775788288890706,0.9909997950126148,False,False,0.9208640171348336,0.8201106025581956,-0.100753414576638
all_axis_free_abs,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.00011865853934757725,0.014775788288890706,0.9909997950126148,False,False,0.9333240893587452,0.8752501959410511,-0.05807389341769409
all_axis_free_abs,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.00019376744330296434,0.014775788288890706,0.9909997950126148,False,False,0.9235085194617716,0.7540475465648768,-0.16946097289689477
all_abs,e144,global_t010,185,"S2,Q1,Q3,Q1",0.001274160057530777,0.01477578828889073,0.9909997950126148,False,False,0.0260815788662998,0.0084197549367556,-0.0176618239295442
all_abs,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.00035290042047127456,0.01477578828889073,0.9909997950126148,False,False,0.0058817823308532,0.0071011302193631,0.0012193478885099002
all_abs,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.001562158517946929,0.01477578828889073,0.9909997950126148,False,False,0.0173169073052313,0.0022415871336842,-0.015075320171547101
all_abs,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.0030332556556835148,0.01477578828889073,0.9909997950126148,False,False,0.0013693627205825,0.0009401148931608,-0.00042924782742169995
all_abs,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.001291925226807281,0.01477578828889073,0.9909997950126148,False,False,0.0018161849632728,0.0047095615124721,0.0028933765491992993
all_abs,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.00213714340868977,0.01477578828889073,0.9909997950126148,False,False,0.0016447166511099,0.001267870166625,-0.0003768464844849
all_abs,e176,global_t010,904,"S1,Q3,Q3,Q3",0.00022304979249562144,0.01477578828889073,0.9909997950126148,False,False,0.9208640171348336,0.8201106025581956,-0.100753414576638
all_abs,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.00011865853934757765,0.01477578828889073,0.9909997950126148,False,False,0.9333240893587452,0.8752501959410511,-0.05807389341769409
all_abs,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.00019376744330296467,0.01477578828889073,0.9909997950126148,False,False,0.9235085194617716,0.7540475465648768,-0.16946097289689477
