fold,target,feature,mode,c_value,weight,inner_delta,holdout_base_loss,holdout_candidate_loss,holdout_delta
geom_r04,Q3,deep__phone_charge_m_charging_morning_max,subject_center,0.5,0.45,-0.009936125916567007,0.6598679297154648,0.663041614846033,0.003173685130568149
geom_r04,S1,deep__watch_light_w_light_early_median,subject_rank,0.5,0.45,-0.012983229933813567,0.5170941001456607,0.5304205796187457,0.013326479473084962
geom_r04,S2,deep__ambience_early_top_is_water_max,subject_center,0.5,0.45,-0.007310720499944634,0.5528124270115984,0.5643780076810754,0.011565580669476994
geom_r04,S3,deep__gps_morning_lon_std_mean,subject_rank,0.5,0.45,-0.013605508976959058,0.5213781284867114,0.5513680550905444,0.02998992660383304
geom_r04,S4,deep__ambience_afternoon_top_is_silence_max,subject_center,0.5,0.45,-0.01446322317531712,0.5674687734081351,0.5835749539915321,0.01610618058339708
geom_r05,Q1,deep__phone_activity_m_activity_afternoon_count,subject_rank,0.5,0.45,-0.011568373058930437,0.5772354745045669,0.5729608779346832,-0.004274596569883715
geom_r05,Q2,deep__phone_activity_all_transitions,global_z,0.5,0.45,-0.012402465522790118,0.6448287948534945,0.6499743767458265,0.005145581892331941
geom_r05,Q3,deep__ble_morning_unique_max,subject_center,0.5,0.45,-0.015231639202871627,0.567187840169729,0.5848513109614638,0.017663470791734803
geom_r05,S1,deep__phone_activity_m_activity_afternoon_count,subject_rank,0.5,0.45,-0.008686351536754011,0.520574281751505,0.5402775356802526,0.01970325392874761
geom_r05,S2,deep__watch_light_w_light_all_median,subject_center,0.5,0.45,-0.008367731137694179,0.5665382316936043,0.5770553898777065,0.01051715818410226
geom_r05,S3,deep__phone_light_m_light_late_std,subject_center,0.5,0.45,-0.008705773672527228,0.5142650408886102,0.520833862030773,0.0065688211421627285
geom_r05,S4,deep__watch_light_w_light_afternoon_median,subject_rank,0.5,0.45,-0.009324120024452154,0.6265735676967285,0.6343887500443207,0.007815182347592264
geom_r06,Q1,quiet__quiet_w23_34_screen_step_activity_dur,subject_rank,0.5,0.45,-0.011683797805024265,0.615512589020511,0.627982467825975,0.012469878805464019
geom_r06,Q2,deep__phone_light_m_light_all_q90,subject_z,0.5,0.45,-0.004194205773672466,0.6501044244450533,0.65590962657958,0.005805202134526621
geom_r06,Q3,deep__ble_morning_unique_max,subject_rank,0.5,0.45,-0.014130683148049883,0.6330664090305137,0.6339411401882054,0.000874731157691655
geom_r06,S1,deep__ambience_afternoon_hour_sum,subject_rank,0.5,0.45,-0.007167647029789892,0.45286816731087076,0.4578195069089277,0.004951339598056936
geom_r06,S2,deep__usage_all_usage_kw_home_time_max,subject_rank,0.5,0.45,-0.011328643966479035,0.4540596963112293,0.4702379163574908,0.016178220046261516
geom_r06,S3,deep__usage_late_apps_max,subject_z,0.5,0.45,-0.0062748075212578636,0.44402329292276976,0.4450965470138106,0.0010732540910408095
geom_r06,S4,deep__usage_evening_usage_kw_video_time_max,subject_center,0.5,0.45,-0.008444578790032908,0.6327725470779221,0.6385829997123216,0.005810452634399499
geom_r07,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.5,0.45,-0.012285108533654832,0.5488742407254708,0.5532372944819883,0.004363053756517576
geom_r07,Q2,deep__phone_screen_m_screen_use_evening_mean,subject_rank,0.5,0.45,-0.0067558553405080435,0.6407583822538224,0.6460199417247776,0.0052615594709551905
geom_r07,Q3,deep__ble_morning_unique_max,subject_rank,0.5,0.45,-0.012610200077237788,0.6499263149095884,0.6510368949376228,0.0011105800280344358
geom_r07,S1,deep__watch_light_w_light_early_median,subject_rank,0.5,0.45,-0.010435937597447376,0.44918169633706395,0.45521210002954116,0.006030403692477204
geom_r07,S2,deep__usage_all_usage_kw_search_time_sum,subject_center,0.5,0.45,-0.008050199776448164,0.5051607680923258,0.5133783016207941,0.008217533528468324
geom_r07,S3,deep__phone_charge_m_charging_late_q10,subject_center,0.5,0.45,-0.00825804922938378,0.4621315086469333,0.4726402676498308,0.010508759002897494
