source_rank,source_kind,source_path,source_file,source_family,source_known_public_lb,source_known_delta_vs_e95,source_e164_broad_edge_score,source_e164_expected_delta_vs_e95,source_bad_span_energy,source_max_bad_cos,source_geometry_health_gate,source_move_norm_vs_e95,scale,scaled_expected_delta_focus_mean,scaled_moved_cells,scaled_moved_rows,scaled_targets_moved,scaled_cells_to_flip_expected,scaled_cells_for_2e6_guard,scaled_cells_for_e95_edge,scaled_top1_over_abs_expected,scaled_top5_over_abs_expected,scaled_support_prob_swing_weighted_focus_mean,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,entropy_delta_vs_e95,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,scaled_sensor_gate,material_gate,sensor_score,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad
7,e165_health_survivor,jepa/submission_bigshot_11_jepa_multifeature_rawstack.csv,submission_bigshot_11_jepa_multifeature_rawstack.csv,jepa,,,0.0809477294176258,-0.0232783928779901,0.3988440886105009,0.1900855109955047,True,11.417966174745269,0.015,-0.00043913498447591397,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,2,0.025485971686071387,0.11299044476091938,0.4555610659881015,0.3988440886105003,0.9170187527965062,a2c8,0.19008551099550364,0.00032475832057745165,0.0029238360704976845,0.019585618116253922,0.1572991034632589,0.03657384985194847,-0.08187024006204041,-0.12307070932707855,True,True,0.019532590908605475,0.19008551099550364,0.14385281709900197,0.16940171541390184,-0.06480723687548734,0.13677797723816293,0.12499274684118963,0.0981986188768466,0.022333745696374432,0.1286905258904762
6,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,0.0826437188027033,-0.0235864819748736,0.4120414744276652,0.20367386343686,True,11.49131941357587,0.015,-0.00044474332705091743,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,2,0.025501093332151243,0.11294167119468737,0.4561124873698082,0.41204147442766575,0.911165091161572,stage2,0.20367386343685995,0.0003273114672511502,0.002943367131599287,0.01984752191095973,0.15809787484909263,0.046333618574282455,-0.08904032169853329,-0.1304054187577765,True,True,0.019336293221465767,0.19100897933908972,0.1489281794805811,0.20367386343685995,-0.051619134756435495,0.14815379855423105,0.12214135276261506,0.11711024912379768,0.0375619368966479,0.14326190384637466
8,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,jepa,,,0.0795710906676015,-0.0229352647725111,0.3899827821447088,0.188714402862818,True,11.37080500858728,0.015,-0.0004335190773565138,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",65,1,2,0.025470903234035135,0.11304245271289086,0.4551471060673705,0.38998278214470883,0.9208221487511437,a2c8,0.18871440286281765,0.0003222002615553401,0.002913686114208313,0.01932371432154789,0.15671214621095328,0.02662639541589193,-0.07443558178411307,-0.11537477524234141,True,True,0.01928196424951569,0.18871440286281765,0.13839230540619918,0.13437612297243784,-0.07798583398780685,0.12496652721742003,0.1275864471992381,0.07886035663463428,0.006892712618146248,0.1136682798960588
5,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p35_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p35_mw1p0.csv,jepa,,,0.0833679065618133,-0.023754522258768,0.4217414181250704,0.2237879140097765,True,11.547703328979727,0.015,-0.0004481047016116603,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,2,0.025510191340594096,0.11312506392384233,0.45649750961441815,0.4217414181250697,0.9067161497612444,stage2,0.2237879140097757,0.0003288409973688154,0.00295900311456545,0.02000466418778335,0.15868321700006904,0.05207404897519673,-0.09319864167031174,-0.1346170879460083,True,True,0.019154188742515163,0.19135219221087085,0.151779625640751,0.2237879140097757,-0.04373986991512044,0.15474387876040188,0.12031887763541653,0.12820427572772422,0.04655595631522762,0.1517530180792522
3,e165_health_survivor,jepa/submission_block_canvas_multifeature_k8_c0p02_noq2_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_noq2_scale1p0.csv,jepa,,,0.0849155710982857,-0.0240976106310886,0.4484477362765348,0.2691544082881267,True,11.714458514070435,0.015,-0.0004559373185401517,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",67,1,2,0.02553149137203793,0.11368962619603519,0.4574829844282874,0.44844773627653517,0.8938090555753232,stage2,0.2691544082881267,0.00033240302394636875,0.0030027241652888404,0.02037132950037157,0.16007405031413258,0.06505680736132305,-0.10243658014935614,-0.1438527069944499,True,True,0.018854819815590125,0.1915629053560374,0.1578502871902831,0.2691544082881267,-0.025573714620268844,0.16936294810979724,0.11578597354139696,0.15321210265196325,0.06700239172301353,0.17073232578607705
16,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p75_mw0p75.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p75_mw0p75.csv,jepa,,,0.0661643346982762,-0.0183810050125316,0.4263810190097565,0.2526439221153165,True,8.681578571472777,0.02,-0.00043600335230284306,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",65,1,2,0.02544125403845598,0.11414536846206959,0.455452041938093,0.4263810190097569,0.904543656562911,a2c8,0.252643922115317,0.00032547576309887357,0.0029846618206433675,0.01941182608322145,0.1673128532489226,0.04545094176790026,-0.07996994737378722,-0.14171798571187535,True,True,0.018256610069036453,0.252643922115317,0.20987098617151373,0.22905909241582423,-0.06911210643607814,0.10945187168305484,0.10298026719396383,0.13261153243788285,0.051743382708502254,0.16956831465714373
13,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p75_mw1p0.csv,submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p75_mw1p0.csv,jepa,,,0.0746305520031986,-0.0213462403953504,0.4624597134048955,0.2413760674390389,True,10.031256981593382,0.02,-0.0005219164398528814,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",68,1,1,0.02951952917713146,0.1172860199578251,0.4691113559493131,0.46245971340489506,0.8866402954284572,a2c8,0.24137606743903928,0.0003637099555437222,0.0035515401044008427,0.026961773254957855,0.1789154469816054,0.06508076612388608,-0.09671523933641368,-0.1358079538517274,True,True,0.01819678897188246,0.24137606743903928,0.18978824687436585,0.20570681388244225,-0.0586437723292855,0.14660514724311002,0.13560470010683132,0.11889572366997624,0.02846907125496793,0.18351120901960422
12,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,0.0762964504855462,-0.021655465011929,0.475568052948473,0.2442730013565777,True,10.11063958609397,0.02,-0.0005293880803091627,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",69,1,1,0.029479835121136333,0.11787267594680283,0.4695912246894333,0.4755680529484732,0.8796789340519634,stage2,0.2442730013565776,0.00036711216664316265,0.003574476850612707,0.027310978314565748,0.17940334358971283,0.07592767135499852,-0.10469907035896828,-0.14397087314252194,True,True,0.018179203456742673,0.24190958429990667,0.1951102440157733,0.2442730013565776,-0.04366448567980972,0.15937569498591136,0.13220607123630804,0.14016881094621325,0.04571529106595584,0.1995652505229985
13,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p75_mw1p0.csv,submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p75_mw1p0.csv,jepa,,,0.0746305520031986,-0.0213462403953504,0.4624597134048955,0.2413760674390389,True,10.031256981593382,0.03,-0.000781496755818512,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",68,1,1,0.02957157683551439,0.11749281399790808,0.469111355949313,0.4624597134048955,0.8866402954284575,a2c8,0.24137606743903905,0.0005450223537452343,0.005327310156601268,0.04044265988243678,0.1789154469816054,0.0650807661238859,-0.09671523933641447,-0.13580795385172756,True,True,0.01813279057327408,0.24137606743903905,0.1897882468743657,0.20570681388244208,-0.05864377232928528,0.14660514724311036,0.13560470010683134,0.11889572366997606,0.028469071254967605,0.18351120901960458
12,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k5_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,0.0762964504855462,-0.021655465011929,0.475568052948473,0.2442730013565777,True,10.11063958609397,0.03,-0.0007926865852566245,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",69,1,1,0.029531734760384475,0.11808019235025927,0.46959122468943276,0.47556805294847276,0.8796789340519638,stage2,0.2442730013565775,0.0005501235579688751,0.0053617152759190614,0.04096646747184862,0.17940334358971302,0.0759276713549989,-0.10469907035896854,-0.1439708731425213,True,True,0.018115362639295123,0.24190958429990614,0.19511024401577293,0.2442730013565775,-0.043664485679809475,0.15937569498591178,0.13220607123630895,0.14016881094621306,0.04571529106595629,0.19956525052299792
