strategy,mask_name,keep_factor,rollback_cells,rollback_q2s3_cells,rollback_s_cells,all_minus_base,relaxed_structural_tol1e12,gate_active_q2s3_not_more_than_e101,gate_strict_actionable,original_strict_submit,relaxed_submit,e101_active_delta95_l1,q2s3_delta95_l1,e72_plausible_gap_vs_e95,post101_mean_vs_e95_e101_sensor,post101_p95_vs_e95_e101_sensor,post101_beat_e95_rate_e101_sensor,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,survival_score,tag
active_q2s3_repair,top_q2s3_weighted_34,0.0,34,34,34,-8.454895143894525e-06,True,True,True,True,True,0.00040000000000022407,0.0005200000000000199,2.8189256484623115e-18,-1.190403380510341e-05,-2.982175103951348e-06,1.0,0.0017257142857143373,151,0.971693316627712,0.2436718036084944,13.000008454895143,e143_top_q2s3_weighted_34_fdbfa2d2
active_q2s3_repair,top_tension_55,0.25,55,47,49,-8.328325659445746e-06,True,True,True,True,True,0.00040000000000021854,0.0004700000000000342,2.8189256484623115e-18,-1.0431493097586194e-05,-2.453099608757194e-06,1.0,0.0016428571428571976,185,0.9937452846412923,0.11262113558953127,13.00000832832566,e143_top_tension_55_4e106ed5
active_q2s3_repair,s3_non_e101,0.0,43,43,43,-7.880262301029894e-06,True,True,True,True,True,0.0016000000000002252,0.0001600000000000371,2.8189256484623115e-18,-1.1260901321446962e-05,-2.7762611110949453e-06,1.0,0.001622857142857199,142,0.971693316627712,0.2436718036084944,13.0000078802623,e143_s3_non_e101_81b01438
active_q2s3_repair,q2s3,0.0,47,47,47,-7.55857369327817e-06,True,True,True,True,True,2.34257058195908e-16,3.7991094645195573e-17,2.8189256484623115e-18,-1.0900865524961712e-05,-2.559380047489437e-06,1.0,0.0015771428571429138,138,0.971693316627712,0.2436718036084944,13.000007558573694,e143_q2s3_7e4aa05e
active_q2s3_repair,top_tension_55,0.0,55,47,49,-7.310719020603429e-06,True,True,True,True,True,2.34257058195908e-16,3.7991094645195573e-17,2.8189256484623115e-18,-8.8462919733089e-06,-1.1880611384567993e-06,1.0,0.0014857142857143423,130,0.9952693750365589,0.09782991193215414,13.00000731071902,e143_top_tension_55_2c9b6d50
control_e142,none,1.0,0,0,0,-1.0666781972479278e-05,True,False,False,False,True,0.0015999999999999938,0.0018799999999999997,-1.5178830414797062e-18,-1.4379590653791665e-05,-3.7623425360367202e-06,1.0,0.0021142857142857135,185,0.9716933166277121,0.24367180360849447,2.5000106667819724,e143_control_e142
active_q2s3_repair,top_q2s3_weighted_1,0.75,1,1,1,-1.065463572280656e-05,True,False,False,False,True,0.0016000000000002252,0.0018700000000000305,2.8189256484623115e-18,-1.4365996499165505e-05,-3.758058361867292e-06,1.0,0.002111428571428626,185,0.971693316627712,0.2436718036084944,2.500010654635723,e143_top_q2s3_weighted_1_e4ff4b94
active_q2s3_repair,top_q2s3_weighted_2,0.75,2,2,2,-1.0649497071968383e-05,True,False,False,False,True,0.0016000000000002252,0.001860000000000028,2.8189256484623115e-18,-1.4360245290689976e-05,-3.7562458785263754e-06,1.0,0.002108571428571482,185,0.971693316627712,0.2436718036084944,2.5000106494970717,e143_top_q2s3_weighted_2_f2227181
active_q2s3_repair,top_tension_1,0.75,1,1,1,-1.064740659850738e-05,True,False,False,False,True,0.001500000000000223,0.001870000000000031,2.8189256484623115e-18,-1.4357905620401915e-05,-3.7555085355073588e-06,1.0,0.002111428571428626,185,0.971693316627712,0.2436718036084944,2.5000106474065986,e143_top_tension_1_47bf925b
active_q2s3_repair,top_q2s3_weighted_1,0.5,1,1,1,-1.064219223123608e-05,True,False,False,False,True,0.0016000000000002252,0.0018600000000000294,2.8189256484623115e-18,-1.4352069669645657e-05,-3.7536693457841643e-06,1.0,0.0021085714285714826,185,0.971693316627712,0.2436718036084944,2.5000106421922315,e143_top_q2s3_weighted_1_30d5f515
active_q2s3_repair,top_tension_2,0.75,2,2,2,-1.0641622835483311e-05,True,False,False,False,True,0.0014000000000002205,0.0018600000000000307,2.8189256484623115e-18,-1.4351432398544276e-05,-3.753468510905753e-06,1.0,0.002108571428571483,185,0.971693316627712,0.2436718036084944,2.5000106416228354,e143_top_tension_2_0344c585
active_q2s3_repair,top_q2s3_weighted_1,0.25,1,1,1,-1.0632256166043241e-05,True,False,False,False,True,0.0016000000000002252,0.0018500000000000291,2.8189256484623115e-18,-1.4340949166589503e-05,-3.750164738601576e-06,1.0,0.0021057142857143396,185,0.971693316627712,0.2436718036084944,2.500010632256166,e143_top_q2s3_weighted_1_3c11adf0
active_q2s3_repair,top_tension_1,0.5,1,1,1,-1.0632155766243656e-05,True,False,False,False,True,0.0014000000000002248,0.0018600000000000311,2.8189256484623115e-18,-1.4340836798538724e-05,-3.7501293260059544e-06,1.0,0.0021085714285714835,185,0.971693316627712,0.2436718036084944,2.5000106321557665,e143_top_tension_1_21fcd551
active_q2s3_repair,top_q2s3_weighted_3,0.75,3,3,3,-1.0631401431426823e-05,True,False,False,False,True,0.0016000000000002252,0.0018500000000000283,2.8189256484623115e-18,-1.4339992542540684e-05,-3.7498632601976247e-06,1.0,0.0021057142857143396,185,0.971693316627712,0.2436718036084944,2.500010631401431,e143_top_q2s3_weighted_3_f9d4aabd
active_q2s3_repair,top_q2s3_weighted_2,0.5,2,2,2,-1.0630916169929172e-05,True,False,False,False,True,0.0016000000000002252,0.001840000000000028,2.8189256484623115e-18,-1.4339449434996309e-05,-3.7496921008003085e-06,1.0,0.0021028571428571966,185,0.971693316627712,0.2436718036084944,2.50001063091617,e143_top_q2s3_weighted_2_7c824e45
active_q2s3_repair,top_tension_1,0.25,1,1,1,-1.0625951190834648e-05,True,False,False,False,True,0.001300000000000218,0.0018500000000000304,2.8189256484623115e-18,-1.433389260096565e-05,-3.7479408742273775e-06,1.0,0.0021057142857143405,185,0.971693316627712,0.2436718036084944,2.500010625951191,e143_top_tension_1_4c9681a1
active_q2s3_repair,top_q2s3_weighted_1,0.0,1,1,1,-1.062078570945868e-05,True,False,False,False,True,0.0016000000000002252,0.001840000000000029,2.8189256484623115e-18,-1.4328111363593198e-05,-3.74611892733186e-06,1.0,0.0021028571428571966,184,0.971693316627712,0.2436718036084944,2.5000106207857096,e143_top_q2s3_weighted_1_210be628
active_q2s3_repair,top_tension_2,0.5,2,2,2,-1.0619596093941475e-05,True,False,False,False,True,0.001200000000000229,0.0018400000000000315,2.8189256484623115e-18,-1.4326779938855338e-05,-3.7456993311431064e-06,1.0,0.002102857142857198,185,0.971693316627712,0.2436718036084944,2.500010619596094,e143_top_tension_2_3605ce71
active_q2s3_repair,top_tension_1,0.0,1,1,1,-1.0617891256781142e-05,True,False,False,False,True,0.0012000000000002204,0.0018400000000000306,2.8189256484623115e-18,-1.4324871875000706e-05,-3.7450980081403605e-06,1.0,0.0021028571428571975,184,0.971693316627712,0.2436718036084944,2.500010617891257,e143_top_tension_1_96c512e5
active_q2s3_repair,top_q2s3_weighted_2,0.25,2,2,2,-1.061383966505236e-05,True,False,False,False,True,0.0016000000000002252,0.001820000000000028,2.8189256484623115e-18,-1.4320337309523552e-05,-3.7436689477227782e-06,1.0,0.002097142857142911,185,0.971693316627712,0.2436718036084944,2.500010613839665,e143_top_q2s3_weighted_2_11193a66
active_q2s3_repair,top_tension_3,0.75,3,3,3,-1.0613287054872522e-05,True,False,False,False,True,0.0013000000000002226,0.0018500000000000309,2.8189256484623115e-18,-1.4319718824934885e-05,-3.7434740333811504e-06,1.0,0.0021057142857143405,185,0.971693316627712,0.2436718036084944,2.500010613287055,e143_top_tension_3_29f1ee00
active_q2s3_repair,top_tension_2,0.25,2,2,2,-1.0605625692883258e-05,True,False,False,False,True,0.0010000000000002112,0.0018200000000000297,2.8189256484623115e-18,-1.4311144183186628e-05,-3.740771749958601e-06,1.0,0.0020971428571429115,185,0.971693316627712,0.2436718036084944,2.5000106056256928,e143_top_tension_2_2a1d2de1
active_q2s3_repair,top_q2s3_weighted_5,0.75,5,5,5,-1.060187472712304e-05,True,False,False,False,True,0.0016000000000002252,0.001830000000000029,2.8189256484623115e-18,-1.430694608007534e-05,-3.73944872507e-06,1.0,0.002100000000000054,185,0.971693316627712,0.2436718036084944,2.500010601874727,e143_top_q2s3_weighted_5_0dba22e3
active_q2s3_repair,e101_active,0.75,4,4,4,-1.0601148172972863e-05,True,False,False,False,True,0.0012000000000002243,0.001840000000000031,2.8189256484623115e-18,-1.4306132916364082e-05,-3.7391924579417306e-06,1.0,0.0021028571428571975,185,0.971693316627712,0.2436718036084944,2.500010601148173,e143_e101_active_95991de4
active_q2s3_repair,top_q2s3_weighted_3,0.5,3,3,3,-1.0599602139338415e-05,True,False,False,False,True,0.0016000000000002252,0.0018200000000000267,2.8189256484623115e-18,-1.4304402586356867e-05,-3.738647147451648e-06,1.0,0.0020971428571429102,185,0.971693316627712,0.2436718036084944,2.500010599602139,e143_top_q2s3_weighted_3_57b697cf
active_q2s3_repair,top_q2s3_weighted_2,0.0,2,2,2,-1.0594221424908845e-05,True,False,False,False,True,0.0016000000000002252,0.001800000000000027,2.8189256484623115e-18,-1.429838045887511e-05,-3.736749284457461e-06,1.0,0.0020914285714286247,183,0.971693316627712,0.2436718036084944,2.500010594221425,e143_top_q2s3_weighted_2_35022853
active_q2s3_repair,top_tension_5,0.75,5,5,5,-1.0589800487736944e-05,True,False,False,False,True,0.0012000000000002243,0.0018300000000000304,2.8189256484623115e-18,-1.429343251978886e-05,-3.735189950066461e-06,1.0,0.0021000000000000545,185,0.971693316627712,0.2436718036084944,2.5000105898004876,e143_top_tension_5_e214108a
active_q2s3_repair,top_tension_2,0.0,2,2,2,-1.0588812177081408e-05,True,False,False,False,True,0.00080000000000022,0.0018000000000000305,2.8189256484623115e-18,-1.4292326396645339e-05,-3.734841357283019e-06,1.0,0.002091428571428626,183,0.971693316627712,0.2436718036084944,2.5000105888121773,e143_top_tension_2_8fe4adfa
active_q2s3_repair,top_q2s3_weighted_8,0.75,8,8,8,-1.0572782746520737e-05,True,False,False,False,True,0.0016000000000002252,0.0018000000000000294,2.8189256484623115e-18,-1.427438616295335e-05,-3.7291875238604893e-06,1.0,0.0020914285714286255,185,0.971693316627712,0.2436718036084944,2.5000105727827466,e143_top_q2s3_weighted_8_c07c66e7
active_q2s3_repair,top_q2s3_weighted_3,0.25,3,3,3,-1.0565824198449647e-05,True,False,False,False,True,0.0016000000000002252,0.0017900000000000233,2.8189256484623115e-18,-1.4266598114707983e-05,-3.726733134011287e-06,1.0,0.002088571428571481,185,0.971693316627712,0.2436718036084944,2.5000105658241987,e143_top_q2s3_weighted_3_34d3a45c
active_q2s3_repair,top_tension_3,0.5,3,3,3,-1.0561276761800187e-05,True,False,False,False,True,0.001000000000000229,0.0018200000000000314,2.8189256484623115e-18,-1.426150859665667e-05,-3.725129181255869e-06,1.0,0.002097142857142912,185,0.971693316627712,0.2436718036084944,2.5000105612767616,e143_top_tension_3_6c655536
active_q2s3_repair,top_tension_8,0.75,8,8,8,-1.0545428432262582e-05,True,False,False,False,True,0.0012000000000002243,0.0018000000000000275,2.8189256484623115e-18,-1.4243771052303107e-05,-3.7195392250255554e-06,1.0,0.002091428571428625,185,0.971693316627712,0.2436718036084944,2.5000105454284323,e143_top_tension_8_5e62b641
active_q2s3_repair,e101_active,0.5,4,4,4,-1.053321572075383e-05,True,False,False,False,True,0.0008000000000002355,0.001800000000000032,2.8189256484623115e-18,-1.4230102513196205e-05,-3.715231608716506e-06,1.0,0.0020914285714286264,185,0.971693316627712,0.2436718036084944,2.500010533215721,e143_e101_active_1a0d7634
active_q2s3_repair,top_q2s3_weighted_3,0.0,3,3,3,-1.0529503282064034e-05,True,False,False,False,True,0.0016000000000002252,0.0017600000000000252,2.8189256484623115e-18,-1.4225947529810485e-05,-3.7139221729343676e-06,1.0,0.0020800000000000527,182,0.971693316627712,0.2436718036084944,2.500010529503282,e143_top_q2s3_weighted_3_30268aa4
active_q2s3_repair,top_q2s3_weighted_5,0.5,5,5,5,-1.0528280154575853e-05,True,False,False,False,True,0.0016000000000002252,0.0017800000000000257,2.8189256484623115e-18,-1.4224578598276083e-05,-3.713490756543963e-06,1.0,0.002085714285714339,185,0.971693316627712,0.2436718036084944,2.5000105282801544,e143_top_q2s3_weighted_5_713b1338
active_q2s3_repair,top_tension_5,0.5,5,5,5,-1.051929241202565e-05,True,False,False,False,True,0.0008000000000002355,0.0017800000000000303,2.8189256484623115e-18,-1.4214519463542395e-05,-3.7103206377408583e-06,1.0,0.0020857142857143404,185,0.971693316627712,0.2436718036084944,2.5000105192924122,e143_top_tension_5_43801754
active_q2s3_repair,top_tension_3,0.25,3,3,3,-1.0515667204336054e-05,True,False,False,False,True,0.0007000000000002133,0.00179000000000003,2.8189256484623115e-18,-1.4210462109609131e-05,-3.709041969710733e-06,1.0,0.0020885714285714826,185,0.971693316627712,0.2436718036084944,2.5000105156672046,e143_top_tension_3_38b103a9
active_q2s3_repair,top_q2s3_weighted_13,0.75,13,13,13,-1.0514526428084814e-05,True,False,False,False,True,0.001500000000000223,0.0017500000000000302,2.8189256484623115e-18,-1.4209185346067218e-05,-3.7086395999027433e-06,1.0,0.0020771428571429115,185,0.971693316627712,0.2436718036084944,2.500010514526428,e143_top_q2s3_weighted_13_1a3f6cac
active_q2s3_repair,top_tension_13,0.75,13,13,13,-1.0508858115376718e-05,True,False,False,False,True,0.0012000000000002243,0.0017500000000000297,2.8189256484623115e-18,-1.4202841336887501e-05,-3.7066402964516874e-06,1.0,0.0020771428571429115,185,0.971693316627712,0.2436718036084944,2.5000105088581153,e143_top_tension_13_e2143cb2
active_q2s3_repair,e101_active,0.25,4,4,4,-1.0470188015587745e-05,True,False,False,False,True,0.00040000000000021854,0.0017600000000000306,2.8189256484623115e-18,-1.4159561532001054e-05,-3.6930007412714843e-06,1.0,0.0020800000000000545,185,0.971693316627712,0.2436718036084944,2.5000104701880157,e143_e101_active_d07b813e
active_q2s3_repair,top_q2s3_weighted_8,0.5,8,8,8,-1.0463519204417793e-05,True,False,False,False,True,0.0016000000000002252,0.0017200000000000236,2.8189256484623115e-18,-1.4152097759012747e-05,-3.690648546205134e-06,1.0,0.002068571428571481,185,0.971693316627712,0.2436718036084944,2.5000104635192044,e143_top_q2s3_weighted_8_16769e7d
active_q2s3_repair,top_q2s3_weighted_21,0.75,21,21,21,-1.0461468246236727e-05,True,False,False,False,True,0.0014000000000002205,0.0016700000000000282,2.8189256484623115e-18,-1.4149802314460208e-05,-3.689925140849688e-06,1.0,0.002054285714285768,185,0.971693316627712,0.2436718036084944,2.5000104614682463,e143_top_q2s3_weighted_21_21af7104
active_q2s3_repair,top_tension_3,0.0,3,3,3,-1.0460844638293665e-05,True,False,False,False,True,0.00040000000000022407,0.001760000000000031,2.8189256484623115e-18,-1.4149104368754129e-05,-3.6897051844752123e-06,1.0,0.0020800000000000545,182,0.971693316627712,0.2436718036084944,2.5000104608446385,e143_top_tension_3_0e3bdad5
active_q2s3_repair,top_tension_5,0.25,5,5,5,-1.0447129147328482e-05,True,False,False,False,True,0.00040000000000021854,0.0017300000000000286,2.8189256484623115e-18,-1.4133753909972428e-05,-3.6848675141080786e-06,1.0,0.002071428571428625,185,0.971693316627712,0.2436718036084944,2.5000104471291476,e143_top_tension_5_91275b67
active_q2s3_repair,top_q2s3_weighted_5,0.25,5,5,5,-1.044533798189029e-05,True,False,False,False,True,0.0016000000000002252,0.0017300000000000223,2.8189256484623115e-18,-1.4131749226997537e-05,-3.6842357417577516e-06,1.0,0.0020714285714286233,185,0.971693316627712,0.2436718036084944,2.500010445337982,e143_top_q2s3_weighted_5_29ffcc45
active_q2s3_repair,top_tension_21,0.75,21,21,21,-1.0439772227477384e-05,True,False,False,False,True,0.0012000000000002243,0.001670000000000029,2.8189256484623115e-18,-1.4125520001669673e-05,-3.682272612237824e-06,1.0,0.0020542857142857684,185,0.971693316627712,0.2436718036084944,2.5000104397722276,e143_top_tension_21_8332cee7
active_q2s3_repair,top_tension_8,0.5,8,8,8,-1.0426749333936058e-05,True,False,False,False,True,0.0008000000000002355,0.0017200000000000268,2.8189256484623115e-18,-1.4110944702029868e-05,-3.6776792319250715e-06,1.0,0.002068571428571482,185,0.971693316627712,0.2436718036084944,2.500010426749334,e143_top_tension_8_c891e72e
active_q2s3_repair,e101_active,0.0,4,4,4,-1.0400031956625533e-05,True,False,False,False,True,2.34257058195908e-16,0.0017200000000000323,2.8189256484623115e-18,-1.4081042454986612e-05,-3.668255590815123e-06,1.0,0.0020685714285714834,181,0.971693316627712,0.2436718036084944,2.5000104000319565,e143_e101_active_74f51c42
active_q2s3_repair,top_q2s3_weighted_5,0.0,5,5,5,-1.0365839785531072e-05,True,False,False,False,True,0.0016000000000002252,0.0016800000000000224,2.8189256484623115e-18,-1.4042774374436325e-05,-3.6561954718364052e-06,1.0,0.0020571428571429097,180,0.971693316627712,0.2436718036084944,2.5000103658397856,e143_top_q2s3_weighted_5_761bea6d
active_q2s3_repair,top_tension_5,0.0,5,5,5,-1.0362204052039026e-05,True,False,False,False,True,2.34257058195908e-16,0.00168000000000003,2.8189256484623115e-18,-1.4038705239962566e-05,-3.654913091189448e-06,1.0,0.0020571428571429114,180,0.971693316627712,0.2436718036084944,2.500010362204052,e143_top_tension_5_485d6dfe
active_q2s3_repair,top_q2s3_weighted_13,0.5,13,13,13,-1.034892301887691e-05,True,False,False,False,True,0.0014000000000002248,0.001620000000000021,2.8189256484623115e-18,-1.4023841028929141e-05,-3.6502286609538574e-06,1.0,0.0020400000000000518,185,0.971693316627712,0.2436718036084944,2.500010348923019,e143_top_q2s3_weighted_13_9609aa86
active_q2s3_repair,top_q2s3_weighted_8,0.25,8,8,8,-1.0340755795423817e-05,True,False,False,False,True,0.0016000000000002252,0.0016400000000000184,2.8189256484623115e-18,-1.4014700224032264e-05,-3.647347952200442e-06,1.0,0.002045714285714337,185,0.971693316627712,0.2436718036084944,2.5000103407557956,e143_top_q2s3_weighted_8_c9c45de7
active_q2s3_repair,top_tension_13,0.5,13,13,13,-1.0335423130447552e-05,True,False,False,False,True,0.0008000000000002355,0.0016200000000000238,2.8189256484623115e-18,-1.400873187378344e-05,-3.6454670370076147e-06,1.0,0.0020400000000000526,185,0.971693316627712,0.2436718036084944,2.5000103354231307,e143_top_tension_13_197ff435
active_q2s3_repair,top_tension_8,0.25,8,8,8,-1.0301174056981388e-05,True,False,False,False,True,0.00040000000000021854,0.001640000000000021,2.8189256484623115e-18,-1.3970400107761472e-05,-3.6333868476633454e-06,1.0,0.0020457142857143377,185,0.971693316627712,0.2436718036084944,2.500010301174057,e143_top_tension_8_d2922725
active_q2s3_repair,top_tension_34,0.75,34,34,34,-1.0268314168615511e-05,True,False,False,False,True,0.0012000000000002243,0.0015400000000000292,2.8189256484623115e-18,-1.3933623125937622e-05,-3.6217966458529645e-06,1.0,0.0020171428571429113,185,0.971693316627712,0.2436718036084944,2.5000102683141687,e143_top_tension_34_2b1d2f7e
active_q2s3_repair,top_q2s3_weighted_34,0.75,34,34,34,-1.0263987805014807e-05,True,False,False,False,True,0.0013000000000002226,0.0015400000000000283,2.8189256484623115e-18,-1.3928781034152805e-05,-3.620270669054781e-06,1.0,0.002017142857142911,185,0.971693316627712,0.2436718036084944,2.500010263987805,e143_top_q2s3_weighted_34_891966dc
active_q2s3_repair,top_q2s3_weighted_21,0.5,21,21,21,-1.0230188747351043e-05,True,False,False,False,True,0.001200000000000229,0.001460000000000023,2.8189256484623115e-18,-1.389095292848418e-05,-3.6083492073942334e-06,1.0,0.0019942857142857665,185,0.971693316627712,0.2436718036084944,2.5000102301887472,e143_top_q2s3_weighted_21_ff78975f
active_q2s3_repair,top_q2s3_weighted_8,0.0,8,8,8,-1.0205403029872606e-05,True,False,False,False,True,0.0016000000000002252,0.0015600000000000197,2.8189256484623115e-18,-1.3863212606574196e-05,-3.5996068932271392e-06,1.0,0.0020228571428571943,177,0.971693316627712,0.2436718036084944,2.5000102054030298,e143_top_q2s3_weighted_8_24be1536
active_q2s3_repair,top_tension_21,0.5,21,21,21,-1.017573981088038e-05,True,False,False,False,True,0.0008000000000002355,0.0014600000000000238,2.8189256484623115e-18,-1.3830013356060405e-05,-3.5891442072119798e-06,1.0,0.001994285714285767,185,0.971693316627712,0.2436718036084944,2.5000101757398108,e143_top_tension_21_b824dfa4
active_q2s3_repair,top_tension_8,0.0,8,8,8,-1.0162214151177018e-05,True,False,False,False,True,2.34257058195908e-16,0.001560000000000025,2.8189256484623115e-18,-1.381487535755209e-05,-3.5843734933302114e-06,1.0,0.0020228571428571956,177,0.971693316627712,0.2436718036084944,2.500010162214151,e143_top_tension_8_3c44ae78
active_q2s3_repair,top_q2s3_weighted_13,0.25,13,13,13,-1.0160858966434816e-05,True,False,False,False,True,0.001300000000000218,0.0014900000000000182,2.8189256484623115e-18,-1.3813358626756263e-05,-3.5838954982598215e-06,1.0,0.0020028571428571938,185,0.971693316627712,0.2436718036084944,2.5000101608589667,e143_top_q2s3_weighted_13_40fbe8bc
active_q2s3_repair,s3_non_e101,0.75,43,43,43,-1.0132767322645897e-05,True,False,False,False,True,0.0016000000000002252,0.0014500000000000409,2.8189256484623115e-18,-1.378191829252494e-05,-3.573987131649635e-06,1.0,0.0019914285714286288,185,0.971693316627712,0.2436718036084944,2.5000101327673225,e143_s3_non_e101_2b8b9e34
active_q2s3_repair,top_tension_13,0.25,13,13,13,-1.0132400255269403e-05,True,False,False,False,True,0.00040000000000021854,0.0014900000000000176,2.8189256484623115e-18,-1.378150746854151e-05,-3.5738576611863107e-06,1.0,0.0020028571428571933,185,0.971693316627712,0.2436718036084944,2.5000101324002553,e143_top_tension_13_617713bd
active_q2s3_repair,q2s3,0.75,47,47,47,-1.0067106123945457e-05,True,False,False,False,True,0.0012000000000002243,0.0014100000000000408,2.8189256484623115e-18,-1.3708429889757084e-05,-3.5508273894260517e-06,1.0,0.0019800000000000572,185,0.971693316627712,0.2436718036084944,2.500010067106124,e143_q2s3_547ecbae
active_q2s3_repair,top_tension_55,0.75,55,47,49,-1.0050555710017228e-05,True,False,False,False,True,0.0012000000000002243,0.0014100000000000408,2.8189256484623115e-18,-1.3247609036627846e-05,-3.544989796938285e-06,1.0,0.001957142857142914,185,0.9817988080650984,0.19387147362120463,2.50001005055571,e143_top_tension_55_3973a9eb
active_q2s3_repair,top_q2s3_weighted_13,0.0,13,13,13,-9.940767126792593e-06,True,False,False,False,True,0.0012000000000002204,0.0013600000000000174,2.8189256484623115e-18,-1.3567030535316206e-05,-3.5062656289836984e-06,1.0,0.0019657142857143367,172,0.971693316627712,0.2436718036084944,2.500009940767127,e143_top_q2s3_weighted_13_9245b5c9
active_q2s3_repair,top_q2s3_weighted_21,0.25,21,21,21,-9.924881039680145e-06,True,False,False,False,True,0.0010000000000002112,0.001250000000000018,2.8189256484623115e-18,-1.3549250732461081e-05,-3.500662355060171e-06,1.0,0.001934285714285765,185,0.971693316627712,0.2436718036084944,2.5000099248810397,e143_top_q2s3_weighted_21_1368cad3
active_q2s3_repair,top_tension_13,0.0,13,13,13,-9.91300994768185e-06,True,False,False,False,True,2.34257058195908e-16,0.0013600000000000205,2.8189256484623115e-18,-1.353596453593511e-05,-3.4964752333500242e-06,1.0,0.0019657142857143375,172,0.971693316627712,0.2436718036084944,2.5000099130099476,e143_top_tension_13_74114011
active_q2s3_repair,top_tension_21,0.25,21,21,21,-9.842668859949555e-06,True,False,False,False,True,0.00040000000000021854,0.0012500000000000198,2.8189256484623115e-18,-1.3457238373624503e-05,-3.471664820323013e-06,1.0,0.0019342857142857657,185,0.971693316627712,0.2436718036084944,2.50000984266886,e143_top_tension_21_0ca1da42
