variant_kind,variant_name,pool_size,asym_all_delta,sym16_all_delta,sym20_all_delta,asym_minus_sym16,asym_minus_sym20,asym_strict,asym_deployable,sym16_deployable,sym20_deployable,asym_beats_sym16,asym_beats_sym20,asym_hidden_q2s3,asym_world,asym_block_win,best_pair_name,best_dominant_axis,best_all_delta,best_deployable_pair_name,best_deployable_axis,best_deployable_all_delta
group_keep,scale_0.13,8,-1.2065835376939837e-05,-1.033240637793309e-05,-1.0512879818014298e-05,-1.7334289990067475e-06,-1.5529555589255395e-06,False,False,True,True,True,True,-0.00038666231705634935,-0.00020830228330454004,0.7222222222222222,asym8_28_e75,s3_higher,-1.2065835376939837e-05,q2a8_s3a26,s3_higher,-1.2004178266300514e-05
bootstrap8,bootstrap8_016,8,-1.2102060159890904e-05,-1.0259190702743837e-05,-1.0428250452054755e-05,-1.8428694571470672e-06,-1.6738097078361491e-06,False,False,True,False,True,True,-0.00036667910642248364,-0.000198126139220245,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2142958711991447e-05,q2a8_s3a26,s3_higher,-1.1990406573292312e-05
bootstrap8,bootstrap8_006,8,-1.2060513071121548e-05,-1.0341145463721446e-05,-1.0498436158190572e-05,-1.7193676074001019e-06,-1.5620769129309764e-06,False,False,True,True,True,True,-0.00036881540641699184,-0.00019559676168037776,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2069577518980523e-05,q2a8_s3a26,s3_higher,-1.196303034756152e-05
bootstrap8,bootstrap8_056,8,-1.215841779211857e-05,-1.0437123358686407e-05,-1.0631918154202502e-05,-1.7212944334321634e-06,-1.5264996379160678e-06,False,False,True,True,True,True,-0.0003695954464525697,-0.00021804398836614545,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2169299723141513e-05,q2a8_s3a24,s3_higher,-1.1954485302445583e-05
bootstrap8,bootstrap8_012,8,-1.1946834412746021e-05,-1.0322724689704188e-05,-1.0470650662841585e-05,-1.6241097230418333e-06,-1.4761837499044361e-06,True,True,True,True,True,True,-0.0003813774433768166,-0.00020909552217732706,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2064762152763642e-05,asym8_28_e75,s3_higher,-1.1946834412746021e-05
bootstrap8,bootstrap8_011,8,-1.1933539155961626e-05,-1.0342087488623974e-05,-1.0482091742480826e-05,-1.591451667337651e-06,-1.4514474134807998e-06,True,True,True,True,True,True,-0.00037935763632406666,-0.0002118037201305654,0.75,q2a8_s3a32,s3_higher,-1.2028013737341858e-05,asym8_28_e75,s3_higher,-1.1933539155961626e-05
rank_keep,world_support_minus_base_top6,6,-1.1901642440803606e-05,-1.0265210540483238e-05,-1.041882878527467e-05,-1.6364319003203676e-06,-1.4828136555289362e-06,True,True,True,True,True,True,-0.0003777507598773447,-0.00018983802469846323,0.75,asym8_28_e75,s3_higher,-1.1901642440803606e-05,asym8_28_e75,s3_higher,-1.1901642440803606e-05
bootstrap8,bootstrap8_009,8,-1.1844132073446367e-05,-1.0289833752397115e-05,-1.0430127684424306e-05,-1.5542983210492523e-06,-1.414004389022061e-06,True,True,True,True,True,True,-0.0003797595747111193,-0.00020656745626236876,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1949869035188243e-05,asym8_28_e75,s3_higher,-1.1844132073446367e-05
bootstrap8,bootstrap8_035,8,-1.1820030347720056e-05,-1.018713836575813e-05,-1.0334761654018365e-05,-1.6328919819619259e-06,-1.4852686937016912e-06,True,True,True,True,True,True,-0.00036932094556000467,-0.00020323162497064002,0.6944444444444444,q2a8_s3a32,s3_higher,-1.1937847827159231e-05,asym8_28_e75,s3_higher,-1.1820030347720056e-05
bootstrap8,bootstrap8_023,8,-1.1725110090399227e-05,-1.011375959492078e-05,-1.0231480574773855e-05,-1.6113504954784474e-06,-1.493629515625372e-06,True,True,True,True,True,True,-0.0003539853772181953,-0.0002164028094027992,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1857416104321672e-05,asym8_28_e75,s3_higher,-1.1725110090399227e-05
