method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
struct_raw_subject_fbraw_k8_a12_w0.35,36.0,0.0001684894092227689,-0.00011666256414946212,0.0007439831254913381,0.5277777777777778
struct_raw_calendar_fbraw_k16_a12_w1.00,36.0,0.0001722351654228018,-0.0002722002860707256,0.0007360232787743474,0.4444444444444444
struct_raw_subject_fbsubject_k8_a4_w0.35,36.0,0.0001765983860685989,-4.883226684964619e-05,0.000798047528605489,0.5555555555555556
struct_raw_calendar_fbraw_k8_a4_w0.65,36.0,0.00017793746145307362,-0.00027746951362526376,0.00073483023146698,0.4444444444444444
struct_raw_calendar_subject_fbraw_k8_a24_w0.65,36.0,0.00018201792285199957,-0.00011999488596862254,0.0007432162767562849,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k16_a12_w0.65,36.0,0.00018385068151133017,-0.0001238273543084403,0.0007901233267603807,0.5277777777777778
struct_raw_calendar_fbraw_k16_a4_w0.65,36.0,0.00018470581194457975,-0.0002446544411511225,0.0007342380005417337,0.4444444444444444
struct_raw_calendar_fbraw_k8_a12_w1.00,36.0,0.000188157495537732,-0.0002535207312325206,0.000733396125505482,0.4444444444444444
struct_raw_subject_fbsubject_k16_a4_w0.35,36.0,0.00019262785033342117,-4.3569870482640894e-05,0.0008048745351484493,0.5277777777777778
struct_raw_calendar_subject_fbraw_k16_a12_w0.35,36.0,0.00019697839182081318,-0.0001252938943957251,0.0007403117469574589,0.5
struct_raw_calendar_subject_fbraw_k8_a12_w0.35,36.0,0.00019984899724144372,-9.869125687568471e-05,0.000739473741293229,0.5277777777777778
struct_raw_subject_fbraw_k16_a24_w0.35,36.0,0.00020335643744911363,-8.38249199651814e-05,0.000743845372906798,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k8_a12_w0.65,36.0,0.00020414927794035415,-4.997864233348346e-05,0.0007937315354023988,0.5277777777777778
struct_raw_subject_fbraw_k4_a24_w0.65,36.0,0.0002049001324083779,-6.615413710349424e-05,0.0007355106856929935,0.5277777777777778
struct_raw_calendar_fbraw_k4_a4_w0.35,36.0,0.00020538687054477367,-0.00012330016327654584,0.0007220312077871178,0.4444444444444444
struct_raw_calendar_fbsubject_k4_a4_w0.65,36.0,0.00020570286540406548,-0.00010993980483094595,0.000758325630701883,0.4722222222222222
struct_raw_subject_fbsubject_k16_a24_w0.65,36.0,0.00021066310060087373,-2.236972261515225e-05,0.0008018502804934871,0.5277777777777778
struct_raw_subject_fbraw_k4_a12_w0.35,36.0,0.00021100961926291936,-6.038382203134597e-05,0.0007343958492472931,0.5277777777777778
struct_raw_calendar_fbraw_k4_a12_w0.65,36.0,0.000212916230116818,-0.00011207410465106022,0.0007216137539428561,0.4444444444444444
struct_raw_calendar_subject_fbsubject_k8_a24_w1.00,36.0,0.00021341743484230188,-3.8316686766354665e-05,0.0007925316674982387,0.5277777777777778
struct_raw_calendar_fbraw_k16_a24_w1.00,36.0,0.0002138039871620428,-0.0001803808030053955,0.0007300723513322994,0.4444444444444444
struct_raw_calendar_subject_fbraw_k4_a24_w0.65,36.0,0.000215978449740447,-5.936381303742273e-05,0.0007329454815197224,0.5277777777777778
struct_raw_fbraw_k8_a4_w1.00,36.0,0.0002190003464702715,-0.000328396671902855,0.0007867237825049334,0.4444444444444444
struct_raw_calendar_fbraw_k16_a12_w0.65,36.0,0.0002207321241185623,-0.00016507755582785381,0.0007290805300919484,0.4444444444444444
struct_raw_calendar_subject_fbraw_k4_a12_w0.35,36.0,0.00022144880290273026,-5.39852474306363e-05,0.0007319786376224729,0.5277777777777778
struct_raw_subject_fbraw_k8_a24_w0.35,36.0,0.00022185509497180635,-6.021485603829097e-05,0.0007335595236699121,0.5277777777777778
struct_raw_subject_fbsubject_k4_a4_w0.35,36.0,0.0002220381729846723,2.6345911915796096e-05,0.0007908420398656617,0.5277777777777778
struct_raw_calendar_fbraw_k4_a24_w1.00,36.0,0.00022474808087290558,-9.443315538243138e-05,0.0007209577550447237,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k8_a4_w0.35,36.0,0.0002288643641460915,-1.888009304275053e-05,0.0007905318881871516,0.5277777777777778
struct_raw_calendar_fbsubject_k16_a12_w1.00,36.0,0.00022980233615984966,-0.00017818565615961476,0.000755886753253395,0.4444444444444444
struct_raw_calendar_fbraw_k8_a12_w0.65,36.0,0.00023108163869326733,-0.00015293584518302408,0.0007273728804671977,0.4444444444444444
struct_raw_fbraw_k4_a4_w1.00,36.0,0.0002310896890826056,-0.00022322921621872175,0.0007608501484275706,0.4444444444444444
struct_raw_calendar_subject_fbraw_k16_a24_w0.35,36.0,0.0002311242456406458,-7.754632883289721e-05,0.0007330742790604697,0.5277777777777778
struct_raw_calendar_fbraw_k8_a24_w1.00,36.0,0.00023414764891866176,-0.00014575121046520365,0.0007269426486787512,0.4444444444444444
struct_raw_subject_fbsubject_k4_a12_w0.65,36.0,0.00023797268630349884,4.2552075624153785e-05,0.0007888201063499674,0.5277777777777778
struct_raw_calendar_fbraw_k8_a4_w0.35,36.0,0.00023925766596098402,-0.00013377681926883604,0.0007262255956979877,0.4444444444444444
struct_raw_calendar_subject_fbraw_k8_a24_w0.35,36.0,0.00024145483748347574,-4.8982788992184296e-05,0.000730741158546076,0.5277777777777778
struct_raw_calendar_fbraw_k16_a4_w0.35,36.0,0.00024290216237950524,-0.00011610716485966888,0.00072590670212287,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k4_a4_w0.35,36.0,0.00024291654027894555,3.914306124340162e-05,0.0007860076166190091,0.5
struct_raw_calendar_fbraw_k16_a24_w0.65,36.0,0.0002477518582490764,-0.00010539489183538183,0.0007252124272546426,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k16_a4_w0.35,36.0,0.0002481634656490504,-3.101269160414391e-05,0.0007833323476080281,0.5277777777777778
struct_raw_calendar_fbsubject_k16_a4_w0.65,36.0,0.00024918104967320415,-0.00013935804687123488,0.0007564850933829866,0.4444444444444444
struct_raw_fbraw_k8_a4_w0.65,36.0,0.0002511294917994248,-0.00020160520661873622,0.0007620358575168349,0.4722222222222222
struct_raw_subject_fbraw_k4_a24_w0.35,36.0,0.00025377602724464566,-1.999161652632457e-05,0.0007265919941273979,0.5277777777777778
struct_raw_calendar_fbsubject_k8_a4_w0.65,36.0,0.0002540540676540118,-0.00015316126265307403,0.0007610941619331607,0.4722222222222222
struct_raw_calendar_fbraw_k4_a24_w0.65,36.0,0.00025486551916114876,-4.952892088045435e-05,0.0007192879396677026,0.5
struct_raw_fbraw_k8_a12_w1.00,36.0,0.0002557193697035912,-0.00018349214014958014,0.0007585090110899526,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k4_a12_w0.65,36.0,0.0002573597416419908,5.443514280846482e-05,0.0007843309990478316,0.5
struct_raw_calendar_fbraw_k4_a12_w0.35,36.0,0.0002580923875491727,-4.471775289810001e-05,0.0007191090308773158,0.5
struct_raw_subject_fbsubject_k8_a24_w0.65,36.0,0.00025811428975662775,4.2865877162345475e-05,0.0007872669312153237,0.5277777777777778
