variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e372_agreegate_Q2_family_subject_floor0p45_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p45_amp0p85_s11p0_9884fca4.csv,e372_generated,97,55.75257731958763,55.0,40.0,0,0,0,7.217552181199533,0.4418671369652204,0.00035514265230727294,0.00014088771649515625,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp0p85_s11p0_69df1467.csv,e372_generated,97,56.27835051546392,57.0,16.0,0,0,0,7.211024890107719,0.43600715552363933,0.0003573666914551423,0.00014131725197067568,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp1p0_s11p06_9db1c6d9.csv,e372_generated,98,56.47959183673469,56.0,39.0,0,0,0,7.21281670632128,0.43350971915746006,0.00035467775568750256,0.0001409159345269865,1.0,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp0p85_s11p0_dc3952f4.csv,e372_generated,97,59.72164948453608,59.0,50.0,0,0,0,7.183888296401627,0.44105917506260045,0.00035567782220340507,0.00014113353135124454,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p08_s11p0_b8b887da.csv,e372_generated,97,60.41237113402062,61.0,23.0,0,0,0,7.177841709974664,0.43117134714963967,0.000357902116781511,0.00014195652097944553,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p08_s11p06_edafa13e.csv,e372_generated,98,60.86734693877551,61.0,49.0,0,0,0,7.177134367704388,0.43609173476979396,0.00035422915298196457,0.00014104809845930132,1.0,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp1p08_s11p0_196131d9.csv,e372_generated,98,61.1530612244898,61.0,48.0,0,0,0,7.175202573640294,0.4401761111152376,0.00035419439211869955,0.00014047166324853975,1.0,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp0p85_s11p06_4c3c8bfa.csv,e372_generated,97,62.56701030927835,63.0,51.0,0,0,0,7.164631783273802,0.4320562048512861,0.0003556174960989246,0.0001419208303370667,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp0p85_s11p06_7b4a256a.csv,e372_generated,97,63.04123711340206,64.0,37.0,0,0,0,7.159783601081147,0.42741916376284705,0.00035815816675677947,0.00014237472718334323,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p0_s11p06_d92327d8.csv,e372_generated,98,64.88775510204081,65.0,51.0,0,0,0,7.1510944673435874,0.4338610539339602,0.0003546729002515029,0.0001413013122010683,1.0,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p0_s11p0_260cba6c.csv,e372_generated,97,65.55670103092784,66.0,35.0,0,0,0,7.144838476687038,0.4303495026578835,0.0003591554550237027,0.00014200124500825538,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp1p0_s11p0_42297fda.csv,e372_generated,97,65.65979381443299,66.0,53.0,0,0,0,7.143389704264215,0.4388794327931041,0.0003553270173019005,0.00014122340304818386,0.9897959183673469,0.0,0.0,0.0
