unit,field,value,active,total_in_group,n_active,n_total,expected_active,lift,z
row,subject_id,id02,7,32,48,250,6.144,1.1393229166666667,0.36981959503874007
cell,context_type,after_train_run,20,188,50,500,18.8,1.0638297872340425,0.3503563769002886
row,hidden_block_id,id01_b4,3,13,48,250,2.496,1.2019230769230769,0.3276454016925057
row,context_type,after_train_run,19,94,48,250,18.048000000000002,1.0527482269503545,0.28368091064660006
cell,subject_id,id01,6,54,50,500,5.4,1.1111111111111112,0.2733832759069039
row,hidden_block_id,id08_b10,1,4,48,250,0.768,1.3020833333333333,0.2668761880142124
row,pos_bin,single,1,4,48,250,0.768,1.3020833333333333,0.2668761880142124
cell,hidden_block_id,id01_b4,3,26,50,500,2.6,1.153846153846154,0.25478223832249736
cell,subject_id,id02,7,64,50,500,6.4,1.09375,0.2539820480544735
cell,hidden_block_id,id08_b10,1,8,50,500,0.8,1.25,0.22541740866685803
cell,pos_bin,single,1,8,50,500,0.8,1.25,0.22541740866685803
row,block_len_bin,3-5,7,34,48,250,6.5280000000000005,1.0723039215686274,0.19874447051588376
row,hidden_block_id,id01_b2,3,14,48,250,2.688,1.1160714285714286,0.19586370464951242
row,subject_id,id08,4,19,48,250,3.6479999999999997,1.0964912280701753,0.19172522805920095
cell,is_weekend,0,37,364,50,500,36.4,1.0164835164835164,0.19068481356784597
cell,hidden_block_id,id01_b2,3,28,50,500,2.8000000000000003,1.0714285714285714,0.12301695782628055
cell,subject_id,id08,4,38,50,500,3.8,1.0526315789473684,0.1067338589917678
row,hidden_block_id,id05_b4,1,5,48,250,0.96,1.0416666666666665,0.04123930494211616
row,hidden_block_id,id06_b4,1,5,48,250,0.96,1.0416666666666665,0.04123930494211616
row,is_weekend,0,35,182,48,250,34.944,1.001602564102564,0.018164241469847603
cell,hidden_block_id,id05_b4,1,10,50,500,1.0,1.0,0.0
cell,hidden_block_id,id06_b4,1,10,50,500,1.0,1.0,0.0
row,is_weekend,1,13,68,48,250,13.056000000000001,0.9957107843137254,-0.018164241469848758
row,hidden_block_id,id02_b2,3,16,48,250,3.072,0.9765625,-0.04246038878042238
row,subject_id,id10,4,22,48,250,4.224,0.946969696969697,-0.11412706387705442
cell,hidden_block_id,id02_b2,3,32,50,500,3.2,0.9375,-0.11556254088025616
row,hidden_block_id,id08_b4,1,6,48,250,1.1520000000000001,0.8680555555555555,-0.14334826456732114
cell,hidden_block_id,id08_b4,1,12,50,500,1.2,0.8333333333333334,-0.18480531773864317
cell,is_weekend,1,13,136,50,500,13.600000000000001,0.9558823529411764,-0.19068481356784597
cell,subject_id,id10,4,44,50,500,4.3999999999999995,0.9090909090909092,-0.1996807659577177
row,context_type,between_train_runs,29,156,48,250,29.951999999999998,0.9682158119658119,-0.28368091064660006
row,subject_id,id07,5,30,48,250,5.76,0.8680555555555556,-0.3375678008963831
cell,context_type,between_train_runs,30,312,50,500,31.2,0.9615384615384615,-0.3503563769002886
cell,subject_id,id07,5,60,50,500,6.0,0.8333333333333334,-0.4351941398892446
row,hidden_block_id,id04_b2,0,1,48,250,0.192,0.0,-0.4390570399587614
row,hidden_block_id,id04_b10,0,1,48,250,0.192,0.0,-0.4390570399587614
row,hidden_block_id,id08_b8,0,1,48,250,0.192,0.0,-0.4390570399587614
cell,hidden_block_id,id04_b2,0,2,50,500,0.2,0.0,-0.44811071494822086
cell,hidden_block_id,id04_b10,0,2,50,500,0.2,0.0,-0.44811071494822086
cell,hidden_block_id,id08_b8,0,2,50,500,0.2,0.0,-0.44811071494822086
row,pos_bin,right_edge,5,32,48,250,6.144,0.8138020833333334,-0.49424487935083966
cell,pos_bin,right_edge,5,64,50,500,6.4,0.78125,-0.592624778793772
row,hidden_block_id,id05_b8,0,2,48,250,0.384,0.0,-0.6221710168382552
row,hidden_block_id,id08_b2,0,2,48,250,0.384,0.0,-0.6221710168382552
row,hidden_block_id,id08_b14,0,2,48,250,0.384,0.0,-0.6221710168382552
cell,hidden_block_id,id05_b8,0,4,50,500,0.4,0.0,-0.6350006350009525
cell,hidden_block_id,id08_b2,0,4,50,500,0.4,0.0,-0.6350006350009525
cell,hidden_block_id,id08_b14,0,4,50,500,0.4,0.0,-0.6350006350009525
row,hidden_block_id,id03_b4,1,10,48,250,1.92,0.5208333333333333,-0.677643998637108
cell,hidden_block_id,id03_b4,1,20,50,500,2.0,0.5,-0.7216878364870322
row,hidden_block_id,id03_b2,1,11,48,250,2.112,0.4734848484848485,-0.7825802513988892
row,hidden_block_id,id10_b2,1,11,48,250,2.112,0.4734848484848485,-0.7825802513988892
cell,hidden_block_id,id03_b2,1,22,50,500,2.1999999999999997,0.4545454545454546,-0.8274484742616948
cell,hidden_block_id,id10_b2,1,22,50,500,2.1999999999999997,0.4545454545454546,-0.8274484742616948
row,hidden_block_id,id09_b4,1,13,48,250,2.496,0.40064102564102566,-0.9725347637539455
row,hidden_block_id,id04_b4,0,5,48,250,0.96,0.0,-0.989743318610787
row,hidden_block_id,id05_b10,0,5,48,250,0.96,0.0,-0.989743318610787
cell,hidden_block_id,id04_b4,0,10,50,500,1.0,0.0,-1.0101525445522106
cell,hidden_block_id,id05_b10,0,10,50,500,1.0,0.0,-1.0101525445522106
cell,hidden_block_id,id09_b4,1,26,50,500,2.6,0.38461538461538464,-1.0191289532899896
row,subject_id,id03,2,21,48,250,4.032,0.496031746031746,-1.0573425389204765
row,subject_id,id05,2,21,48,250,4.032,0.496031746031746,-1.0573425389204765
cell,subject_id,id03,2,42,50,500,4.2,0.47619047619047616,-1.1216317614422966
cell,subject_id,id05,2,42,50,500,4.2,0.47619047619047616,-1.1216317614422966
row,hidden_block_id,id07_b2,1,15,48,250,2.88,0.3472222222222222,-1.1426091000668408
row,hidden_block_id,id05_b2,0,7,48,250,1.344,0.0,-1.1758894715842627
cell,hidden_block_id,id07_b2,1,30,50,500,3.0,0.33333333333333337,-1.1909826683508273
cell,hidden_block_id,id05_b2,0,14,50,500,1.4000000000000001,0.0,-1.2001371663718259
row,block_len_bin,11-16,24,149,48,250,28.607999999999997,0.8389261744966443,-1.3554329511079344
cell,block_len_bin,11-16,24,298,50,500,29.799999999999997,0.8053691275167786,-1.6715877467414468
row,hidden_block_id,id09_b2,0,14,48,250,2.688,0.0,-1.6874411477496465
cell,hidden_block_id,id09_b2,0,28,50,500,2.8000000000000003,0.0,-1.7222374095679303
row,pos_bin,interior,19,132,48,250,25.344,0.7496843434343433,-1.8342333902130068
row,subject_id,id09,1,27,48,250,5.184,0.19290123456790123,-1.945703912696713
cell,subject_id,id09,1,54,50,500,5.4,0.1851851851851852,-2.0048106899839633
cell,pos_bin,interior,19,264,50,500,26.400000000000002,0.7196969696969697,-2.096325692084432
cell,target,Q2,11,250,50,500,25.0,0.44,-3.959797974644666
