prior,outcome,worlds,world_rate,mean_delta_vs_e95,p05_delta,p50_delta,p95_delta,support_segments_mean,support_flip_share_mean,support_flip_share_lift,top20_support_rate,inherited_body_support_rate,e154_adjustment_support_rate,e154_extra_support_rate
subject,small_loss,7897,0.039485,5.514755973226647e-06,2.3413160361611485e-06,5.486105085200976e-06,8.702996432046846e-06,229.35887045713562,0.4578954271295377,-0.011441352300577745,0.4252817525642649,0.45211763618753614,0.48989523904048404,0.5053806288068979
subject,branch_loss,6768,0.03384,1.2126210422293168e-05,9.328162792855455e-06,1.2113698298382392e-05,1.495893448820539e-05,228.75679669030734,0.45481157761222163,-0.014525201817893796,0.4227245862884161,0.44887067918982815,0.4906587438502332,0.5040720497972109
subject,hard_fail,60457,0.302285,5.7329985705184304e-05,1.8173556132335215e-05,4.952029147073728e-05,0.00012317943766349982,224.538548058951,0.4337267101808672,-0.0356100692492482,0.3982235307739385,0.42792058148096324,0.4905989470291371,0.5010315163723159
prev_beta,breakthrough_win,102918,0.51459,-7.320838817187661e-05,-0.00015014781186251054,-6.518269229109275e-05,-2.4266317636471044e-05,237.6528692745681,0.49461508268244775,0.02358341868734881,0.4658810897996463,0.48832610375197677,0.49257729717124576,0.515465505539192
prev_beta,clean_win,15725,0.078625,-1.3562557282345216e-05,-1.931378220960765e-05,-1.357546215443737e-05,-7.704205993757822e-06,232.31586645469,0.4667938569271125,-0.004237807067986432,0.43458823529411766,0.46057388389979803,0.4938179005714777,0.511498957133064
prev_beta,micro_win,5852,0.02926,-4.496634020428338e-06,-6.756041192286395e-06,-4.514361034771026e-06,-2.249585765997198e-06,231.37816131237184,0.46256514397284965,-0.008466520022249291,0.4311261107313739,0.4563133878923353,0.4939517097411834,0.5099001674327603
prev_beta,tie,4633,0.023165,8.913242487094116e-09,-1.8139186068279832e-06,2.436144294925716e-08,1.7925931442396187e-06,231.0666954457155,0.46046357466476073,-0.010568089330338204,0.4280379883444852,0.45391638130684103,0.4945496759440209,0.5100960995807896
prev_beta,small_loss,7994,0.03997,5.489109436002471e-06,2.34420172893263e-06,5.473923506348462e-06,8.66166911730212e-06,230.33412559419565,0.45790738971085,-0.013124274284248949,0.4255191393545159,0.451613710282712,0.493384227359709,0.5092615333059428
prev_beta,branch_loss,6660,0.0333,1.218541033891617e-05,9.35450698431997e-06,1.2212635162065739e-05,1.4982559008173303e-05,229.86336336336336,0.4547839643788992,-0.016247699616199762,0.41994744744744744,0.44855044233422614,0.494093823553283,0.5089373777447171
prev_beta,hard_fail,56218,0.28109,5.54871191426393e-05,1.8080029634742824e-05,4.75961976383384e-05,0.00011974000971847847,225.9429186381586,0.43458629761403555,-0.03644536638106338,0.399709167882173,0.4282730451822202,0.49465266967490457,0.506437260454959
next_beta,breakthrough_win,88840,0.4442,-6.981109758223912e-05,-0.00014404022406498638,-6.144101732088748e-05,-2.3772709946542972e-05,235.68923908149483,0.49303044907032095,0.027475938129044142,0.47515420981539847,0.48664182192097544,0.4913113766625698,0.5024577737939353
next_beta,clean_win,15758,0.07879,-1.3468862395231465e-05,-1.9330898231844728e-05,-1.3428055470335052e-05,-7.642185762471837e-06,230.40512755425814,0.4667501538456458,0.0011956429043689654,0.44672864576722937,0.46031771078096756,0.49152828421771183,0.4982900777936007
next_beta,micro_win,5997,0.029985,-4.529463884214654e-06,-6.750279466364443e-06,-4.5363161025699925e-06,-2.2505564156869218e-06,229.669167917292,0.4625804571479416,-0.0029740537933352074,0.4414457228614307,0.45633267083992446,0.49154937829274997,0.4982659525481395
next_beta,tie,4715,0.023575,9.953866901945053e-10,-1.8119883397091922e-06,1.7409824779078345e-08,1.7934003653839365e-06,229.22969247083776,0.460467267872657,-0.005087243068619796,0.4391304347826087,0.45392221489782464,0.49187240262531884,0.49777695622987345
next_beta,small_loss,8361,0.041805,5.481642583444384e-06,2.344233010290777e-06,5.469391755586702e-06,8.67542628921815e-06,228.62049994019853,0.4579108725526111,-0.007643638388665719,0.4387991867001555,0.451484207566016,0.49165203955300835,0.4966999470016426
next_beta,branch_loss,7098,0.03549,1.2183430809634066e-05,9.344239467385544e-06,1.2188378025871385e-05,1.5023692429237773e-05,228.14877430262047,0.4547848877113472,-0.010769623229929637,0.4355170470555086,0.4482655944194406,0.49228560767022306,0.49675965060580446
next_beta,hard_fail,69231,0.346155,5.9626514247260126e-05,1.8497634221384587e-05,5.174908382109099e-05,0.00012836635696445464,223.76672299981223,0.4326555164684182,-0.0328989944728586,0.4101414106397423,0.4261503692885588,0.49262996150373195,0.49350790645172876
nearest_beta,breakthrough_win,90157,0.450785,-6.699489039094327e-05,-0.00013781817699492027,-5.913170387135507e-05,-2.347621693386363e-05,237.76014064354405,0.49171685623618056,0.025484673015775283,0.48530230597735063,0.48055083489492356,0.4989844442532531,0.5187716880837739
nearest_beta,clean_win,16674,0.08337,-1.3469170857545932e-05,-1.9344727147932592e-05,-1.3463608635085464e-05,-7.668858698761828e-06,232.729039222742,0.4667502977249339,0.000518114504528655,0.45946383591219864,0.4555942412365586,0.4990605214786575,0.5148431937653855
nearest_beta,micro_win,6241,0.031205,-4.488392740654341e-06,-6.753352724734588e-06,-4.461750418823533e-06,-2.2534377834508687e-06,231.91219355872457,0.46256129990694117,-0.0036708833134641017,0.4556641563851947,0.4514236717088824,0.49920101161889335,0.5141892398448261
nearest_beta,tie,5100,0.0255,8.930418082000478e-09,-1.7953093447218237e-06,-4.801538992781669e-09,1.808683520307337e-06,231.7394117647059,0.4604635666533692,-0.005768616567036089,0.451578431372549,0.44944462109167993,0.4999968203497615,0.5146123403489836
nearest_beta,small_loss,8655,0.043275,5.471672421561307e-06,2.3347484513499288e-06,5.476379459591008e-06,8.682566734318555e-06,231.07752744078567,0.4579155230389977,-0.008316660181407587,0.4496476025418833,0.4468662076287726,0.49924211906880883,0.514197128456267
nearest_beta,branch_loss,7409,0.037045,1.2141799198387693e-05,9.343850202734446e-06,1.211485026994576e-05,1.499748965727185e-05,230.4197597516534,0.4548043063771243,-0.011427876843280949,0.4464502631934134,0.44361897327209787,0.4997369889798018,0.512834006743596
nearest_beta,hard_fail,65764,0.32882,5.601265888063612e-05,1.8115436625779306e-05,4.839243451225253e-05,0.00012029099532816025,226.35502706648015,0.4343411646436979,-0.0318910185767074,0.4251376132838635,0.42318889657859304,0.4996748405847609,0.5103232632225656
both_equal_beta,breakthrough_win,84756,0.42378,-6.53950827733116e-05,-0.00013378859312640406,-5.7788744765758555e-05,-2.3457402734767243e-05,232.88830289301052,0.490970641316689,0.026558611921575048,0.4898502760866487,0.48067731472092223,0.4844740322936557,0.4984890247276478
both_equal_beta,clean_win,16824,0.08412,-1.3480222897324926e-05,-1.9378085864871592e-05,-1.345499391981469e-05,-7.626704938115645e-06,228.23621017593914,0.4667554528428888,0.0023434234477748284,0.4662149310508797,0.45644446157998225,0.48553867705080256,0.4951314635710453
both_equal_beta,micro_win,6456,0.03228,-4.539394899700201e-06,-6.758784367008461e-06,-4.5595800125038544e-06,-2.2589909157480826e-06,227.38708178438662,0.46258508937486637,-0.0018269400202475805,0.46136926889714996,0.45237281891556985,0.4853260323520547,0.4946127917419824
both_equal_beta,tie,5243,0.026215,-5.844763170974993e-10,-1.7945336974560062e-06,-6.9894059872962645e-09,1.7922714219600688e-06,227.1502956322716,0.4604680047846043,-0.003944024610509633,0.4597940110623689,0.4502744972704919,0.48598646328953404,0.4948808984281357
both_equal_beta,small_loss,8846,0.04423,5.541154694153111e-06,2.354280721716193e-06,5.563993735817658e-06,8.673878738087776e-06,226.43533800587835,0.45788311369935164,-0.006528915695762305,0.45754013113271536,0.4476947895216039,0.48525642984155304,0.49393910480453507
both_equal_beta,branch_loss,7912,0.03956,1.2119926851128192e-05,9.320856317626971e-06,1.2112188583772301e-05,1.4989710003541477e-05,225.86729019211324,0.4548145085237258,-0.009597520871388154,0.45424039433771485,0.4446499330473041,0.4857465908780368,0.4930636079442677
both_equal_beta,hard_fail,69963,0.349815,5.663827042466114e-05,1.8242619690889883e-05,4.9111682709573144e-05,0.00012102413170297386,221.7214670611609,0.4340493541392269,-0.03036267525588704,0.4334476794877292,0.42375417740110505,0.4859944117180085,0.49007319334059535
both_distance_beta,breakthrough_win,93219,0.466095,-7.036415703117507e-05,-0.00014548866199912833,-6.21097217358209e-05,-2.3862775210708844e-05,236.92266598011136,0.49328841834588466,0.025932282347389812,0.47568521438762484,0.4863679629167352,0.49481555059387905,0.5082909722995204
both_distance_beta,clean_win,15973,0.079865,-1.3533582884813957e-05,-1.9321546081836366e-05,-1.3565250789064295e-05,-7.696695478172316e-06,231.77574657234084,0.4667803420972775,-0.0005757939012173696,0.447646027671696,0.45985776673812734,0.49553723259351506,0.5048410247338255
both_distance_beta,micro_win,6103,0.030515,-4.529389206792329e-06,-6.734338503141512e-06,-4.538943386132603e-06,-2.247866386085665e-06,230.94936916270686,0.46258042231537416,-0.004775713683120686,0.44156152711781094,0.45574130578226923,0.49639920110180635,0.5027832604509438
both_distance_beta,tie,4819,0.024095,-1.7255975530934616e-08,-1.8104103738175804e-06,-3.2080340570981934e-08,1.79365418896519e-06,230.5474164764474,0.4604757810455162,-0.006880354952978673,0.44016393442622953,0.45348087244746305,0.496254129207024,0.5031783593611678
both_distance_beta,small_loss,8109,0.040545,5.513820308487876e-06,2.3549096680821012e-06,5.500719357133413e-06,8.692227040640744e-06,229.9221852262918,0.4578958635613812,-0.00946027243711367,0.437920828708842,0.4507690820676392,0.49552215922915144,0.5032872072145459
both_distance_beta,branch_loss,7115,0.035575,1.2186927093883791e-05,9.356923021816951e-06,1.2184333194184914e-05,1.5010886885591477e-05,229.5089248067463,0.4547832569030918,-0.012572879095403056,0.4329655657062544,0.44794362880097244,0.4966652105373117,0.502351280084071
both_distance_beta,hard_fail,64662,0.32331,5.750127810399258e-05,1.8212044065870938e-05,4.948792786662031e-05,0.0001238824218772047,225.23307352076955,0.43364681248430825,-0.033709323514186595,0.4109716680585197,0.4265835567403722,0.4966722591571808,0.49936465669469954
edge_endpoint_beta,breakthrough_win,90128,0.45064,-6.70820285545456e-05,-0.00013783253595111368,-5.9177778148511406e-05,-2.3533800988568255e-05,237.71847816438842,0.4917575009968508,0.02546609637539876,0.4854606781466359,0.4805579212267478,0.49876553946099483,0.5187489719005142
edge_endpoint_beta,clean_win,16498,0.08249,-1.3526061136607145e-05,-1.9330902805705007e-05,-1.357787913569643e-05,-7.624169384047001e-06,232.8376166808098,0.4667768336499674,0.00048542902851539393,0.4586313492544551,0.45548944507606165,0.4996179717115588,0.5150710511477066
edge_endpoint_beta,micro_win,6415,0.032075,-4.497806935373264e-06,-6.7559295035261345e-06,-4.482489521708496e-06,-2.2581248878956075e-06,231.80031176929072,0.4625656910677762,-0.0037257135536758468,0.45625876851130165,0.4515514735312085,0.4986699247961914,0.5138472759515756
edge_endpoint_beta,tie,5077,0.025385,-8.571853714992546e-09,-1.8107942489744568e-06,-1.5483355709999813e-08,1.8114811402497279e-06,231.67145952334056,0.4604717304201846,-0.005819674201267444,0.450955288556234,0.4494258686498198,0.4997503313831854,0.5144391056627027
edge_endpoint_beta,small_loss,8750,0.04375,5.502908737661313e-06,2.3496806460408994e-06,5.497793843578177e-06,8.680745498797294e-06,231.24685714285715,0.4579009531589403,-0.008390451462511717,0.4482285714285714,0.44698440154440156,0.499837528957529,0.5145394495412844
edge_endpoint_beta,branch_loss,7620,0.0381,1.2175243421752154e-05,9.360779577640027e-06,1.2185154334946688e-05,1.4978457080688004e-05,230.43057742782153,0.45478870663989945,-0.011502697981552568,0.44819553805774276,0.44372490600837056,0.5000007093707881,0.5123058585566712
edge_endpoint_beta,hard_fail,65512,0.32756,5.586797641110278e-05,1.816684446872104e-05,4.8325558663954896e-05,0.00011976124516458009,226.4117871534986,0.4344086503939623,-0.03188275422748971,0.4245878617657834,0.4232749601475942,0.4999450482354378,0.5102393174553916
nearest_hard085,breakthrough_win,106797,0.533985,-6.338066753470528e-05,-0.00012604726324085683,-5.689861449106838e-05,-2.343284630806827e-05,239.71506690262837,0.49003103664889497,0.018129930269715377,0.5204748260718934,0.47485360581795877,0.5117404097543989,0.5247263671719467
nearest_hard085,clean_win,19389,0.096945,-1.3548104231008515e-05,-1.9318352317073126e-05,-1.3575632929411718e-05,-7.65139640511335e-06,235.4491722110475,0.4667871154399356,-0.005113990939243973,0.49378771468358346,0.45149813282259516,0.5136913797597691,0.521918462232203
nearest_hard085,micro_win,7150,0.03575,-4.516693504922431e-06,-6.757854806321604e-06,-4.5042035188271805e-06,-2.2507453255066586e-06,234.74321678321678,0.46257450052700133,-0.00932660585217826,0.4903286713286713,0.44710867510867514,0.5145817425817426,0.5213806377109129
nearest_hard085,tie,5612,0.02806,-2.9154292656736426e-08,-1.8117466071448635e-06,-4.666853965317107e-08,1.8116026065115866e-06,234.09586600142552,0.46048133090142285,-0.011419775477756744,0.4877227369921597,0.4450241759935274,0.5136589547494751,0.5205457505868814
nearest_hard085,small_loss,9130,0.04565,5.456674188725315e-06,2.31631044637026e-06,5.45416412603655e-06,8.661444086757406e-06,233.72113910186198,0.4579225188208561,-0.013978587558323485,0.4833132530120482,0.4423119505047216,0.5142210118113733,0.5207572575539857
nearest_hard085,branch_loss,7394,0.03697,1.214335680412137e-05,9.341512684545536e-06,1.215566854493333e-05,1.4990146544553048e-05,233.19799837706248,0.4548035798468688,-0.01709752653231078,0.4796929943197187,0.4391954031391413,0.514922252520305,0.5200571750464671
nearest_hard085,hard_fail,44528,0.22264,4.540975368717889e-05,1.7246306663699585e-05,3.91090520662386e-05,9.50576554469685e-05,230.2127650017966,0.439286788078736,-0.03261431830044359,0.4623573931009702,0.4234706859212788,0.5157923104563421,0.5178817492838235
conflict_flat,breakthrough_win,95152,0.47576,-7.156766680749996e-05,-0.0001476030865429696,-6.323315733155774e-05,-2.4070850654610792e-05,233.55695098368926,0.49384978393819073,0.025831721161741095,0.4742890322851858,0.48854663264239523,0.48124985797972175,0.4967394515467671
conflict_flat,clean_win,15711,0.078555,-1.3542433441026572e-05,-1.9349701790656777e-05,-1.3588922203718019e-05,-7.63695206977171e-06,228.34173509006428,0.4667844703543372,-0.0012335924221124617,0.4466202024059576,0.4613393611293172,0.482069543287798,0.4936797043385135
conflict_flat,micro_win,5950,0.02975,-4.479211908541377e-06,-6.731030369679132e-06,-4.488727722675017e-06,-2.245469872662721e-06,227.2672268907563,0.4625570175958554,-0.0054610451805942595,0.44304201680672267,0.4571519418578242,0.48165160118101297,0.49163826998689386
conflict_flat,tie,4795,0.023975,-6.471776887473514e-09,-1.8158974687193105e-06,-9.055554333424278e-09,1.8067990310563304e-06,227.03274244004172,0.46047075085949024,-0.007547311916959398,0.43933263816475493,0.45534255840825183,0.48223430938759404,0.491569008236791
conflict_flat,small_loss,8060,0.0403,5.4678105640085705e-06,2.3398335172825862e-06,5.440444819407166e-06,8.670659690072373e-06,226.46277915632754,0.4579173243654141,-0.010100738411035537,0.4365942928039702,0.4525518073905171,0.48241432499497017,0.4907710519725909
conflict_flat,branch_loss,6862,0.03431,1.210807459257587e-05,9.315735095376005e-06,1.2095878796053114e-05,1.4985844987199773e-05,225.80180705333723,0.4548200368960526,-0.013198025880397035,0.4329568638880793,0.4495970759450794,0.48177428375621323,0.490808307418331
conflict_flat,hard_fail,63470,0.31735,5.805376369073287e-05,1.8274885661661124e-05,4.982531055096085e-05,0.0001255875623350281,221.73248778950685,0.4333891108812618,-0.03462895189518783,0.41092878525287535,0.4280047181260353,0.48331580359309995,0.4875063419400627
