variant,source_id,gate_id,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,row_l1_p90,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4,renorm,source_l1,gated_l1_ratio
e349_compact_core__risk_top90_damp0p0_renorm110,e349_compact_core,risk_top90_damp0p0_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p0_renorm110_52b0449a.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p0_renorm110_52b0449a.csv,195,323,4.41996250335557,0.4531528696337494,0.04038794949059544,2.1230730066191557,0.4803373343116261,0.9820057499935252,0.22217513140620565,0.22156030078792832,0.0501271901333378,1.0933234459549601,0.24736034414883057,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.9608164177106495
e349_compact_core__risk_top90_damp0p25,e349_compact_core,risk_top90_damp0p25,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p25_12fc4532.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p25_12fc4532.csv,216,356,4.163664653474592,0.41387592278735497,0.03671631771872313,2.004852711683653,0.4815115717858298,0.9257324999941701,0.22233598933613524,0.20813433623221345,0.04998825639296495,1.0249451055645549,0.24616418248506994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.9051021029845336
e349_compact_core__risk_top90_damp0p25_renorm110,e349_compact_core,risk_top90_damp0p25_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p25_renorm110_cb66e591.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p25_renorm110_cb66e591.csv,216,356,4.580031118822051,0.45526351506609053,0.04038794949059544,2.2053379828520185,0.4815115717858299,1.018305749993587,0.22233598933613524,0.22894776985543477,0.04998825639296495,1.1274396161210105,0.24616418248506997,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.995612313282987
e349_compact_core__risk_top90_damp0p5,e349_compact_core,risk_top90_damp0p5,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p5_fabfcc70.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p5_fabfcc70.csv,216,356,4.309181576625939,0.4195795837880525,0.03826606268626812,2.0796390537135285,0.4826065035165848,0.9587324999942262,0.22248598323046473,0.21485021720267383,0.04985870597054306,1.0559598057155097,0.2450488072824073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.9367347353230224
e349_compact_core__risk_top90_damp0p5_renorm110,e349_compact_core,risk_top90_damp0p5_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p5_renorm110_18e725ef.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p5_renorm110_18e725ef.csv,216,356,4.600215422928634,0.4479171829187751,0.04085047905592238,2.220093880682655,0.48260650351658485,1.023483451442225,0.22248598323046473,0.22936078817295613,0.049858705970543066,1.1272773026307963,0.24504880728240727,0.0,0.0,0.0,0.0,0.0,0.0,1.0675380791288382,4.600215422928633,1.0000000000000002
e349_compact_core__smooth_risk_q65,e349_compact_core,smooth_risk_q65,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q65_1a507d09.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q65_1a507d09.csv,216,356,3.067822191679778,0.32422953093501794,0.0359467432499795,1.4995207663666754,0.4887899860798701,0.6379746420902501,0.2079568508958887,0.1793214783255772,0.05845237015753843,0.7510053048972753,0.2448007928667027,0.0,0.0,0.0,0.0,0.0,0.0,1.05,4.600215422928633,0.6668866367407446
e349_compact_core__smooth_risk_q65_renorm115,e349_compact_core,smooth_risk_q65_renorm115,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q65_renorm115_c3552307.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q65_renorm115_c3552307.csv,216,356,3.359995733744518,0.3551085338812101,0.0393702426071204,1.642332267925406,0.4887899860798701,0.6987341318131312,0.20795685089588878,0.19639971435658457,0.05845237015753845,0.8225296196493967,0.24480079286670275,0.0,0.0,0.0,0.0,0.0,0.0,1.15,4.600215422928633,0.7303996497636726
e349_compact_core__smooth_risk_q75,e349_compact_core,smooth_risk_q75,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q75_ac7ae6c8.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q75_ac7ae6c8.csv,216,356,3.7995390223480254,0.396039782513452,0.03842650472097644,1.8618363315223503,0.49001637318934005,0.8042520388616694,0.21167095116835005,0.21416109383621817,0.05636502022391961,0.9192895581277875,0.24194765541839025,0.0,0.0,0.0,0.0,0.0,0.0,1.05,4.600215422928633,0.8259480639559107
e349_compact_core__smooth_risk_q75_renorm115,e349_compact_core,smooth_risk_q75_renorm115,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q75_renorm115_1c38bd07.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q75_renorm115_1c38bd07.csv,216,356,4.161399881619266,0.43375785703854264,0.0420861718372599,2.0391540773816215,0.49001637318934,0.8808474711342094,0.21167095116835005,0.23455738848728655,0.0563650202239196,1.006840944616148,0.2419476554183902,0.0,0.0,0.0,0.0,0.0,0.0,1.15,4.600215422928633,0.9046097843326641
e349_compact_core__smooth_risk_q85,e349_compact_core,smooth_risk_q85,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q85_9b183b14.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q85_9b183b14.csv,216,356,4.514656500218033,0.451058727452175,0.04064128427170143,2.212243093102224,0.4900136019197441,0.9779118781753774,0.2166082576001407,0.2355365466617115,0.052171532131035085,1.08896498227872,0.24120660834908017,0.0,0.0,0.0,0.0,0.0,0.0,1.05,4.600215422928633,0.981401105199519
