base,mode,target,base_loss,nested_loss,delta
minimax,same,S1,0.46662962824002346,0.4681650480187765,0.0015354197787530444
minimax,same,S2,0.5313520790212033,0.5331159429904814,0.0017638639692780789
minimax,same,S3,0.4908259629974101,0.4908259629974101,0.0
minimax,same,S4,0.5928324665243815,0.5928324665243815,0.0
minimax,same,mean,0.5543323255811343,0.555730457663565,0.0013981320824306698
minimax,same_or_single,Q1,0.56457187524706,0.5696227614572184,0.005050886210158367
minimax,same_or_single,Q2,0.6325516300905627,0.6379731125755912,0.005421482485028495
minimax,same_or_single,Q3,0.6015626369472994,0.6019335551950543,0.00037091824775492555
minimax,same_or_single,S1,0.46662962824002346,0.46755054419649344,0.0009209159564699809
minimax,same_or_single,S2,0.5313520790212033,0.5327137553439858,0.0013616763227825013
minimax,same_or_single,S3,0.4908259629974101,0.4908259629974101,0.0
minimax,same_or_single,S4,0.5928324665243815,0.5928324665243815,0.0
minimax,same_or_single,mean,0.5543323255811343,0.5562074511843049,0.001875125603170602
minimax,ones_only,Q1,0.56457187524706,0.5657311378514044,0.001159262604344402
minimax,ones_only,Q2,0.6325516300905627,0.6362286820663687,0.003677051975806034
minimax,ones_only,Q3,0.6015626369472994,0.6012658321336697,-0.000296804813629703
minimax,ones_only,S1,0.46662962824002346,0.4684905410041618,0.001860912764138356
minimax,ones_only,S2,0.5313520790212033,0.5318911348705551,0.0005390558493517661
minimax,ones_only,S3,0.4908259629974101,0.4908259629974101,0.0
minimax,ones_only,S4,0.5928324665243815,0.5928324665243815,0.0
minimax,ones_only,mean,0.5543323255811343,0.5553236796354216,0.0009913540542872967
minimax,zeros_only,Q1,0.56457187524706,0.5644596787201049,-0.00011219652695504401
minimax,zeros_only,Q2,0.6325516300905627,0.6311152857759208,-0.001436344314641902
minimax,zeros_only,Q3,0.6015626369472994,0.6043596000571536,0.0027969631098542225
minimax,zeros_only,S1,0.46662962824002346,0.46674093087847557,0.00011130263845210431
minimax,zeros_only,S2,0.5313520790212033,0.5325768871411296,0.0012248081199263128
minimax,zeros_only,S3,0.4908259629974101,0.4912482992487691,0.0004223362513590123
minimax,zeros_only,S4,0.5928324665243815,0.5928324665243815,0.0
minimax,zeros_only,mean,0.5543323255811343,0.5547618783351336,0.00042955275399925164
