method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_full_transition_baseraw_k16_a4_w0.65,S3,0.6500885023050978,0.3682005907087261,0.2258261185876958,1.0410033271481587,0.14713481333091782,0.13933244934315203
transition_topology_basesubject_k16_a12_w1.00,S3,0.6518841723921551,0.3699962607957834,0.2073138152308894,0.9556661238692219,0.1489304834179751,0.1411281194302093
transition_topology_baseraw_k8_a12_w1.00,S3,0.6523888608571347,0.370500949260763,0.2086485376616984,0.9618188687331951,0.14943517188295463,0.14163280789518884
transition_topology_baseedge_shrink025_k16_a12_w1.00,S3,0.662414960533526,0.38052704893715433,0.21109590918118415,0.9731006545181415,0.15946127155934597,0.15165890757158018
transition_raw_topology_basesubject_k8_a4_w1.00,S3,0.6709395044173534,0.3890515928209817,0.2034540931418802,0.9378737464345209,0.16798581544317337,0.16018345145540758
transition_topology_baseraw_k8_a4_w0.65,S3,0.6715353593156083,0.3896474477192364,0.21449388284422863,0.9887644843307125,0.16858167034142824,0.16077930635366244
transition_raw_topology_baseedge_shrink025_k4_a4_w1.00,S3,0.6717619312519765,0.38987401965560475,0.1982684863017159,0.9139693636835197,0.16880824227779645,0.16100587829003066
transition_full_transition_baseraw_k16_a12_w1.00,S3,0.6735892580311945,0.39170134643482285,0.2339893964560699,1.0786340470779807,0.1706355690570145,0.1628332050692487
transition_raw_topology_baseraw_k16_a4_w0.65,S3,0.6739533390800236,0.392065427483652,0.2322152816672249,1.0704558106123294,0.17099965010584361,0.16319728611807782
transition_full_transition_baseedge_shrink025_k8_a4_w1.00,S3,0.6756866628698589,0.3937987512734872,0.1997440239652134,0.9207712324250081,0.17273297389567888,0.16493060990791308
transition_raw_residual_baseedge_shrink025_k4_a4_w1.00,S3,0.6829037542146513,0.4010158426182796,0.21261620365689402,0.9801088412476333,0.1799500652404713,0.1721477012527055
transition_raw_residual_baseedge_shrink025_k16_a4_w1.00,S3,0.6881499622603022,0.40626205066393056,0.2178832186399494,1.004388495681718,0.1851962732861222,0.1773939092983564
transition_raw_residual_baseedge_shrink025_k8_a4_w1.00,S3,0.6885173664397807,0.40662945484340896,0.2150701947689355,0.991421141739727,0.18556367746560065,0.17776131347783486
transition_topology_baseraw_k16_a4_w0.65,S3,0.6898755753067325,0.40798766371036077,0.2309541343381929,1.0646422290224014,0.18692188633255247,0.17911952234478667
transition_raw_topology_baseedge_shrink025_k8_a4_w1.00,S3,0.6973524790109807,0.415464567414609,0.20357362609792876,0.9384247642075252,0.19439879003680072,0.18659642604903492
transition_raw_topology_baseraw_k16_a12_w1.00,S3,0.7015647107408621,0.4196767991444904,0.24113222730521366,1.111560755138668,0.1986110217666821,0.1908086577789163
transition_full_transition_baseraw_k4_a4_w1.00,S3,0.7045229227213335,0.4226350111249618,0.2191038121101251,1.0100151338735035,0.20156923374715352,0.19376686975938773
transition_topology_basesubject_k4_a4_w1.00,S3,0.7115007145305249,0.4296128029341532,0.20259659538304842,0.9339208909121013,0.20854702555634486,0.20074466156857906
transition_full_transition_basesubject_k16_a4_w1.00,S3,0.714413911399937,0.43252599980356543,0.2286411732929741,1.053980042740783,0.21146022242575702,0.20365785843799122
transition_topology_baseraw_k16_a12_w1.00,S3,0.7192977787702317,0.43740986717386005,0.239517682249584,1.104118096223692,0.2163440897960517,0.2085417258082859
transition_topology_baseedge_shrink025_k4_a4_w1.00,S3,0.7222923740404087,0.440404462444037,0.2088623798529514,0.9628046290782394,0.21933868506622867,0.21153632107846287
transition_raw_topology_basesubject_k16_a4_w1.00,S3,0.7240259886792638,0.4421380770828921,0.2332155552914604,1.0750668280508784,0.2210722997050838,0.213269935717318
transition_raw_topology_baseraw_k4_a4_w1.00,S3,0.7257808772861297,0.44389296568975806,0.2121528841944325,0.9779730515304328,0.2228271883119497,0.2150248243241839
transition_full_transition_baseraw_k8_a4_w1.00,S3,0.7353025830319616,0.45341467143558983,0.2369280402061198,1.0921804780233326,0.23234889405778159,0.2245465300700158
transition_topology_basesubject_k8_a4_w1.00,S3,0.7364627977194117,0.45457488612304,0.2165088668442911,0.9980530691114882,0.23350910874523167,0.22570674475746588
transition_full_transition_baseedge_shrink025_k16_a4_w1.00,S3,0.7384418490048376,0.4565539374084659,0.235158550138347,1.0840235603938435,0.23548816003065753,0.22768579604289174
transition_topology_baseedge_shrink025_k8_a4_w1.00,S3,0.7446846297883075,0.46279671819193585,0.21721261399128383,1.001297171813479,0.2417309408141275,0.2339285768263617
transition_raw_topology_baseedge_shrink025_k16_a4_w1.00,S3,0.7551586128499026,0.473270701253531,0.24261083761110505,1.1183767880121671,0.2522049238757226,0.24440255988795678
transition_topology_basesubject_k16_a4_w1.00,S3,0.767343170737212,0.48545525914084015,0.23969462696069213,1.104933768184654,0.264389481763032,0.2565871177752662
transition_topology_baseraw_k4_a4_w1.00,S3,0.775541011077428,0.49365309948105635,0.2300868548039523,1.060644281901146,0.272587322103248,0.2647849581154822
transition_topology_baseedge_shrink025_k16_a4_w1.00,S3,0.7766625261048147,0.49477461450844284,0.24275686411336989,1.119049934571388,0.27370883713063465,0.26590647314286886
transition_raw_topology_baseraw_k8_a4_w1.00,S3,0.7825152372725362,0.5006273256761645,0.24695072017297487,1.1383825881144451,0.2795615482983562,0.27175918431059043
transition_full_transition_baseraw_k16_a4_w1.00,S3,0.7915436749509515,0.5096557633545797,0.2657348310169346,1.2249727576146499,0.28858998597677143,0.28078762198900564
transition_topology_baseraw_k8_a4_w1.00,S3,0.8258275555317024,0.5439396439353306,0.25224978121770436,1.162809967076735,0.32287386655752237,0.3150715025697566
transition_raw_topology_baseraw_k16_a4_w1.00,S3,0.8400775735244264,0.5581896619280546,0.2778280138051879,1.2807193807117199,0.33712388455024633,0.32932152056248054
transition_topology_baseraw_k16_a4_w1.00,S3,0.8656352462711115,0.5837473346747398,0.27414360830093537,1.2637351699726045,0.3626815572969315,0.35487919330916573
transition_raw_residual_baseedge_mid_k16_a4_w1.00,S3,1.5696570164629768,1.2877691048666051,0.27043257013902244,1.246628189177445,1.066703327488797,1.058900963501031
transition_raw_residual_baseedge_mid_k8_a4_w1.00,S3,1.6533960877513585,1.3715081761549865,0.281531665376576,1.297792311126167,1.1504423987771784,1.1426400347894128
transition_full_transition_baseedge_mid_k8_a4_w1.00,S3,1.7427995343539973,1.4609116227576258,0.2867659994454015,1.3219213145166069,1.2398458453798171,1.2320434813920516
transition_raw_residual_baseedge_mid_k16_a12_w1.00,S3,1.7530876210647912,1.4711997094684197,0.26323097080417246,1.2134305727314292,1.2501339320906113,1.2423315681028453
transition_full_transition_baseedge_mid_k16_a4_w1.00,S3,1.7711786716479005,1.4892907600515286,0.2911246719765234,1.3420137317942176,1.2682249826737206,1.2604226186859546
transition_raw_topology_baseedge_mid_k8_a4_w1.00,S3,1.7854569975751862,1.5035690859788144,0.28556555865400374,1.3163875752587002,1.2825033086010063,1.2747009446132402
transition_raw_residual_baseedge_mid_k16_a4_w0.65,S3,1.7967675485120465,1.5148796369156747,0.2618147494278559,1.2069021376064575,1.2938138595378663,1.2860114955501007
transition_raw_topology_baseedge_mid_k16_a4_w1.00,S3,1.797977086121384,1.5160891745250125,0.2881185394471731,1.3281561940369686,1.295023397147204,1.287221033159438
transition_raw_residual_baseedge_mid_k4_a4_w1.00,S3,1.8348335974377434,1.5529456858413717,0.2765918958971207,1.2750211786477028,1.3318799084635633,1.3240775444757977
transition_raw_residual_baseedge_mid_k8_a4_w0.65,S3,1.8472960891764616,1.5654081775800899,0.2717069814542189,1.2525029145084723,1.3443424002022817,1.3365400362145157
transition_topology_baseedge_mid_k16_a4_w1.00,S3,1.867903783263182,1.58601587166681,0.28577493346358107,1.317352742063825,1.3649500942890018,1.3571477303012363
transition_raw_residual_baseedge_mid_k8_a12_w1.00,S3,1.8772203123943767,1.595332400798005,0.269630090293874,1.2429289528181022,1.3742666234201968,1.3664642594324308
transition_raw_topology_baseedge_mid_k4_a4_w1.00,S3,1.887484385217018,1.6055964736206463,0.2807874952626193,1.294361868405733,1.3845306962428379,1.3767283322550723
transition_topology_baseedge_mid_k8_a4_w1.00,S3,1.8910039871289885,1.6091160755326166,0.28850786247306637,1.329950878229501,1.3880502981548086,1.3802479341670426
transition_full_transition_baseedge_mid_k16_a12_w1.00,S3,1.896723436260712,1.6148355246643402,0.28465773028310565,1.312202707890414,1.393769747286532,1.385967383298766
transition_raw_residual_baseedge_mid_k16_a24_w1.00,S3,1.9008330455468423,1.6189451339504708,0.2577780787986349,1.188294070559561,1.3978793565726622,1.3900769925848966
transition_full_transition_baseedge_mid_k8_a4_w0.65,S3,1.9106637632415768,1.6287758516452049,0.2758264718566589,1.2714927605099642,1.407710074267397,1.399907710279631
transition_raw_topology_baseedge_mid_k16_a12_w1.00,S3,1.9160565377284011,1.6341686261320296,0.2807978329631829,1.2944095226839407,1.413102848754221,1.4053004847664554
transition_full_transition_baseedge_mid_k4_a4_w1.00,S3,1.9217439355741703,1.6398560239777986,0.28458929116650394,1.3118872202553473,1.4187902465999902,1.4109878826122246
transition_raw_residual_baseedge_mid_k16_a12_w0.65,S3,1.9260656685232407,1.6441777569268687,0.2566663337613458,1.1831691970949842,1.4231119795490605,1.415309615561295
transition_full_transition_baseedge_mid_k16_a4_w0.65,S3,1.9266740976183907,1.644786186022019,0.28217940305652783,1.3007782238459453,1.4237204086442108,1.4159180446564448
transition_raw_topology_baseedge_mid_k8_a4_w0.65,S3,1.9358043156735671,1.6539164040771954,0.27513747007475553,1.268316630344605,1.4328506266993872,1.4250482627116212
transition_full_transition_baseedge_mid_k8_a12_w1.00,S3,1.935897695322822,1.6540097837264502,0.27378688279149255,1.262090752380295,1.432944006348642,1.425141642360876
transition_raw_topology_baseedge_mid_k16_a4_w0.65,S3,1.944318697000654,1.6624307854042824,0.2781975634403894,1.2824229143959414,1.441365008026474,1.4335626440387084
transition_raw_topology_baseedge_mid_k8_a12_w1.00,S3,1.9586612247405013,1.6767733131441294,0.2732190155027961,1.259473022683621,1.4557075357663214,1.4479051717785554
transition_topology_baseedge_mid_k4_a4_w1.00,S3,1.9600395217360522,1.6781516101396805,0.27722601510933303,1.277944313552779,1.457085832761872,1.4492834687741065
transition_topology_baseedge_mid_k16_a12_w1.00,S3,1.9654678514012949,1.6835799398049232,0.2793427444371905,1.2877019194787562,1.462514162427115,1.454711798439349
transition_raw_residual_baseedge_mid_k4_a4_w0.65,S3,1.96719777498468,1.6853098633883086,0.2699545126637206,1.2444244608156878,1.4642440860105,1.4564417220227344
transition_topology_baseedge_mid_k16_a4_w0.65,S3,1.9890927772494316,1.70720486565306,0.2769612193825804,1.276723669836773,1.4861390882752517,1.4783367242874856
