model_split,gate,scale,selected_rows_sub,expected_focus,adverse_delta,support_delta,total_swing,support_prob_focus_weighted,top1_swing_share,adverse_over_observed_miss,submission_gate_pass,submission_score,spec_rank,view,model,split,target_kind,tail_q,policy,e234_tail_auc,e234_loss_vs_full,e234_target_delta,e234_subject_win_rate,sub_dropped_rows,sub_kept_rows,sub_mean_prob,sub_p10_prob,sub_p50_prob,sub_p90_prob,tag,joint_gate_pass,joint_score,submission_file
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.5,212,-0.0001996113371249249,0.002978698311552314,-0.00377478539597828,0.006753483707530594,0.4706178005779754,0.012971043338432065,2.993128182520206,False,-0.047993686300475825,3,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_03_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.046915886568357774,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.75,212,-0.0002652209366626162,0.004502243536353243,-0.005627982024942649,0.010130225561295891,0.47061780057797536,0.01297104333843199,4.524054000690514,False,-0.08555744012419751,3,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_03_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.08447964039207946,
hgb_shallow__subject5__risk0.20,drop_risk_p10,0.35,225,-0.0001272376563801809,0.0024028095069493754,-0.0028049347445591273,0.0052077442515085035,0.48582400385669655,0.011774735458885245,2.414449568318207,False,-0.0341752163697844,4,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p10,0.8487573473038588,-0.0019483760724122,-0.0063188007698682,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_04_risk_drop_risk_p10_hgb_shallow_subject5,False,-0.0331610283335783,
hgb_shallow__subject5__risk0.20,drop_risk_p10,0.5,225,-0.00016525949228949943,0.003449093598181297,-0.003990541046830851,0.0074396346450121475,0.4858240038566968,0.011774735458885048,3.4658022307356293,False,-0.06002814396330789,4,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p10,0.8487573473038588,-0.0019483760724122,-0.0063188007698682,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_04_risk_drop_risk_p10_hgb_shallow_subject5,False,-0.05901395592710179,
hgb_shallow__subject5__risk0.20,drop_risk_p10,0.75,225,-0.00020652282166075647,0.00521500681404544,-0.005944445153472786,0.011159451967518224,0.4858240038566967,0.011774735458884975,5.240270156469714,False,-0.10384586772494141,4,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p10,0.8487573473038588,-0.0019483760724122,-0.0063188007698682,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_04_risk_drop_risk_p10_hgb_shallow_subject5,False,-0.10283167968873531,
hgb_shallow__subject5__risk0.20,drop_risk_top21,0.35,229,-0.00012285876020713855,0.0024561906645224965,-0.0028822585804532297,0.005338449244975726,0.48310835345243824,0.011486446360196089,2.468089323149368,False,-0.03554471882067703,5,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top21,0.8487573473038588,-0.001657169980902,-0.006027594678358,0.6,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_05_risk_drop_risk_top21_hgb_shallow_subject5,False,-0.03471613383022603,
hgb_shallow__subject5__risk0.20,drop_risk_top21,0.5,229,-0.00015841556943742407,0.003525940751604913,-0.004100415312646126,0.007626356064251038,0.4831083534524383,0.011486446360195893,3.543021659023018,False,-0.06200401652389516,5,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top21,0.8487573473038588,-0.001657169980902,-0.006027594678358,0.6,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_05_risk_drop_risk_top21_hgb_shallow_subject5,False,-0.06117543153344416,
hgb_shallow__subject5__risk0.20,drop_risk_top21,0.75,229,-0.0001947776456920946,0.005331756835871412,-0.006107777260505147,0.011439534096376557,0.48310835345243835,0.011486446360195824,5.357585756804901,False,-0.10685852202052025,5,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top21,0.8487573473038588,-0.001657169980902,-0.006027594678358,0.6,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_05_risk_drop_risk_top21_hgb_shallow_subject5,False,-0.10602993703006924,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p05,0.35,238,-7.36673650850289e-05,0.0026525481924513416,-0.003056443307717774,0.005708991500169116,0.4775301482679755,0.010740918233496497,2.6653980765784926,False,-0.0408470390742497,6,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p05,0.5814571994062346,-0.0016538896756109,-0.0060243143730669,0.7,12,238,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_06_contrast_drop_lowpos_p05_hgb_shallow_subject5,False,-0.04000809423644425,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p05,0.5,238,-8.638782083850276e-05,0.0038082058327848847,-0.004347496310313853,0.008155702143098737,0.4775301482679757,0.010740918233496316,3.826654132356929,False,-0.06963671643656047,6,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p05,0.5814571994062346,-0.0016538896756109,-0.0060243143730669,0.7,12,238,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_06_contrast_drop_lowpos_p05_hgb_shallow_subject5,False,-0.06879777159875501,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p05,0.75,238,-8.235114938228372e-05,0.005759539331052799,-0.0064740138835953105,0.012233553214648108,0.47753014826797574,0.01074091823349625,5.787440582099025,False,-0.1184523472649081,6,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p05,0.5814571994062346,-0.0016538896756109,-0.0060243143730669,0.7,12,238,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_06_contrast_drop_lowpos_p05_hgb_shallow_subject5,False,-0.11761340242710264,
hgb_shallow__stratified5__risk0.20,drop_risk_p05,0.35,238,-9.165329621206646e-05,0.00261666548633638,-0.003030798367398427,0.005647463853734807,0.47956372146717996,0.010857937737572359,2.629341541909894,False,-0.039806107376260155,7,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p05,0.862392482169641,-0.0016380494023677,-0.0060084740998237,0.9,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_07_risk_drop_risk_p05_hgb_shallow_stratified5,False,-0.03893508267507631,
hgb_shallow__stratified5__risk0.20,drop_risk_p05,0.5,238,-0.00011258196441024098,0.0037564448678018255,-0.004311360637533614,0.00806780550533544,0.47956372146718,0.010857937737572173,3.7746424189033103,False,-0.0681331625673109,7,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p05,0.862392482169641,-0.0016380494023677,-0.0060084740998237,0.9,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_07_risk_drop_risk_p05_hgb_shallow_stratified5,False,-0.06726213786612704,
hgb_shallow__stratified5__risk0.20,drop_risk_p05,0.75,238,-0.00012289872003047532,0.005680641528287626,-0.006421066729715536,0.01210170825800316,0.4795637214671802,0.010857937737572109,5.708160570397439,False,-0.11615554503449403,7,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p05,0.862392482169641,-0.0016380494023677,-0.0060084740998237,0.9,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_07_risk_drop_risk_p05_hgb_shallow_stratified5,False,-0.11528452033331017,
hgb_shallow__stratified5__risk0.20,drop_risk_top25,0.35,225,-0.0001272376563801809,0.0024028095069493754,-0.0028049347445591273,0.0052077442515085035,0.48582400385669655,0.011774735458885245,2.414449568318207,False,-0.0341752163697844,8,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top25,0.862392482169641,-0.0015619305389623,-0.0059323552364183,0.9,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_08_risk_drop_risk_top25_hgb_shallow_stratified5,False,-0.033334251100303254,
hgb_shallow__stratified5__risk0.20,drop_risk_top25,0.5,225,-0.00016525949228949943,0.003449093598181297,-0.003990541046830851,0.0074396346450121475,0.4858240038566968,0.011774735458885048,3.4658022307356293,False,-0.06002814396330789,8,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top25,0.862392482169641,-0.0015619305389623,-0.0059323552364183,0.9,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_08_risk_drop_risk_top25_hgb_shallow_stratified5,False,-0.059187178693826746,
hgb_shallow__stratified5__risk0.20,drop_risk_top25,0.75,225,-0.00020652282166075647,0.00521500681404544,-0.005944445153472786,0.011159451967518224,0.4858240038566967,0.011774735458884975,5.240270156469714,False,-0.10384586772494141,8,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top25,0.862392482169641,-0.0015619305389623,-0.0059323552364183,0.9,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_08_risk_drop_risk_top25_hgb_shallow_stratified5,False,-0.10300490245546025,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.35,200,-0.0001538150061722916,0.0018800866663592189,-0.002423823695670709,0.004303910362029927,0.47257063959209106,0.014247464687001908,1.889194472913109,False,-0.020895021102539223,9,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_09_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.020098662353954876,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.5,200,-0.00020811916295569027,0.002697454654946468,-0.003450988719381999,0.006148443374328467,0.47257063959209106,0.014247464687001669,2.710522081903289,False,-0.040894787562953255,9,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_09_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.040098428814368904,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.75,200,-0.00028298016483334305,0.004075380562019894,-0.005147284499472807,0.009222665061492701,0.47257063959209106,0.014247464687001582,4.095123150729509,False,-0.07474404722476768,9,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_09_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.07394768847618334,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.35,200,-0.0001538150061722916,0.0018800866663592189,-0.002423823695670709,0.004303910362029927,0.47257063959209106,0.014247464687001908,1.889194472913109,False,-0.020895021102539223,10,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_10_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.020098662353954876,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.5,200,-0.00020811916295569027,0.002697454654946468,-0.003450988719381999,0.006148443374328467,0.47257063959209106,0.014247464687001669,2.710522081903289,False,-0.040894787562953255,10,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_10_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.040098428814368904,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_top50,0.75,200,-0.00028298016483334305,0.004075380562019894,-0.005147284499472807,0.009222665061492701,0.47257063959209106,0.014247464687001582,4.095123150729509,False,-0.07474404722476768,10,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,-0.0015127174971687,-0.0058831421946247,0.8,50,200,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_10_risk_drop_risk_top50_lr_l2_c0p10_stratified5,False,-0.07394768847618334,
hgb_shallow__subject5__risk0.30,drop_risk_top50,0.35,200,-5.289422378602366e-06,0.0020985879437441356,-0.0022478080678975175,0.004346396011641653,0.48405100696935677,0.014108196937140622,2.1087542479735895,False,-0.027545729853961684,11,movement,hgb_shallow,subject5,risk,0.3,drop_risk_top50,0.7783038919327413,-0.0014795469539828,-0.0058499716514388,0.8,50,200,0.29070254633312703,0.031835039649854666,0.3071480429420569,0.6094748192469183,e234_11_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.026765956376970285,
hgb_shallow__subject5__risk0.30,drop_risk_top50,0.5,200,5.685858157461064e-06,0.003011224952618516,-0.0031979122068695595,0.006209137159488075,0.4840510069693569,0.014108196937140384,3.025812394170775,False,-0.0504494573201097,11,movement,hgb_shallow,subject5,risk,0.3,drop_risk_top50,0.7783038919327413,-0.0014795469539828,-0.0058499716514388,0.8,50,200,0.29070254633312703,0.031835039649854666,0.3071480429420569,0.6094748192469183,e234_11_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.049669683843118304,
hgb_shallow__subject5__risk0.30,drop_risk_top50,0.75,200,4.167669156311497e-05,0.004549985333254699,-0.004763720405977418,0.009313705739232117,0.4840510069693569,0.014108196937140294,4.572027075787011,False,-0.08920639350325951,11,movement,hgb_shallow,subject5,risk,0.3,drop_risk_top50,0.7783038919327413,-0.0014795469539828,-0.0058499716514388,0.8,50,200,0.29070254633312703,0.031835039649854666,0.3071480429420569,0.6094748192469183,e234_11_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.08842662002626811,
hgb_shallow__stratified5__risk0.20,drop_risk_top21,0.35,229,-0.00012285876020713855,0.0024561906645224965,-0.0028822585804532297,0.005338449244975726,0.48310835345243824,0.011486446360196089,2.468089323149368,False,-0.03554471882067703,12,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top21,0.862392482169641,-0.0014607366584376,-0.0058311613558935,0.9,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_12_risk_drop_risk_top21_hgb_shallow_stratified5,False,-0.03475435049145823,
hgb_shallow__stratified5__risk0.20,drop_risk_top21,0.5,229,-0.00015841556943742407,0.003525940751604913,-0.004100415312646126,0.007626356064251038,0.4831083534524383,0.011486446360195893,3.543021659023018,False,-0.06200401652389516,12,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top21,0.862392482169641,-0.0014607366584376,-0.0058311613558935,0.9,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_12_risk_drop_risk_top21_hgb_shallow_stratified5,False,-0.06121364819467636,
hgb_shallow__stratified5__risk0.20,drop_risk_top21,0.75,229,-0.0001947776456920946,0.005331756835871412,-0.006107777260505147,0.011439534096376557,0.48310835345243835,0.011486446360195824,5.357585756804901,False,-0.10685852202052025,12,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top21,0.862392482169641,-0.0014607366584376,-0.0058311613558935,0.9,21,229,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_12_risk_drop_risk_top21_hgb_shallow_stratified5,False,-0.10606815369130144,
hgb_shallow__subject5__risk0.20,drop_risk_p05,0.35,238,-9.165329621206646e-05,0.00261666548633638,-0.003030798367398427,0.005647463853734807,0.47956372146717996,0.010857937737572359,2.629341541909894,False,-0.039806107376260155,13,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p05,0.8487573473038588,-0.0014099722063396,-0.0057803969037956,0.6,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_13_risk_drop_risk_p05_hgb_shallow_subject5,False,-0.03910912127309036,
hgb_shallow__subject5__risk0.20,drop_risk_p05,0.5,238,-0.00011258196441024098,0.0037564448678018255,-0.004311360637533614,0.00806780550533544,0.47956372146718,0.010857937737572173,3.7746424189033103,False,-0.0681331625673109,13,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p05,0.8487573473038588,-0.0014099722063396,-0.0057803969037956,0.6,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_13_risk_drop_risk_p05_hgb_shallow_subject5,False,-0.0674361764641411,
hgb_shallow__subject5__risk0.20,drop_risk_p05,0.75,238,-0.00012289872003047532,0.005680641528287626,-0.006421066729715536,0.01210170825800316,0.4795637214671802,0.010857937737572109,5.708160570397439,False,-0.11615554503449403,13,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p05,0.8487573473038588,-0.0014099722063396,-0.0057803969037956,0.6,12,238,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_13_risk_drop_risk_p05_hgb_shallow_subject5,False,-0.11545855893132423,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p20,0.35,200,-6.021516512563014e-05,0.0022294140243647505,-0.002653195548285113,0.004882609572649864,0.4689355467444769,0.012558819210638589,2.2402140965240647,False,-0.030376666051955537,14,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p20,0.5814571994062346,-0.0013929252735399,-0.0057633499709959,0.8,50,200,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_14_contrast_drop_lowpos_p20_hgb_shallow_subject5,False,-0.029640203415185588,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p20,0.5,200,-6.989337168127673e-05,0.0032010054704478394,-0.0037741510619091092,0.006975156532356948,0.468935546744477,0.012558819210638377,3.2165122761310263,False,-0.05458902655158758,14,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p20,0.5814571994062346,-0.0013929252735399,-0.0057633499709959,0.8,50,200,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_14_contrast_drop_lowpos_p20_hgb_shallow_subject5,False,-0.05385256391481763,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p20,0.75,200,-6.441324031387823e-05,0.004841935022879797,-0.005620799775655629,0.010462734798535427,0.468935546744477,0.012558819210638297,4.865391073243845,False,-0.09565610641332573,14,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p20,0.5814571994062346,-0.0013929252735399,-0.0057633499709959,0.8,50,200,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_14_contrast_drop_lowpos_p20_hgb_shallow_subject5,False,-0.09491964377655578,
hgb_shallow__stratified5__risk0.20,drop_risk_p10,0.35,225,-0.0001272376563801809,0.0024028095069493754,-0.0028049347445591273,0.0052077442515085035,0.48582400385669655,0.011774735458885245,2.414449568318207,False,-0.0341752163697844,15,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p10,0.862392482169641,-0.0013763939838837,-0.0057468186813397,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_15_risk_drop_risk_p10_hgb_shallow_stratified5,False,-0.03344701937784255,
hgb_shallow__stratified5__risk0.20,drop_risk_p10,0.5,225,-0.00016525949228949943,0.003449093598181297,-0.003990541046830851,0.0074396346450121475,0.4858240038566968,0.011774735458885048,3.4658022307356293,False,-0.06002814396330789,15,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p10,0.862392482169641,-0.0013763939838837,-0.0057468186813397,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_15_risk_drop_risk_p10_hgb_shallow_stratified5,False,-0.05929994697136604,
hgb_shallow__stratified5__risk0.20,drop_risk_p10,0.75,225,-0.00020652282166075647,0.00521500681404544,-0.005944445153472786,0.011159451967518224,0.4858240038566967,0.011774735458884975,5.240270156469714,False,-0.10384586772494141,15,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p10,0.862392482169641,-0.0013763939838837,-0.0057468186813397,0.8,25,225,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_15_risk_drop_risk_p10_hgb_shallow_stratified5,False,-0.10311767073299956,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p10,0.35,225,-3.698633851031604e-05,0.002543222249253253,-0.002891109940927097,0.00543433219018035,0.47479772996319897,0.011283780371366653,2.555542519740891,False,-0.03840744727932275,16,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p10,0.5814571994062346,-0.0013469059201695,-0.0057173306176254,0.7,25,225,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_16_contrast_drop_lowpos_p10_hgb_shallow_subject5,False,-0.037713994319238,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p10,0.5,225,-3.497873442442325e-05,0.0036510335338092482,-0.004112298166448395,0.0077633317002576445,0.47479772996319897,0.011283780371366459,3.668720435026464,False,-0.06611879022590977,16,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p10,0.5814571994062346,-0.0013469059201695,-0.0057173306176254,0.7,25,225,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_16_contrast_drop_lowpos_p10_hgb_shallow_subject5,False,-0.06542533726582501,
hgb_shallow__subject5__contrast0.20,drop_lowpos_p10,0.75,225,-7.728970444204011e-06,0.005521289431906304,-0.0061237081184801635,0.011644997550386468,0.4747977299631989,0.011283780371366391,5.548036515949627,False,-0.11309318579017792,16,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p10,0.5814571994062346,-0.0013469059201695,-0.0057173306176254,0.7,25,225,0.558374803687244,0.28379323590063976,0.6202462044011744,0.7263972478086395,e234_16_contrast_drop_lowpos_p10_hgb_shallow_subject5,False,-0.11239973283009316,
