family,candidates,best_actual_anchor_score,median_actual_anchor_score,best_posterior,best_raw_delta,median_bad_axis,best_mean_abs_move
jepa_energy_ensemble,1,0.577895681229757,0.577895681229757,0.5767803466666511,-2.6889200292106244e-07,0.0008125221740452,0.0013645208204839
blockscale_jepa_axisproj_pareto03_rt_same_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p08_c0p08,1,0.5778960728429668,0.5778960728429668,0.5767446612341779,-1.446030424510892e-07,0.000232532394447,0.0014195691451394
blockscale_jepa_axisproj_pareto03_rt_same_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p05_c0p12,1,0.5778967024814986,0.5778967024814986,0.5767501320153522,-3.275001009315853e-07,0.0004215841908156,0.0013774673626516
blockscale_jepa_axisproj_pareto03_rt_bc_nb_sg_same_ridge_full_a24_blend0p1_s_all_rawproj_g0p05_c0p12,1,0.5778968085614048,0.5778968085614048,0.5767461241050272,-3.0527739978118305e-07,0.0008631185239154,0.0013764372174273
blockscale_jepa_axisproj_pareto03_rt_local_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p05_c0p12,1,0.5778968574645506,0.5778968574645506,0.5767537874071699,-1.510705356053436e-07,0.0003117225181898,0.0013767861606887
blockscale_jepa_axisproj_pareto03_rt_same_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p03_c0p18,1,0.5778975265750076,0.5778975265750076,0.5767574776070911,-4.730859965736524e-07,0.0006337642067877,0.0013207896338559
blockscale_jepa_axisproj_pareto03_rt_local_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p03_c0p18,1,0.5778975951386974,0.5778975951386974,0.5767611065215477,-3.391546814507786e-07,0.0004820294425872,0.0013208186565858
blockscale_jepa_axisproj_pareto03_rt_local_ridge_zctx_a12_blend0p2_s_all_rawproj_g0p03_c0p18,1,0.5778986108130948,0.5778986108130948,0.5767729927824712,-2.053148590885922e-07,0.0006790827550099,0.0013052412463644
blockscale_jepa_axisproj_pareto03_rt_local_ridge_zctx_a12_blend0p1_s_all_rawproj_g0p05_c0p08,1,0.5778999546158311,0.5778999546158311,0.576777209994423,-5.787715351595929e-07,0.0010486353639715,0.0012529117113939
hiddenblock_rateprobe_neutral,1,0.5779017815203801,0.5779017815203801,0.5768399396595777,-6.42026622505495e-07,0.0042856501268899,0.0011349737961812
hiddenblock_paretomix_w0.3,1,0.5779073151896065,0.5779073151896065,0.5768249913242831,-4.230425818363241e-07,0.0024101227885636,0.0010674743404765
public_entropyproj_proj0,2,0.5781870988839822,0.5783342409804119,0.5778142065610152,0.0019390137328813,-0.000710182260767637,0.0186076280643058
public_maskaware_t50_r05,1,0.5782109423814169,0.5782109423814169,0.5780043275871879,0.0019748971805731,0.0021511030675194,0.018622827678426
public_maskaware_t50_r06,1,0.578213132519556,0.578213132519556,0.5780052364335126,0.0019790707963528,0.0017980674908351,0.0186338176695718
public_maskaware_t50_r04,1,0.5782166803336325,0.5782166803336325,0.5780856999789472,0.0019887750716916,-0.003252311955235,0.0187132504912362
public_maskaware_t65_r07,1,0.578224657524279,0.578224657524279,0.5780210764188305,0.0020043935356421,-0.0013505581790055,0.0187941862687573
public_maskaware_t65_r08,1,0.5782273611153647,0.5782273611153647,0.5780228960915652,0.002005031336907,-5.979847716767472e-05,0.01881044029259
public_maskaware_t80_r10,1,0.5782311433715063,0.5782311433715063,0.5779557325802972,0.0020105705714817,0.0023160795928925,0.0188414999429615
public_entropyproj_public2d0,2,0.5782393720771707,0.5783804312666487,0.5779171313959955,0.0020241309250956,0.0012250345131934,0.0188495100186012
public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4,1,0.5782393720771707,0.5782393720771707,0.5780086681774534,0.0020241309250956,0.0021006581996438,0.0188495100186012
public_minimaxens_r02_a13,1,0.5782578799977462,0.5782578799977462,0.578021110231872,0.002028838650919,0.0023430822153701,0.0186587296696778
public_minimaxens_r04_a11,1,0.5782579110240823,0.5782579110240823,0.5780215138709243,0.002028945498323,0.0023465194060207,0.0186592769528526
public_universeens_u80_r03,1,0.5782579110240823,0.5782579110240823,0.5780215138709243,0.002028945498323,0.0023465194060207,0.0186592769528526
public_minimaxens_r06_a9,1,0.5782579232755917,0.5782579232755917,0.5780215348915955,0.0020291232262586,0.0023520774970174,0.0186608150214849
public_universeens_u80_r02,1,0.5782579232755917,0.5782579232755917,0.5780215348915955,0.0020291232262586,0.0023520774970174,0.0186608150214849
public_universeens_u80_r04,1,0.5782580186867071,0.5782580186867071,0.5780214214568672,0.0020292667774275,0.0023493195472622,0.0186611772447014
public_minimaxens_r03_a12,1,0.5782581164684403,0.5782581164684403,0.578020942114599,0.0020292924062316,0.0023307972495699,0.0186602116609801
public_minimaxens_r05_a10,1,0.5782582950553147,0.5782582950553147,0.5780212617728125,0.0020296782723616,0.0023249808578227,0.0186617383453308
public_minimaxens_r07_a12,1,0.5782584502319105,0.5782584502319105,0.5780209746542972,0.0020299706428043,0.0023360810596279,0.018663243348207
public_minimaxens_r01_a6,1,0.5782584909115038,0.5782584909115038,0.5780216970169327,0.0020294537123678,0.0023051775892729,0.0186573984409525
public_minimaxens_r08_a10,1,0.5782585669613999,0.5782585669613999,0.5780207786871302,0.0020300895815296,0.0023335954856237,0.0186632821548811
