decoder,state_scope,safety_scope,overlap_kind,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure,best_changed_cells
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,hard,sign,12,6,0,3,0,0,-1.1217196327018009e-05,-3.606204371193855e-05,-1.0520352555045363e-05,0.0007889140929277224,124
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,state_soft,sign,12,6,0,3,0,0,-1.1217196327018009e-05,-3.606204371193855e-05,-1.0520352555045363e-05,0.0007889140929277224,124
pair_raw05_compatible__all_sign_min,all,veto_null,hard,sign,12,6,0,3,0,0,-1.1121289390292333e-05,-3.5861181296899125e-05,-1.040412015583948e-05,0.0007889140929277224,127
pair_raw05_compatible__all_sign_min,all,veto_null,state_soft,sign,12,6,0,3,0,0,-1.1121289390292333e-05,-3.5861181296899125e-05,-1.040412015583948e-05,0.0007889140929277224,127
pair_inverse_top__all_sign_min,all,veto_null,hard,sqrt,12,10,0,3,0,0,-1.9014243468840064e-05,-3.423064198061214e-05,-5.590320310458231e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null,state_soft,sqrt,12,10,0,3,0,0,-1.903726807295225e-05,-3.372221415501273e-05,-5.583345256208626e-06,0.0007888419624421478,142
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,hard,sqrt,12,8,0,3,0,0,-9.71263716953441e-06,-3.353862048244819e-05,-8.732730215277788e-06,0.0007889140929277218,115
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,hard,raw,12,10,0,3,0,0,-1.3180241506538515e-05,-3.299399145546108e-05,-8.139337110823285e-06,0.0007887112373804274,195
pair_raw05_compatible__all_sign_min,all,veto_null,hard,raw,12,10,0,3,0,0,-1.322779425749765e-05,-3.2988964602499753e-05,-7.94956987912659e-06,0.0007878074774023617,198
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,state_soft,sqrt,12,8,0,3,0,0,-9.627053032645883e-06,-3.293383907744595e-05,-8.318545644000312e-06,0.0007889140929277218,115
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,hard,sqrt,12,7,0,3,0,0,-9.306762455807416e-06,-3.246515168787317e-05,-8.574114619810035e-06,0.0007889140929277224,106
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,state_soft,raw,12,10,0,3,0,0,-1.29682589994351e-05,-3.2236682229643385e-05,-7.967233622357252e-06,0.0007887112373804274,195
pair_raw05_compatible__all_sign_min,all,veto_null,state_soft,raw,12,9,0,3,0,0,-1.3016093129203377e-05,-3.220941734720055e-05,-7.764508988982049e-06,0.0007878513256315624,198
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,state_soft,sqrt,12,7,0,3,0,0,-9.207053476956162e-06,-3.185535276035275e-05,-8.166295987916825e-06,0.0007889140929277224,106
pair_inverse_top__all_sign_min,non_q2s3,veto_null,hard,sign,6,6,0,3,0,0,-1.3128647296523077e-05,-3.0463984969657014e-05,-5.442104595541067e-06,0.0007888419624421478,116
pair_inverse_top__all_sign_min,non_q2s3,veto_null,state_soft,sign,6,6,0,3,0,0,-1.3128647296523077e-05,-3.0463984969657014e-05,-5.442104595541067e-06,0.0007888419624421478,116
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,state_soft,raw,12,8,0,3,0,0,-1.648596997028129e-05,-2.8911227299020847e-05,-5.928127238228406e-06,0.0007783876049805448,162
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,hard,raw,12,8,0,3,0,0,-1.6532233752974967e-05,-2.8695433843857533e-05,-5.981541349439295e-06,0.0007773879559009974,162
pair_inverse_top__all_sign_min,non_q2s3,veto_null,hard,sqrt,6,6,0,3,0,0,-1.5187452137910284e-05,-2.8605946886928107e-05,-6.29552315691888e-06,0.0007888419624421478,116
pair_inverse_top__all_sign_min,non_q2s3,veto_null,state_soft,sqrt,6,6,0,3,0,0,-1.5259112545629172e-05,-2.8318679893282044e-05,-6.3252279258381116e-06,0.0007888419624421478,116
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,hard,raw,12,8,0,3,0,0,-1.0247468508084445e-05,-2.4586289693705044e-05,-5.490438600871493e-06,0.0007887112373804274,169
pair_inverse_top__all_sign_min,all,veto_null,hard,raw,12,8,0,3,0,0,-1.6018320604382907e-05,-2.4519742924256365e-05,-6.3855813966553445e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null,state_soft,raw,12,8,0,3,0,0,-1.5929666851488555e-05,-2.4079700976993544e-05,-6.350240253897157e-06,0.0007888419624421478,142
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,state_soft,raw,12,7,0,3,0,0,-1.0173548522063314e-05,-2.3962854526685566e-05,-5.452018453295219e-06,0.0007887112373804274,169
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,hard,raw,12,8,0,3,0,0,-1.0057926609463586e-05,-2.3553035728228044e-05,-5.0269134424199246e-06,0.0007887112373804274,165
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,state_soft,raw,12,7,0,3,0,0,-9.982955244791647e-06,-2.296766788666535e-05,-5.020959705438216e-06,0.0007887112373804274,165
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,hard,sign,12,5,0,3,0,0,-8.505232449107503e-06,-2.264961140085393e-05,-4.925343002791095e-06,0.0007889140929277218,115
pair_raw05_compatible__all_sign_min,all,veto_null_nonq2s3,state_soft,sign,12,5,0,3,0,0,-8.505232449107503e-06,-2.264961140085393e-05,-4.925343002791095e-06,0.0007889140929277218,115
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,hard,sign,12,3,0,3,0,0,-8.028250018665695e-06,-2.1401011506151284e-05,-4.295597324187522e-06,0.0007889140929277224,106
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null,state_soft,sign,12,3,0,3,0,0,-8.028250018665695e-06,-2.1401011506151284e-05,-4.295597324187522e-06,0.0007889140929277224,106
pair_inverse_top__all_sign_min,non_q2s3,veto_null,hard,raw,6,6,0,3,0,0,-1.1661729978684754e-05,-2.0472148117618353e-05,-4.643199999305613e-06,0.0007888419624421478,116
pair_inverse_top__all_sign_min,non_q2s3,veto_null,state_soft,raw,6,6,0,3,0,0,-1.174579475449189e-05,-1.994169498210585e-05,-4.6356532354716265e-06,0.0007888419624421478,116
pair_inverse_top__raw05_compatible_min,all,veto_null,hard,sqrt,12,8,0,2,0,0,-2.2028888676639546e-05,-4.060987746293468e-05,-8.781648538365106e-06,0.0007751684291114813,143
pair_inverse_top__raw05_compatible_min,all,veto_null,state_soft,sqrt,12,7,0,2,0,0,-2.1824408262816064e-05,-4.050595904471961e-05,-8.700133980207592e-06,0.0007751684291114813,143
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,hard,sqrt,12,8,0,2,0,0,-2.175058956344067e-05,-4.009328664637999e-05,-8.670706718442844e-06,0.0007751684291114813,139
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,state_soft,sqrt,12,7,0,2,0,0,-2.1514789881327268e-05,-3.9949527997844055e-05,-8.576706972737375e-06,0.0007751684291114813,139
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,hard,sqrt,12,8,0,2,0,0,-1.894913142719279e-05,-3.7025305505970096e-05,-7.55392678875163e-06,0.0007751684291114813,122
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,state_soft,sqrt,12,8,0,2,0,0,-1.8816884257866207e-05,-3.690228098883852e-05,-7.501207462857933e-06,0.0007751684291114813,122
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,hard,sqrt,6,5,0,2,0,0,-1.876115445120785e-05,-3.6635326351431635e-05,-7.478991200277983e-06,0.0007751684291114813,119
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,state_soft,sqrt,6,5,0,2,0,0,-1.8614083255763525e-05,-3.649132499821543e-05,-7.420362389380276e-06,0.0007751684291114813,119
pair_inverse_top__raw05_compatible_min,all,veto_null,hard,sign,12,7,0,2,0,0,-1.7757972153420454e-05,-3.5886946702400035e-05,-7.079080224813258e-06,0.0007751684291114813,143
pair_inverse_top__raw05_compatible_min,all,veto_null,state_soft,sign,12,7,0,2,0,0,-1.7757972153420454e-05,-3.5886946702400035e-05,-7.079080224813258e-06,0.0007751684291114813,143
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,hard,sign,12,7,0,2,0,0,-1.767986536782562e-05,-3.57995291250134e-05,-7.047943550166449e-06,0.0007751684291114813,139
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,state_soft,sign,12,6,0,2,0,0,-1.767986536782562e-05,-3.57995291250134e-05,-7.047943550166449e-06,0.0007751684291114813,139
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,hard,sign,6,4,0,2,0,0,-1.47398709865465e-05,-3.25090699877631e-05,-5.875937202495317e-06,0.0007751684291114813,119
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,state_soft,sign,6,4,0,2,0,0,-1.47398709865465e-05,-3.25090699877631e-05,-5.875937202495317e-06,0.0007751684291114813,119
pair_inverse_top__raw05_compatible_min,all,veto_null,hard,raw,12,6,0,2,0,0,-1.907431120951042e-05,-3.2463055572830453e-05,-6.843503838633109e-06,0.0007753475286888561,198
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,hard,raw,12,6,0,2,0,0,-1.9101364045925884e-05,-3.2401529118391385e-05,-6.843451513489178e-06,0.000777110007465335,197
pair_inverse_top__raw05_compatible_min,all,veto_null,state_soft,raw,12,6,0,2,0,0,-1.862322096546354e-05,-3.2390625503806425e-05,-6.674686754985555e-06,0.0007759813379595006,198
pair_inverse_top__raw05_compatible_min,all,veto_null_nonactive,state_soft,raw,12,6,0,2,0,0,-1.8659254891195687e-05,-3.233513309208688e-05,-6.6775840206871465e-06,0.0007776965106067227,197
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,state_soft,raw,12,6,0,2,0,0,-1.6441655776966435e-05,-2.9115674626339257e-05,-5.93596222188158e-06,0.0007781328529103753,166
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,hard,raw,12,6,0,2,0,0,-1.6514871092776495e-05,-2.892398998680399e-05,-5.9985654918835036e-06,0.0007772648164075458,166
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,state_soft,raw,6,4,0,2,0,0,-1.5119696021081985e-05,-2.469245171601949e-05,-5.305844725484898e-06,0.0007808135363915971,119
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,hard,sign,12,5,0,2,0,0,-1.3512219667943803e-05,-2.449388015145859e-05,-6.142626589848593e-06,0.0007889140929277224,93
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null,state_soft,sign,12,5,0,2,0,0,-1.3512219667943803e-05,-2.449388015145859e-05,-6.142626589848593e-06,0.0007889140929277224,93
pair_inverse_top__raw05_compatible_min,non_q2s3,veto_null_nonactive,hard,raw,6,4,0,2,0,0,-1.5069541002499243e-05,-2.4435204670972135e-05,-5.321316966928464e-06,0.000779789245694928,119
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,hard,raw,6,5,0,2,0,0,-9.402489184906493e-06,-2.3335135067005546e-05,-5.030898052437503e-06,0.0007889140929277224,103
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,hard,sqrt,6,3,0,2,0,0,-9.271593879645046e-06,-2.299681538959384e-05,-4.960861179928238e-06,0.0007889140929277224,103
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,state_soft,raw,6,5,0,2,0,0,-9.387622560974584e-06,-2.2760343121227566e-05,-5.022943513175132e-06,0.0007889140929277224,103
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,state_soft,sqrt,6,3,0,2,0,0,-9.234427200133233e-06,-2.2703137738767748e-05,-4.940974767735207e-06,0.0007889140929277224,103
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,hard,sign,6,2,0,2,0,0,-8.095314198097725e-06,-2.147607013326958e-05,-4.331480699648833e-06,0.0007889140929277224,103
pair_raw05_compatible__all_sign_min,non_q2s3,veto_null_nonactive,state_soft,sign,6,2,0,2,0,0,-8.095314198097725e-06,-2.147607013326958e-05,-4.331480699648833e-06,0.0007889140929277224,103
pair_inverse_top__all_sign_min,all,veto_null_nonactive,hard,sign,6,4,0,0,0,0,-1.5110830894671246e-05,-4.14019503145465e-05,-6.028268042263329e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null_nonactive,state_soft,sign,6,4,0,0,0,0,-1.5110830894671246e-05,-4.14019503145465e-05,-6.028268042263329e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,hard,sign,3,2,0,0,0,0,-1.5063252267188965e-05,-4.1352091773510144e-05,-6.070253973485341e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,state_soft,sign,3,2,0,0,0,0,-1.5063252267188965e-05,-4.1352091773510144e-05,-6.070253973485341e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,hard,sign,3,2,0,0,0,0,-1.4966112546255239e-05,-4.1243354809493273e-05,-6.150921170919347e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,state_soft,sign,3,2,0,0,0,0,-1.4966112546255239e-05,-4.1243354809493273e-05,-6.150921170919347e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,hard,sign,6,4,0,0,0,0,-1.2455022512791736e-05,-3.7903624114652665e-05,-4.379844940421471e-06,0.0007888419624421478,116
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,state_soft,sign,6,4,0,0,0,0,-1.2455022512791736e-05,-3.7903624114652665e-05,-4.379844940421471e-06,0.0007888419624421478,116
all3_mean,q1q3_sall,veto_null_nonactive,hard,sign,3,2,0,0,0,0,-1.5710087555076413e-05,-3.670385892395663e-05,-4.790139012612318e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null_nonactive,state_soft,sign,3,2,0,0,0,0,-1.5710087555076413e-05,-3.670385892395663e-05,-4.790139012612318e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,hard,sign,3,2,0,0,0,0,-1.5710087555076413e-05,-3.670385892395663e-05,-4.790139012612318e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,state_soft,sign,3,2,0,0,0,0,-1.5710087555076413e-05,-3.670385892395663e-05,-4.790139012612318e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null,hard,sign,3,2,0,0,0,0,-1.5806546089680573e-05,-3.657578102187242e-05,-4.619225211489069e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null,state_soft,sign,3,2,0,0,0,0,-1.5806546089680573e-05,-3.657578102187242e-05,-4.619225211489069e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,hard,sign,3,2,0,0,0,0,-1.5806546089680573e-05,-3.657578102187242e-05,-4.619225211489069e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,state_soft,sign,3,2,0,0,0,0,-1.5806546089680573e-05,-3.657578102187242e-05,-4.619225211489069e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,hard,sign,6,4,0,0,0,0,-1.583334941923642e-05,-3.6535378152748916e-05,-4.5690494202330305e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,state_soft,sign,6,4,0,0,0,0,-1.583334941923642e-05,-3.6535378152748916e-05,-4.5690494202330305e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,hard,sign,6,4,0,0,0,0,-1.583334941923642e-05,-3.6535378152748916e-05,-4.5690494202330305e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,state_soft,sign,6,4,0,0,0,0,-1.583334941923642e-05,-3.6535378152748916e-05,-4.5690494202330305e-06,0.0007888419624421478,114
all3_mean,all,veto_null,hard,sign,6,4,0,0,0,0,-1.5936919236070324e-05,-3.635507348860309e-05,-4.361748011346835e-06,0.0007888419624421478,114
all3_mean,all,veto_null,state_soft,sign,6,4,0,0,0,0,-1.5936919236070324e-05,-3.635507348860309e-05,-4.361748011346835e-06,0.0007888419624421478,114
all3_min,all,veto_null,hard,sign,6,4,0,0,0,0,-1.5936919236070324e-05,-3.635507348860309e-05,-4.361748011346835e-06,0.0007888419624421478,114
all3_min,all,veto_null,state_soft,sign,6,4,0,0,0,0,-1.5936919236070324e-05,-3.635507348860309e-05,-4.361748011346835e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null_nonactive,hard,sqrt,3,2,0,0,0,0,-1.968038886401846e-05,-3.512573506358082e-05,-5.522183707753823e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,hard,sqrt,3,2,0,0,0,0,-1.784201089194415e-05,-3.469069176884759e-05,-6.002593383174769e-06,0.0007888419624421478,142
all3_mean,q1q3_sall,veto_null,hard,sqrt,3,2,0,0,0,0,-1.9780578911610114e-05,-3.4673139720404454e-05,-5.2551695828782835e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,hard,sqrt,6,4,0,0,0,0,-1.9811785181400587e-05,-3.4538551125803055e-05,-5.1770115924826574e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,hard,sqrt,3,2,0,0,0,0,-1.793589724075062e-05,-3.4531166874529954e-05,-5.852773606034171e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null_nonactive,hard,sqrt,6,4,0,0,0,0,-1.798143444220468e-05,-3.444581885382362e-05,-5.775808436113509e-06,0.0007888419624421478,142
all3_mean,q1q3_sall,veto_null_nonactive,state_soft,sqrt,3,2,0,0,0,0,-1.9685658929069483e-05,-3.4254872340254896e-05,-5.418258020000467e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,state_soft,sqrt,3,2,0,0,0,0,-1.786620226928992e-05,-3.420884752213848e-05,-5.999348030269358e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,state_soft,sqrt,3,2,0,0,0,0,-1.796011194876712e-05,-3.40372341158737e-05,-5.847345913693694e-06,0.0007888419624421478,142
all3_mean,all,veto_null,hard,sqrt,6,4,0,0,0,0,-1.9933783809600314e-05,-3.4006750523358644e-05,-4.866762208442425e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,all,veto_null_nonactive,state_soft,sqrt,6,4,0,0,0,0,-1.8005657718367374e-05,-3.3946577047938956e-05,-5.76956126069529e-06,0.0007888419624421478,142
all3_mean,q1q3_sall,veto_null,state_soft,sqrt,3,2,0,0,0,0,-1.980670410584029e-05,-3.3827520700052235e-05,-5.163316356951622e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,state_soft,sqrt,6,4,0,0,0,0,-1.9840473013843507e-05,-3.370144239667478e-05,-5.089069343753005e-06,0.0007888419624421478,114
all3_mean,all,veto_null,state_soft,sqrt,6,4,0,0,0,0,-1.9990113381052055e-05,-3.317443375411232e-05,-4.78404333063995e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonq2s3,hard,sign,6,4,0,0,0,0,-1.3004121719562e-05,-3.3052152566928866e-05,-3.153123224997805e-06,0.0007888419624421478,95
all3_mean,all,veto_null_nonq2s3,state_soft,sign,6,4,0,0,0,0,-1.3004121719562e-05,-3.3052152566928866e-05,-3.153123224997805e-06,0.0007888419624421478,95
all3_min,all,veto_null_nonq2s3,hard,sign,6,4,0,0,0,0,-1.3004121719562e-05,-3.3052152566928866e-05,-3.153123224997805e-06,0.0007888419624421478,95
all3_min,all,veto_null_nonq2s3,state_soft,sign,6,4,0,0,0,0,-1.3004121719562e-05,-3.3052152566928866e-05,-3.153123224997805e-06,0.0007888419624421478,95
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,hard,raw,3,1,0,0,0,0,-1.9141183187465494e-05,-3.226629120958863e-05,-6.839320337435439e-06,0.0007754603585006663,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,state_soft,sqrt,3,1,0,0,0,0,-1.902355834515479e-05,-3.2251770725527866e-05,-7.234138742108066e-06,0.0007716973779083705,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,hard,raw,3,1,0,0,0,0,-1.9149483566960335e-05,-3.2210522699417086e-05,-6.835956301958248e-06,0.0007771730725281635,197
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,state_soft,raw,3,1,0,0,0,0,-1.8698815093420862e-05,-3.219362644742809e-05,-6.673925633092561e-06,0.0007761406519702779,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,state_soft,raw,3,1,0,0,0,0,-1.872313164019701e-05,-3.215275649153302e-05,-6.675592536002511e-06,0.0007778028873040351,197
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,state_soft,sqrt,3,1,0,0,0,0,-1.896162767078824e-05,-3.213401152292668e-05,-7.204922136183214e-06,0.0007751692478549172,197
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,hard,sqrt,3,1,0,0,0,0,-1.8960996808536912e-05,-3.2099133043340436e-05,-7.2690099385425945e-06,0.0007716558062802209,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,hard,sqrt,3,1,0,0,0,0,-1.889856348002983e-05,-3.198157360003424e-05,-7.239726693361068e-06,0.0007751684291114812,197
all3_mean,all,veto_null_nonq2s3,hard,sqrt,6,4,0,0,0,0,-1.671795084623451e-05,-3.053722026181376e-05,-3.6720975438480634e-06,0.0007888419624421478,95
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,hard,sqrt,6,4,0,0,0,0,-1.4558748906989827e-05,-3.0337492365607627e-05,-4.1260700331888505e-06,0.0007888419624421478,116
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,state_soft,sqrt,6,4,0,0,0,0,-1.4633848201883737e-05,-2.9769551957904013e-05,-4.139686481703675e-06,0.0007888419624421478,116
all3_mean,all,veto_null_nonq2s3,state_soft,sqrt,6,4,0,0,0,0,-1.679747601068815e-05,-2.9633312657468487e-05,-3.605448767482568e-06,0.0007888419624421478,95
all3_min,all,veto_null,hard,sqrt,6,2,0,0,0,0,-1.8012856580096326e-05,-2.8469317504535736e-05,-6.094086906421993e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,hard,sqrt,6,2,0,0,0,0,-1.796121349539881e-05,-2.8271742092875686e-05,-6.0766150831793585e-06,0.0007888419624421478,114
all3_min,all,veto_null,state_soft,sqrt,6,2,0,0,0,0,-1.800305267252167e-05,-2.8233206577227166e-05,-6.09077006078361e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,hard,sqrt,3,1,0,0,0,0,-1.794691967238471e-05,-2.822079302812234e-05,-6.071779215015659e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,state_soft,sqrt,6,2,0,0,0,0,-1.7955350316900542e-05,-2.80437987479348e-05,-6.074631460029002e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,hard,sqrt,3,2,0,0,0,0,-1.78925345505343e-05,-2.8037572236704266e-05,-6.053379709223837e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,state_soft,sqrt,3,1,0,0,0,0,-1.794202456284477e-05,-2.799487278365e-05,-6.070123107733608e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,state_soft,sqrt,3,2,0,0,0,0,-1.7890973807555e-05,-2.7818673675565084e-05,-6.052851680628697e-06,0.0007888419624421478,114
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,hard,sign,3,1,0,0,0,0,-1.4435340548568654e-05,-2.6869848260704598e-05,-6.581509340718352e-06,0.0007696341554876704,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null,state_soft,sign,3,1,0,0,0,0,-1.4435340548568654e-05,-2.6869848260704598e-05,-6.581509340718352e-06,0.0007696341554876704,198
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,hard,sign,3,1,0,0,0,0,-1.4418613341726783e-05,-2.6823851555203434e-05,-6.5674337400644745e-06,0.0007751684291114812,197
pair_inverse_top__raw05_compatible_min,q1q3_sall,veto_null_nonactive,state_soft,sign,3,1,0,0,0,0,-1.4418613341726783e-05,-2.6823851555203434e-05,-6.5674337400644745e-06,0.0007751684291114812,197
all3_min,all,veto_null_nonq2s3,hard,sqrt,6,2,0,0,0,0,-1.4630178386876302e-05,-2.4581273129222236e-05,-4.963901893752871e-06,0.0007888419624421478,95
pair_inverse_top__all_sign_min,all,veto_null_nonactive,hard,raw,6,2,0,0,0,0,-1.6057672359126585e-05,-2.4465128383783765e-05,-6.401268673694126e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,hard,raw,3,1,0,0,0,0,-1.6071901541736544e-05,-2.4438760719532508e-05,-6.4069410288684195e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,hard,raw,3,1,0,0,0,0,-1.6110523141210642e-05,-2.439737967238584e-05,-6.4223372350751665e-06,0.0007888419624421478,142
all3_min,all,veto_null_nonq2s3,state_soft,sqrt,6,2,0,0,0,0,-1.4651540119259288e-05,-2.4336234478154506e-05,-4.966250153390139e-06,0.0007888419624421478,95
