context,mask_name,overlap_kind,state_mask,state_kind,state_scope,state_frac,safety_mask,safety_scope,safety_top_q,selected_cells,selected_rows,selected_q2s3_cells,selected_s_cells,mean_state,mean_weight
raw05_compatible,state_top20_all_hard__low_adverse75_top70__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_top70,low_adverse75,0.7,100,73,8,24,0.8379894965221704,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_top70,low_adverse75,0.7,100,73,8,24,0.8379894965221704,0.8379894965221704
raw05_compatible,state_top20_all_hard__low_adverse75_nonactive_top50__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_nonactive_top50,low_adverse75_nonactive,0.5,140,93,10,32,0.8409556343583223,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_nonactive_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_nonactive_top50,low_adverse75_nonactive,0.5,140,93,10,32,0.8409556343583223,0.8409556343583223
raw05_compatible,state_top20_all_hard__low_adverse75_nonactive_top70__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,99,72,8,24,0.8375401952344442,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_nonactive_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,99,72,8,24,0.8375401952344442,0.8375401952344442
raw05_compatible,state_top20_all_hard__low_adverse75_nonq2s3_top50__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_nonq2s3_top50,low_adverse75_nonq2s3,0.5,127,89,0,21,0.8466878514373155,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_nonq2s3_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_nonq2s3_top50,low_adverse75_nonq2s3,0.5,127,89,0,21,0.8466878514373155,0.8466878514373155
raw05_compatible,state_top20_all_hard__low_adverse75_nonq2s3_top70__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_nonq2s3_top70,low_adverse75_nonq2s3,0.7,88,69,0,16,0.8431469741200995,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_nonq2s3_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_nonq2s3_top70,low_adverse75_nonq2s3,0.7,88,69,0,16,0.8431469741200995,0.8431469741200995
raw05_compatible,state_top20_non_q2s3_hard__veto_null_top50__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_top50,veto_null,0.5,125,89,0,21,0.8446047027782647,1.0
raw05_compatible,state_top20_non_q2s3_hard__veto_null_top50__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_top50,veto_null,0.5,125,89,0,21,0.8446047027782647,0.8446047027782647
raw05_compatible,state_top20_non_q2s3_hard__veto_null_nonactive_top50__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_nonactive_top50,veto_null_nonactive,0.5,124,89,0,21,0.8442703672673031,1.0
raw05_compatible,state_top20_non_q2s3_hard__veto_null_nonactive_top50__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_nonactive_top50,veto_null_nonactive,0.5,124,89,0,21,0.8442703672673031,0.8442703672673031
raw05_compatible,state_top20_non_q2s3_hard__veto_null_nonactive_top70__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_nonactive_top70,veto_null_nonactive,0.7,87,68,0,16,0.8428241886341274,1.0
raw05_compatible,state_top20_non_q2s3_hard__veto_null_nonactive_top70__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,veto_null_nonactive_top70,veto_null_nonactive,0.7,87,68,0,16,0.8428241886341274,0.8428241886341274
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_top50__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_top50,low_adverse75,0.5,130,92,0,22,0.8470086257657117,1.0
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_top50__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_top50,low_adverse75,0.5,130,92,0,22,0.8470086257657117,0.8470086257657117
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_top70__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_top70,low_adverse75,0.7,92,71,0,16,0.8446135597144218,1.0
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_top70__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_top70,low_adverse75,0.7,92,71,0,16,0.8446135597144218,0.8446135597144218
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_nonactive_top70__hard,hard,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,91,70,0,16,0.8441975513156016,1.0
raw05_compatible,state_top20_non_q2s3_hard__low_adverse75_nonactive_top70__state_soft,state_soft,state_top20_non_q2s3_hard,hard,non_q2s3,0.2,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,91,70,0,16,0.8441975513156016,0.8441975513156016
raw05_compatible,state_top30_all_hard__veto_null_top50__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_top50,veto_null,0.5,198,122,31,73,0.7990238735597728,1.0
raw05_compatible,state_top30_all_hard__veto_null_top50__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_top50,veto_null,0.5,198,122,31,73,0.7990238735597728,0.7990238735597728
raw05_compatible,state_top30_all_hard__veto_null_top70__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_top70,veto_null,0.7,138,96,25,49,0.7988822479633501,1.0
raw05_compatible,state_top30_all_hard__veto_null_top70__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_top70,veto_null,0.7,138,96,25,49,0.7988822479633501,0.7988822479633501
raw05_compatible,state_top30_all_hard__veto_null_nonactive_top50__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_nonactive_top50,veto_null_nonactive,0.5,197,122,31,73,0.7985820541050636,1.0
raw05_compatible,state_top30_all_hard__veto_null_nonactive_top50__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_nonactive_top50,veto_null_nonactive,0.5,197,122,31,73,0.7985820541050636,0.7985820541050636
raw05_compatible,state_top30_all_hard__veto_null_nonactive_top70__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_nonactive_top70,veto_null_nonactive,0.7,136,95,25,49,0.799064953760269,1.0
raw05_compatible,state_top30_all_hard__veto_null_nonactive_top70__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_nonactive_top70,veto_null_nonactive,0.7,136,95,25,49,0.799064953760269,0.799064953760269
raw05_compatible,state_top30_all_hard__veto_null_nonq2s3_top50__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_nonq2s3_top50,veto_null_nonq2s3,0.5,159,114,0,39,0.8120756134812233,1.0
raw05_compatible,state_top30_all_hard__veto_null_nonq2s3_top50__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_nonq2s3_top50,veto_null_nonq2s3,0.5,159,114,0,39,0.8120756134812233,0.8120756134812233
raw05_compatible,state_top30_all_hard__veto_null_nonq2s3_top70__hard,hard,state_top30_all_hard,hard,all,0.3,veto_null_nonq2s3_top70,veto_null_nonq2s3,0.7,104,82,0,24,0.8142704819838747,1.0
raw05_compatible,state_top30_all_hard__veto_null_nonq2s3_top70__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,veto_null_nonq2s3_top70,veto_null_nonq2s3,0.7,104,82,0,24,0.8142704819838747,0.8142704819838747
raw05_compatible,state_top30_all_hard__low_adverse75_top50__hard,hard,state_top30_all_hard,hard,all,0.3,low_adverse75_top50,low_adverse75,0.5,207,124,33,76,0.7998815561767246,1.0
raw05_compatible,state_top30_all_hard__low_adverse75_top50__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,low_adverse75_top50,low_adverse75,0.5,207,124,33,76,0.7998815561767246,0.7998815561767246
raw05_compatible,state_top30_all_hard__low_adverse75_top70__hard,hard,state_top30_all_hard,hard,all,0.3,low_adverse75_top70,low_adverse75,0.7,145,99,25,51,0.7990354522028448,1.0
raw05_compatible,state_top30_all_hard__low_adverse75_top70__state_soft,state_soft,state_top30_all_hard,hard,all,0.3,low_adverse75_top70,low_adverse75,0.7,145,99,25,51,0.7990354522028448,0.7990354522028448
raw05_compatible,state_top30_all_hard__low_adverse75_nonactive_top50__hard,hard,state_top30_all_hard,hard,all,0.3,low_adverse75_nonactive_top50,low_adverse75_nonactive,0.5,204,123,31,75,0.8010736415364063,1.0
