selector,rows,e101_pass_rows,prior_healthier_rows,replacement_rows,interesting_nonreplacement_rows,selected_cells_min,selected_cells_max,best_subject_alpha,best_subject_expected_vs_e95,best_subject_p_beats_e95,best_subject_mean_vs_e95,best_subject_p95_vs_e95,best_subject_beat_rate,best_transfer_alpha,best_transfer_mean_vs_e95,best_transfer_p95_vs_e95,best_transfer_beat_rate
support_prob_best_top16,4,0,1,0,0,16,16,0.25,8.930191264030549e-08,0.60435,4.694360539488786e-07,2.5752899425018152e-06,0.30127462340672073,0.25,4.694360539488786e-07,2.5752899425018152e-06,0.30127462340672073
s3_high_subject_support_0p80,4,0,1,0,0,15,15,0.25,1.220464548336808e-07,0.62255,4.918733798151208e-07,2.5395728852963167e-06,0.28939745075318657,0.25,4.918733798151208e-07,2.5395728852963167e-06,0.28939745075318657
flip_x_support_best_top20,4,0,1,0,0,20,20,0.25,1.69248258992682e-07,0.501625,-2.541420871011963e-06,2.79608502587139e-06,0.6216685979142526,0.5,-3.708718818441804e-06,7.51462850130406e-06,0.570683661645423
subject_support_q0.60,4,0,1,0,0,20,20,0.25,2.3440492206047042e-07,0.524475,4.7652855508237424e-08,3.4055797775556357e-06,0.4133835457705678,0.25,4.7652855508237424e-08,3.4055797775556357e-06,0.4133835457705678
s3_subject_support_q0.60,4,0,1,0,0,17,17,0.25,3.674522946501732e-07,0.49845,4.373345695069724e-07,3.0204774607531894e-06,0.3455967555040556,0.25,4.373345695069724e-07,3.0204774607531894e-06,0.3455967555040556
s3_subject_support_q0.50,4,0,1,0,0,20,20,0.25,6.349124146842107e-07,0.5272375,-5.910949011584809e-07,3.0490005166166338e-06,0.5008690614136733,0.25,-5.910949011584809e-07,3.0490005166166338e-06,0.5008690614136733
subject_expected_best_top30,4,0,1,0,0,30,30,0.25,6.823120098686399e-07,0.5024375,-4.392883471241598e-06,1.7231101820044268e-06,0.787369640787949,0.75,-8.541034994362476e-06,1.0627734034900415e-05,0.6836616454229433
flip_benefit_best_top20,4,0,1,0,0,20,20,0.25,8.112166204400397e-07,0.44695,-8.307047281544897e-06,1.1743651386189256e-06,0.8198146002317497,1.0,-2.3672845412383535e-05,1.1428481157611514e-05,0.7471031286210892
support_prob_best_top23,4,0,1,0,0,23,23,0.25,9.850609334949387e-07,0.5023375,-9.265956534928981e-07,2.959327971442281e-06,0.5561993047508691,0.25,-9.265956534928981e-07,2.959327971442281e-06,0.5561993047508691
flip_x_support_best_top23,4,0,1,0,0,23,23,0.25,1.0747033590518546e-06,0.50225,-5.01018279889179e-06,1.791805240679281e-06,0.7789687137891078,0.75,-9.893933366781858e-06,1.0631986505424777e-05,0.6955388180764774
subject_support_q0.50,4,0,0,0,0,25,25,0.25,1.155285342715797e-06,0.4933,-2.3447401826523264e-06,2.6522780335716344e-06,0.671494785631518,0.5,-3.3314413946432957e-06,7.25991424434425e-06,0.6179026651216686
s3_subject_support_q0.40,4,0,1,0,0,23,23,0.25,1.3230132683583847e-06,0.490575,-2.2959975520309096e-06,2.6495287168786495e-06,0.6657010428736964,0.5,-3.2825589638636374e-06,7.240665097152645e-06,0.6141367323290846
subject_expected_best_top35,4,0,1,0,0,35,35,0.25,1.7634217398588896e-06,0.4719125,-5.570491680047159e-06,1.273477888190509e-06,0.8554461181923523,1.0,-1.195907518942361e-05,1.5818632185732227e-05,0.7114716106604867
flip_x_support_best_top25,4,0,1,0,0,25,25,0.25,1.7723194483934235e-06,0.474225,-5.46974136676499e-06,1.6211270280157409e-06,0.8180764774044033,0.75,-1.1123831260068163e-05,1.0134308373893434e-05,0.7346465816917729
flip_benefit_best_top23,4,0,1,0,0,23,23,0.25,1.777276477230522e-06,0.437875,-9.940392970427042e-06,9.567799550368547e-07,0.8621089223638471,1.0,-2.9751412903991302e-05,9.292749721630875e-06,0.798667439165701
support_prob_best_top30,4,0,0,0,0,30,30,0.25,2.0437869152833155e-06,0.468125,-2.5648013067269464e-06,2.5357490248647373e-06,0.7010428736964078,0.5,-3.742275875879335e-06,6.987882103440398e-06,0.6433951332560834
active_q2_all,4,0,0,0,0,11,11,0.25,2.1087860554504538e-06,0.2459,-4.7015146253208515e-07,1.1341091021007461e-07,0.4130938586326767,1.0,-1.5374637431535573e-06,1.1207706548421295e-06,0.41251448435689453
global_expected_best_top8,4,0,3,0,0,8,8,0.25,2.342812838314276e-06,0.4019,-1.0074597772159633e-05,6.652671197347823e-07,0.7757821552723059,1.0,-3.692872471197704e-05,4.7360483041297264e-06,0.7720162224797219
flip_benefit_best_top25,4,0,1,0,0,25,25,0.25,2.388352089783976e-06,0.438275,-1.1314882293196744e-05,6.008733255037206e-07,0.9017960602549246,1.0,-3.429054281597541e-05,7.3174632902347885e-06,0.84675550405562
subject_support_q0.40,4,0,0,0,0,31,31,0.25,2.4079666781064336e-06,0.457375,-2.6096782023007218e-06,2.528233248003598e-06,0.7056778679026651,0.5,-3.828665825333881e-06,6.975397131120449e-06,0.6483198146002318
flip_x_support_best_top30,4,0,0,0,0,30,30,0.25,2.55742986048214e-06,0.4537625,-6.212928117694865e-06,1.3399682967453395e-06,0.8597914252607184,1.0,-1.314551910226095e-05,1.687877951048837e-05,0.7259559675550405
s3_subject_support_q0.25,4,0,0,0,0,30,30,0.25,2.681057949329777e-06,0.4507,-6.3797697709345345e-06,1.1878057162937411e-06,0.8679026651216686,1.0,-1.3722554859996494e-05,1.6174366515443275e-05,0.7340672074159907
support_prob_best_top35,4,0,0,0,0,35,35,0.25,2.8145258374523104e-06,0.4458875,-4.5967819922270375e-06,1.9286594517485127e-06,0.8088064889918888,0.75,-8.636555035402599e-06,1.199711494176913e-05,0.7085747392815759
global_expected_negative,4,0,2,0,0,11,11,0.25,2.900056961535723e-06,0.373825,-1.0710773344888564e-05,5.426157067391921e-07,0.8203939745075318,1.0,-3.940234729274013e-05,3.978312928771102e-06,0.8114136732329085
global_expected_best_top12,4,0,2,0,0,12,12,0.25,2.9442134558982877e-06,0.375425,-1.0855569675101256e-05,5.050616098866142e-07,0.8331402085747392,1.0,-3.98034589772578e-05,3.83912210072494e-06,0.8230011587485515
flip_x_support_best_top35,4,0,0,0,0,35,35,0.25,3.223576182634078e-06,0.4382,-9.589176172513266e-06,3.8266743305058203e-07,0.9304750869061413,1.0,-2.5719866361645502e-05,8.336239871822124e-06,0.8458864426419467
flip_benefit_best_top30,4,0,1,0,0,30,30,0.25,3.7018495031558676e-06,0.42705,-1.3278889632142292e-05,1.9441723968533532e-07,0.9414831981460023,1.0,-4.1164769040731705e-05,4.567331352759181e-06,0.902954808806489
subject_support_q0.25,4,0,0,0,0,38,38,0.25,3.766011359077826e-06,0.4252,-6.704649567942937e-06,9.912166879226196e-07,0.8881807647740441,1.0,-1.4714028726575489e-05,1.5282878897779994e-05,0.7520278099652375
global_expected_best_top16,4,0,0,0,0,16,16,0.25,3.847346523854231e-06,0.3351625,-1.1370025409626239e-05,4.114175005820544e-07,0.8748551564310545,1.0,-4.157524663269791e-05,3.292815616088732e-06,0.8560254924681344
edge_or_near,4,0,1,0,0,31,31,0.25,3.886287039406423e-06,0.4012,-7.702840913095648e-06,5.894173360517262e-07,0.8942641946697567,1.0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694
subject_beats_global_support,4,0,0,0,0,36,36,0.25,4.257792930789665e-06,0.40935,-5.2107635174292575e-06,1.4441032754409528e-06,0.8482039397450754,1.0,-1.0275776230131286e-05,1.802034790507601e-05,0.6938006952491309
support_prob_best_top40,4,0,0,0,0,40,40,0.25,4.296337285125064e-06,0.4129,-6.758814790498044e-06,9.372778677397268e-07,0.891946697566628,1.0,-1.4885103739405987e-05,1.5326646284760465e-05,0.7555040556199305
global_expected_best_top20,4,0,0,0,0,20,20,0.25,4.3883664108167635e-06,0.31585,-1.1762317960261693e-05,3.282225170416778e-07,0.8997682502896871,1.0,-4.286653691501172e-05,2.842972830036815e-06,0.8794901506373117
global_expected_best_top23,4,0,0,0,0,23,23,0.25,4.878110273347029e-06,0.3263,-1.2381352220175317e-05,2.8097114768081796e-07,0.9183082271147162,1.0,-4.44304722281489e-05,2.5127023318526354e-06,0.8980301274623407
global_expected_best_top25,4,0,0,0,0,25,25,0.25,5.486492444208955e-06,0.308,-1.2610164676389098e-05,2.254266570572583e-07,0.9269988412514485,1.0,-4.540112418324226e-05,2.2620685508677475e-06,0.907010428736964
flip_x_support_best_top40,4,1,0,0,0,40,40,0.25,5.602732002003239e-06,0.3854625,-1.3603789148879828e-05,-6.061687863900532e-07,0.9655272305909618,1.0,-4.10294442961682e-05,2.592666407935304e-06,0.9269988412514485
support_prob_best_top45,4,0,0,0,0,45,45,0.25,5.618889346222479e-06,0.3841125,-8.767417276926841e-06,2.2851288406351197e-07,0.9371378910776361,1.0,-2.2275487521452742e-05,9.364219929744943e-06,0.8386442641946698
global_expected_best_top30,4,0,0,0,0,30,30,0.25,6.225397529882306e-06,0.3036125,-1.3235874231426783e-05,3.290119047923512e-08,0.9487253765932793,1.0,-4.6366377736098195e-05,1.7319473828554646e-06,0.9287369640787949
flip_x_support_best_top45,4,1,0,0,0,45,45,0.25,6.382445774050281e-06,0.3700875,-1.381011119286219e-05,-8.538722728496047e-07,0.9707415990730012,1.0,-4.176918948531794e-05,1.5053174219554887e-06,0.9325028968713789
global_expected_best_top45,4,1,0,0,0,45,45,0.25,7.700935674743574e-06,0.3296,-1.6482589802631233e-05,-1.5534334979134677e-06,0.9805909617612978,1.0,-5.376757250295657e-05,-2.618066339130093e-06,0.9669756662804172
global_expected_best_top35,4,1,0,0,0,35,35,0.25,7.788811424502451e-06,0.2939625,-1.5474030609298555e-05,-7.979062738707732e-07,0.9710312862108922,1.0,-5.338172507519248e-05,-7.478229912036748e-07,0.9539397450753186
active_all,4,1,0,0,0,50,50,0.25,7.852751918177814e-06,0.3382375,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,1.0,-5.080068902374397e-05,-2.0207058485386766e-06,0.962630359212051
global_expected_best_top40,4,1,0,0,0,40,40,0.25,8.055080139299825e-06,0.3137375,-1.681588588968958e-05,-1.5115016708510381e-06,0.9808806488991889,1.0,-5.645667371652129e-05,-2.7990745925742775e-06,0.966396292004635
