prior_view,component_scope,target_scope,prune_mode,rows,all_four_health,control_grade,e161_submit,best_all_minus_base,best_local_delta_vs_e154,best_focus_expected_delta,best_focus_delta_vs_e154,best_safe_all_minus_base,best_safe_top_n,best_safe_tag
global,added,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.085739643638271e-05,-1.0198384232620357e-06,-1.2088762754491889e-05,13,e161_14b1f859
global,adjustment,S3,to_e144,6,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.085739643638271e-05,-1.0198384232620357e-06,-1.2088762754491889e-05,13,e161_14b1f859
global,all,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.085739643638271e-05,-1.0198384232620357e-06,-1.2088762754491889e-05,13,e161_14b1f859
global,inherited,S3,to_e144,6,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.085739643638271e-05,-1.0198384232620357e-06,-1.2088762754491889e-05,13,e161_14b1f859
nearest_hard085,inherited,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.081064945126476e-05,-9.730914381440834e-07,-1.2114430380294472e-05,21,e161_8f97b246
nearest_hard085,added,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.080728514819207e-05,-9.697271350713965e-07,-1.2098740924892937e-05,21,e161_657e43b7
nearest_hard085,all,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.080728514819207e-05,-9.697271350713965e-07,-1.2098740924892937e-05,21,e161_657e43b7
nearest_hard085,extra,S4,to_e144,5,5,5,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.0428731227499575e-05,-5.911732143789007e-07,-1.214354577727672e-05,8,e161_0800089c
nearest_hard085,extra,S4,to_e95,5,5,5,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.0428731227499575e-05,-5.911732143789007e-07,-1.214354577727672e-05,8,e161_0800089c
nearest_hard085,adjustment,Q1,to_e144,6,6,4,0,-1.2179139191492716e-05,-2.10895317875881e-08,-3.0260698053499957e-05,-4.231400403792825e-07,-1.2155030608362871e-05,2,e161_1c018b07
nearest_hard085,inherited,Q1,to_e144,6,6,4,0,-1.2179139191492716e-05,-2.10895317875881e-08,-3.0260698053499957e-05,-4.231400403792825e-07,-1.2155030608362871e-05,2,e161_1c018b07
focus_mean,adjustment,Q1,to_e144,6,6,4,0,-1.2176513105144338e-05,-1.8463445439209636e-08,-3.0221760680454286e-05,-3.842026673336108e-07,-1.2155588143936136e-05,3,e161_656b7c6b
focus_mean,inherited,Q1,to_e144,6,6,4,0,-1.2176513105144338e-05,-1.8463445439209636e-08,-3.0221760680454286e-05,-3.842026673336108e-07,-1.2155588143936136e-05,3,e161_656b7c6b
focus_mean,added,Q1,to_e144,8,5,4,0,-1.2157248887922911e-05,8.007717822167137e-10,-3.3145941840759926e-05,-3.308383827639251e-06,-1.1945580674521672e-05,34,e161_2cb39e72
focus_mean,all,Q1,to_e144,8,5,4,0,-1.2157248887922911e-05,8.007717822167137e-10,-3.3145941840759926e-05,-3.308383827639251e-06,-1.1945580674521672e-05,34,e161_2cb39e72
nearest_hard085,adjustment,S3,to_e144,7,4,4,0,-1.214266522364671e-05,1.538443605841877e-08,-3.081064945126476e-05,-9.730914381440834e-07,-1.2114430380294472e-05,21,e161_8f97b246
focus_mean,extra,S4,to_e144,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.037345387772132e-05,-5.358958646006468e-07,-1.2148365649111703e-05,5,e161_df7be437
focus_mean,extra,S4,to_e95,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.037345387772132e-05,-5.358958646006468e-07,-1.2148365649111703e-05,5,e161_df7be437
global,extra,S4,to_e144,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.037345387772132e-05,-5.358958646006468e-07,-1.2148365649111703e-05,5,e161_df7be437
global,extra,S4,to_e95,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.037345387772132e-05,-5.358958646006468e-07,-1.2148365649111703e-05,5,e161_df7be437
subject,extra,S4,to_e144,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.030407316069872e-05,-4.665151475780463e-07,-1.2147525501604584e-05,5,e161_6176d38d
subject,extra,S4,to_e95,4,4,4,0,-1.2154796531826939e-05,3.2531278781888773e-09,-3.030407316069872e-05,-4.665151475780463e-07,-1.2147525501604584e-05,5,e161_6176d38d
nearest_hard085,extra,S2,to_e144,4,4,4,0,-1.214666245663576e-05,1.1387203069368468e-08,-3.0021561979123657e-05,-1.8400396600298203e-07,-1.2143284440102597e-05,3,e161_4580e607
nearest_hard085,extra,S2,to_e95,4,4,4,0,-1.214666245663576e-05,1.1387203069368468e-08,-3.0021561979123657e-05,-1.8400396600298203e-07,-1.2143284440102597e-05,3,e161_4580e607
subject,added,all,to_e144,10,8,3,0,-1.2158655311567124e-05,-6.056518619956819e-10,-3.256641548523021e-05,-2.7288574721095367e-06,-1.162328036330429e-05,89,e161_de34af5e
subject,all,all,to_e144,10,8,3,0,-1.2158655311567124e-05,-6.056518619956819e-10,-3.256641548523021e-05,-2.7288574721095367e-06,-1.162328036330429e-05,89,e161_de34af5e
subject,adjustment,all,to_e144,10,8,3,0,-1.2158655311567124e-05,-6.056518619956819e-10,-2.988078199968734e-05,-4.3223986566666146e-08,-1.2145741644764563e-05,13,e161_245d3133
subject,inherited,all,to_e144,10,8,3,0,-1.2158655311567124e-05,-6.056518619956819e-10,-2.988078199968734e-05,-4.3223986566666146e-08,-1.2145741644764563e-05,13,e161_245d3133
subject,adjustment,Q1,to_e144,7,7,3,0,-1.2158030175846157e-05,1.9483858970659185e-11,-2.9868887937336647e-05,-3.1329924215971953e-08,-1.2155804909430579e-05,5,e161_65201c96
subject,inherited,Q1,to_e144,7,7,3,0,-1.2158030175846157e-05,1.9483858970659185e-11,-2.9868887937336647e-05,-3.1329924215971953e-08,-1.2155804909430579e-05,5,e161_65201c96
subject,added,Q1,to_e144,8,6,3,0,-1.2158030175846157e-05,1.9483858970659185e-11,-3.2667553190493634e-05,-2.8299951773729594e-06,-1.1938744910011678e-05,34,e161_c12416b7
subject,all,Q1,to_e144,8,6,3,0,-1.2158030175846157e-05,1.9483858970659185e-11,-3.2667553190493634e-05,-2.8299951773729594e-06,-1.1938744910011678e-05,34,e161_c12416b7
focus_mean,added,S4,to_e95,5,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-4.150386070770004e-05,-1.1666302694579362e-05,-1.2060315817241651e-05,8,e161_7d4eff7f
focus_mean,all,S4,to_e95,5,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-4.150386070770004e-05,-1.1666302694579362e-05,-1.2060315817241651e-05,8,e161_7d4eff7f
focus_mean,adjustment,S4,to_e95,3,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
focus_mean,inherited,S4,to_e95,3,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
nearest_hard085,added,S4,to_e95,6,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
nearest_hard085,adjustment,S4,to_e95,4,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
nearest_hard085,all,S4,to_e95,6,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
nearest_hard085,inherited,S4,to_e95,4,3,3,0,-1.2145092593729423e-05,1.2957065975705007e-08,-3.95616461555454e-05,-9.724088142424725e-06,-1.2106019976365623e-05,3,e161_48547e5b
focus_mean,extra,S2,to_e144,5,3,3,0,-1.2122022199023696e-05,3.602746068143148e-08,-3.0209513098522327e-05,-3.7195508540165245e-07,-1.2033252005272388e-05,8,e161_f3869f40
focus_mean,extra,S2,to_e95,5,3,3,0,-1.2122022199023696e-05,3.602746068143148e-08,-3.0209513098522327e-05,-3.7195508540165245e-07,-1.2033252005272388e-05,8,e161_f3869f40
focus_mean,extra,S3,to_e144,3,3,3,0,-1.2125890534009365e-05,3.215912569576318e-08,-2.991219818792497e-05,-7.464017480429371e-08,-1.2098156839557284e-05,3,e161_4f656752
focus_mean,extra,S3,to_e95,3,3,3,0,-1.2125890534009365e-05,3.215912569576318e-08,-2.991219818792497e-05,-7.464017480429371e-08,-1.2098156839557284e-05,3,e161_4f656752
focus_mean,added,Q3,to_e95,8,2,2,0,-1.2203970200741487e-05,-4.592054103635945e-08,-6.392212613758527e-05,-3.4084568124464595e-05,-9.474224886618643e-06,34,e161_4389caab
focus_mean,all,Q3,to_e95,8,2,2,0,-1.2203970200741487e-05,-4.592054103635945e-08,-6.392212613758527e-05,-3.4084568124464595e-05,-9.474224886618643e-06,34,e161_4389caab
focus_mean,adjustment,Q3,to_e95,7,2,2,0,-1.2203970200741487e-05,-4.592054103635945e-08,-5.9618354060963955e-05,-2.978079604784328e-05,-1.0424728926983207e-05,21,e161_1cd0b65d
focus_mean,inherited,Q3,to_e95,7,2,2,0,-1.2203970200741487e-05,-4.592054103635945e-08,-5.9618354060963955e-05,-2.978079604784328e-05,-1.0424728926983207e-05,21,e161_1cd0b65d
focus_mean,added,S2,to_e95,7,2,2,0,-1.2141318149527791e-05,1.6731510177336872e-08,-4.3594558528493085e-05,-1.375700051537241e-05,-1.1672831236153591e-05,21,e161_5d179049
focus_mean,all,S2,to_e95,7,2,2,0,-1.2141318149527791e-05,1.6731510177336872e-08,-4.3594558528493085e-05,-1.375700051537241e-05,-1.1672831236153591e-05,21,e161_5d179049
focus_mean,adjustment,S2,to_e95,6,2,2,0,-1.2141318149527791e-05,1.6731510177336872e-08,-4.322260344309173e-05,-1.3385045429971052e-05,-1.1798031216869731e-05,13,e161_17f7b30e
focus_mean,inherited,S2,to_e95,6,2,2,0,-1.2141318149527791e-05,1.6731510177336872e-08,-4.322260344309173e-05,-1.3385045429971052e-05,-1.1798031216869731e-05,13,e161_17f7b30e
nearest_hard085,added,S2,to_e95,6,2,2,0,-1.2141974429225044e-05,1.6075230480083746e-08,-3.8016153315489824e-05,-8.178595302369149e-06,-1.1736280885910055e-05,13,e161_704a08d9
nearest_hard085,adjustment,S2,to_e95,6,2,2,0,-1.2141974429225044e-05,1.6075230480083746e-08,-3.8016153315489824e-05,-8.178595302369149e-06,-1.1736280885910055e-05,13,e161_704a08d9
nearest_hard085,all,S2,to_e95,6,2,2,0,-1.2141974429225044e-05,1.6075230480083746e-08,-3.8016153315489824e-05,-8.178595302369149e-06,-1.1736280885910055e-05,13,e161_704a08d9
nearest_hard085,inherited,S2,to_e95,6,2,2,0,-1.2141974429225044e-05,1.6075230480083746e-08,-3.8016153315489824e-05,-8.178595302369149e-06,-1.1736280885910055e-05,13,e161_704a08d9
global,extra,Q3,to_e144,7,2,2,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.061875491753119e-05,-7.811969044105128e-07,-1.1793468395082662e-05,21,e161_5c2c2446
global,extra,Q3,to_e95,7,2,2,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.061875491753119e-05,-7.811969044105128e-07,-1.1793468395082662e-05,21,e161_5c2c2446
global,added,Q1,to_e144,8,7,1,0,-1.2159648965170966e-05,-1.5993054658380856e-09,-3.267321167468177e-05,-2.8356536615610926e-06,-1.194442656804462e-05,34,e161_b946d221
global,all,Q1,to_e144,8,7,1,0,-1.2159648965170966e-05,-1.5993054658380856e-09,-3.267321167468177e-05,-2.8356536615610926e-06,-1.194442656804462e-05,34,e161_b946d221
global,adjustment,Q1,to_e144,7,7,1,0,-1.2159648965170966e-05,-1.5993054658380856e-09,-3.0014543489953215e-05,-1.769854768325398e-07,-1.21480996038148e-05,13,e161_7775ebe2
global,inherited,Q1,to_e144,7,7,1,0,-1.2159648965170966e-05,-1.5993054658380856e-09,-3.0014543489953215e-05,-1.769854768325398e-07,-1.21480996038148e-05,13,e161_7775ebe2
nearest_hard085,added,S2,to_e144,6,6,1,0,-1.2159451950766176e-05,-1.4022910610478334e-09,-2.9903179977030964e-05,-6.562196391028937e-08,-1.2155027024340903e-05,5,e161_5d0384ff
nearest_hard085,adjustment,S2,to_e144,6,6,1,0,-1.2159451950766176e-05,-1.4022910610478334e-09,-2.9903179977030964e-05,-6.562196391028937e-08,-1.2155027024340903e-05,5,e161_5d0384ff
nearest_hard085,all,S2,to_e144,6,6,1,0,-1.2159451950766176e-05,-1.4022910610478334e-09,-2.9903179977030964e-05,-6.562196391028937e-08,-1.2155027024340903e-05,5,e161_5d0384ff
nearest_hard085,inherited,S2,to_e144,6,6,1,0,-1.2159451950766176e-05,-1.4022910610478334e-09,-2.9903179977030964e-05,-6.562196391028937e-08,-1.2155027024340903e-05,5,e161_5d0384ff
subject,added,S2,to_e144,7,6,1,0,-1.2160227878310614e-05,-2.1782186054863928e-09,-2.984278755703454e-05,-5.229543913866055e-09,-1.215807010124248e-05,1,e161_c80cf6c2
subject,all,S2,to_e144,7,6,1,0,-1.2160227878310614e-05,-2.1782186054863928e-09,-2.984278755703454e-05,-5.229543913866055e-09,-1.215807010124248e-05,1,e161_c80cf6c2
focus_mean,added,all,to_e144,10,5,1,0,-1.2157108784882631e-05,9.40874822497051e-10,-3.697146096907311e-05,-7.133902955952435e-06,-1.0768567690999653e-05,89,e161_a2d0ef46
focus_mean,all,all,to_e144,10,5,1,0,-1.2157108784882631e-05,9.40874822497051e-10,-3.697146096907311e-05,-7.133902955952435e-06,-1.0768567690999653e-05,89,e161_a2d0ef46
focus_mean,adjustment,all,to_e144,9,5,1,0,-1.2157108784882631e-05,9.40874822497051e-10,-3.042228094970732e-05,-5.847229365866456e-07,-1.1993443192248598e-05,13,e161_3698c678
focus_mean,inherited,all,to_e144,9,5,1,0,-1.2157108784882631e-05,9.40874822497051e-10,-3.042228094970732e-05,-5.847229365866456e-07,-1.1993443192248598e-05,13,e161_3698c678
subject,adjustment,S2,to_e144,5,5,1,0,-1.2160227878310614e-05,-2.1782186054863928e-09,-2.984278755703454e-05,-5.229543913866055e-09,-1.215807010124248e-05,1,e161_c80cf6c2
subject,inherited,S2,to_e144,5,5,1,0,-1.2160227878310614e-05,-2.1782186054863928e-09,-2.984278755703454e-05,-5.229543913866055e-09,-1.215807010124248e-05,1,e161_c80cf6c2
subject,added,S4,to_e144,5,5,1,0,-1.2159928778232576e-05,-1.8791185274480426e-09,-2.983908247529334e-05,-1.5244621726641882e-09,-1.2158141804552436e-05,1,e161_451f21e9
subject,all,S4,to_e144,5,5,1,0,-1.2159928778232576e-05,-1.8791185274480426e-09,-2.983908247529334e-05,-1.5244621726641882e-09,-1.2158141804552436e-05,1,e161_451f21e9
subject,extra,S2,to_e144,5,4,1,0,-1.2151877206600936e-05,6.1724531041917885e-09,-2.9854594264515363e-05,-1.703625139468803e-08,-1.2151877206600936e-05,1,e161_8ddbda46
subject,extra,S2,to_e95,5,4,1,0,-1.2151877206600936e-05,6.1724531041917885e-09,-2.9854594264515363e-05,-1.703625139468803e-08,-1.2151877206600936e-05,1,e161_8ddbda46
subject,adjustment,S4,to_e144,4,4,1,0,-1.2159928778232576e-05,-1.8791185274480426e-09,-2.983908247529334e-05,-1.5244621726641882e-09,-1.2158141804552436e-05,1,e161_451f21e9
subject,inherited,S4,to_e144,4,4,1,0,-1.2159928778232576e-05,-1.8791185274480426e-09,-2.983908247529334e-05,-1.5244621726641882e-09,-1.2158141804552436e-05,1,e161_451f21e9
global,added,Q3,to_e144,8,3,1,0,-1.213045906811594e-05,2.7590591589188307e-08,-3.09242092455653e-05,-1.0866512324446282e-06,-1.176653072876288e-05,34,e161_fb716501
global,all,Q3,to_e144,8,3,1,0,-1.213045906811594e-05,2.7590591589188307e-08,-3.09242092455653e-05,-1.0866512324446282e-06,-1.176653072876288e-05,34,e161_fb716501
global,adjustment,Q3,to_e144,7,3,1,0,-1.213045906811594e-05,2.7590591589188307e-08,-3.041965176324713e-05,-5.820937501264556e-07,-1.1941260353198757e-05,21,e161_4a07ee19
global,inherited,Q3,to_e144,7,3,1,0,-1.213045906811594e-05,2.7590591589188307e-08,-3.041965176324713e-05,-5.820937501264556e-07,-1.1941260353198757e-05,21,e161_4a07ee19
global,extra,S3,to_e144,5,3,1,0,-1.2125890534009365e-05,3.215912569576318e-08,-2.9867144795505413e-05,-2.9586782384738685e-08,-1.2125890534009365e-05,1,e161_33917188
global,extra,S3,to_e95,5,3,1,0,-1.2125890534009365e-05,3.215912569576318e-08,-2.9867144795505413e-05,-2.9586782384738685e-08,-1.2125890534009365e-05,1,e161_33917188
subject,extra,S3,to_e144,2,2,1,0,-1.2155277223757643e-05,2.772435947484553e-09,-2.9861347493120383e-05,-2.3789479999708246e-08,-1.2155277223757643e-05,1,e161_59fd0fb2
subject,extra,S3,to_e95,2,2,1,0,-1.2155277223757643e-05,2.772435947484553e-09,-2.9861347493120383e-05,-2.3789479999708246e-08,-1.2155277223757643e-05,1,e161_59fd0fb2
global,added,Q1,to_e95,8,1,1,0,-1.2153250666502302e-05,4.798993202825841e-09,-5.408664957838108e-05,-2.4249091565260404e-05,-1.0992000570309024e-05,34,e161_92ccac9d
global,all,Q1,to_e95,8,1,1,0,-1.2153250666502302e-05,4.798993202825841e-09,-5.408664957838108e-05,-2.4249091565260404e-05,-1.0992000570309024e-05,34,e161_92ccac9d
global,adjustment,Q1,to_e95,7,1,1,0,-1.2153250666502302e-05,4.798993202825841e-09,-5.171746793766194e-05,-2.1879909924541265e-05,-1.1101665946200434e-05,21,e161_c2918fdc
global,inherited,Q1,to_e95,7,1,1,0,-1.2153250666502302e-05,4.798993202825841e-09,-5.171746793766194e-05,-2.1879909924541265e-05,-1.1101665946200434e-05,21,e161_c2918fdc
global,added,S4,to_e95,5,1,1,0,-1.2118903207958276e-05,3.914645174685205e-08,-4.062514789106305e-05,-1.0787589877942374e-05,-1.2032392471494902e-05,5,e161_c94175cd
global,adjustment,S4,to_e95,4,1,1,0,-1.2118903207958276e-05,3.914645174685205e-08,-4.062514789106305e-05,-1.0787589877942374e-05,-1.2032392471494902e-05,5,e161_c94175cd
global,all,S4,to_e95,5,1,1,0,-1.2118903207958276e-05,3.914645174685205e-08,-4.062514789106305e-05,-1.0787589877942374e-05,-1.2032392471494902e-05,5,e161_c94175cd
global,inherited,S4,to_e95,4,1,1,0,-1.2118903207958276e-05,3.914645174685205e-08,-4.062514789106305e-05,-1.0787589877942374e-05,-1.2032392471494902e-05,5,e161_c94175cd
global,extra,all,to_e144,9,1,1,0,-1.211217421215327e-05,4.587544755185746e-08,-3.444255231694786e-05,-4.604994303827185e-06,-1.1337501860109178e-05,55,e161_fe25f8da
global,extra,all,to_e95,9,1,1,0,-1.211217421215327e-05,4.587544755185746e-08,-3.444255231694786e-05,-4.604994303827185e-06,-1.1337501860109178e-05,55,e161_fe25f8da
subject,extra,all,to_e144,8,1,1,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.3576246285592735e-05,-3.73868827247206e-06,-1.1656011709715308e-05,34,e161_582677de
subject,extra,all,to_e95,8,1,1,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.3576246285592735e-05,-3.73868827247206e-06,-1.1656011709715308e-05,34,e161_582677de
focus_mean,extra,Q1,to_e144,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.3234327172360636e-05,-3.396769159239961e-06,-1.1947327766770321e-05,13,e161_e774b7a6
focus_mean,extra,Q1,to_e95,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.3234327172360636e-05,-3.396769159239961e-06,-1.1947327766770321e-05,13,e161_e774b7a6
subject,extra,Q1,to_e144,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.28901205524223e-05,-3.0525625393016233e-06,-1.1962349564020869e-05,13,e161_b0c98c74
subject,extra,Q1,to_e95,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.28901205524223e-05,-3.0525625393016233e-06,-1.1962349564020869e-05,13,e161_b0c98c74
global,extra,Q1,to_e144,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.2886416593272645e-05,-3.0488585801519702e-06,-1.196213680232372e-05,13,e161_fcb832e6
global,extra,Q1,to_e95,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.2886416593272645e-05,-3.0488585801519702e-06,-1.196213680232372e-05,13,e161_fcb832e6
nearest_hard085,extra,Q1,to_e144,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.280739640214091e-05,-2.969838389020234e-06,-1.1976083755582678e-05,13,e161_1d4e0561
nearest_hard085,extra,Q1,to_e95,6,1,1,0,-1.2110671297915765e-05,4.7378361789363055e-08,-3.280739640214091e-05,-2.969838389020234e-06,-1.1976083755582678e-05,13,e161_1d4e0561
subject,extra,Q3,to_e144,6,1,1,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.12185182873325e-05,-1.3809602742118223e-06,-1.2018531445279201e-05,3,e161_d8b66c2a
subject,extra,Q3,to_e95,6,1,1,0,-1.2126222782682383e-05,3.182687702274478e-08,-3.12185182873325e-05,-1.3809602742118223e-06,-1.2018531445279201e-05,3,e161_d8b66c2a
global,extra,S2,to_e144,5,1,1,0,-1.211217421215327e-05,4.587544755185746e-08,-2.9981921242700668e-05,-1.4436322957999328e-07,-1.2050301311683498e-05,3,e161_f375e264
global,extra,S2,to_e95,5,1,1,0,-1.211217421215327e-05,4.587544755185746e-08,-2.9981921242700668e-05,-1.4436322957999328e-07,-1.2050301311683498e-05,3,e161_f375e264
nearest_hard085,extra,S3,to_e144,1,1,1,0,-1.2129544469496878e-05,2.8505190208250042e-08,-2.985413976029936e-05,-1.658174717868662e-08,-1.2129544469496878e-05,1,e161_a2ab48b3
nearest_hard085,extra,S3,to_e95,1,1,1,0,-1.2129544469496878e-05,2.8505190208250042e-08,-2.985413976029936e-05,-1.658174717868662e-08,-1.2129544469496878e-05,1,e161_a2ab48b3
global,added,all,to_e144,10,7,0,0,-1.2161772106722424e-05,-3.722447017295849e-09,-3.2145144547786566e-05,-2.3075865346658918e-06,-1.1617885879666723e-05,89,e161_445b470c
global,all,all,to_e144,10,7,0,0,-1.2161772106722424e-05,-3.722447017295849e-09,-3.2145144547786566e-05,-2.3075865346658918e-06,-1.1617885879666723e-05,89,e161_445b470c
global,adjustment,all,to_e144,9,7,0,0,-1.2161772106722424e-05,-3.722447017295849e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
global,inherited,all,to_e144,9,7,0,0,-1.2161772106722424e-05,-3.722447017295849e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
global,adjustment,S2,to_e144,6,6,0,0,-1.2165790731710757e-05,-7.741072005629235e-09,-2.982844021545151e-05,9.117797669164202e-09,-1.215830706358112e-05,1,e161_a647a474
global,inherited,S2,to_e144,6,6,0,0,-1.2165790731710757e-05,-7.741072005629235e-09,-2.982844021545151e-05,9.117797669164202e-09,-1.215830706358112e-05,1,e161_a647a474
global,added,S2,to_e144,7,6,0,0,-1.2163571087797642e-05,-5.521428092514213e-09,-2.982844021545151e-05,9.117797669164202e-09,-1.215830706358112e-05,1,e161_a647a474
global,all,S2,to_e144,7,6,0,0,-1.2163571087797642e-05,-5.521428092514213e-09,-2.982844021545151e-05,9.117797669164202e-09,-1.215830706358112e-05,1,e161_a647a474
focus_mean,added,S2,to_e144,7,6,0,0,-1.2163248036434204e-05,-5.198376729076415e-09,-2.9753486401716025e-05,8.407161140464988e-08,-1.2159271935430205e-05,1,e161_482927c2
focus_mean,adjustment,S2,to_e144,6,6,0,0,-1.2163248036434204e-05,-5.198376729076415e-09,-2.9753486401716025e-05,8.407161140464988e-08,-1.2159271935430205e-05,1,e161_482927c2
focus_mean,all,S2,to_e144,7,6,0,0,-1.2163248036434204e-05,-5.198376729076415e-09,-2.9753486401716025e-05,8.407161140464988e-08,-1.2159271935430205e-05,1,e161_482927c2
focus_mean,inherited,S2,to_e144,6,6,0,0,-1.2163248036434204e-05,-5.198376729076415e-09,-2.9753486401716025e-05,8.407161140464988e-08,-1.2159271935430205e-05,1,e161_482927c2
nearest_hard085,added,S4,to_e144,6,6,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9743032078919836e-05,9.452593420083909e-08,-1.2126723098249137e-05,13,e161_c97b0934
nearest_hard085,all,S4,to_e144,6,6,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9743032078919836e-05,9.452593420083909e-08,-1.2126723098249137e-05,13,e161_c97b0934
subject,adjustment,Q3,to_e144,7,6,0,0,-1.2160719870757397e-05,-2.670211052269167e-09,-2.9728972847863005e-05,1.0858516525766952e-07,-1.2160353676682334e-05,1,e161_b330cce4
subject,inherited,Q3,to_e144,7,6,0,0,-1.2160719870757397e-05,-2.670211052269167e-09,-2.9728972847863005e-05,1.0858516525766952e-07,-1.2160353676682334e-05,1,e161_b330cce4
subject,added,Q3,to_e144,8,5,0,0,-1.2160719870757397e-05,-2.670211052269167e-09,-3.075050116850163e-05,-9.129431553809574e-07,-1.1989148957836093e-05,13,e161_37213cc8
