basename,role,mode,rep,move_l2,move_l1,changed_rows,changed_cells,row_entropy,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4,cos_final9,poscos_final9,cos_stage2,poscos_stage2,cos_ordinal,poscos_ordinal,cos_mixmin,poscos_mixmin,cos_e72,poscos_e72,cos_e95,poscos_e95,cos_e101,poscos_e101,cos_e176,poscos_e176,cos_e216,poscos_e216,cos_e256,poscos_e256,cos_e267,poscos_e267,cos_e323,poscos_e323,public_loss_weighted_pos_cos,public_loss_weighted_abs_cos,severe_loss_weighted_pos_cos,max_severe_pos_cos,max_mild_pos_cos
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,10,0.44239679978138513,4.588517125942854,113,136,0.819582717393555,0.38057467431256575,0.082940667729181,0.6344768520472615,0.1382749229505709,0.9860444054630106,0.2148939141771607,0.6820777310901689,0.14864883629476836,0.4983294198889562,0.10860358721804929,0.6686515141810784,0.14572278926463358,0.7383625289598127,0.16091528236541824,-0.008983993474672691,0.0,0.010818482483558165,0.010818482483558165,0.002379817265898871,0.002379817265898871,0.04026591173457501,0.04026591173457501,0.056602660469123336,0.056602660469123336,0.057847179397877285,0.057847179397877285,0.05500747143141339,0.05500747143141339,0.05668544544123454,0.05668544544123454,0.04069665835315306,0.04069665835315306,0.050975171272135286,0.050975171272135286,0.010838799436107497,0.010838799436107497,-0.029389045268661852,0.0,0.013145668048536898,0.018097241901807642,0.008571702960937889,0.04069665835315306,0.057847179397877285
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,11,0.44239679978138513,4.588517125942854,112,136,0.8187845046781431,0.3683752956184776,0.08028199209187938,0.5150858962519845,0.11225541544557967,0.7684664344363605,0.16747598697875354,0.7063549504714846,0.15393970014358135,0.6029363527689764,0.1314011337911162,0.9274467402296531,0.2021234125913561,0.699851456165917,0.15252235895751576,0.029843991749521046,0.029843991749521046,0.04367446722063907,0.04367446722063907,0.003772333278952362,0.003772333278952362,0.02875764129194688,0.02875764129194688,0.036144232395565745,0.036144232395565745,0.03522194652320513,0.03522194652320513,0.031528680949648225,0.031528680949648225,0.03464793811211841,0.03464793811211841,0.007366867253015485,0.007366867253015485,0.0734253473129506,0.0734253473129506,-0.01316152989821806,0.0,-0.02686971218221422,0.0,0.021322210057624573,0.024090667860425862,0.019760921455346584,0.04367446722063907,0.0734253473129506
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,12,0.4423967997813852,4.588517125942853,109,136,0.8167753328449835,0.5887345428468403,0.12830605764073252,0.8852798416696633,0.19293375558395942,0.6094648264734217,0.13282391887075184,0.8366748830157824,0.1823410178170969,0.27751019319471515,0.060479275891910635,0.7012817691673972,0.15283407469535035,0.6895710695750337,0.15028189949998053,-0.021654897743392104,0.0,-0.00821835232740072,0.0,-0.031163111392406146,0.0,0.022127823905249637,0.022127823905249637,0.018353759351150273,0.018353759351150273,0.018263125092935498,0.018263125092935498,0.01932185948184639,0.01932185948184639,0.017799534752766473,0.017799534752766473,0.02531472452297939,0.02531472452297939,-0.061304843589274766,0.0,0.03115879668410385,0.03115879668410385,-0.008057332279803256,0.0,0.005319012744907388,0.020895355918111515,0.003479703141967607,0.02531472452297939,0.03115879668410385
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,13,0.4423967997813851,4.588517125942854,113,136,0.8168008343431724,0.6001820980652701,0.13080088437979037,0.5475275217825967,0.1193255918533748,0.5215010717312943,0.1136535088389851,0.8828633549951936,0.19240711775998645,0.6985775527988235,0.15224473040516912,0.7323235347385645,0.15959917215911582,0.605541991831111,0.13196899460336034,-0.032512823785772235,0.0,0.00046717162900782077,0.00046717162900782077,-0.05137236912410552,0.0,0.016853810318431292,0.016853810318431292,0.0006124829074745181,0.0006124829074745181,-0.008559488883291964,0.0,-0.005440072115936518,0.0,-0.007092756403359561,0.0,0.0029378931671368443,0.0029378931671368443,0.04087969748260689,0.04087969748260689,-0.011394928248457762,0.0,0.005467127916023482,0.005467127916023482,0.001776342434915834,0.022042448672344627,0.0010897597983651728,0.005467127916023482,0.04087969748260689
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,14,0.44239679978138513,4.588517125942854,110,136,0.8167936095767958,0.6198140361892321,0.13507937731881886,1.061890619148593,0.23142348388427625,0.7831435678300109,0.17067465290737452,0.5801166451486949,0.126427913250812,0.4773067299047775,0.10402200031161395,0.40043046415701206,0.0872679458670744,0.6658150635645331,0.145104626459812,-0.017372447168948653,0.0,-0.025024336015551395,0.0,-0.006917549219950898,0.0,-0.000654231906542224,0.0,-0.00425135860547551,0.0,-0.023129021833993818,0.0,-0.019697831274237305,0.0,-0.022813858387292493,0.0,0.009119830952761133,0.009119830952761133,0.0,0.0,0.032051251656107664,0.032051251656107664,-0.011290370914499175,0.0,0.0016901573065224898,0.014495283193149279,0.0012535907468291666,0.009119830952761133,0.032051251656107664
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,15,0.44239679978138513,4.588517125942854,109,136,0.8180041529642947,0.5631326888557084,0.12272650910938303,0.8396450963520046,0.18298833224454628,0.41881281539562676,0.09127410967426156,0.5975644714786734,0.1302304110624312,0.564236764139123,0.12296712612204973,0.853803341545695,0.1860739141014034,0.7513219481760227,0.1637395976857069,0.005222891000310655,0.005222891000310655,0.03827305994469595,0.03827305994469595,-0.013012631081017422,0.0,0.018832325181277466,0.018832325181277466,0.020316480830285512,0.020316480830285512,0.0312940363002303,0.0312940363002303,0.031969643121455206,0.031969643121455206,0.03403179026737226,0.03403179026737226,0.05273647119691327,0.05273647119691327,0.0,0.0,-0.0035573135582224065,0.0,0.02808903438833319,0.02808903438833319,0.019959882249306875,0.023019573476339192,0.020028060863016596,0.05273647119691327,0.03403179026737226
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,dateblock_perm,0,0.44239679978138513,4.588517125942854,108,136,0.823269549164726,2.226072646794957,0.4851398797682499,1.031662500000003,0.22483570872317296,0.2282819791478912,0.04975070875450504,1.1025000000000027,0.24027370275385415,0.0,0.0,0.0,0.0,0.0,0.0,-0.027704252454449053,0.0,0.009465955832499961,0.009465955832499961,-0.03721832299074856,0.0,0.0031753400236817554,0.0031753400236817554,0.015399641144462366,0.015399641144462366,0.007988949981859426,0.007988949981859426,0.007777432813356724,0.007777432813356724,0.0031846584023009165,0.0031846584023009165,0.002352309041366107,0.002352309041366107,-0.010207554111449359,0.0,0.0024864878412500626,0.0024864878412500626,-0.06853461305984866,0.0,0.00288979343040403,0.02477909890958318,0.002384361396060562,0.009465955832499961,0.015399641144462366
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,dateblock_perm,1,0.4423967997813852,4.588517125942854,108,136,0.8232695491647262,2.226072646794957,0.4851398797682499,1.031662500000003,0.22483570872317296,0.2282819791478912,0.04975070875450504,1.1025000000000027,0.24027370275385415,0.0,0.0,0.0,0.0,0.0,0.0,0.024016426462132517,0.024016426462132517,-0.037510661746345146,0.0,0.015261881691921296,0.015261881691921296,-0.009463484551268879,0.0,0.011416984281226344,0.011416984281226344,-0.0028372863730775208,0.0,-0.003007574150753352,0.0,-0.008709914352401702,0.0,-0.002161775545484037,0.0,-0.013294475051580844,0.0,-0.02510238952198258,0.0,-0.03549655603759147,0.0,0.009663503617708838,0.021465558724929484,0.010631137359043245,0.024016426462132517,0.011416984281226344
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,dateblock_perm,2,0.44239679978138513,4.588517125942854,108,136,0.823269549164726,2.2260726467949565,0.4851398797682498,1.031662500000003,0.22483570872317296,0.2282819791478912,0.04975070875450504,1.1025000000000027,0.24027370275385415,0.0,0.0,0.0,0.0,0.0,0.0,0.025055800483221154,0.025055800483221154,-0.06487650880593081,0.0,-0.014266593578665797,0.0,-0.0009424862410395385,0.0,0.019978385453655878,0.019978385453655878,-0.0036296342734287576,0.0,-0.0037969045646777866,0.0,-0.007429751966790889,0.0,-0.003294502879749879,0.0,-0.015497389585469118,0.0,-0.033023740048471854,0.0,-0.03388396097696275,0.0,0.006632937632480586,0.026989595916252475,0.006928801688583858,0.025055800483221154,0.019978385453655878
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,dateblock_perm,3,0.4423967997813852,4.588517125942854,108,136,0.823269549164726,2.226072646794957,0.4851398797682499,1.031662500000003,0.22483570872317296,0.2282819791478912,0.04975070875450504,1.1025000000000027,0.24027370275385415,0.0,0.0,0.0,0.0,0.0,0.0,0.02442149095037066,0.02442149095037066,-0.025805754597776235,0.0,-0.03521456060934654,0.0,0.013331798671164448,0.013331798671164448,0.03095538526236833,0.03095538526236833,0.01360919964531602,0.01360919964531602,0.013115905049820225,0.013115905049820225,0.00948972404732792,0.00948972404732792,1.678332231299158e-05,1.678332231299158e-05,-0.030559704975917448,0.0,-0.02015844918882947,0.0,-0.0491761162545887,0.0,0.007533059809246754,0.025976774363277427,0.0067557000021038404,0.02442149095037066,0.03095538526236833
