level,mode,task,feature_block,n,groups,positive_rate,auc,average_precision,logloss,spearman,pred_mean,pearson,rmse,top10_actual_ready_like,top10_mean_actual_health
pair,subject,p90_win,full_pair_geometry,188,47,0.6117021276595744,0.9300774270399047,0.9594188029721601,0.33280103934093846,0.7260991306179275,0.5887880906025216,,,,
pair,subject,mean_win,full_pair_geometry,188,47,0.5159574468085106,0.9257958536309051,0.9191826386284135,0.3541076820186888,0.7371347903423756,0.4965053768615725,,,,
pair,subject,null_not_strict,full_pair_geometry,188,47,0.4574468085106383,0.7393980848153214,0.7186808889000247,0.706704820193641,0.4131510881205597,0.48042441491715554,,,,
pair,subject,pair_health,full_pair_geometry,188,47,0.18617021276595744,0.7277310924369748,0.4599703405110186,0.6037108278123596,0.3070725423992245,0.2957567815463211,,,,
pair,subject,actual_p90_minus_null_p90,full_pair_geometry,188,47,,,,,0.9085743904267056,-2.8666002086920866e-05,0.906335127835778,4.647628479413705e-05,,
pair,subject,actual_mean_minus_null_mean,full_pair_geometry,188,47,,,,,0.9933737518218118,5.179132815067052e-06,0.9947211425049418,1.6349426547194544e-05,,
pair,subject,p90_win,route_meta_only,188,47,0.6117021276595744,0.812090530077427,0.8578753357288754,0.5298052026975327,0.5270138616080776,0.5295483704009454,,,,
pair,subject,mean_win,route_meta_only,188,47,0.5159574468085106,0.7782372266908348,0.7232310503415543,0.5999440434917073,0.4817845805431589,0.4643880765146719,,,,
pair,subject,null_not_strict,route_meta_only,188,47,0.4574468085106383,0.7047423620611035,0.623944959041935,0.6466889226907089,0.3534175549679997,0.4953608621233008,,,,
pair,subject,pair_health,route_meta_only,188,47,0.18617021276595744,0.715126050420168,0.4001566970258328,0.5890450062798638,0.2901374826872008,0.3414531766828306,,,,
pair,subject,actual_p90_minus_null_p90,route_meta_only,188,47,,,,,0.6297662940735528,-2.7499032666213646e-05,0.5956136935484642,8.905997796025945e-05,,
