filter,candidate,n_scenarios,mean_pred_delta,median_pred_delta,p10_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate,win_rate_live,win_rate_future
broad_plausible,e90,3452,-1.9384001654024097e-06,-4.113040668233381e-06,-1.0751207815485372e-05,9.904993197413334e-06,1.593359880982939e-05,1.337229983464612e-05,1.1197659331815146e-05,2.5215693197461863e-05,3.124429880987792e-05,0.002607184241019699,0.0017381228273464658,0.09936268829663963
broad_plausible,e89,3452,-1.1477421307229874e-05,-1.1308735190854175e-05,-1.7917959197566388e-05,-4.841151763063441e-06,-2.7587785548515236e-06,3.8332786928186535e-06,4.001964809194352e-06,1.0469548236985087e-05,1.2551921445197004e-05,0.19582850521436848,0.18887601390498263,0.7775202780996524
broad_plausible,e95,3452,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8004055619930475,
broad_plausible,e101,3452,-3.1515991750649166e-05,-2.959882248670161e-05,-4.790077680459079e-05,-1.867414863839711e-05,-1.687477879226968e-05,-1.620529175060064e-05,-1.4288122486653083e-05,-3.363448638348584e-06,-1.5640787922211545e-06,0.9834878331402086,,
tight_plausible,e85,2790,-6.7810681185976765e-06,-6.703541015668417e-06,-1.2972224527647236e-05,-6.205430725184916e-07,1.0463866366320616e-06,8.529631881450852e-06,8.60715898438011e-06,1.4690156927530036e-05,1.635708663668059e-05,0.035842293906810034,0.0032258064516129032,0.06523297491039426
tight_plausible,e86,2790,3.1703130200035755e-06,-9.558169352679948e-07,-8.710659880563479e-06,2.5194689684620235e-05,3.067669589978039e-05,1.8481013020052103e-05,1.4354883064780532e-05,4.050538968466876e-05,4.5987395899828917e-05,0.00035842293906810036,0.00035842293906810036,0.04372759856630824
tight_plausible,noq2,2790,-2.4951968440139987e-06,-2.9971781625235477e-06,-1.1978870450037832e-05,7.797262596009028e-06,1.0374070656604158e-05,1.281550315603453e-05,1.231352183752498e-05,2.3107962596057555e-05,2.5684770656652683e-05,0.028315412186379927,0.007168458781362007,0.02114695340501792
tight_plausible,e90,2790,-3.0098603560136478e-06,-4.677077674439369e-06,-1.0863355721786348e-05,7.225424972661317e-06,1.1880826138465744e-05,1.2300839644034879e-05,1.0633622325609158e-05,2.2536124972709843e-05,2.719152613851427e-05,0.0025089605734767025,0.0014336917562724014,0.0967741935483871
tight_plausible,e89,2790,-1.164691046033559e-05,-1.1509066204132428e-05,-1.7782440992294446e-05,-5.272042160415883e-06,-3.7061519793804247e-06,3.6637895397129364e-06,3.801633795916099e-06,1.0038657839632644e-05,1.1604548020668102e-05,0.1921146953405018,0.18387096774193548,0.7731182795698924
tight_plausible,e95,2790,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8039426523297492,
tight_plausible,e101,2790,-2.850759509909489e-05,-2.743685761814985e-05,-4.103571850226643e-05,-1.8349226913714042e-05,-1.6724458833027146e-05,-1.3196895099046368e-05,-1.212615761810132e-05,-3.0385269136655154e-06,-1.413758832978618e-06,0.9824372759856631,,
e101_order_match,e85,57,-1.0838487128814373e-05,-1.1642566432717533e-05,-1.4095842372535358e-05,-7.119608529337335e-06,-6.287468631264767e-06,4.472212871234153e-06,3.668133567330994e-06,8.191091470711192e-06,9.02323136878376e-06,0.017543859649122806,0.017543859649122806,0.3508771929824561
e101_order_match,e86,57,1.2194002324938822e-06,-1.4371505318565991e-06,-9.715115197905901e-06,1.1414196040237865e-05,2.7739487419219437e-05,1.653010023254241e-05,1.3873549468191928e-05,2.6724896040286393e-05,4.305018741926796e-05,0.0,0.0,0.017543859649122806
e101_order_match,noq2,57,-9.655959866187649e-06,-1.1435716657477158e-05,-1.4469513827859608e-05,-4.009067925790131e-06,-7.479238453809303e-07,5.654740133860879e-06,3.874983342571369e-06,1.1301632074258395e-05,1.4562776154667596e-05,0.03508771929824561,0.017543859649122806,0.3157894736842105
e101_order_match,e90,57,-4.4229458233894974e-06,-5.868269418304569e-06,-1.2131725021917887e-05,3.4458008639255232e-06,1.181540259706263e-05,1.088775417665903e-05,9.442430581743958e-06,1.875650086397405e-05,2.7126102597111156e-05,0.0,0.0,0.10526315789473684
e101_order_match,e89,57,-1.0139885939510866e-05,-1.0897806346452893e-05,-1.4658042687249544e-05,-5.158388177383148e-06,-1.8833285435024734e-06,5.170814060537661e-06,4.412893653595634e-06,1.015231182266538e-05,1.3427371456546054e-05,0.05263157894736842,0.03508771929824561,0.21052631578947367
e101_order_match,e95,57,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.9298245614035088,
e101_order_match,e101,57,-1.4718297094147505e-05,-1.4844255153648127e-05,-1.5190783531508321e-05,-1.4265977958401948e-05,-1.3027477429709535e-05,5.924029059010237e-07,4.664448464003998e-07,1.04472204164658e-06,2.2832225703389914e-06,0.0,,
e101_close_pm10e6,e85,121,-1.1201560999306571e-05,-1.1424003734521203e-05,-1.5118789249285017e-05,-7.188311895586736e-06,-6.409999272868315e-06,4.109139000741955e-06,3.8866962655273245e-06,8.122388104461791e-06,8.900700727180212e-06,0.09917355371900827,0.024793388429752067,0.30578512396694213
e101_close_pm10e6,e86,121,5.266192919611863e-07,-3.353117151562006e-06,-9.619897044185874e-06,1.094402234938521e-05,2.3914106574236403e-05,1.5837319292009713e-05,1.1957582848486521e-05,2.6254722349433737e-05,3.922480657428493e-05,0.0,0.0,0.024793388429752067
e101_close_pm10e6,noq2,121,-1.0265463759555705e-05,-1.1188132079598701e-05,-1.5543776401317488e-05,-4.13295748171864e-06,-1.2204483929669808e-06,5.0452362404928204e-06,4.122567920449826e-06,1.1177742518329887e-05,1.4090251607081546e-05,0.12396694214876033,0.08264462809917356,0.2809917355371901
e101_close_pm10e6,e90,121,-4.566163759662722e-06,-5.868269418304569e-06,-1.2617627374494889e-05,4.512837739194499e-06,1.0556773544552264e-05,1.0744536240385808e-05,9.442430581743958e-06,1.9823537739243026e-05,2.586747354460079e-05,0.008264462809917356,0.0,0.049586776859504134
e101_close_pm10e6,e89,121,-1.110370157968003e-05,-1.143349063922657e-05,-1.5777559122045085e-05,-5.500686199738995e-06,-3.0470438887374656e-06,4.206998420368498e-06,3.8772093608219565e-06,9.810013800309532e-06,1.2263656111311062e-05,0.17355371900826447,0.09090909090909091,0.33884297520661155
e101_close_pm10e6,e95,121,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8016528925619835,
e101_close_pm10e6,e101,121,-1.5312332614232006e-05,-1.540963990621613e-05,-1.611211774722292e-05,-1.4625250512255813e-05,-1.4385533981486875e-05,-1.6326141834772752e-09,-9.893990616760383e-08,6.854494877927143e-07,9.251660185616525e-07,0.5289256198347108,,
e101_sensor_plausible,e85,57,-1.0838487128814373e-05,-1.1642566432717533e-05,-1.4095842372535358e-05,-7.119608529337335e-06,-6.287468631264767e-06,4.472212871234153e-06,3.668133567330994e-06,8.191091470711192e-06,9.02323136878376e-06,0.017543859649122806,0.017543859649122806,0.3508771929824561
e101_sensor_plausible,e86,57,1.2194002324938822e-06,-1.4371505318565991e-06,-9.715115197905901e-06,1.1414196040237865e-05,2.7739487419219437e-05,1.653010023254241e-05,1.3873549468191928e-05,2.6724896040286393e-05,4.305018741926796e-05,0.0,0.0,0.017543859649122806
e101_sensor_plausible,noq2,57,-9.655959866187649e-06,-1.1435716657477158e-05,-1.4469513827859608e-05,-4.009067925790131e-06,-7.479238453809303e-07,5.654740133860879e-06,3.874983342571369e-06,1.1301632074258395e-05,1.4562776154667596e-05,0.03508771929824561,0.017543859649122806,0.3157894736842105
e101_sensor_plausible,e90,57,-4.4229458233894974e-06,-5.868269418304569e-06,-1.2131725021917887e-05,3.4458008639255232e-06,1.181540259706263e-05,1.088775417665903e-05,9.442430581743958e-06,1.875650086397405e-05,2.7126102597111156e-05,0.0,0.0,0.10526315789473684
e101_sensor_plausible,e89,57,-1.0139885939510866e-05,-1.0897806346452893e-05,-1.4658042687249544e-05,-5.158388177383148e-06,-1.8833285435024734e-06,5.170814060537661e-06,4.412893653595634e-06,1.015231182266538e-05,1.3427371456546054e-05,0.05263157894736842,0.03508771929824561,0.21052631578947367
e101_sensor_plausible,e95,57,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.9298245614035088,
e101_sensor_plausible,e101,57,-1.4718297094147505e-05,-1.4844255153648127e-05,-1.5190783531508321e-05,-1.4265977958401948e-05,-1.3027477429709535e-05,5.924029059010237e-07,4.664448464003998e-07,1.04472204164658e-06,2.2832225703389914e-06,0.0,,
