row_idx,feature_block,pred_action_cliff,pred_actual_p90,pred_null_common,pred_null_rare,pred_null_strict_rate,pred_readiness_distance,pred_safe_invisible,pred_strict_health,pred_visible_null_common,experiment,basename,family,target_norm,selector_visible,null_rare,null_common,visible_null_common,strict_health,actual_p90,null_strict_rate,readiness_distance,failure_mode,pred_health_rank,pred_submission_hope
1187,full_safe,0.9993205644043949,-9.334236224548876e-05,0.998767594468039,0.0009239740916065257,0.968708191179676,1.509228508828249,0.0006491504157046684,,0.9988162125141874,e300,submission_e300_s4mean_drop_dateblock_id03_b3_abs_pos_m0p97_fb5105f8.csv,unknown,multi,True,False,True,True,False,-7.739735136508701e-05,1.0,1.361904761904762,matched_null_hallucination,-1523.0,8.813319848873095e-08
1201,full_safe,0.9993649973124699,-9.29803656892846e-05,0.9985958112359361,0.0007661982721561767,0.9373137904209186,1.5370490774125614,0.0004963242951146567,,0.9989789831061758,e300,submission_e300_s4mean_drop_dateblock_id01_b8_abs_pos_m1p08_a393d59f.csv,unknown,multi,True,False,True,True,False,-8.143076694744283e-05,1.0,1.5047619047619047,matched_null_hallucination,-1578.0,8.76103039502109e-08
1171,full_safe,0.9993148595922526,-9.011443248978248e-05,0.9987627389914089,0.000925026564972413,0.9610704131746193,1.4849103576745506,0.0006476542699892482,,0.9987997506637604,e300,submission_e300_s4mean_drop_subject_id08_abs_pos_m1p00_3ff2e15d.csv,unknown,multi,True,False,True,True,False,-7.486413648705388e-05,1.0,1.2666666666666666,matched_null_hallucination,-1344.0,8.568195186078639e-08
888,full_safe,0.9955103707715274,-3.91440362879824e-05,0.9969463635417258,0.00025049419304602955,0.6624048594154095,0.705629504338324,0.0002119613995300009,2.594449280274545e-05,0.99503098138891,e292,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contr_8ba2a72f.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,S4,True,False,True,True,False,-0.0001096325355268,1.0,1.0666666666666667,matched_null_hallucination,-75.0,8.385992178826825e-08
803,full_safe,0.9994899505020962,-0.00018629193320203184,0.9996328802712978,0.0009649066423634972,0.9611530097430263,1.8499054303650766,0.0010783314135525057,2.761746634560684e-05,0.9995335528311148,e290,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_raw_s050_51cf24a7.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,True,False,True,True,False,-0.0002353276203324,1.0,2.6166666666666663,matched_null_hallucination,-3522.0,8.336157722315482e-08
857,full_safe,0.9978553031688202,-8.264763123155488e-05,0.9923465649263143,0.00011022890053407445,0.830305568736688,1.297865717444738,9.625608634172675e-05,2.5935960816513372e-05,0.9898257137029285,e291,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf35_ra_64c1c739.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,True,False,True,True,False,-9.790382176985833e-05,1.0,1.2666666666666666,matched_null_hallucination,-545.0,8.259457506650557e-08
1246,full_safe,0.9986799670762677,-7.841557529135592e-05,0.9990793351899763,0.0012068746181008898,0.7991513011024782,1.5139676250771164,0.0013727548591809568,0.0004997109127071687,0.9993714732724085,e303,submission_e303_s4meanprior_single_prior_drop_worst12_raw_m1p16_49421da7.csv,unknown,multi,True,False,True,True,False,-7.250481263084924e-05,0.734375,0.6859375,matched_null_hallucination,-1526.0,8.056205429126734e-08
1144,full_safe,0.9993371292045726,-9.24582679760497e-05,0.9988065636708344,0.000895821088534775,0.9598851838198854,1.4658576143593844,0.0006294119348921936,,0.9988417533664723,e300,submission_e300_s4mean_drop_dateblock_id03_b4_abs_pos_m1p00_ee919b1f.csv,unknown,multi,True,False,True,True,False,-7.512516734593063e-05,1.0,0.9809523809523809,matched_null_hallucination,-1296.0,8.031672445113355e-08
1316,full_safe,0.9999043390014211,-0.00033723942741766585,0.9993690062210758,0.000334925742467867,0.6784918833652487,2.7444728893296357,0.0001377415553016711,2.4251036393293014e-05,0.9998702898771199,e310,submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_joint_centered_s020_25ac7e27.csv,cashflow_stress,multi,True,False,True,True,False,-0.0003761582271297,0.7777777777777778,0.9777777777777779,matched_null_hallucination,-4126.0,7.949579762010241e-08
1178,full_safe,0.9993524431507231,-9.498302936486824e-05,0.9988343833302401,0.0008640316288586626,0.9709973745580296,1.5106706435256694,0.0006088924710725903,,0.9988791613814049,e300,submission_e300_s4mean_drop_subject_id07_neg_abs_pos_m0p97_8cc71978.csv,unknown,multi,True,False,True,True,False,-7.812789023455024e-05,1.0,1.3142857142857143,matched_null_hallucination,-1524.0,7.868491629389414e-08
804,full_safe,0.9991619210869143,-0.0002031697214072396,0.9994791053539035,0.0006321307416259811,0.9774033285107002,1.6338518785673397,0.0007076417270088372,2.82336723425858e-05,0.9991954851941175,e290,submission_e290_lifeplace_Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1_tf70_centered_s050_30606fbd.csv,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1,Q3,True,False,True,True,False,-0.0002330680144196,1.0,0.9333333333333333,matched_null_hallucination,-2483.0,7.674312526169544e-08
1190,full_safe,0.9994117735855597,-9.499123212494635e-05,0.9987049043350612,0.0007032086394083605,0.940555223700505,1.5381183361505926,0.00045778848084418423,,0.9990589420195496,e300,submission_e300_s4mean_drop_dateblock_id01_b4_abs_pos_m1p08_9437c190.csv,unknown,multi,True,False,True,True,False,-8.145883122103325e-05,1.0,1.4095238095238094,matched_null_hallucination,-1579.0,7.418638719461585e-08
1193,full_safe,0.9993739236093603,-9.456267231107722e-05,0.9988688992441787,0.0008409712027358041,0.9741060648706892,1.5292775342598883,0.0005931309920281504,,0.9989142168018602,e300,submission_e300_s4mean_drop_subject_id01_neg_abs_pos_m0p97_84bea923.csv,unknown,multi,True,False,True,True,False,-7.783238247266387e-05,1.0,1.4095238095238094,matched_null_hallucination,-1563.0,7.403596504246608e-08
1179,full_safe,0.999369793046762,-9.266663028540117e-05,0.9988687470314979,0.0008441792470132838,0.9650745995936658,1.5039989129184264,0.0005932989372491737,,0.9989007030022071,e300,submission_e300_s4mean_drop_dateblock_id08_b5_abs_pos_m1p00_99f40cda.csv,unknown,multi,True,False,True,True,False,-7.719446192235524e-05,1.0,1.3142857142857143,matched_null_hallucination,-1508.0,7.371918879403046e-08
1199,full_safe,0.9993655920314273,-9.28965744186872e-05,0.9988605328713323,0.0008502731564292492,0.9634931685028469,1.4852047045434542,0.0005982463146623519,,0.9988941258677486,e300,submission_e300_s4mean_drop_dateblock_id03_b7_abs_pos_m1p00_71b9d8f3.csv,unknown,multi,True,False,True,True,False,-7.577515161844326e-05,1.0,1.4571428571428573,matched_null_hallucination,-1346.0,7.341538549917479e-08
