score,top_frac,selected_n,auc_harmful,ap_harmful,auc_tail10,auc_tail20,benefit_spearman_neg,selected_mean_benefit,population_mean_benefit,drop_delta_vs_full_per_row,harmful_rate_selected,harmful_rate_population,tail20_rate_selected,smooth_gain_mean_selected
score_allpca_amp_smooth,0.05,22,0.4471693268015171,0.4577232921646244,0.42998628257887517,0.46910493827160493,-0.08341149754052579,0.05827599181988063,0.004262113094773704,0.002849048488971942,0.2727272727272727,0.49777777777777776,0.2727272727272727,0.06581739732103843
score_trainpca_incoming,0.1,45,0.43909015486725655,0.46527002692423425,0.4986556927297668,0.4985185185185185,-0.0795511604144098,0.007598042409835924,0.004262113094773704,0.0007598042409835924,0.4888888888888889,0.49777777777777776,0.3111111111111111,0.11277213335982764
score_allpca_incoming,0.1,45,0.45544603350189633,0.4782811447103408,0.48784636488340183,0.513611111111111,-0.046749832405700645,0.009584309511279546,0.004262113094773704,0.0009584309511279545,0.4888888888888889,0.49777777777777776,0.26666666666666666,0.12255695424574688
score_neg_trainpca_smooth_sum,0.1,45,0.5321784134007586,0.5330102703799022,0.5019753086419753,0.49481481481481476,0.02257664252414489,0.009977048173270619,0.004262113094773704,0.000997704817327062,0.5555555555555556,0.49777777777777776,0.3333333333333333,0.26171890370924794
score_amp,0.1,45,0.5134718710493047,0.4916183780378651,0.8983813443072703,0.8143518518518519,-0.011564369865200983,0.02218703548140319,0.004262113094773704,0.002218703548140319,0.4444444444444444,0.49777777777777776,0.4444444444444444,0.218625789240441
score_trainpca_smooth_mean,0.1,45,0.4803650442477877,0.4755559446652473,0.48529492455418377,0.5019135802469137,-0.004347173187167343,0.02322273467133233,0.004262113094773704,0.002322273467133233,0.4222222222222222,0.49777777777777776,0.4,0.1566436113910389
score_trainpca_amp_smooth,0.1,45,0.470271017699115,0.4679973184953154,0.4858984910836762,0.4997530864197531,-0.024100546916091228,0.02418262314703426,0.004262113094773704,0.002418262314703426,0.4,0.49777777777777776,0.4,0.040201052337163985
score_trainpca_smooth_sum,0.1,45,0.46782158659924145,0.4669676443366916,0.49802469135802474,0.5051851851851852,-0.02257664252414489,0.026534259463718558,0.004262113094773704,0.002653425946371856,0.35555555555555557,0.49777777777777776,0.3333333333333333,0.23319584916152472
score_allpca_smooth_sum,0.1,45,0.44856194690265483,0.461634536514432,0.44776406035665295,0.47825617283950617,-0.07415521331070374,0.02711042510240904,0.004262113094773704,0.002711042510240904,0.4,0.49777777777777776,0.3333333333333333,0.243891398235798
score_allpca_amp_smooth,0.1,45,0.4471693268015171,0.4577232921646244,0.42998628257887517,0.46910493827160493,-0.08341149754052579,0.029161071993605056,0.004262113094773704,0.0029161071993605053,0.37777777777777777,0.49777777777777776,0.35555555555555557,0.04332988928427663
score_allpca_smooth_mean,0.1,45,0.4502903761061947,0.45668966605581196,0.44074074074074077,0.46182098765432095,-0.07798920603346693,0.029958109800808506,0.004262113094773704,0.002995810980080851,0.37777777777777777,0.49777777777777776,0.37777777777777777,0.16497171875561603
score_trainpca_source,0.1,45,0.49156526548672563,0.488219963907777,0.5164334705075446,0.5007716049382717,-0.002115895222527848,0.03001762932237067,0.004262113094773704,0.003001762932237067,0.37777777777777777,0.49777777777777776,0.35555555555555557,0.17162108446882218
score_allpca_source,0.1,45,0.46691292667509476,0.4694235011436339,0.43604938271604937,0.4686111111111112,-0.06599598022706286,0.04063135939711629,0.004262113094773704,0.004063135939711629,0.3111111111111111,0.49777777777777776,0.26666666666666666,0.17442606909148758
score_neg_trainpca_smooth_sum,0.136,61,0.5321784134007586,0.5330102703799022,0.5019753086419753,0.49481481481481476,0.02257664252414489,0.003608920171991755,0.004262113094773704,0.0004892091788699935,0.5573770491803278,0.49777777777777776,0.36065573770491804,0.23282530552508124
score_trainpca_incoming,0.136,61,0.43909015486725655,0.46527002692423425,0.4986556927297668,0.4985185185185185,-0.0795511604144098,0.006534866818147148,0.004262113094773704,0.0008858375020155023,0.45901639344262296,0.49777777777777776,0.22950819672131148,0.09116888080651844
score_allpca_incoming,0.136,61,0.45544603350189633,0.4782811447103408,0.48784636488340183,0.513611111111111,-0.046749832405700645,0.0065772715661291245,0.004262113094773704,0.0008915857011863924,0.47540983606557374,0.49777777777777776,0.2459016393442623,0.10266314344649784
score_trainpca_smooth_mean,0.136,61,0.4803650442477877,0.4755559446652473,0.48529492455418377,0.5019135802469137,-0.004347173187167343,0.015334674583317364,0.004262113094773704,0.002078700332405243,0.45901639344262296,0.49777777777777776,0.4098360655737705,0.1382056078358034
score_amp,0.136,61,0.5134718710493047,0.4916183780378651,0.8983813443072703,0.8143518518518519,-0.011564369865200983,0.01889692182637358,0.004262113094773704,0.0025615827364639746,0.45901639344262296,0.49777777777777776,0.45901639344262296,0.19994852367743474
score_allpca_smooth_mean,0.136,61,0.4502903761061947,0.45668966605581196,0.44074074074074077,0.46182098765432095,-0.07798920603346693,0.019907164404813365,0.004262113094773704,0.0026985267304302563,0.4426229508196721,0.49777777777777776,0.3770491803278688,0.14480628620044603
score_trainpca_source,0.136,61,0.49156526548672563,0.488219963907777,0.5164334705075446,0.5007716049382717,-0.002115895222527848,0.02053113085928471,0.004262113094773704,0.0027831088498141495,0.4426229508196721,0.49777777777777776,0.39344262295081966,0.15317671654201243
score_trainpca_amp_smooth,0.136,61,0.470271017699115,0.4679973184953154,0.4858984910836762,0.4997530864197531,-0.024100546916091228,0.02056038308993938,0.004262113094773704,0.0027870741521917827,0.4098360655737705,0.49777777777777776,0.39344262295081966,0.03251631150856695
score_trainpca_smooth_sum,0.136,61,0.46782158659924145,0.4669676443366916,0.49802469135802474,0.5051851851851852,-0.02257664252414489,0.020876950115088024,0.004262113094773704,0.0028299865711563766,0.4098360655737705,0.49777777777777776,0.3442622950819672,0.20171803215413198
score_allpca_smooth_sum,0.136,61,0.44856194690265483,0.461634536514432,0.44776406035665295,0.47825617283950617,-0.07415521331070374,0.021561107734447298,0.004262113094773704,0.002922727937336189,0.4262295081967213,0.49777777777777776,0.32786885245901637,0.21386539040770958
score_allpca_amp_smooth,0.136,61,0.4471693268015171,0.4577232921646244,0.42998628257887517,0.46910493827160493,-0.08341149754052579,0.024458228834690236,0.004262113094773704,0.003315448797591343,0.39344262295081966,0.49777777777777776,0.3442622950819672,0.035142325889399494
score_allpca_source,0.136,61,0.46691292667509476,0.4694235011436339,0.43604938271604937,0.4686111111111112,-0.06599598022706286,0.024777036829140932,0.004262113094773704,0.00335866499239466,0.4262295081967213,0.49777777777777776,0.36065573770491804,0.1546065891988021
score_allpca_incoming,0.2,90,0.45544603350189633,0.4782811447103408,0.48784636488340183,0.513611111111111,-0.046749832405700645,0.005577202786199362,0.004262113094773704,0.0011154405572398724,0.43333333333333335,0.49777777777777776,0.17777777777777778,0.07388759872155058
score_trainpca_incoming,0.2,90,0.43909015486725655,0.46527002692423425,0.4986556927297668,0.4985185185185185,-0.0795511604144098,0.006424690146878994,0.004262113094773704,0.0012849380293757987,0.4111111111111111,0.49777777777777776,0.16666666666666666,0.06451098961043977
score_neg_trainpca_smooth_sum,0.2,90,0.5321784134007586,0.5330102703799022,0.5019753086419753,0.49481481481481476,0.02257664252414489,0.008150482662159638,0.004262113094773704,0.0016300965324319275,0.5333333333333333,0.49777777777777776,0.3111111111111111,0.19343707470222837
score_trainpca_smooth_mean,0.2,90,0.4803650442477877,0.4755559446652473,0.48529492455418377,0.5019135802469137,-0.004347173187167343,0.010543991296987123,0.004262113094773704,0.002108798259397425,0.4777777777777778,0.49777777777777776,0.37777777777777777,0.11495674382924985
score_trainpca_smooth_sum,0.2,90,0.46782158659924145,0.4669676443366916,0.49802469135802474,0.5051851851851852,-0.02257664252414489,0.011544031483882437,0.004262113094773704,0.0023088062967764876,0.4777777777777778,0.49777777777777776,0.3333333333333333,0.16581415111900663
score_trainpca_amp_smooth,0.2,90,0.470271017699115,0.4679973184953154,0.4858984910836762,0.4997530864197531,-0.024100546916091228,0.01216589555217529,0.004262113094773704,0.002433179110435058,0.4666666666666667,0.49777777777777776,0.36666666666666664,0.02425868107278753
score_trainpca_source,0.2,90,0.49156526548672563,0.488219963907777,0.5164334705075446,0.5007716049382717,-0.002115895222527848,0.012638819016180768,0.004262113094773704,0.0025277638032361535,0.4777777777777778,0.49777777777777776,0.3888888888888889,0.131048025624398
score_allpca_amp_smooth,0.2,90,0.4471693268015171,0.4577232921646244,0.42998628257887517,0.46910493827160493,-0.08341149754052579,0.013732646112479497,0.004262113094773704,0.0027465292224958995,0.4777777777777778,0.49777777777777776,0.37777777777777777,0.02626655286197021
score_allpca_smooth_sum,0.2,90,0.44856194690265483,0.461634536514432,0.44776406035665295,0.47825617283950617,-0.07415521331070374,0.014684336934886579,0.004262113094773704,0.0029368673869773158,0.4666666666666667,0.49777777777777776,0.3333333333333333,0.17728705210843632
score_allpca_source,0.2,90,0.46691292667509476,0.4694235011436339,0.43604938271604937,0.4686111111111112,-0.06599598022706286,0.015109007970790539,0.004262113094773704,0.003021801594158108,0.4777777777777778,0.49777777777777776,0.3888888888888889,0.13072663992782843
score_allpca_smooth_mean,0.2,90,0.4502903761061947,0.45668966605581196,0.44074074074074077,0.46182098765432095,-0.07798920603346693,0.0157839544498512,0.004262113094773704,0.00315679088997024,0.4444444444444444,0.49777777777777776,0.34444444444444444,0.12093712020345906
score_amp,0.2,90,0.5134718710493047,0.4916183780378651,0.8983813443072703,0.8143518518518519,-0.011564369865200983,0.016555063336665288,0.004262113094773704,0.0033110126673330576,0.4666666666666667,0.49777777777777776,0.4444444444444444,0.17506397860467618
