rank,source,active_weights,score,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,w::submission_public_entropyproj_public2d0_g100.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g075.csv,w::submission_public2dblend_budget0p0.csv,w::submission_public_entropyproj_public2d0_g050.csv,w::submission_public_entropyproj_public2d0_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s3_s4_g050.csv
11,dirichlet_0.3_refined,9,0.5749249881929307,0.5746342515423715,0.5808745310783503,6.688948689281559e-05,0.00011827411272090638,0.00012257342982480713,0.0001608041319303144,-0.0007311858938929306,-0.0002687759948783674,1.0,0.3126430897519174,,0.22699141642376028,,0.10371900933298807,0.018975644812383296,,,,0.06314941765815706,0.18423861203235503,,0.016500990346923216,0.003125,0.07065681964151596
12,dirichlet_0.15_refined,11,0.574924992764351,0.5746342657232243,0.5808743035416853,6.690366774564513e-05,0.00011824819232569839,0.0001225874701669627,0.0001604929153601331,-0.0007311717130401011,-0.0002691501738477986,1.0,0.3067190318339907,,0.15925714922258952,0.00036065743674629854,0.17187536739453152,0.0004396743172265836,0.013394500736868924,0.009375000000000001,0.006473769663617734,0.08737762173514994,0.2322262907936837,,0.0125,,
13,dirichlet_0.3_refined,12,0.574924994472803,0.5746342489720812,0.5808743531407962,6.68869166024672e-05,0.00011828898729643322,0.0001226182086252081,0.00016056256128338386,-0.000731188464183279,-0.0002690841612386196,1.0,0.3053369686507695,0.027601764721322992,0.1973438900097277,,0.11012703255114566,,0.014899729293452487,,0.028125,0.020955905705239673,0.21336939826476656,0.006253328837873048,0.046875,0.0009869819657024863,0.028125
14,sparse5_refined,8,0.5749249964744266,0.5746342558439128,0.5808744762890383,6.689378843408309e-05,0.00011828015129626835,0.0001225736780737452,0.0001605896566201359,-0.0007311815923516631,-0.0002689358907142503,1.0,0.31853291191831323,0.07573142902392833,0.146875,0.08750000000000001,,,,0.003125,0.065625,,0.14575985625549964,,0.15685080280225877,,
15,dirichlet_0.3_refined,11,0.5749249965197213,0.5746342849867843,0.5808743836469477,6.692293130557279e-05,0.00011819981296704585,0.00012253151167224697,0.00016065958881783526,-0.0007311524494801735,-0.00026889567077408304,1.0,0.32086572882281755,0.1591793526814809,0.003125,0.11411784108512711,0.1253925509902057,,0.00010256632751725956,,0.00625,,0.10910159544603701,,0.05245406269774531,0.0969113019490689,0.0125
16,dirichlet_0.3_refined,11,0.5749249965954921,0.5746342301311304,0.5808745414642223,6.686807565170828e-05,0.0001183236734189297,0.00012263926034079551,0.00016093649108539498,-0.0007312073051340378,-0.0002687851593791257,1.0,0.3669579619073636,0.01253857777477044,0.2855507653854757,0.04687500000000001,,0.00013330126343070848,0.0003459272045230831,,,0.03627590368675968,0.08049540292202742,,0.003125,0.012500000000000002,0.15520059528040647
17,sparse5_refined,10,0.5749249972518803,0.574634254901369,0.5808744281827458,6.68928458903038e-05,0.00011827064286092926,0.00012260418062779997,0.00016069941425489453,-0.0007311825348954424,-0.0002689705368074335,1.0,0.37483995825462135,,0.18035984647342515,0.028125,0.0125,,,0.009375000000000001,,0.003125,0.1875,,0.09506494067250516,0.08411025459944839,0.025
18,dirichlet_0.3_refined,12,0.5749249977413943,0.5746342475971555,0.5808742789828809,6.688554167684546e-05,0.00011830755718671428,0.00012263647372970365,0.00016024770531897214,-0.0007311898391089008,-0.000269182512730981,1.0,0.2580917723656876,0.11079856280819966,0.1489742699035858,0.13119653969402056,0.04987389017109624,0.05,,0.00625,0.100227297114433,,0.05000210429586762,,0.00625,0.012500051095655574,0.075736195751629
19,sparse5_refined,9,0.574924999185856,0.5746342587789449,0.5808743719618439,6.689672346621922e-05,0.00011827196867989498,0.00012258497887894791,0.00016057493158216918,-0.000731178657319527,-0.0002690296787164703,1.0,0.3611431304897188,,0.3177643349921366,0.0125,,,,0.003125,,0.012500000000000002,0.10529848620214022,,0.003125,0.0125,0.1720440483160045
20,dirichlet_0.3_refined,10,0.5749249996791007,0.5746342340605446,0.5808744329248,6.687200506598353e-05,0.00011830425446538451,0.00012269616542874283,0.00016086625203304283,-0.0007312033757197626,-0.0002688276278544732,1.0,0.3595021433704708,0.17482775050683347,0.05,0.2222882500874445,,,0.003935951002557502,0.062321296030103245,,0.014418663366988415,,0.0005818016279788216,0.10148824084268487,,0.010598071002807746
21,dirichlet_0.7_refined,12,0.5749249997624449,0.5746342505028493,0.5808743525690905,6.688844737058458e-05,0.00011829580737962033,0.00012261406075777525,0.00016046084570708885,-0.0007311869334151616,-0.00026909891295923133,1.0,0.2961796569669364,0.15116561292248015,0.035331421176237776,0.15568887117029243,0.1093573472370493,,0.014861824921889437,0.018610430391229928,0.07500000000000001,0.0038101454446353533,0.06826459837189026,,,0.05923009139735904,0.0125
22,dirichlet_0.7_refined,11,0.574925003954338,0.5746343144581276,0.5808745624198682,6.695240264898922e-05,0.00011813337432032833,0.000122442170545084,0.00016081547911450667,-0.0007311229781367569,-0.00026866699270454707,1.0,0.20287937077004434,0.0625,0.15217961068404423,0.17035133756840595,0.017826005432268706,0.22680621389624142,0.009994966715569526,0.00625,0.08098112118832257,0.00625,0.06398137374510315,,,,
23,dirichlet_0.3_refined,11,0.5749250055854325,0.574634204652425,0.580874731203961,6.684259694625304e-05,0.00011837634493206961,0.0001226949199420735,0.0001613132839494158,-0.0007312327838394933,-0.0002684719127163837,1.0,0.32444358191213823,0.05,0.220525860853987,0.12224581157678066,0.002763200100282609,,0.006123310975807993,0.06841115901920543,0.06510666646037336,0.012660899530905077,0.06278565404101857,,,,0.0649338555295011
24,sparse3_refined,7,0.5749250058721895,0.5746341574408296,0.5808742686106737,6.67953853509083e-05,0.0001185121036158865,0.00012285443618930135,0.0001606389598991509,-0.000731279995434838,-0.00026930397241450296,1.0,0.44300820715901673,0.025,0.015625000000000003,0.13794056177392894,,,,0.00625,,,0.09062500000000002,,,0.28155123106705426,
25,dirichlet_0.3_refined,10,0.5749250064360762,0.5746342345416451,0.5808745000241364,6.687248616640567e-05,0.00011832653233475599,0.0001226301805863472,0.00016085689233991118,-0.0007312028946193404,-0.0002688887896799996,1.0,0.39634449205888667,0.025,0.043750000000000004,0.1482842431358242,,,,,0.06498295829376934,0.018668979431571506,0.083621381221715,0.00022499364293868639,0.00014707428260379,0.21897587793269052,
26,sparse5_refined,10,0.5749250095249708,0.5746342700449417,0.58087417253089,6.690798946294508e-05,0.00011826367734445453,0.00012259935511020338,0.00016019969962266511,-0.0007311673913228011,-0.0002693625917982389,1.0,0.33231416503174804,0.0125,0.17176138329340068,,0.1,,,0.028125,,0.00625,0.20742510926820307,,0.028125,0.07500000000000001,0.03849934240664833
27,dirichlet_0.15_refined,8,0.5749250218838435,0.5746342731634859,0.5808743351756891,6.691110800718728e-05,0.00011825139219493464,0.00012255257947658139,0.00016073934558513692,-0.000731164272778559,-0.0002690841354507256,1.0,0.44230253252832236,0.042316915206869754,,0.221251604014191,,,,,0.00625,0.09020112293507025,0.003125,,,0.18318687246510562,0.011307347677496415
28,sparse4_refined,7,0.5749251769768611,0.5746340142162761,0.5808736096011976,6.665216079737793e-05,0.00011893459384793026,0.00012332500864218333,0.0001618518596342433,-0.0007314232199883683,-0.0002707056494684612,1.0,0.14667768471867587,0.11875000000000002,0.10532496728918601,0.22309804177174503,0.00625,0.396774306220393,,,0.003125,,,,,,
