pred_index,active_delta_cells,support_label_1_cells,support_label_0_cells,all_support_delta_vs_e95,all_adverse_delta_vs_e95,global_prior_expected_delta_vs_e95,subject_prior_expected_delta_vs_e95,global_prior_p_beats_e95,global_prior_p_beats_e101_edge,global_prior_q05,global_prior_q50,global_prior_q95,subject_prior_p_beats_e95,subject_prior_p_beats_e101_edge,subject_prior_q05,subject_prior_q50,subject_prior_q95
194,8,13,37,-5.508044636409371e-06,7.747878452851441e-05,2.582714215273844e-05,-4.115794216763996e-07,0.0181,0.0,4.675763733782019e-06,2.5304993867175892e-05,4.749606185077688e-05,0.6001875,0.0,-5.508044636407781e-06,-5.508044636407401e-06,1.5464641710760525e-05
126,12,13,37,-4.4544767984494554e-05,2.09794660987487e-05,-8.720360417997033e-06,2.9442134558982877e-06,0.8053125,0.2556875,-2.5237630870025347e-05,-8.703638610342892e-06,7.764187166362699e-06,0.375425,0.0202875,-1.1634393243117591e-05,3.3665397253022725e-06,1.664573342694506e-05
130,16,15,35,-4.898906012387025e-05,2.549216922259991e-05,-8.175493406982276e-06,3.847346523854231e-06,0.78315,0.2465875,-2.509349813287728e-05,-8.190981029565929e-06,8.780455066289043e-06,0.3351625,0.0195125,-1.1241667272927942e-05,4.078287785290656e-06,1.8253232528065185e-05
134,20,15,35,-5.2920829819493334e-05,3.033550935093114e-05,-7.053681438090339e-06,4.3883664108167635e-06,0.743925,0.218025,-2.4389980845758573e-05,-7.0375118994179845e-06,1.0291301893203675e-05,0.31585,0.019125,-1.1180398104979925e-05,4.554562451789138e-06,1.916519906422442e-05
82,11,18,32,-6.8507159551451745e-06,9.686266783167479e-05,2.8181360346180683e-05,-3.8983536885807114e-07,0.0162625,0.0,3.93816202183225e-06,2.8063127137652466e-05,5.3242676462127426e-05,0.5370375,0.0,-6.8507159551449865e-06,-4.936802055509456e-07,1.3341028682697598e-05
22,11,12,38,-4.3330781489738434e-05,1.8485241678207645e-05,-8.758925165741292e-06,2.900056961535723e-06,0.80795,0.254275,-2.511638888422265e-05,-8.748716060042424e-06,7.618946033905274e-06,0.373825,0.0198875,-1.1585920130128505e-05,2.9692580306868324e-06,1.6957836845477324e-05
122,8,10,40,-3.893371562554866e-05,1.6053527173064205e-05,-8.227829370528913e-06,2.342812838314276e-06,0.7962625,0.2185875,-2.3601081182207495e-05,-8.135966284695663e-06,8.200135801727337e-06,0.4019,0.0178125,-1.0878168701707756e-05,1.4983490122453774e-06,1.605352717306084e-05
166,12,17,33,-8.119969232489125e-06,0.00010577722292452164,3.36560512784298e-05,-2.7038750481245666e-07,0.00895,0.0,9.531246584060158e-06,3.275369608317251e-05,6.0058089551994184e-05,0.5278125,0.0,-8.119969232489001e-06,-1.695465550331589e-07,1.3937455465436251e-05
3,19,14,36,-2.843060859550242e-05,7.333839536980398e-05,1.810087600140371e-05,8.329156715441345e-06,0.0789,0.0028625,-2.7902207810367806e-06,1.8107912911725698e-05,3.932395235865786e-05,0.2556375,0.017175,-1.0189620571382278e-05,7.726804765379808e-06,2.7317134229812357e-05
78,13,17,33,-8.987792053134445e-06,0.0001130317423304845,3.816702397673834e-05,-3.0618203647572754e-08,0.006025,0.0,1.093658304252384e-05,3.7803061934002107e-05,6.562628913261799e-05,0.542925,0.0,-8.987792053134316e-06,-8.654498265258103e-07,1.7146357366215455e-05
138,23,16,34,-5.84005903122546e-05,4.0826714169390765e-05,-5.572043214034774e-06,4.878110273347029e-06,0.6787625,0.2079875,-2.484694902517842e-05,-5.6294167962659575e-06,1.3998200196222927e-05,0.3263,0.0285625,-1.2711471479923207e-05,4.88804167387334e-06,2.1916526881973806e-05
234,8,12,38,-1.3108615144791415e-05,7.344981146856967e-05,1.9432977893606334e-05,-2.3215210090295824e-07,0.1224375,0.0,-2.9248067745986335e-06,1.913261792332446e-05,4.148058640304191e-05,0.65795,0.0,-1.3108615144789765e-05,-2.591745170401973e-06,1.869491054021941e-05
34,10,14,36,-1.5749716717799575e-05,8.26223719688614e-05,2.0671480716037163e-05,-9.237400758625724e-07,0.0626375,0.0081875,-4.693469198638048e-06,2.1461007812490756e-05,4.494941478140829e-05,0.5298625,0.149175,-1.5749716717799328e-05,-5.232846743411718e-06,1.5170903825241158e-05
18,12,16,34,-1.685304117372697e-05,8.631336054165419e-05,2.166699996379393e-05,-1.0914680015051602e-06,0.064675,0.0026,-3.4262958974608464e-06,2.182113792733911e-05,4.6479823979938344e-05,0.5312875,0.0958125,-1.6853041173726656e-05,-3.5100783425582634e-06,1.486359010560339e-05
142,25,16,34,-6.0769985584831854e-05,4.405606440864717e-05,-4.433358869714912e-06,5.486492444208955e-06,0.642525,0.182925,-2.3988809329389867e-05,-4.415695454048459e-06,1.538912317024866e-05,0.308,0.0277375,-1.2335855658600412e-05,5.428363303112394e-06,2.299670795003658e-05
38,15,19,31,-1.1535022263702753e-05,0.00012893379372508823,4.185155110836146e-05,1.220464548336808e-07,0.0056125,0.0,1.4721551010552202e-05,4.182911188658242e-05,7.133229891890414e-05,0.62255,0.0,-1.1535022263702558e-05,-2.195390753898376e-06,1.7827375852258087e-05
170,16,20,30,-1.2081601870765422e-05,0.00013121330697480664,4.254217215193407e-05,8.930191264030549e-08,0.004875,0.0,1.5234585056602908e-05,4.239272841699401e-05,7.183088185026769e-05,0.60435,0.0,-1.2081601870765236e-05,-1.8977935005741107e-06,1.8003250462444303e-05
198,12,17,33,-1.2019249946055394e-05,0.00010911582773837757,3.2201567454126635e-05,-1.7952832181162484e-07,0.0308625,0.0,7.274208519503873e-06,2.9928609021967493e-05,5.9686293602012715e-05,0.6708125,0.0,-1.2019249946053746e-05,-1.455780150397236e-06,1.8442747921948398e-05
238,12,14,36,-2.1344311708529262e-05,0.00010264123174412302,2.7032621606371426e-05,-4.4296789758463766e-08,0.0692875,0.00165,-9.385037974339238e-07,2.880059831888474e-05,5.322443650366449e-05,0.635175,0.07665,-2.1344311708527497e-05,-9.851036187012995e-07,1.9987582728467006e-05
90,16,20,30,-2.336623082528084e-05,0.00011254698022953864,2.6214954800228122e-05,-9.36377780580966e-07,0.0602125,0.002675,-1.1040129163864298e-06,2.6078337954254517e-05,5.476206101419904e-05,0.576125,0.0833,-2.054013796849939e-05,-1.7931133317315519e-06,1.9357076465450248e-05
30,31,22,28,-5.239302097076174e-05,0.0001386283244063758,3.590077488537241e-05,3.886287039406423e-06,0.0225625,0.0016125,5.892213090811466e-06,3.5618203560116554e-05,6.627711841409181e-05,0.4012,0.066025,-1.6897538799289064e-05,3.2836467219482485e-06,2.6399531284486896e-05
94,20,21,29,-2.6073776334254538e-05,0.000127166763211898,3.003798886275501e-05,-6.416710836541671e-07,0.040325,0.001925,1.8169893309998387e-06,2.944315447722006e-05,5.965466872147198e-05,0.559675,0.1041375,-2.084479906719034e-05,-1.8886264723208456e-06,2.0108312863531893e-05
74,17,21,29,-1.4573357812094855e-05,0.0001419857909789182,4.424817241760883e-05,3.674522946501732e-07,0.0033625,0.0,1.4349751212529491e-05,4.3471889953684305e-05,7.482132980625321e-05,0.49845,0.0,-1.4573357812094584e-05,3.1500827022193765e-07,2.0713578282755902e-05
146,30,16,34,-6.887758306660608e-05,5.995838525196658e-05,-4.329845423242067e-08,6.225397529882306e-06,0.50415,0.1220875,-2.1576799485407535e-05,-1.4875556627651615e-07,2.18026510575072e-05,0.3036125,0.034975,-1.3472143358221767e-05,6.138891474606318e-06,2.586646657442624e-05
150,35,17,33,-8.097570968547712e-05,8.342558210586273e-05,6.895741182223282e-06,7.788811424502451e-06,0.326225,0.0718125,-1.8061773452704416e-05,6.810169506503891e-06,3.201347395803467e-05,0.2939625,0.0492,-1.5205699341479528e-05,7.666146965411475e-06,3.0741983027362734e-05
202,16,20,30,-1.5754285149913564e-05,0.0001374522952176628,4.193482196787371e-05,7.342742497681048e-08,0.0048375,0.000425,1.2317926967349772e-05,4.1438343749737556e-05,7.186407153269864e-05,0.4932125,0.1644875,-1.5754285149913314e-05,7.274678602650075e-07,2.144336200302149e-05
66,20,24,26,-2.1883407452640096e-05,0.0001560233571381394,4.4148873002762465e-05,6.349124146842107e-07,0.0072375,0.0001875,1.3508662940295582e-05,4.359674077838533e-05,7.622963443257378e-05,0.5272375,0.0688,-1.8175196537342676e-05,-8.914341447336303e-07,2.2986062449911087e-05
174,23,26,24,-2.5077314790202e-05,0.00016300371018935377,4.6616530065099685e-05,9.850609334949387e-07,0.0050375,0.0002375,1.5286193837714684e-05,4.6185980149527946e-05,7.904119386727287e-05,0.5023375,0.09715,-1.800137970138912e-05,-5.633858429013713e-08,2.357388329725797e-05
98,23,23,27,-2.9607231460123088e-05,0.00013948038307773404,3.3155609903072745e-05,-3.53928651989513e-07,0.03105,0.0016625,3.67057710563015e-06,3.267335411840359e-05,6.410879173068706e-05,0.539275,0.121375,-2.0267599950318857e-05,-1.3563276829412892e-06,2.157551343155957e-05
70,20,24,26,-1.87337489722347e-05,0.00015318318264315512,4.57547303143527e-05,2.3440492206047042e-07,0.00455,0.0001875,1.5592319665696046e-05,4.533642858216513e-05,7.735318916266156e-05,0.524475,0.1132625,-1.873374897223431e-05,-3.8586852575782174e-07,2.1211048755065907e-05
43,7,14,36,-7.0435991178409765e-06,0.00013191950141038317,3.989504817169251e-05,-1.2534699291645866e-06,0.055775,0.0,-7.043599117840518e-06,3.661631923048137e-05,8.196720187444969e-05,0.745725,0.0,-7.043599117840772e-06,-7.043599117840456e-06,1.6194788487805786e-05
58,23,22,28,-3.095524035473029e-05,0.0001670813876073132,4.840748295542053e-05,1.3230132683583847e-06,0.005225,0.0002875,1.624628910709086e-05,4.7938457069386504e-05,8.183884912885489e-05,0.490575,0.1156375,-2.0667715098904496e-05,3.573779229867664e-07,2.539256248470901e-05
242,16,17,33,-2.871536441441752e-05,0.00013012132725198245,3.429221681196036e-05,-1.5274228043529716e-07,0.0278375,0.002425,2.2073134710652388e-06,3.237934587939078e-05,6.542744187597686e-05,0.4880375,0.1484,-1.9904288854997367e-05,1.7517400813317683e-07,2.162752909927138e-05
62,25,24,26,-3.2058564810657686e-05,0.000170772376180106,4.9403002203177305e-05,1.155285342715797e-06,0.004425,0.0002375,1.6972553127848323e-05,4.8986230841357824e-05,8.303123981833045e-05,0.4933,0.119475,-2.0616683142810052e-05,2.850518069419066e-07,2.5393417321195503e-05
178,30,25,25,-3.525204678705123e-05,0.00017564470688881482,5.036466890683808e-05,2.0437869152833155e-06,0.0038625,0.0001875,1.7874106271809036e-05,4.9938345438398706e-05,8.405288674085623e-05,0.468125,0.1073875,-1.9970267939067933e-05,1.1462147303147003e-06,2.6440133497795332e-05
54,31,25,25,-3.58453687250262e-05,0.00017692808828440414,5.082647128751146e-05,2.4079666781064336e-06,0.0035125,0.0001875,1.829317374655205e-05,5.0389956460233316e-05,8.462858299165548e-05,0.457375,0.1032375,-1.967890002519183e-05,1.4953265400045046e-06,2.6779032095117527e-05
102,25,23,27,-3.2088486890315305e-05,0.00015629258611310067,4.049533604802012e-05,-1.1336341464075385e-07,0.0142875,0.0007625,9.067572299932174e-06,4.0003703435753104e-05,7.310351783593659e-05,0.5227,0.1402,-2.0747045062359375e-05,-9.404008235115764e-07,2.3399136927003072e-05
163,8,15,35,-8.533715764943991e-06,0.00014633023011818925,4.3775883733358804e-05,-1.087248518464569e-06,0.0368125,0.0,6.401099127773472e-06,4.5276544182325725e-05,8.992613266254148e-05,0.6683875,0.0,-8.53371576494382e-06,-8.533715764943503e-06,2.4153719275897378e-05
154,40,20,30,-8.996116187446373e-05,0.00011981766943362305,1.6431105374124654e-05,8.055080139299825e-06,0.1829875,0.036925,-1.2961634468564013e-05,1.6322866445497032e-05,4.621554440304556e-05,0.3137375,0.0709375,-1.795766978951197e-05,7.791740315095218e-06,3.453356071360982e-05
210,23,21,29,-3.92235341420311e-05,0.00017160356551689489,4.640029215266156e-05,1.0747033590518546e-06,0.010825,0.0005875,1.2961334619267355e-05,4.5699517566642766e-05,8.131854164767332e-05,0.50225,0.1316125,-2.2954196248412948e-05,-1.969164634927356e-07,2.6838559017065503e-05
106,30,25,25,-4.117051309089409e-05,0.00016200036329218305,4.0552190687458805e-05,6.823120098686399e-07,0.016325,0.0010125,8.614423481552916e-06,4.008509613949689e-05,7.36743826210664e-05,0.5024375,0.12765,-2.1222098366193837e-05,-9.821726618003402e-08,2.4686496636017586e-05
26,36,19,31,-5.0796825109221724e-05,0.00018850362517427633,5.7461667888386074e-05,4.257792930789665e-06,0.0017875,7.5e-05,2.334875932897048e-05,5.712152300923707e-05,9.253457277008352e-05,0.40935,0.099575,-2.0124476719723605e-05,3.5505044754929566e-06,3.061557157663049e-05
246,20,18,32,-4.355277620818429e-05,0.00014759925154231215,3.82752682229763e-05,8.112166204400397e-07,0.0225625,0.0030875,4.33218955581995e-06,3.870887551378274e-05,7.160797646758552e-05,0.44695,0.1669625,-2.3193568118356253e-05,1.1739904222929206e-06,2.404274221957454e-05
214,25,20,30,-4.3513809085817016e-05,0.00017760081582893436,4.8922645044955624e-05,1.7723194483934235e-06,0.0079875,0.0005375,1.4549798439666189e-05,4.85211218015404e-05,8.450343737603365e-05,0.474225,0.1425125,-2.340926552116795e-05,1.0651595750828603e-06,2.8762013955426763e-05
206,20,21,29,-2.8053133329611654e-05,0.00015942869334688385,4.440668224108623e-05,1.69248258992682e-07,0.0099625,0.0006,1.1638201207056495e-05,4.419561501678252e-05,7.753140920868412e-05,0.501625,0.1575875,-1.993079110300311e-05,-7.65641665259688e-08,2.3426183208370694e-05
110,35,24,26,-5.1148001679301526e-05,0.00017933185544358939,4.636356818237998e-05,1.7634217398588896e-06,0.0096,0.0006375,1.2792027126179677e-05,4.5965576318189946e-05,8.09818631378635e-05,0.4719125,0.1296625,-2.2128707454688756e-05,1.0814690538937007e-06,2.742629450043315e-05
190,45,25,25,-6.998611233441136e-05,0.00020531463721459156,5.375293071994253e-05,5.618889346222479e-06,0.0056,0.0003375,1.783422600744611e-05,5.3401320815630245e-05,9.068700326501236e-05,0.3841125,0.1078875,-2.1515541831235633e-05,4.973181498969835e-06,3.424813481555142e-05
218,30,21,29,-5.0672571135495247e-05,0.000188324679526928,5.176874588558394e-05,2.55742986048214e-06,0.00585,0.000375,1.691157637167424e-05,5.142434010478577e-05,8.788571487289717e-05,0.4537625,0.1372625,-2.3446934711992193e-05,1.8812159686462817e-06,3.0227346968242824e-05
50,30,20,30,-5.195536337900643e-05,0.0001877465866086358,5.1586922036406404e-05,2.681057949329777e-06,0.0063125,0.000425,1.6479668994907356e-05,5.12059978972677e-05,8.765393967651478e-05,0.4507,0.137075,-2.342548873441226e-05,1.992477994052555e-06,3.0470432678858353e-05
87,8,15,35,-2.1413184022470276e-05,0.00010565053980448583,2.246498085371325e-05,-1.91680659716984e-06,0.1729125,0.0684125,-1.5760998308906507e-05,2.2335402305315704e-05,6.19019534766984e-05,0.64765,0.3149625,-2.1413184022466915e-05,-3.7944407369172593e-07,2.2858943531952998e-05
46,38,23,27,-5.6845491749302345e-05,0.0001975932872857267,5.4005910368497345e-05,3.766011359077826e-06,0.0047375,0.0002375,1.8681550284600418e-05,5.363455602705444e-05,9.025403543443386e-05,0.4252,0.1250125,-2.2802400210430594e-05,3.1274340890873014e-06,3.170191253843881e-05
186,40,24,26,-5.805142068365536e-05,0.00019942020052467636,5.433135605951518e-05,4.296337285125064e-06,0.0045625,0.0002375,1.884353053171285e-05,5.394480722403891e-05,9.06568105471758e-05,0.4129,0.11865,-2.228601528531041e-05,3.6616324764312138e-06,3.232210344177198e-05
222,35,22,28,-6.451597427665665e-05,0.0001959461741687661,5.16981189710181e-05,3.223576182634078e-06,0.0077125,0.0006,1.5750942830507463e-05,5.135125602040668e-05,8.87007840758039e-05,0.4382,0.1367125,-2.3809559636687532e-05,2.6061747128977417e-06,3.1598911682266794e-05
182,35,25,25,-4.701608901173494e-05,0.00018759976644993942,5.070813260637645e-05,2.8145258374523104e-06,0.0052375,0.0002875,1.6741815170525568e-05,5.0254311189129244e-05,8.563977167969954e-05,0.4458875,0.121325,-2.1639424271186587e-05,2.0880705197940467e-06,2.9164095886013556e-05
254,25,20,30,-5.781345898331577e-05,0.00017037841917805178,4.137221445175088e-05,2.388352089783976e-06,0.02485,0.00295,5.568614437843763e-06,4.105914387499322e-05,7.771555470889806e-05,0.438275,0.143975,-2.3923303972759023e-05,1.9015954936666096e-06,2.950542474247988e-05
114,40,25,25,-7.31844438685947e-05,0.00019381317927791186,4.605752580306579e-05,3.260867427041773e-06,0.0167375,0.001625,9.925513572723793e-06,4.572299856738153e-05,8.313022287071537e-05,0.43465,0.1327125,-2.3277992962895424e-05,2.6829280462861384e-06,3.112093559592051e-05
195,8,13,37,-1.0924387519936153e-05,0.0001550492708099087,5.174598605835807e-05,-7.314570904720127e-07,0.0181,0.0,9.443229220446254e-06,5.070168948723197e-05,9.508382545443405e-05,0.6001875,0.0,-1.0924387519934567e-05,-1.0924387519934186e-05,3.10209851744019e-05
250,23,20,30,-5.114066714553046e-05,0.00016251701359282507,4.0715885602667405e-05,1.777276477230522e-06,0.0230375,0.0026625,5.755537930248249e-06,4.036340049253119e-05,7.637621780944924e-05,0.437875,0.1541,-2.342354180302664e-05,1.4183691515534827e-06,2.8324216778500934e-05
158,45,24,26,-9.29198795541694e-05,0.00016318539195207102,2.9120429716905938e-05,7.700935674743574e-06,0.0772875,0.01375,-4.398689691821038e-06,2.8881350828317443e-05,6.325859733915744e-05,0.3296,0.083475,-1.9404131310579264e-05,7.348944918733446e-06,3.5459808420269265e-05
226,40,23,27,-7.872950296708676e-05,0.00020294485279850172,5.0694002260563006e-05,5.602732002003239e-06,0.011225,0.00095,1.3570408460707928e-05,5.045111461474883e-05,8.858794160838942e-05,0.3854625,0.1131,-2.229565936731947e-05,5.037673315903062e-06,3.4707708672619216e-05
127,12,13,37,-8.894036163736759e-05,4.2108106529112575e-05,-1.7291546504375995e-05,6.037601243414366e-06,0.8033,0.5363625,-5.032608740843335e-05,-1.7258102889068633e-05,1.5677548664342325e-05,0.373275,0.1133,-2.3119612154618696e-05,6.88225378222249e-06,3.344064118550954e-05
118,45,24,26,-8.389403771368762e-05,0.00020326557978515795,4.834832398391817e-05,5.215573878588153e-06,0.014375,0.0015375,1.1207246344673423e-05,4.8010538479133356e-05,8.6030334455948e-05,0.394375,0.116075,-2.2429059926146173e-05,4.723834679132487e-06,3.405553145118829e-05
230,45,24,26,-8.190642361836754e-05,0.0002074749875076245,5.147052894900586e-05,6.382445774050281e-06,0.0104125,0.0009375,1.4276827885026726e-05,5.119608990827126e-05,8.948674225357561e-05,0.3700875,0.1060875,-2.1761492548008978e-05,5.838970689523461e-06,3.564198727238116e-05
83,11,18,32,-1.3596653277520926e-05,0.00019383011429611536,5.646749932512954e-05,-6.748921049474414e-07,0.0162625,0.0,7.981102676433625e-06,5.623103290807398e-05,0.00010659013155702449,0.5370375,0.0,-1.3596653277520719e-05,-8.825817783333039e-07,2.6786835998163274e-05
23,11,12,38,-8.651768161680023e-05,3.71143647190851e-05,-1.7373968968809565e-05,5.943995285744183e-06,0.80795,0.540175,-5.0088896405770506e-05,-1.7353550757412337e-05,1.5381773430484802e-05,0.373825,0.1129,-2.3027958897583496e-05,6.082397424046823e-06,3.405955505362746e-05
123,8,10,40,-7.772995568780827e-05,3.224452990941066e-05,-1.6318183177772252e-05,4.823101239913873e-06,0.7962625,0.51385,-4.7064686801129845e-05,-1.6134457006106984e-05,1.6537747166738684e-05,0.4019,0.12,-2.16188618401325e-05,3.134173587776853e-06,3.224452990940731e-05
131,16,15,35,-9.781899118477779e-05,5.114346750815596e-05,-1.6191857751005238e-05,7.853822110667366e-06,0.78085,0.5171,-5.002786720279577e-05,-1.6222832996170842e-05,1.7720039195535624e-05,0.3321,0.1017,-2.2324205482895044e-05,8.31570463354055e-06,3.666559411909029e-05
258,30,20,30,-7.033310429360723e-05,0.0001838422256847499,4.399688341261986e-05,3.7018495031558676e-06,0.0230125,0.002825,7.52515513752647e-06,4.374106567738402e-05,8.138563190912261e-05,0.42705,0.128125,-2.295877981382871e-05,3.1045930562253147e-06,3.168432687874654e-05
135,20,15,35,-0.00010567350746660838,6.083917087423362e-05,-1.3939210703805999e-05,8.94488499400785e-06,0.7415125,0.4734125,-4.8611809519141715e-05,-1.3906871626461158e-05,2.0750755958785306e-05,0.313325,0.0989625,-2.2192644037585964e-05,9.277277075950883e-06,3.8498550300822885e-05
167,12,17,33,-1.6115491036882254e-05,0.00021167889327713586,6.743654998495445e-05,-4.163275815295223e-07,0.00895,0.003125,1.9186940596216903e-05,6.563183959443985e-05,0.0001202406265320803,0.5278125,0.41435,-1.611549103688208e-05,-2.1464568197284072e-07,2.7999358358966515e-05
262,35,21,29,-8.235024093021218e-05,0.0001918906467814671,4.4064496578007396e-05,5.0330249852327175e-06,0.0250125,0.00315,6.804945236080935e-06,4.3735331529285165e-05,8.214353808786668e-05,0.3962,0.1169,-2.2504584647480964e-05,4.47442709012951e-06,3.373365877730783e-05
270,45,23,27,-9.33761740869047e-05,0.00020751250542808128,4.860782496743213e-05,7.2477417217225014e-06,0.0161625,0.00175,1.063660933776436e-05,4.83507348877955e-05,8.720068672611146e-05,0.3508625,0.0987625,-2.1158092969043257e-05,6.760441842466824e-06,3.678890920734591e-05
10,39,20,30,-8.9863256860543e-05,0.000198714953297533,4.6045974178845974e-05,5.743965862727544e-06,0.02095,0.0026875,8.364991374929895e-06,4.5727055882200734e-05,8.435688359788613e-05,0.3824125,0.1136625,-2.2338950389067245e-05,5.234718586001203e-06,3.5040808960442683e-05
266,40,21,29,-9.040983646760568e-05,0.00020099446654725143,4.673659522241859e-05,5.7112213205341685e-06,0.0196375,0.0023,8.94874130107345e-06,4.646590639847954e-05,8.509221842274921e-05,0.3834375,0.1142125,-2.241228736320835e-05,5.2331349723820205e-06,3.501080902060836e-05
79,13,17,33,-1.784018074024543e-05,0.00022619888802698893,7.646945131949892e-05,7.416695872769533e-08,0.006025,0.0011875,2.2008569451070675e-05,7.574152723402801e-05,0.00013138798163125624,0.542925,0.3582125,-1.7840180740245292e-05,-1.5954962870287557e-06,3.442811809845625e-05
2,50,25,25,-9.667868940905596e-05,0.0002116767207369125,4.894988444062224e-05,7.852751918177814e-06,0.01585,0.00175,1.081853459112933e-05,4.865144160549259e-05,8.761293850944242e-05,0.3382375,0.094025,-2.06945615551976e-05,7.306422166845247e-06,3.745509560679396e-05
139,23,16,34,-0.00011658624803663643,8.186836092664756e-05,-1.0929153840200271e-05,9.971153134562964e-06,0.6753875,0.4288375,-4.947896546248701e-05,-1.1043901004662875e-05,2.8211332980314814e-05,0.322425,0.11875,-2.5208010371978256e-05,9.99101593561641e-06,4.404798635181671e-05
235,8,12,38,-2.6053020223984003e-05,0.00014706383300273343,3.903016585280942e-05,-3.000941362087204e-07,0.1224375,0.017675,-5.6854034836002015e-06,3.8429445912246236e-05,8.312538287168066e-05,0.65795,0.2261125,-2.6053020223982356e-05,-5.019280275206801e-06,3.755403114603525e-05
143,25,16,34,-0.00012131795745540697,8.83341425315442e-05,-8.644704025176667e-06,1.1194998602670711e-05,0.6390125,0.3925375,-4.775560494452385e-05,-8.609377193841696e-06,3.100026005474898e-05,0.304425,0.111425,-2.444969760294605e-05,1.1078740320477954e-05,4.6215429614326e-05
35,10,14,36,-3.132920853934941e-05,0.00016541496883397245,4.151318632832405e-05,-1.6772552554754674e-06,0.0626375,0.0121625,-9.216713501027168e-06,4.3092240521230855e-05,9.006905445906593e-05,0.5298625,0.156225,-3.132920853934919e-05,-1.029546859057381e-05,3.0512032546731784e-05
19,12,16,34,-3.353230619446701e-05,0.00017280049723629494,4.3507776080574664e-05,-2.009159850023507e-06,0.064675,0.0136875,-6.67881564193491e-06,4.381605200766411e-05,9.313342411286301e-05,0.5312875,0.1864375,-3.3532306194466724e-05,-6.846380532129461e-06,2.9900956364193607e-05
44,7,14,36,-1.0478105858681772e-05,0.00019796654493365364,5.99298650756182e-05,-1.7929120756674155e-06,0.055775,0.0,-1.0478105858681364e-05,5.50117716638017e-05,0.00012303809562975762,0.745725,0.0,-1.0478105858681618e-05,-1.04781058586813e-05,2.4379475549791316e-05
39,15,19,31,-2.2899393524292453e-05,0.0002580382384532863,8.38737532198349e-05,4.147439127798557e-07,0.0056125,0.000475,2.9613753024215e-05,8.382887477627647e-05,0.00014283524884091707,0.62255,0.2605,-2.2899393524292202e-05,-4.220130504683585e-06,3.582540270762826e-05
